ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3d6d-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
1,2,0,6212,0
2,4,470,6212,470
3,5,1470,6212,1470
4,7,1940,6212,1940
5,8,1940,6212,1940
5,8,2260,6212,2260
6,9,3070,6212,3070
7,11,4070,6212,4070
7,11,5070,6212,5070
8,12,5530,6212,5530
9,13,6340,6212,6340
10,15,6810,6212,6810
11,16,7280,6212,7280
12,17,7750,6212,7750
13,21,8750,6212,8750
14,23,9750,6212,9750
14,23,10560,6212,10560
15,24,11030,6212,11030
16,26,11030,6212,11030
17,27,11840,6212,11840
18,28,12310,6212,12310
19,30,12960,6212,12960
20,31,13960,6212,13960
21,33,14960,6212,14960
21,33,15430,6212,15430
21,33,15750,6212,15750
21,33,16560,6212,16560
22,34,17030,6212,17030
23,35,18030,6212,18030
24,36,19030,6212,19030
25,37,19500,6212,19500
25,37,19730,6212,19730
26,39,19730,6212,19730
27,41,20730,6212,20730
28,43,21730,6212,21730
29,45,22730,6212,22730
30,47,23730,6212,23730
30,47,24540,6212,24540
31,51,24540,6212,24540
31,51,25350,6212,25350
31,51,25580,6212,25580
31,51,26580,6212,26580
32,52,27050,6212,27050
33,54,27520,6212,27520
34,56,27990,6212,27990
34,56,28540,6212,28540
35,58,29540,6212,29540
36,60,30540,6212,30540
36,60,31350,6212,31350
37,64,32350,6212,32350
37,64,33160,6212,33160
38,66,33810,6212,33810
39,68,34810,6212,34810
40,72,34810,6212,34810
41,74,34810,6212,34810
41,74,34810,6212,34810
41,74,35620,6212,35620
41,74,36620,6212,36620
42,76,37620,6212,37620
43,78,38270,6212,38270
44,80,38270,6212,38270
45,84,38270,6212,38270
46,86,39270,6212,39270
47,88,39270,6212,39270
47,88,40080,6212,40080
47,88,40890,6212,40890
48,90,41540,6212,41540
48,90,41860,6212,41860
