pod,namespace,ip,cpu_milli,memory_mib,num_gpu,gpu_index,gpu_mem_ratio,gpu_milli,model,gpu_mem_mib_each,gpu_mem_mib,gpu_type_req,creation_time
openb-pod-0000,paib-gpu,,20000,,0,,0,0,T4,15109,0,<none>,
openb-pod-0000-tuned-1666,paib-gpu,,20000,,0,,0,0,T4,15109,0,<none>,
openb-pod-0000-tuned-3561,paib-gpu,,20000,,0,,0,0,G2,20000,0,<none>,
openb-pod-0001,paib-gpu,,32000,,0,,0,0,T4,15109,0,<none>,
openb-pod-0001-tuned-1864,paib-gpu,,32000,,0,,0,0,T4,15109,0,<none>,
openb-pod-0002,paib-gpu,,8000,,0,,0,0,T4,15109,0,<none>,
openb-pod-0002-tuned-1096,paib-gpu,,8000,,0,,0,0,G2,20000,0,<none>,
openb-pod-0002-tuned-2574,paib-gpu,,8000,,0,,0,0,T4,15109,0,<none>,
openb-pod-0003,paib-gpu,,8000,,0,,0,0,G2,20000,0,<none>,
openb-pod-0004,paib-gpu,,8000,,0,,0,0,G2,20000,0,<none>,
openb-pod-0005,paib-gpu,,8000,,0,,0,0,G2,20000,0,<none>,
openb-pod-0006,paib-gpu,,8000,,0,,0,0,G2,20000,0,<none>,
openb-pod-0006-tuned-1242,paib-gpu,,8000,,0,,0,0,G2,20000,0,<none>,
openb-pod-0007,paib-gpu,,8000,,0,,0,0,T4,15109,0,<none>,
openb-pod-0008,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0008-tuned-429,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0009,paib-gpu,,12500,,0,,0,0,G2,20000,0,<none>,
openb-pod-0010,paib-gpu,,8000,,0,,0,0,G2,20000,0,<none>,
openb-pod-0011,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0012,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0013,paib-gpu,,12500,,0,,0,0,G2,20000,0,<none>,
openb-pod-0014,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0014-tuned-3526,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0015,paib-gpu,,16000,,0,,0,0,G3,30000,0,<none>,
openb-pod-0016,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0017,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0018,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0019,paib-gpu,,8000,,0,,0,0,T4,15109,0,<none>,
openb-pod-0020,paib-gpu,,15400,,0,,0,0,T4,15109,0,<none>,
openb-pod-0021,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0021-tuned-2108,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0022,paib-gpu,,15400,,0,,0,0,T4,15109,0,<none>,
openb-pod-0022-tuned-3191,paib-gpu,,15400,,0,,0,0,T4,15109,0,<none>,
openb-pod-0023,paib-gpu,,15400,,0,,0,0,T4,15109,0,<none>,
openb-pod-0023-tuned-933,paib-gpu,,15400,,0,,0,0,T4,15109,0,<none>,
openb-pod-0024,paib-gpu,,16500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0025,paib-gpu,,12500,,0,,0,0,G2,20000,0,<none>,
openb-pod-0025-tuned-2610,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0026,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0026-tuned-2917,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0027,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0028,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0029,paib-gpu,,12500,,0,,0,0,G2,20000,0,<none>,
openb-pod-0030,paib-gpu,,12500,,0,,0,0,G2,20000,0,<none>,
openb-pod-0030-tuned-1115,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0030-tuned-2789,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0031,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0032,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0033,paib-gpu,,12500,,0,,0,0,G2,20000,0,<none>,
openb-pod-0034,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0035,paib-gpu,,12500,,0,,0,0,P100,16280,0,<none>,
openb-pod-0035-tuned-21,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0036,paib-gpu,,8000,,0,,0,0,T4,15109,0,<none>,
openb-pod-0036-tuned-2694,paib-gpu,,8000,,0,,0,0,G2,20000,0,<none>,
openb-pod-0037,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0038,paib-gpu,,12500,,0,,0,0,G2,20000,0,<none>,
openb-pod-0039,paib-gpu,,8000,,0,,0,0,G2,20000,0,<none>,
openb-pod-0040,paib-gpu,,12500,,0,,0,0,G2,20000,0,<none>,
openb-pod-0041,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0041-tuned-1869,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0042,paib-gpu,,12500,,0,,0,0,T4,15109,0,<none>,
openb-pod-0043,paib-gpu,,12500,,0,,0,0,G3,30000,0,<none>,
openb-pod-0044,paib-gpu,,12500,,0,,0,0,G3,30000,0,<none>,
