ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5a66-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
1,2,0,6212,0
2,3,470,6212,470
3,4,1470,6212,1470
3,4,1940,6212,1940
4,12,1940,6212,1940
5,13,2260,6212,2260
6,14,3070,6212,3070
7,15,4070,6212,4070
8,16,5070,6212,5070
9,17,5530,6212,5530
10,18,6340,6212,6340
11,20,6810,6212,6810
11,20,7280,6212,7280
11,20,7750,6212,7750
12,22,8750,6212,8750
12,22,9750,6212,9750
13,23,10560,6212,10560
13,23,11030,6212,11030
13,23,11030,6212,11030
14,24,11840,6212,11840
15,25,12310,6212,12310
16,27,12960,6212,12960
16,27,13960,6212,13960
17,29,14960,6212,14960
17,29,15430,6212,15430
17,29,15750,6212,15750
18,30,16560,6212,16560
19,31,17030,6212,17030
20,32,18030,6212,18030
21,33,19030,6212,19030
22,34,19500,6212,19500
23,35,19730,6212,19730
23,35,19730,6212,19730
24,37,20730,6212,20730
24,37,21730,6212,21730
25,39,22730,6212,22730
25,39,23730,6212,23730
26,40,24540,6212,24540
26,40,24540,6212,24540
27,41,25350,6212,25350
28,42,25580,6212,25580
29,43,26580,6212,26580
30,44,27050,6212,27050
31,46,27520,6212,27520
31,46,27990,6212,27990
31,46,28540,6212,28540
32,48,29540,6212,29540
33,50,30540,6212,30540
33,50,31350,6212,31350
33,50,32350,6212,32350
34,51,33160,6212,33160
35,53,33810,6212,33810
36,55,34810,6212,34810
36,55,34810,6212,34810
36,55,34810,6212,34810
36,55,34810,6212,34810
36,55,35620,6212,35620
36,55,36620,6212,36620
37,57,37620,6212,37620
37,57,38270,6212,38270
37,57,38270,6212,38270
37,57,38270,6212,38270
38,59,39270,6212,39270
39,63,39270,6212,39270
39,63,40080,6212,40080
40,64,40890,6212,40890
41,66,41540,6212,41540
41,66,41860,6212,41860
41,66,42860,6212,42860
41,66,43860,6212,43860
42,68,44860,6212,44860
42,68,45860,6212,45860
43,70,46670,6212,46670
44,72,47320,6212,47320
44,72,47790,6212,47790
45,74,48790,6212,48790
45,74,49790,6212,49790
46,76,50790,6212,50790
46,76,51790,6212,51790
46,76,52260,6212,52260
46,76,53070,6212,53070
47,78,54070,6212,54070
47,78,54070,6212,54070
47,78,54720,6212,54720
47,78,54720,6212,54720
48,80,55190,6212,55190
48,80,55350,6212,55350
48,80,56350,6212,56350
49,82,57350,6212,57350
50,84,58160,6212,58160
50,84,58970,6212,58970
50,84,59440,6212,59440
51,86,60250,6212,60250
51,86,61250,6212,61250
51,86,61250,6212,61250
52,88,62250,6212,62250
52,88,63250,6212,63250
53,96,63250,6212,63250
53,96,63570,6212,63570
54,98,64030,6212,64030
54,98,64840,6212,64840
54,98,64840,6212,64840
54,98,65160,6212,65160
54,98,65160,6212,65160
55,100,66160,6212,66160
55,100,67160,6212,67160
55,100,67630,6212,67630
56,102,68630,6212,68630
56,102,69440,6212,69440
57,104,70440,6212,70440
57,104,71090,6212,71090
58,106,72090,6212,72090
58,106,72560,6212,72560
59,108,73370,6212,73370
59,108,74370,6212,74370
60,110,74830,6212,74830
60,110,75300,6212,75300
60,110,76300,6212,76300
61,112,76770,6212,76770
61,112,77770,6212,77770
61,112,77930,6212,77930
62,114,78930,6212,78930
62,114,79930,6212,79930
63,116,80930,6212,80930
63,116,81930,6212,81930
63,116,81930,6212,81930
63,116,82400,6212,82400
63,116,82630,6212,82630
64,118,83100,6212,83100
64,118,83910,6212,83910
65,120,84910,6212,84910
65,120,85380,6212,85380
65,120,86190,6212,86190
66,122,87000,6212,87000
66,122,88000,6212,88000
67,124,88810,6212,88810
67,124,89810,6212,89810
68,126,90810,6212,90810
68,126,90810,6212,90810
68,126,90810,6212,90810
68,126,91810,6212,91810
69,128,92810,6212,92810
70,130,93810,6212,93810
71,132,94280,6212,94280
71,132,94750,6212,94750
71,132,94750,6212,94750
71,132,95750,6212,95750
72,134,96750,6212,96750
73,136,97220,6212,97220
74,144,97220,6212,97220
75,146,98220,6212,98220
75,146,99220,6212,99220
75,146,99690,6212,99690
76,148,100160,6212,100160
76,148,100160,6212,100160
76,148,100160,6212,100160
76,148,100160,6212,100160
77,150,101160,6212,101160
77,150,102160,6212,102160
78,152,102630,6212,102630
78,152,103100,6212,103100
78,152,103100,6212,103100
78,152,103910,6212,103910
78,152,104720,6212,104720
78,152,104720,6212,104720
78,152,105040,6212,105040
78,152,105360,6212,105360
79,160,113360,6212,113360
79,160,113680,6212,113680
79,160,114490,6212,114490
79,160,115490,6212,115490
80,162,116490,6212,116490
80,162,117300,6212,117300
81,164,118300,6212,118300
81,164,118300,6212,118300
81,164,118850,6212,118850
82,166,119320,6212,119320
82,166,120320,6212,120320
83,168,121320,6212,121320
83,168,122320,6212,122320
83,168,122910,6212,122910
84,170,123910,6212,123910
84,170,124910,6212,124910
84,170,125230,6212,125230
85,172,126040,6212,126040
85,172,126690,6212,126690
85,172,127160,6212,127160
86,174,127710,6212,127710
86,174,128520,6212,128520
87,176,128990,6212,128990
87,176,129990,6212,129990
88,178,130460,6212,130460
88,178,131460,6212,131460
89,180,132270,6212,132270
89,180,132490,6212,132490
89,180,132810,6212,132810
89,180,133810,6212,133810
89,180,133810,6212,133810
90,182,134810,6212,134810
90,182,135620,6212,135620
91,184,136090,6212,136090
91,184,136320,6212,136320
91,184,136320,6212,136320
91,184,137130,6212,137130
92,186,137940,6212,137940
92,186,138750,6212,138750
93,188,139750,6212,139750
93,188,139910,6212,139910
93,188,140720,6212,140720
93,188,141190,6212,141190
94,190,142000,6212,142000
94,190,142810,6212,142810
95,192,143810,6212,143810
95,192,143810,6212,143810
95,192,144810,6212,144810
95,192,144810,6212,144810
96,194,145810,6212,145810
96,194,146280,6212,146280
96,194,146510,6212,146510
97,196,147160,6212,147160
98,198,147630,6212,147630
98,198,148440,6212,148440
98,198,149440,6212,149440
99,200,150250,6212,150250
99,200,150710,6212,150710
99,200,151180,6212,151180
100,202,151990,6212,151990
100,202,152220,6212,152220
100,202,153220,6212,153220
101,204,153690,6212,153690
101,204,154340,6212,154340
102,206,155150,6212,155150
102,206,155310,6212,155310
102,206,155310,6212,155310
102,206,156120,6212,156120
103,208,157120,6212,157120
103,208,157770,6212,157770
103,208,158240,6212,158240
103,208,158290,6212,158290
103,208,158610,6212,158610
104,210,159420,6212,159420
104,210,159890,6212,159890
105,212,160540,6212,160540
106,214,161540,6212,161540
106,214,162540,6212,162540
107,216,163540,6212,163540
107,216,164000,6212,164000
107,216,164000,6212,164000
107,216,165000,6212,165000
107,216,165000,6212,165000
107,216,165000,6212,165000
108,218,166000,6212,166000
108,218,166320,6212,166320
108,218,167130,6212,167130
109,220,168130,6212,168130
109,220,169130,6212,169130
109,220,170130,6212,170130
110,222,170590,6212,170590
110,222,171400,6212,171400
111,224,172400,6212,172400
111,224,173400,6212,173400
112,226,174210,6212,174210
112,226,175020,6212,175020
112,226,175020,6212,175020
113,228,176020,6212,176020
113,228,177020,6212,177020
114,230,178020,6212,178020
114,230,178830,6212,178830
