ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpushare40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_35a5-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
862220.68,13.88,0.28,186542.07,3.0
862489.5,13.89,0.29,186542.54,3.0
861946.43,13.88,0.28,185850.28,2.99
861601.65,13.87,0.28,185847.49,2.99
861601.65,13.87,0.28,186020.55,3.0
861679.84,13.88,0.28,185949.54,2.99
861325.18,13.87,0.28,185445.7,2.99
861189.22,13.87,0.28,185486.52,2.99
860646.15,13.87,0.27,184794.26,2.98
860643.09,13.87,0.27,184642.01,2.97
860288.43,13.86,0.27,184287.35,2.97
860557.26,13.87,0.27,184405.96,2.97
860212.47,13.86,0.27,184264.63,2.97
860199.4,13.86,0.27,184102.38,2.97
860063.44,13.86,0.27,183999.47,2.97
859927.48,13.86,0.27,183999.47,2.97
859572.83,13.86,0.26,183495.62,2.96
859559.76,13.86,0.27,183333.37,2.96
859559.76,13.86,0.27,183333.37,2.96
859206.69,13.86,0.26,182831.11,2.95
859193.63,13.86,0.26,182668.85,2.95
859377.34,13.86,0.27,182668.85,2.95
858834.27,13.86,0.26,182125.79,2.94
858698.31,13.86,0.26,182125.79,2.94
858967.14,13.86,0.27,182665.94,2.95
858677.46,13.86,0.26,182286.36,2.94
858322.81,13.85,0.26,181782.52,2.93
857978.02,13.85,0.25,181621.94,2.93
857434.96,13.84,0.25,181078.87,2.92
856891.89,13.84,0.24,180386.62,2.91
856878.82,13.84,0.24,180224.36,2.91
857039.24,13.84,0.24,180235.58,2.91
857039.24,13.84,0.24,180235.58,2.91
856903.28,13.84,0.24,180325.58,2.91
856767.32,13.84,0.24,180325.39,2.91
856631.36,13.84,0.24,180325.39,2.91
856495.4,13.84,0.24,180325.39,2.91
856140.74,13.84,0.24,179821.54,2.91
856140.74,13.84,0.24,179821.54,2.91
855787.67,13.83,0.24,179319.28,2.9
855948.08,13.84,0.24,179330.51,2.9
855405.02,13.83,0.23,178638.25,2.89
855391.95,13.83,0.23,178475.99,2.89
855660.78,13.84,0.24,178699.74,2.89
855315.99,13.83,0.24,178711.27,2.89
855445.92,13.83,0.24,178569.55,2.89
855309.96,13.83,0.24,178465.97,2.89
855174.0,13.83,0.24,178465.78,2.89
854597.94,13.83,0.23,177850.87,2.88
854461.98,13.83,0.23,177850.87,2.88
854217.02,13.82,0.23,177233.97,2.87
854400.73,13.83,0.23,177423.08,2.87
854264.77,13.83,0.23,177423.29,2.87
854264.77,13.83,0.23,177423.29,2.87
854264.77,13.83,0.23,177423.29,2.87
854264.77,13.83,0.23,177419.26,2.87
