ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9072-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
858375.85,13.82,0.2,193021.38,3.11
858431.66,13.82,0.2,192663.21,3.1
858295.45,13.82,0.2,192633.35,3.1
858347.38,13.82,0.2,192633.47,3.1
858347.38,13.82,0.2,192633.21,3.1
858568.7,13.83,0.21,192664.98,3.1
858836.83,13.83,0.21,192654.49,3.1
858700.63,13.83,0.21,192654.23,3.1
858564.42,13.83,0.21,192653.96,3.1
858616.35,13.84,0.22,192654.08,3.1
858871.41,13.84,0.22,192653.82,3.1
858923.34,13.84,0.22,192653.93,3.11
858979.14,13.85,0.23,192295.76,3.1
859181.01,13.85,0.23,192295.63,3.1
859232.94,13.85,0.23,192295.74,3.1
859558.45,13.86,0.24,192174.06,3.1
859610.38,13.86,0.24,192174.18,3.1
860385.21,13.87,0.25,192496.6,3.1
860385.21,13.87,0.25,192496.34,3.1
860437.15,13.88,0.26,192619.31,3.11
860489.08,13.88,0.26,192619.43,3.11
860541.01,13.88,0.26,192619.55,3.11
860404.81,13.88,0.26,192619.28,3.11
860268.6,13.88,0.26,192599.95,3.11
860431.32,13.89,0.26,192633.56,3.11
860603.13,13.89,0.27,192633.29,3.11
860824.45,13.89,0.27,192633.03,3.11
861092.58,13.9,0.28,192632.77,3.11
860956.37,13.9,0.28,192632.51,3.11
861278.02,13.91,0.28,192632.25,3.11
861329.95,13.91,0.29,192632.37,3.11
861381.88,13.91,0.29,192632.48,3.11
861381.88,13.91,0.29,192502.06,3.11
861995.54,13.92,0.3,192615.86,3.11
861859.34,13.92,0.3,192615.59,3.11
862012.4,13.93,0.3,192572.05,3.11
861876.19,13.93,0.3,192571.79,3.11
861928.12,13.93,0.31,192694.76,3.11
861928.12,13.93,0.31,192564.35,3.11
862541.78,13.94,0.32,192678.14,3.11
862593.71,13.94,0.32,192801.11,3.12
862457.51,13.94,0.32,192670.7,3.11
863071.17,13.95,0.33,192784.49,3.12
863292.49,13.96,0.34,192784.23,3.12
863473.0,13.96,0.34,192784.67,3.12
863694.32,13.97,0.35,192784.41,3.12
863558.12,13.97,0.35,192738.71,3.12
863610.05,13.97,0.35,192440.43,3.11
863865.11,13.97,0.35,192440.05,3.11
864036.92,13.98,0.36,192520.62,3.11
864199.63,13.98,0.36,192521.06,3.11
864420.96,13.99,0.37,192552.84,3.12
864284.75,13.99,0.37,192552.58,3.12
864284.75,13.99,0.37,192556.97,3.12
864284.75,13.99,0.37,192556.71,3.12
864284.75,13.99,0.37,192345.72,3.11
864456.56,13.99,0.37,192345.46,3.11
864320.36,13.99,0.37,192345.2,3.11
864184.15,13.99,0.37,192344.93,3.11
864236.08,13.99,0.37,192344.93,3.11
864236.08,13.99,0.37,192214.52,3.11
864236.08,13.99,0.37,192214.52,3.11
864099.88,13.99,0.37,192214.26,3.11
864099.88,13.99,0.37,192083.84,3.11
864151.81,14.0,0.37,192206.81,3.11
864203.74,14.0,0.38,192329.79,3.12
864425.06,14.0,0.38,192361.56,3.12
864480.86,14.01,0.39,192003.39,3.11
864702.18,14.01,0.39,192035.17,3.11
864754.12,14.01,0.39,192158.14,3.11
864617.91,14.01,0.39,192157.88,3.11
864481.71,14.01,0.39,192157.62,3.11
864533.64,14.02,0.4,192157.73,3.12
864754.96,14.02,0.4,192157.47,3.12
864976.28,14.02,0.4,192189.25,3.12
865244.41,14.03,0.41,192189.25,3.12
865108.2,14.03,0.41,192188.99,3.12
865363.26,14.04,0.41,192254.35,3.12
865227.05,14.04,0.42,192208.66,3.12
865496.49,14.04,0.42,192174.46,3.12
865724.56,14.05,0.43,192174.2,3.12
865588.35,14.05,0.43,192173.94,3.12
865588.35,14.05,0.43,192043.52,3.12
865640.29,14.05,0.43,192043.63,3.12
865640.29,14.05,0.43,192043.37,3.12
865812.1,14.05,0.43,192123.94,3.12
865864.03,14.06,0.43,192124.06,3.12
865727.82,14.06,0.43,192123.8,3.12
865779.76,14.06,0.44,192123.42,3.12
866001.08,14.06,0.44,192123.16,3.12
866222.4,14.07,0.45,192122.9,3.12
866274.33,14.07,0.45,192245.87,3.12
866326.26,14.07,0.45,192245.61,3.12
866458.87,14.08,0.46,192214.15,3.12
866458.87,14.08,0.46,192218.54,3.12
866680.19,14.08,0.46,192250.32,3.12
865590.55,14.08,0.46,192250.06,3.13
865590.55,14.08,0.46,192254.45,3.13
865762.36,14.09,0.47,192254.18,3.13
865814.29,14.09,0.47,192254.3,3.13
866135.93,14.1,0.47,192254.04,3.13
866135.93,14.1,0.47,192253.78,3.13
866187.87,14.1,0.48,192253.89,3.13
866187.87,14.1,0.48,192258.28,3.13
866051.66,14.1,0.48,192228.43,3.13
866103.59,14.1,0.48,192228.54,3.13
866324.91,14.11,0.48,192260.32,3.13
866188.71,14.11,0.48,192260.32,3.13
866360.52,14.11,0.49,192340.89,3.13
866412.45,14.11,0.49,192341.01,3.13
866680.58,14.12,0.5,192340.75,3.13
866544.38,14.12,0.5,192340.48,3.13
866600.18,14.12,0.5,191982.31,3.13
866868.31,14.13,0.5,191971.82,3.13
867096.37,14.13,0.51,191955.85,3.13
867365.81,14.14,0.52,191955.59,3.13
867587.13,14.14,0.52,191987.36,3.13
867642.93,14.14,0.52,191629.19,3.12
867814.74,14.15,0.53,191628.93,3.12
868081.09,14.15,0.53,191362.49,3.12
868313.39,14.16,0.54,191398.19,3.12
868177.19,14.16,0.54,191397.93,3.12
868398.51,14.16,0.54,191397.66,3.12
868262.3,14.16,0.54,191397.4,3.12
868126.1,14.16,0.54,191397.14,3.12
868126.1,14.16,0.54,191266.72,3.12
868447.74,14.17,0.55,191266.46,3.12
868499.67,14.17,0.55,191266.2,3.12
868551.6,14.17,0.55,191265.83,3.12
868603.54,14.18,0.56,191388.8,3.12
868467.33,14.18,0.56,191388.54,3.12
868735.46,14.18,0.56,191378.04,3.12
868956.78,14.19,0.57,191377.78,3.12
869128.59,14.19,0.57,191458.35,3.13
869361.34,14.2,0.58,191623.82,3.13
869582.66,14.2,0.58,191655.59,3.13
869634.59,14.2,0.58,191655.71,3.13
869725.75,14.21,0.59,191550.27,3.13
