name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0604,,V100M16,8,1,34359738368,16160,1,4000,34359738368,520,8403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,520,8403
0001-openb-node-1137,,V100M16,32,4,137438953472,16160,4,988,137438953472,0,0,190,3070,540,8726,190,3070,0,0,0,0,0,0,0,0,920,14866
0002-openb-node-0662,,G2,96,8,412316860416,20000,11,2984,412316860416,0,0,190,3800,0,0,0,0,60,1200,190,3800,190,3800,190,3800,820,16400
0003-openb-node-1145,,P100,16,2,128849018880,16280,2,9696,128849018880,190,3093,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,380,6186
0004-openb-node-1152,,T4,104,2,549755813888,15109,8,888,549755813888,160,2417,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,350,5287
0005-openb-node-0222,,G2,96,8,412316860416,20000,11,784,412316860416,190,3800,0,0,0,0,0,0,360,7200,30,600,190,3800,190,3800,960,19200
0006-openb-node-0042,,G2,96,8,412316860416,20000,13,920,412316860416,130,2600,530,10600,120,2400,0,0,120,2400,60,1200,190,3800,190,3800,1340,26800
0007-openb-node-0734,,G2,96,8,412316860416,20000,13,1588,412316860416,0,0,0,0,60,1200,80,1600,130,2600,190,3800,530,10600,540,10800,1530,30600
0008-openb-node-0406,,G2,96,8,412316860416,20000,10,2024,412316860416,0,0,0,0,0,0,350,7000,190,3800,210,4200,350,7000,680,13600,1780,35600
0009-openb-node-0236,,T4,104,2,549755813888,15109,7,8092,549755813888,40,604,60,906,0,0,0,0,0,0,0,0,0,0,0,0,100,1510
0010-openb-node-0788,,T4,104,2,549755813888,15109,5,4292,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011-openb-node-0021,,P100,64,2,274877906944,16280,5,440,274877906944,120,1953,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,310,5046
0012-openb-node-0355,,G2,96,8,412316860416,20000,12,736,412316860416,0,0,0,0,90,1800,530,10600,0,0,0,0,190,3800,130,2600,940,18800
0013-openb-node-0976,,G3,128,8,824633720832,30000,17,10772,824633720832,70,2100,190,5700,90,2700,190,5700,30,900,210,6300,90,2700,190,5700,1060,31800
0014-openb-node-1062,,P100,16,2,128849018880,16280,3,1696,128849018880,190,3093,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,380,6186
0015-openb-node-1179,,T4,104,2,549755813888,15109,6,27940,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0016-openb-node-0287,,G2,96,8,412316860416,20000,11,3128,412316860416,190,3800,0,0,0,0,0,0,0,0,120,2400,0,0,260,5200,570,11400
0017-openb-node-0696,,T4,104,2,549755813888,15109,6,17984,549755813888,0,0,60,906,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0018-openb-node-0175,,G2,96,8,412316860416,20000,10,636,412316860416,0,0,0,0,190,3800,30,600,190,3800,0,0,0,0,190,3800,600,12000
0019-openb-node-0276,,G2,96,8,412316860416,20000,12,1088,412316860416,530,10600,310,6200,0,0,0,0,60,1200,0,0,190,3800,310,6200,1400,28000
0020-openb-node-0736,,G2,96,8,412316860416,20000,11,220,412316860416,0,0,0,0,0,0,190,3800,190,3800,210,4200,60,1200,0,0,650,13000
0021-openb-node-0070,,T4,104,2,549755813888,15109,9,3440,549755813888,70,1057,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,260,3927
0022-openb-node-0886,,G2,96,8,412316860416,20000,11,11924,412316860416,0,0,190,3800,190,3800,60,1200,60,1200,190,3800,190,3800,190,3800,1070,21400
0023-openb-node-0650,,T4,104,2,549755813888,15109,5,10282,549755813888,0,0,60,906,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0024-openb-node-0212,,T4,104,2,549755813888,15109,5,49000,549755813888,0,0,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,70,1057
0025-openb-node-0250,,G2,96,8,412316860416,20000,14,1376,412316860416,220,4400,20,400,0,0,190,3800,190,3800,770,15400,30,600,60,1200,1480,29600
0026-openb-node-1095,,T4,104,2,549755813888,15109,5,53040,549755813888,190,2870,30,453,0,0,0,0,0,0,0,0,0,0,0,0,220,3323
0027-openb-node-0188,,G2,96,8,412316860416,20000,11,12636,412316860416,0,0,190,3800,0,0,40,800,190,3800,190,3800,190,3800,30,600,830,16600
0028-openb-node-0389,,T4,104,2,549755813888,15109,8,9040,549755813888,190,2870,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,260,3927
0029-openb-node-0479,,P100,8,1,64424509440,16280,1,1000,64424509440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0030-openb-node-0628,,P100,16,2,128849018880,16280,3,848,128849018880,190,3093,80,1302,0,0,0,0,0,0,0,0,0,0,0,0,270,4395
0031-openb-node-0772,,G2,96,8,412316860416,20000,12,3076,412316860416,0,0,190,3800,210,4200,190,3800,300,6000,350,7000,90,1800,190,3800,1520,30400
0032-openb-node-0092,,G2,96,8,412316860416,20000,11,5488,412316860416,0,0,190,3800,0,0,80,1600,0,0,190,3800,70,1400,60,1200,590,11800
0033-openb-node-0834,,G2,96,8,412316860416,20000,9,1348,412316860416,0,0,0,0,0,0,680,13600,1000,20000,1000,20000,190,3800,360,7200,3230,64600
0034-openb-node-0786,,V100M32,48,4,395136991232,32510,7,1880,395136991232,0,0,190,6176,420,13654,180,5851,0,0,0,0,0,0,0,0,790,25681
0035-openb-node-0987,,T4,104,2,549755813888,15109,5,42092,549755813888,0,0,200,3021,0,0,0,0,0,0,0,0,0,0,0,0,200,3021
0036-openb-node-0099,,V100M16,32,4,137438953472,16160,3,2190,137438953472,0,0,0,0,1000,16160,1000,16160,0,0,0,0,0,0,0,0,2000,32320
0037-openb-node-0927,,G2,96,8,412316860416,20000,11,532,412316860416,0,0,530,10600,0,0,530,10600,190,3800,190,3800,90,1800,190,3800,1720,34400
0038-openb-node-0598,,T4,104,2,549755813888,15109,7,54092,549755813888,70,1057,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,140,2114
0039-openb-node-0551,,G2,96,8,412316860416,20000,9,124,412316860416,0,0,0,0,0,0,530,10600,770,15400,530,10600,70,1400,0,0,1900,38000
0040-openb-node-0872,,T4,104,2,549755813888,15109,5,68696,549755813888,30,453,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,220,3323
0041-openb-node-0254,,T4,104,2,549755813888,15109,6,25940,549755813888,170,2568,30,453,0,0,0,0,0,0,0,0,0,0,0,0,200,3021
0042-openb-node-0971,,G2,96,8,412316860416,20000,12,324,412316860416,0,0,190,3800,190,3800,190,3800,60,1200,410,8200,190,3800,70,1400,1300,26000
0043-openb-node-0208,,T4,104,2,549755813888,15109,3,57548,549755813888,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0044-openb-node-0694,,T4,104,2,549755813888,15109,9,3448,549755813888,100,1510,30,453,0,0,0,0,0,0,0,0,0,0,0,0,130,1963
0045-openb-node-0040,,G2,96,8,412316860416,20000,11,620,412316860416,0,0,0,0,530,10600,0,0,190,3800,190,3800,300,6000,350,7000,1560,31200
0046-openb-node-0996,,V100M16,32,4,137438953472,16160,5,1496,137438953472,0,0,190,3070,220,3555,0,0,0,0,0,0,0,0,0,0,410,6625
0047-openb-node-0430,,P100,16,2,128849018880,16280,2,2190,128849018880,680,11070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,680,11070
0048-openb-node-0835,,G3,128,8,824633720832,30000,12,46676,824633720832,0,0,190,5700,210,6300,130,3900,190,5700,30,900,190,5700,190,5700,1130,33900
0049-openb-node-0847,,G2,96,8,412316860416,20000,10,988,412316860416,0,0,0,0,0,0,0,0,630,12600,350,7000,190,3800,450,9000,1620,32400
0050-openb-node-0174,,G2,96,8,412316860416,20000,8,2640,412316860416,0,0,0,0,0,0,0,0,210,4200,190,3800,0,0,1000,20000,1400,28000
0051-openb-node-1009,,G2,96,8,412316860416,20000,10,29124,412316860416,190,3800,190,3800,190,3800,0,0,60,1200,30,600,190,3800,190,3800,1040,20800
0052-openb-node-0289,,P100,16,2,128849018880,16280,3,2848,128849018880,190,3093,220,3581,0,0,0,0,0,0,0,0,0,0,0,0,410,6674
0053-openb-node-0492,,V100M16,8,1,34359738368,16160,2,848,34359738368,60,969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,969
0054-openb-node-0267,,G2,96,8,412316860416,20000,9,20,412316860416,0,0,190,3800,530,10600,30,600,1000,20000,190,3800,530,10600,190,3800,2660,53200
0055-openb-node-0283,,P100,16,2,128849018880,16280,3,5696,128849018880,0,0,30,488,0,0,0,0,0,0,0,0,0,0,0,0,30,488
0056-openb-node-0482,,T4,104,2,549755813888,15109,10,4040,549755813888,190,2870,80,1208,0,0,0,0,0,0,0,0,0,0,0,0,270,4078
0057-openb-node-1070,,T4,96,4,412316860416,15109,7,30588,412316860416,0,0,190,2870,190,2870,30,453,0,0,0,0,0,0,0,0,410,6193
0058-openb-node-1117,,T4,104,2,549755813888,15109,6,49296,549755813888,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0059-openb-node-0483,,G2,96,8,412316860416,20000,10,1530,412316860416,0,0,0,0,0,0,190,3800,0,0,530,10600,540,10800,210,4200,1470,29400
0060-openb-node-1030,,G2,96,8,412316860416,20000,11,21896,412316860416,0,0,0,0,0,0,190,3800,190,3800,80,1600,70,1400,0,0,530,10600
0061-openb-node-0189,,G2,96,8,412316860416,20000,12,764,412316860416,90,1800,0,0,120,2400,70,1400,0,0,130,2600,350,7000,530,10600,1290,25800
0062-openb-node-0963,,T4,104,2,549755813888,15109,5,1696,549755813888,190,2870,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,380,5740
0063-openb-node-0421,,T4,104,2,549755813888,15109,4,66440,549755813888,0,0,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,70,1057
0064-openb-node-0866,,P100,16,2,128849018880,16280,2,848,128849018880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0065-openb-node-0949,,T4,104,2,549755813888,15109,4,37384,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0066-openb-node-0286,,G2,96,8,412316860416,20000,11,14436,412316860416,0,0,190,3800,70,1400,0,0,0,0,0,0,190,3800,60,1200,510,10200
0067-openb-node-0154,,G2,96,8,412316860416,20000,10,2032,412316860416,0,0,0,0,0,0,0,0,1000,20000,60,1200,30,600,190,3800,1280,25600
0068-openb-node-0920,,T4,104,2,549755813888,15109,7,19788,549755813888,40,604,120,1813,0,0,0,0,0,0,0,0,0,0,0,0,160,2417
0069-openb-node-0252,,T4,104,2,549755813888,15109,4,44700,549755813888,0,0,60,906,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0070-openb-node-0980,,G2,96,8,412316860416,20000,10,3492,412316860416,0,0,0,0,0,0,0,0,0,0,190,3800,190,3800,530,10600,910,18200
0071-openb-node-0531,,G2,96,8,412316860416,20000,5,700,412316860416,0,0,0,0,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,6000,120000
0072-openb-node-0541,,G2,96,8,412316860416,20000,15,4276,412316860416,0,0,190,3800,190,3800,190,3800,0,0,190,3800,30,600,60,1200,850,17000
0073-openb-node-1005,,T4,104,2,549755813888,15109,6,6440,549755813888,190,2870,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,260,3927
0074-openb-node-0725,,T4,104,2,549755813888,15109,4,64292,549755813888,0,0,120,1813,0,0,0,0,0,0,0,0,0,0,0,0,120,1813
0075-openb-node-1136,,G2,96,8,412316860416,20000,10,1220,412316860416,0,0,0,0,0,0,0,0,0,0,300,6000,190,3800,190,3800,680,13600
0076-openb-node-0818,,G2,96,8,412316860416,20000,13,1528,412316860416,210,4200,190,3800,210,4200,0,0,30,600,190,3800,0,0,190,3800,1020,20400
0077-openb-node-1159,,T4,104,2,549755813888,15109,5,36692,549755813888,0,0,210,3172,0,0,0,0,0,0,0,0,0,0,0,0,210,3172
0078-openb-node-0064,,G2,96,8,412316860416,20000,8,3208,412316860416,0,0,0,0,530,10600,350,7000,0,0,350,7000,350,7000,190,3800,1770,35400
0079-openb-node-0419,,T4,104,2,549755813888,15109,6,46448,549755813888,190,2870,100,1510,0,0,0,0,0,0,0,0,0,0,0,0,290,4380
0080-openb-node-0083,,P100,16,2,128849018880,16280,2,3038,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0081-openb-node-0990,,P100,8,2,64424509440,16280,2,1696,64424509440,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0082-openb-node-0544,,G2,96,8,412316860416,20000,10,7940,412316860416,0,0,0,0,0,0,0,0,0,0,190,3800,210,4200,210,4200,610,12200
0083-openb-node-0059,,G2,96,8,412316860416,20000,8,1980,412316860416,0,0,0,0,0,0,350,7000,1000,20000,680,13600,630,12600,410,8200,3070,61400
0084-openb-node-0226,,V100M16,32,4,137438953472,16160,5,696,137438953472,0,0,210,3393,190,3070,190,3070,0,0,0,0,0,0,0,0,590,9533
0085-openb-node-0509,,V100M32,96,8,824633720832,32510,11,8580,824633720832,0,0,0,0,0,0,0,0,190,6176,140,4551,0,0,180,5851,510,16578
0086-openb-node-0416,,T4,104,2,549755813888,15109,6,39440,549755813888,190,2870,60,906,0,0,0,0,0,0,0,0,0,0,0,0,250,3776
0087-openb-node-0310,,G2,96,8,412316860416,20000,10,1428,412316860416,0,0,190,3800,190,3800,680,13600,0,0,350,7000,0,0,190,3800,1600,32000
0088-openb-node-0402,,G2,96,8,412316860416,20000,5,184,412316860416,530,10600,1000,20000,1000,20000,1000,20000,530,10600,1000,20000,1000,20000,530,10600,6590,131800
0089-openb-node-1034,,G2,96,8,412316860416,20000,7,816,412316860416,530,10600,0,0,60,1200,1000,20000,530,10600,1000,20000,1000,20000,450,9000,4570,91400
0090-openb-node-0564,,P100,16,2,128849018880,16280,3,1696,128849018880,190,3093,180,2930,0,0,0,0,0,0,0,0,0,0,0,0,370,6023
0091-openb-node-0176,,G2,96,8,412316860416,20000,12,1518,412316860416,0,0,30,600,190,3800,0,0,0,0,70,1400,0,0,120,2400,410,8200
0092-openb-node-1042,,G2,96,8,412316860416,20000,11,2824,412316860416,0,0,60,1200,0,0,190,3800,540,10800,530,10600,30,600,210,4200,1560,31200
0093-openb-node-0595,,T4,104,2,549755813888,15109,7,4348,549755813888,70,1057,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,260,3927
0094-openb-node-1129,,T4,104,2,549755813888,15109,5,16900,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0095-openb-node-0357,,P100,16,2,128849018880,16280,2,940,128849018880,190,3093,530,8628,0,0,0,0,0,0,0,0,0,0,0,0,720,11721
0096-openb-node-1199,,T4,104,2,549755813888,15109,7,27848,549755813888,0,0,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,70,1057
0097-openb-node-0556,,G2,96,8,412316860416,20000,11,3632,412316860416,0,0,0,0,210,4200,190,3800,190,3800,190,3800,400,8000,190,3800,1370,27400
0098-openb-node-0007,,P100,64,2,274877906944,16280,4,3400,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0099-openb-node-0653,,G3,128,8,824633720832,30000,8,17888,824633720832,0,0,0,0,190,5700,30,900,190,5700,0,0,0,0,0,0,410,12300
0100-openb-node-0695,,T4,104,2,549755813888,15109,5,32548,549755813888,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0101-openb-node-0057,,T4,96,4,412316860416,15109,7,35348,412316860416,190,2870,80,1208,0,0,0,0,0,0,0,0,0,0,0,0,270,4078
0102-openb-node-0167,,G3,128,8,824633720832,30000,12,4372,824633720832,0,0,0,0,190,5700,60,1800,0,0,0,0,190,5700,60,1800,500,15000
0103-openb-node-0382,,G2,96,8,412316860416,20000,14,16024,412316860416,30,600,30,600,190,3800,210,4200,180,3600,190,3800,80,1600,190,3800,1100,22000
0104-openb-node-1090,,P100,16,2,128849018880,16280,2,92,128849018880,1000,16280,210,3418,0,0,0,0,0,0,0,0,0,0,0,0,1210,19698
0105-openb-node-0168,,G3,128,8,824633720832,30000,10,69274,824633720832,0,0,190,5700,0,0,190,5700,190,5700,130,3900,210,6300,0,0,910,27300
0106-openb-node-0917,,G2,96,8,412316860416,20000,10,2140,412316860416,60,1200,0,0,0,0,0,0,0,0,1000,20000,240,4800,190,3800,1490,29800
0107-openb-node-0376,,T4,104,2,549755813888,15109,5,28548,549755813888,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0108-openb-node-0814,,V100M32,96,8,824633720832,32510,11,3076,824633720832,0,0,410,13329,450,14629,0,0,0,0,410,13329,130,4226,60,1950,1460,47463
0109-openb-node-0351,,G2,96,8,412316860416,20000,11,2584,412316860416,130,2600,0,0,680,13600,190,3800,0,0,190,3800,80,1600,530,10600,1800,36000
0110-openb-node-0125,,T4,104,2,549755813888,15109,5,58392,549755813888,0,0,50,755,0,0,0,0,0,0,0,0,0,0,0,0,50,755
0111-openb-node-0346,,G2,96,8,412316860416,20000,13,1072,412316860416,0,0,0,0,140,2800,0,0,130,2600,190,3800,120,2400,190,3800,770,15400
0112-openb-node-1036,,G2,96,8,412316860416,20000,10,124,412316860416,350,7000,0,0,410,8200,530,10600,350,7000,1000,20000,680,13600,140,2800,3460,69200
0113-openb-node-0518,,G2,96,8,412316860416,20000,12,12432,412316860416,190,3800,0,0,190,3800,210,4200,190,3800,0,0,90,1800,190,3800,1060,21200
0114-openb-node-0853,,G2,96,8,412316860416,20000,11,1888,412316860416,0,0,0,0,190,3800,190,3800,90,1800,190,3800,190,3800,190,3800,1040,20800
0115-openb-node-0587,,G2,96,8,412316860416,20000,13,5072,412316860416,190,3800,190,3800,0,0,190,3800,190,3800,190,3800,60,1200,0,0,1010,20200
0116-openb-node-0364,,G2,96,8,412316860416,20000,10,92,412316860416,0,0,0,0,530,10600,190,3800,190,3800,190,3800,190,3800,530,10600,1820,36400
0117-openb-node-1198,,T4,104,2,549755813888,15109,4,83696,549755813888,0,0,140,2115,0,0,0,0,0,0,0,0,0,0,0,0,140,2115
0118-openb-node-0852,,V100M32,48,4,395136991232,32510,7,288,395136991232,0,0,530,17230,130,4226,190,6176,0,0,0,0,0,0,0,0,850,27632
0119-openb-node-0782,,G2,96,8,412316860416,20000,12,15940,412316860416,0,0,60,1200,190,3800,190,3800,0,0,60,1200,0,0,190,3800,690,13800
0120-openb-node-0087,,G2,96,8,412316860416,20000,10,918,412316860416,190,3800,350,7000,0,0,190,3800,0,0,540,10800,0,0,190,3800,1460,29200
0121-openb-node-0579,,V100M16,64,8,274877906944,16160,5,3096,274877906944,0,0,0,0,0,0,0,0,1000,16160,1000,16160,1000,16160,1000,16160,4000,64640
0122-openb-node-0841,,G2,96,8,412316860416,20000,12,2474,412316860416,0,0,140,2800,0,0,190,3800,190,3800,160,3200,60,1200,680,13600,1420,28400
0123-openb-node-1086,,G2,96,8,412316860416,20000,11,528,412316860416,0,0,0,0,60,1200,0,0,350,7000,190,3800,370,7400,190,3800,1160,23200
0124-openb-node-0060,,G2,96,8,412316860416,20000,7,2000,412316860416,770,15400,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,1000,20000,7770,155400
0125-openb-node-0676,,G2,96,8,412316860416,20000,8,1124,412316860416,0,0,530,10600,0,0,530,10600,190,3800,350,7000,1000,20000,530,10600,3130,62600
0126-openb-node-0014,,P100,64,2,274877906944,16280,5,15696,274877906944,30,488,90,1465,0,0,0,0,0,0,0,0,0,0,0,0,120,1953
0127-openb-node-0747,,G2,96,8,412316860416,20000,12,1674,412316860416,0,0,190,3800,190,3800,90,1800,530,10600,210,4200,190,3800,130,2600,1530,30600
0128-openb-node-0578,,P100,16,2,128849018880,16280,2,940,128849018880,530,8628,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,720,11721
0129-openb-node-0281,,P100,16,2,128849018880,16280,2,940,128849018880,530,8628,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,720,11721
0130-openb-node-0066,,G2,96,8,412316860416,20000,10,17536,412316860416,0,0,60,1200,0,0,190,3800,0,0,190,3800,70,1400,190,3800,700,14000
0131-openb-node-1109,,G2,96,8,412316860416,20000,15,17228,412316860416,0,0,0,0,190,3800,0,0,0,0,190,3800,90,1800,30,600,500,10000
0132-openb-node-0668,,G2,96,8,412316860416,20000,12,4982,412316860416,0,0,0,0,190,3800,190,3800,90,1800,0,0,190,3800,190,3800,850,17000
0133-openb-node-0565,,G2,96,8,412316860416,20000,10,2092,412316860416,530,10600,0,0,0,0,190,3800,1000,20000,190,3800,190,3800,350,7000,2450,49000
0134-openb-node-0410,,P100,16,2,128849018880,16280,2,3038,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0135-openb-node-0114,,G2,96,8,412316860416,20000,11,15184,412316860416,0,0,0,0,0,0,210,4200,190,3800,190,3800,0,0,30,600,620,12400
0136-openb-node-0274,,G2,96,8,412316860416,20000,11,1924,412316860416,350,7000,450,9000,190,3800,0,0,450,9000,530,10600,190,3800,190,3800,2350,47000
0137-openb-node-0239,,T4,104,2,549755813888,15109,3,64848,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0138-openb-node-0740,,G2,96,8,412316860416,20000,11,2074,412316860416,0,0,130,2600,0,0,190,3800,0,0,70,1400,190,3800,180,3600,760,15200
0139-openb-node-0881,,T4,104,2,549755813888,15109,7,28540,549755813888,190,2870,10,151,0,0,0,0,0,0,0,0,0,0,0,0,200,3021
