ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
1,2,0,6212,0
2,3,810,6212,810
3,5,1810,6212,1810
3,5,2620,6212,2620
4,9,2620,6212,2620
5,11,3090,6212,3090
5,11,3410,6212,3410
6,13,4410,6212,4410
7,15,5410,6212,5410
8,16,6220,6212,6220
8,16,6770,6212,6770
8,16,7580,6212,7580
9,17,8390,6212,8390
9,17,8440,6212,8440
10,18,9250,6212,9250
10,18,9480,6212,9480
11,19,10290,6212,10290
12,21,10760,6212,10760
12,21,10760,6212,10760
13,22,11570,6212,11570
14,23,12380,6212,12380
15,24,13190,6212,13190
16,25,14190,6212,14190
17,27,15190,6212,15190
17,27,15350,6212,15350
18,29,16000,6212,16000
19,31,16470,6212,16470
19,31,16790,6212,16790
19,31,17790,6212,17790
19,31,18020,6212,18020
20,32,18830,6212,18830
21,33,19640,6212,19640
22,37,19640,6212,19640
23,39,20290,6212,20290
23,39,21290,6212,21290
23,39,21610,6212,21610
24,41,22610,6212,22610
24,41,23420,6212,23420
25,45,23420,6212,23420
26,47,24070,6212,24070
26,47,24880,6212,24880
27,48,25880,6212,25880
28,50,26530,6212,26530
29,52,27000,6212,27000
30,56,27110,6212,27110
31,57,27580,6212,27580
32,58,28580,6212,28580
32,58,29390,6212,29390
33,59,29940,6212,29940
34,61,30590,6212,30590
34,61,30750,6212,30750
35,63,31220,6212,31220
36,65,32220,6212,32220
37,69,32220,6212,32220
37,69,32220,6212,32220
38,71,32220,6212,32220
39,73,32870,6212,32870
40,77,33870,6212,33870
40,77,34870,6212,34870
40,77,35680,6212,35680
41,79,35680,6212,35680
42,83,35680,6212,35680
43,85,36680,6212,36680
43,85,36680,6212,36680
43,85,37490,6212,37490
43,85,38300,6212,38300
44,86,38770,6212,38770
44,86,39580,6212,39580
45,87,40050,6212,40050
45,87,40860,6212,40860
46,89,41860,6212,41860
46,89,42860,6212,42860
47,90,43670,6212,43670
48,91,44140,6212,44140
49,93,44610,6212,44610
50,95,44930,6212,44930
51,96,45930,6212,45930
51,96,46480,6212,46480
51,96,47480,6212,47480
52,98,47850,6212,47850
52,98,48310,6212,48310
53,100,49310,6212,49310
