ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2a7f-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
859220.43,13.83,0.21,193815.25,3.12
858962.93,13.83,0.21,193361.15,3.11
859229.28,13.84,0.22,193094.71,3.11
858841.06,13.83,0.21,192628.01,3.1
858860.66,13.83,0.21,192422.62,3.1
859635.49,13.85,0.22,192745.04,3.1
860159.04,13.85,0.23,192707.69,3.1
860425.38,13.86,0.24,192441.25,3.1
860725.65,13.87,0.25,192130.26,3.1
860468.16,13.87,0.25,191896.63,3.09
860339.93,13.86,0.24,191689.93,3.09
859917.78,13.86,0.24,191267.78,3.08
859660.28,13.86,0.24,190813.68,3.08
859612.15,13.86,0.24,190765.54,3.08
859354.65,13.85,0.23,190311.44,3.07
859567.94,13.86,0.24,190365.88,3.07
859310.44,13.86,0.24,189911.78,3.06
860085.27,13.87,0.25,190234.2,3.07
860901.99,13.88,0.26,190946.59,3.08
860644.49,13.88,0.26,190712.96,3.08
860387.0,13.88,0.26,190258.86,3.07
860129.5,13.88,0.26,189804.76,3.06
859683.87,13.87,0.25,189162.52,3.05
859950.22,13.88,0.26,188919.02,3.05
860820.67,13.89,0.27,191183.76,3.09
861434.33,13.9,0.28,191297.55,3.09
862073.06,13.91,0.29,191528.09,3.09
862196.35,13.92,0.3,191492.53,3.09
861618.12,13.91,0.29,190812.88,3.08
861812.59,13.91,0.29,190895.95,3.08
861555.09,13.91,0.29,190441.85,3.08
861297.59,13.91,0.29,189987.75,3.07
861317.2,13.91,0.29,189782.36,3.06
861930.86,13.92,0.3,189896.15,3.07
863101.11,13.94,0.32,191057.53,3.09
