ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_899f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
858395.46,13.82,0.2,195024.54,3.14
858137.96,13.82,0.2,194570.44,3.13
858001.76,13.82,0.2,194391.26,3.13
857744.26,13.81,0.19,194157.63,3.13
857898.01,13.82,0.2,194450.04,3.13
858119.33,13.82,0.2,194587.15,3.13
857969.74,13.82,0.2,194474.63,3.13
858236.09,13.83,0.21,194208.19,3.13
858099.89,13.83,0.21,194077.77,3.13
857842.39,13.82,0.2,193623.67,3.12
857844.09,13.82,0.2,193428.76,3.12
857586.59,13.82,0.2,192974.66,3.11
857329.09,13.82,0.2,192741.03,3.11
857280.96,13.82,0.2,192692.89,3.11
857023.46,13.82,0.2,192238.79,3.1
857255.76,13.82,0.2,192274.49,3.1
856998.26,13.82,0.2,191820.38,3.09
857219.58,13.82,0.2,191852.16,3.09
857219.58,13.82,0.2,191851.9,3.09
857271.52,13.83,0.21,192077.33,3.1
857014.02,13.82,0.2,191623.23,3.09
856756.52,13.82,0.2,191169.13,3.08
856620.32,13.82,0.2,191169.13,3.08
856484.11,13.82,0.2,191149.8,3.08
856326.17,13.82,0.2,190996.03,3.08
856497.98,13.82,0.2,191072.62,3.08
856200.46,13.82,0.2,190927.57,3.08
855922.44,13.82,0.2,190714.44,3.08
855344.21,13.81,0.19,190057.74,3.07
855665.86,13.81,0.19,190598.93,3.08
855408.36,13.81,0.19,190144.83,3.07
855150.86,13.81,0.19,189911.19,3.07
856745.6,13.84,0.21,189817.49,3.07
856407.75,13.83,0.21,189426.31,3.06
856271.55,13.83,0.21,189315.23,3.06
856424.61,13.83,0.21,189271.68,3.06
856724.88,13.84,0.22,188960.69,3.05
856467.38,13.84,0.22,188506.59,3.05
856467.38,13.84,0.22,188506.59,3.05
856639.19,13.84,0.22,188587.16,3.05
856691.12,13.85,0.23,188777.85,3.05
856078.97,13.84,0.22,188165.7,3.04
856250.79,13.84,0.22,188246.27,3.04
856472.11,13.85,0.23,188509.05,3.05
856363.97,13.85,0.23,188406.47,3.05
856066.44,13.84,0.22,188294.21,3.04
855620.81,13.84,0.22,187651.97,3.03
855363.31,13.83,0.21,187197.87,3.03
855365.01,13.84,0.22,187002.96,3.02
855536.82,13.84,0.22,187083.53,3.03
855378.68,13.84,0.22,187013.7,3.03
855600.0,13.84,0.22,187276.48,3.03
855463.8,13.84,0.22,187257.14,3.03
855503.01,13.84,0.22,193076.27,3.12
860133.99,13.92,0.3,193016.97,3.12
860133.99,13.92,0.3,193016.97,3.12
860305.8,13.92,0.3,193097.54,3.12
860169.59,13.92,0.3,192986.46,3.12
860033.39,13.92,0.3,192967.13,3.12
860085.32,13.93,0.3,193157.81,3.13
860085.32,13.93,0.3,193157.81,3.13
860085.32,13.93,0.3,193157.81,3.13
859949.12,13.93,0.31,193046.73,3.13
859949.12,13.93,0.31,193046.73,3.13
859691.62,13.92,0.3,192592.63,3.12
859434.12,13.92,0.3,192138.53,3.11
859136.6,13.92,0.3,192026.27,3.11
858879.1,13.91,0.29,191572.16,3.1
858963.47,13.92,0.3,191459.93,3.1
859015.4,13.92,0.3,191582.9,3.1
859281.75,13.93,0.31,191316.46,3.1
858703.52,13.92,0.3,190659.76,3.09
858755.45,13.92,0.3,190730.89,3.09
858976.77,13.93,0.31,190762.66,3.09
858679.25,13.92,0.3,190600.47,3.09
858401.23,13.92,0.3,190328.63,3.09
858265.03,13.92,0.3,190198.21,3.08
858520.08,13.92,0.3,190650.95,3.09
858383.88,13.92,0.3,190650.95,3.09
858072.61,13.92,0.3,190338.21,3.09
858300.68,13.93,0.3,190322.24,3.09
858164.48,13.93,0.3,190191.82,3.09
858164.48,13.93,0.3,190191.82,3.09
858216.41,13.93,0.31,190470.39,3.09
858216.41,13.93,0.31,190470.39,3.09
858388.22,13.93,0.31,190550.96,3.09
858440.15,13.93,0.31,190741.64,3.1
858303.95,13.93,0.31,190741.64,3.1
858355.88,13.94,0.32,190864.62,3.1
858061.61,13.93,0.31,190723.89,3.1
858282.93,13.94,0.32,190858.12,3.1
858338.73,13.94,0.32,190499.95,3.09
858347.32,13.94,0.32,190313.4,3.09
858613.67,13.95,0.33,190046.96,3.09
858613.67,13.95,0.33,190051.35,3.09
858316.14,13.95,0.33,189906.3,3.09
857226.5,13.95,0.33,189906.04,3.09
857226.5,13.95,0.33,189963.55,3.09
857840.16,13.96,0.34,190077.34,3.09
857454.62,13.95,0.33,189580.41,3.09
857266.61,13.95,0.33,189398.91,3.08
857305.82,13.95,0.33,195155.87,3.18
857357.75,13.95,0.33,195278.85,3.18
857357.75,13.95,0.33,195283.24,3.18
857221.54,13.95,0.33,195253.38,3.18
857273.48,13.96,0.34,195324.51,3.18
857494.8,13.96,0.34,195356.28,3.18
857358.59,13.96,0.34,195255.72,3.18
857530.4,13.97,0.35,195567.3,3.19
857582.33,13.97,0.35,195690.27,3.19
857304.32,13.96,0.34,195418.77,3.18
857604.59,13.97,0.35,195107.78,3.18
857656.52,13.97,0.35,195178.9,3.18
857378.51,13.97,0.35,194990.7,3.18
857090.98,13.97,0.35,194888.01,3.18
857360.42,13.97,0.35,194853.81,3.18
857113.21,13.97,0.35,194757.59,3.17
857165.14,13.97,0.35,195098.79,3.18
857336.95,13.98,0.36,195179.36,3.18
857200.74,13.98,0.36,195149.51,3.18
857012.73,13.97,0.35,195050.1,3.18
856876.52,13.97,0.35,194949.54,3.18
857097.84,13.98,0.36,195212.32,3.18
856961.64,13.98,0.36,195192.98,3.18
856825.43,13.98,0.36,195081.9,3.18
858458.86,14.01,0.38,195582.34,3.19
858270.85,14.0,0.38,195401.26,3.19
858322.78,14.01,0.39,195270.84,3.19
858374.71,14.01,0.39,195641.4,3.19
858426.64,14.01,0.39,195764.38,3.2
858290.44,14.01,0.39,195633.96,3.19
858012.42,14.01,0.39,195550.95,3.19
857714.9,14.0,0.38,195250.19,3.19
857886.71,14.01,0.39,195398.48,3.19
858438.31,14.02,0.4,195631.41,3.19
858659.63,14.02,0.4,195663.18,3.2
858470.97,14.02,0.4,195210.45,3.19
858183.45,14.02,0.4,195048.25,3.19
858183.45,14.02,0.4,195043.6,3.19
858183.45,14.02,0.4,196725.68,3.21
858047.24,14.02,0.4,196725.68,3.21
858099.17,14.02,0.4,196977.96,3.22
858207.91,14.02,0.4,196678.49,3.21
857709.97,14.02,0.4,196180.56,3.21
857431.96,14.01,0.39,195992.35,3.2
860429.5,14.06,0.44,195432.61,3.19
860284.68,14.06,0.44,195259.28,3.19
860551.03,14.07,0.45,195015.78,3.19
860602.96,14.07,0.45,195138.76,3.19
860602.96,14.07,0.45,195138.76,3.19
860824.28,14.08,0.45,195272.99,3.19
860688.08,14.08,0.45,195253.66,3.19
860743.88,14.08,0.46,194895.48,3.19
860752.47,14.08,0.46,194697.72,3.18
860791.68,14.08,0.46,195517.57,3.2
864053.39,14.13,0.51,197406.21,3.23
864053.39,14.13,0.51,197405.95,3.23
863917.18,14.13,0.51,197294.87,3.23
863780.98,14.13,0.51,197164.45,3.23
863832.91,14.14,0.52,197282.97,3.23
863535.38,14.13,0.51,197137.92,3.23
863535.38,14.13,0.51,197137.92,3.23
863803.51,14.14,0.52,197281.68,3.23
863607.12,14.14,0.52,197273.56,3.23
863607.12,14.14,0.52,197506.66,3.23
863659.05,14.14,0.52,197629.63,3.24
863980.7,14.14,0.52,198057.97,3.24
863844.49,14.14,0.52,198057.97,3.24
863564.88,14.14,0.52,197692.22,3.24
863620.68,14.14,0.52,197334.04,3.23
863629.27,14.15,0.53,197136.29,3.23
863897.4,14.15,0.53,197098.05,3.23
863701.01,14.15,0.53,197005.87,3.23
863564.8,14.15,0.53,196986.53,3.23
863564.8,14.15,0.53,197092.51,3.23
863832.93,14.15,0.53,197718.86,3.24
863819.86,14.15,0.53,197576.47,3.24
863683.65,14.15,0.53,197465.39,3.24
863105.43,14.15,0.53,196808.69,3.23
863157.36,14.15,0.53,196931.66,3.23
863329.17,14.15,0.53,197079.94,3.23
863192.96,14.15,0.53,196943.41,3.23
863056.76,14.15,0.53,196943.41,3.23
863112.56,14.16,0.54,196585.24,3.22
863401.97,14.16,0.54,196657.34,3.23
863213.95,14.16,0.54,196557.93,3.22
863269.76,14.16,0.54,196199.76,3.22
863278.35,14.17,0.55,196002.0,3.22
863334.15,14.17,0.55,195643.83,3.21
863072.89,14.17,0.54,195491.54,3.21
862936.69,14.17,0.54,195472.21,3.21
862679.59,14.16,0.54,195235.14,3.2
862688.19,14.16,0.54,195037.38,3.2
862916.25,14.17,0.55,195021.41,3.2
862968.19,14.17,0.55,195299.97,3.21
863140.0,14.18,0.56,195380.54,3.21
863191.93,14.18,0.56,195571.23,3.21
866492.85,14.23,0.61,199622.7,3.28
866544.78,14.24,0.61,199745.68,3.28
866434.78,14.23,0.61,199635.68,3.28
866156.76,14.23,0.61,199447.47,3.28
866411.82,14.24,0.61,199663.37,3.28
866411.82,14.24,0.61,199663.37,3.28
866463.75,14.24,0.62,199786.34,3.28
866515.68,14.24,0.62,199857.47,3.28
866567.61,14.24,0.62,199980.44,3.29
866619.55,14.25,0.63,200051.57,3.29
866791.36,14.25,0.63,200132.14,3.29
866619.09,14.25,0.63,200060.55,3.29
866324.82,14.24,0.62,199919.81,3.29
866376.75,14.25,0.63,200110.5,3.29
866428.68,14.25,0.63,200233.48,3.29
866292.48,14.25,0.63,200122.39,3.29
866292.48,14.25,0.63,200122.39,3.29
866073.48,14.25,0.63,199886.96,3.29
866073.48,14.25,0.63,199886.96,3.29
865885.47,14.24,0.62,199787.55,3.29
866207.11,14.25,0.63,199974.22,3.29
866259.04,14.25,0.63,200097.2,3.29
866310.97,14.26,0.64,200168.32,3.29
866138.77,14.25,0.63,200194.57,3.29
866366.84,14.26,0.64,200178.6,3.29
866633.18,14.27,0.65,199935.11,3.29
866685.12,14.27,0.65,200213.67,3.3
866390.84,14.26,0.64,200072.94,3.29
866442.78,14.27,0.65,200195.92,3.3
866284.64,14.27,0.64,200042.45,3.29
866336.57,14.27,0.65,200113.57,3.3
866388.5,14.27,0.65,200236.55,3.3
866560.31,14.28,0.65,200384.83,3.3
866781.64,14.28,0.66,200416.6,3.3
866494.11,14.28,0.66,200254.41,3.3
866715.43,14.28,0.66,200682.98,3.31
866715.43,14.28,0.66,200682.98,3.31
866767.36,14.28,0.66,200805.96,3.31
866155.21,14.28,0.66,200193.81,3.3
865857.69,14.27,0.65,199895.24,3.29
865909.62,14.28,0.65,199966.36,3.3
865400.92,14.27,0.65,199457.67,3.29
865628.99,14.27,0.65,199441.7,3.29
865680.92,14.28,0.66,199720.26,3.29
865386.65,14.27,0.65,199579.53,3.29
865607.97,14.28,0.66,199611.3,3.29
865779.78,14.28,0.66,199922.88,3.3
865831.71,14.28,0.66,200045.85,3.3
865695.51,14.28,0.66,199915.44,3.3
865747.44,14.29,0.67,199986.56,3.3
865747.44,14.29,0.67,199986.56,3.3
865611.24,14.29,0.67,199986.56,3.3
865611.24,14.29,0.67,199986.56,3.3
865611.24,14.29,0.67,199986.56,3.3
866293.42,14.3,0.68,200057.49,3.3
866349.22,14.3,0.68,199699.32,3.3
866357.82,14.31,0.68,199501.56,3.29
865779.59,14.3,0.68,198821.92,3.28
865831.52,14.3,0.68,198944.89,3.29
866097.87,14.31,0.69,198701.39,3.28
866149.8,14.31,0.69,198772.52,3.28
866201.74,14.31,0.69,198895.49,3.29
866065.53,14.31,0.69,198765.08,3.28
866117.46,14.32,0.7,198836.2,3.29
865839.45,14.31,0.69,198647.99,3.28
865891.38,14.32,0.69,198770.97,3.29
865891.38,14.32,0.69,198770.97,3.29
865943.31,14.32,0.7,198842.09,3.29
865665.29,14.31,0.69,198759.09,3.29
865087.07,14.31,0.69,198079.44,3.28
865142.87,14.31,0.69,197721.27,3.27
864845.34,14.31,0.69,197420.51,3.27
865017.66,14.31,0.69,197395.55,3.27
864812.02,14.31,0.69,197159.81,3.26
864863.95,14.31,0.69,197282.78,3.26
864863.95,14.31,0.69,197287.17,3.26
864863.95,14.31,0.69,197287.17,3.26
864727.74,14.31,0.69,197287.17,3.26
865025.6,14.32,0.7,197677.25,3.27
865077.54,14.32,0.7,197546.83,3.27
865077.54,14.32,0.7,197542.18,3.27
864723.47,14.31,0.69,197129.29,3.26
864991.6,14.32,0.7,197737.03,3.27
864795.21,14.32,0.7,197499.79,3.27
864847.14,14.32,0.7,197622.76,3.27
864899.07,14.32,0.7,197693.89,3.27
