ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6db4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6db4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6db4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6db4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6db4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
858395.46,13.82,0.2,195024.54,3.14
858137.96,13.82,0.2,194570.44,3.13
858001.76,13.82,0.2,194391.26,3.13
857744.26,13.81,0.19,194157.63,3.13
857898.01,13.82,0.2,194450.04,3.13
858119.33,13.82,0.2,194587.15,3.13
857969.74,13.82,0.2,194474.63,3.13
858236.09,13.83,0.21,194208.19,3.13
858099.89,13.83,0.21,194077.77,3.13
857711.66,13.82,0.2,193611.07,3.12
857966.72,13.83,0.21,194004.75,3.13
857709.22,13.82,0.2,193550.65,3.12
857451.72,13.82,0.2,193096.55,3.11
857403.59,13.82,0.2,193048.41,3.11
857146.09,13.82,0.2,192594.31,3.1
856970.86,13.82,0.2,192386.69,3.1
856713.36,13.81,0.19,192153.06,3.1
856934.68,13.82,0.2,192184.84,3.1
856934.68,13.82,0.2,192184.57,3.1
856986.61,13.82,0.2,192410.01,3.1
856729.12,13.82,0.2,191955.91,3.1
856471.62,13.82,0.2,191501.81,3.09
856025.98,13.81,0.19,190859.57,3.08
855889.78,13.81,0.19,190840.23,3.08
855731.64,13.81,0.19,190843.36,3.08
855903.45,13.81,0.19,191035.85,3.08
855605.93,13.81,0.19,190735.09,3.08
855327.91,13.81,0.19,190461.52,3.07
854882.28,13.8,0.18,189819.29,3.06
855114.58,13.81,0.19,189854.98,3.07
854857.08,13.8,0.18,189400.88,3.06
854599.58,13.8,0.18,189167.25,3.05
856194.32,13.83,0.21,189073.55,3.05
856366.13,13.83,0.21,189150.13,3.05
856229.93,13.83,0.21,189245.22,3.06
855951.91,13.83,0.21,188967.01,3.05
856252.18,13.83,0.21,188656.02,3.05
855830.03,13.83,0.21,188233.87,3.04
855830.03,13.83,0.21,188233.87,3.04
856001.84,13.83,0.21,188314.44,3.04
856053.77,13.84,0.22,188505.13,3.05
855608.14,13.83,0.21,187862.89,3.04
855779.95,13.84,0.21,187943.46,3.04
856001.27,13.84,0.22,188206.24,3.04
855893.13,13.84,0.22,188185.22,3.04
855595.61,13.83,0.21,188072.96,3.04
855149.97,13.83,0.21,187430.72,3.03
854892.48,13.83,0.21,186976.62,3.02
854894.17,13.83,0.21,186781.71,3.02
855065.98,13.83,0.21,186862.28,3.02
854909.96,13.83,0.21,186736.22,3.02
855131.28,13.84,0.21,186999.0,3.03
854995.07,13.84,0.21,186979.66,3.03
855034.28,13.84,0.22,192798.79,3.12
859665.27,13.91,0.29,192739.5,3.12
859665.27,13.91,0.29,192739.5,3.12
859837.08,13.92,0.29,192931.98,3.12
859700.87,13.92,0.29,192801.57,3.12
859564.67,13.92,0.29,192801.57,3.12
859307.17,13.91,0.29,192347.47,3.11
859307.17,13.91,0.29,192347.47,3.11
859307.17,13.91,0.29,192347.47,3.11
859170.96,13.91,0.29,192217.05,3.11
859170.96,13.91,0.29,192217.05,3.11
859222.9,13.92,0.3,192401.41,3.12
858965.4,13.91,0.29,191947.31,3.11
858667.87,13.91,0.29,191835.04,3.11
858410.38,13.91,0.29,191380.94,3.1
858494.74,13.91,0.29,191268.7,3.1
858237.25,13.91,0.29,190814.6,3.09
858101.04,13.91,0.29,190784.75,3.09
857964.84,13.91,0.29,190684.18,3.09
858020.64,13.91,0.29,190326.01,3.09
858310.05,13.92,0.3,190398.11,3.09
858531.37,13.92,0.3,190429.89,3.09
858253.35,13.92,0.3,190159.23,3.08
858117.15,13.92,0.3,190360.3,3.09
858372.2,13.92,0.3,190425.66,3.09
858236.0,13.92,0.3,190623.55,3.09
857924.74,13.92,0.3,190309.88,3.09
857637.21,13.91,0.29,190016.62,3.08
857501.0,13.91,0.29,189886.2,3.08
857501.0,13.91,0.29,189886.2,3.08
857552.94,13.92,0.3,190070.56,3.08
857552.94,13.92,0.3,190070.3,3.08
857724.75,13.92,0.3,190150.87,3.09
857776.68,13.92,0.3,190341.56,3.09
857640.47,13.92,0.3,190211.14,3.09
857692.41,13.93,0.31,190395.5,3.09
857913.73,13.93,0.31,190427.27,3.09
857616.2,13.93,0.31,190265.08,3.09
857668.13,13.93,0.31,190507.66,3.09
857889.68,13.94,0.32,189967.01,3.09
857546.25,13.93,0.31,189774.52,3.08
857546.25,13.93,0.31,189774.52,3.08
858083.82,13.94,0.32,189923.75,3.09
856994.17,13.94,0.32,189923.48,3.09
857033.38,13.94,0.32,195742.61,3.18
857647.04,13.95,0.33,195856.41,3.19
857454.69,13.95,0.33,195421.11,3.18
857266.68,13.95,0.33,195239.61,3.18
860528.38,14.0,0.38,197013.66,3.21
860142.84,14.0,0.38,196516.73,3.2
860142.84,14.0,0.38,196521.12,3.2
860006.64,14.0,0.38,196491.27,3.2
860058.57,14.0,0.38,196552.96,3.2
860279.89,14.01,0.39,196584.74,3.2
860143.69,14.01,0.39,196707.88,3.2
860315.5,14.01,0.39,196788.46,3.2
860367.43,14.01,0.39,196979.14,3.21
860089.41,14.01,0.39,196707.64,3.2
859953.21,14.01,0.39,196577.22,3.2
860005.14,14.01,0.39,196761.58,3.21
859727.12,14.01,0.39,196488.01,3.2
859439.6,14.01,0.38,196272.67,3.2
859132.51,14.0,0.38,195985.61,3.19
859907.34,14.02,0.39,196308.03,3.2
859540.63,14.01,0.39,195782.47,3.19
859712.44,14.02,0.39,195863.04,3.19
859576.23,14.02,0.39,195955.72,3.2
859388.22,14.01,0.39,195856.31,3.19
859252.01,14.01,0.39,195836.97,3.19
859473.33,14.02,0.4,196011.23,3.2
859337.13,14.02,0.4,195991.89,3.2
859200.92,14.02,0.4,195880.81,3.2
859200.92,14.02,0.4,195880.81,3.2
859012.9,14.02,0.39,195781.4,3.19
859064.84,14.02,0.4,195650.99,3.19
859116.77,14.02,0.4,196021.55,3.2
859168.7,14.02,0.4,196144.52,3.2
859032.5,14.02,0.4,196075.49,3.2
858754.48,14.02,0.4,195801.82,3.2
858456.95,14.02,0.4,195576.48,3.19
858628.76,14.02,0.4,195657.05,3.19
858861.51,14.02,0.4,196114.92,3.2
858582.56,14.02,0.4,195801.05,3.2
858634.49,14.02,0.4,195924.02,3.2
858862.56,14.03,0.41,196063.64,3.2
858862.56,14.03,0.41,196058.99,3.2
858862.56,14.03,0.41,197741.06,3.23
859162.83,14.04,0.42,197430.07,3.23
858740.68,14.03,0.41,197007.92,3.22
858849.41,14.04,0.41,196708.46,3.21
859069.69,14.04,0.42,196763.48,3.22
858791.67,14.04,0.42,196528.49,3.21
858791.67,14.04,0.42,195851.94,3.2
858623.33,14.03,0.41,195984.29,3.2
858487.12,14.03,0.41,195828.76,3.2
858542.92,14.04,0.42,195470.59,3.2
858582.13,14.04,0.42,194917.82,3.19
858287.86,14.03,0.41,194777.09,3.18
858110.18,14.03,0.41,194402.13,3.18
858162.11,14.04,0.42,194525.1,3.18
858214.04,14.04,0.42,194596.23,3.18
861475.75,14.09,0.47,201724.19,3.3
861475.75,14.09,0.47,201723.93,3.3
861475.75,14.09,0.47,201723.93,3.3
861339.54,14.09,0.47,201593.52,3.3
861203.34,14.09,0.47,201593.52,3.3
861259.14,14.09,0.47,201235.34,3.29
861611.46,14.1,0.48,201390.38,3.3
861611.46,14.1,0.48,201634.62,3.3
861354.37,14.1,0.48,201397.56,3.3
861575.69,14.1,0.48,201429.33,3.3
861575.69,14.1,0.48,201770.45,3.3
861627.62,14.11,0.49,201995.89,3.31
861555.74,14.1,0.48,202008.07,3.31
861419.53,14.1,0.48,201984.2,3.31
861639.81,14.11,0.49,202227.58,3.31
861691.74,14.11,0.49,202350.55,3.31
861743.68,14.12,0.49,202421.68,3.32
861477.19,14.11,0.49,202155.63,3.31
862252.02,14.13,0.51,202478.06,3.32
862115.82,14.13,0.51,202458.72,3.32
862155.03,14.13,0.51,202310.07,3.31
862278.32,14.13,0.51,202274.51,3.31
862062.68,14.13,0.51,202126.98,3.31
861926.47,14.13,0.51,202015.9,3.31
861790.26,14.13,0.51,201970.2,3.31
861842.2,14.13,0.51,202047.74,3.31
862014.01,14.13,0.51,202128.31,3.31
861877.8,14.13,0.51,202220.89,3.32
861741.6,14.13,0.51,202084.35,3.31
861793.53,14.14,0.52,202270.04,3.32
862331.09,14.15,0.53,202419.27,3.32
862143.07,14.14,0.52,202235.7,3.32
861950.72,14.14,0.52,201800.4,3.31
862006.53,14.15,0.52,201442.23,3.31
862015.12,14.15,0.53,201244.47,3.3
861758.03,14.14,0.52,201007.4,3.3
862024.38,14.15,0.53,200763.91,3.3
862126.15,14.15,0.53,200764.26,3.3
862178.08,14.16,0.53,200887.24,3.3
862406.15,14.16,0.54,201026.86,3.3
862458.08,14.16,0.54,201149.83,3.3
862629.89,14.17,0.55,201298.12,3.31
862681.82,14.17,0.55,201421.09,3.31
862681.82,14.17,0.55,201421.09,3.31
862733.76,14.17,0.55,201492.21,3.31
862623.76,14.17,0.55,201382.21,3.31
862345.74,14.17,0.55,201194.01,3.31
862600.8,14.17,0.55,201259.37,3.31
862600.8,14.17,0.55,201259.37,3.31
862652.73,14.18,0.56,201532.88,3.31
862704.66,14.18,0.56,201655.86,3.31
862756.59,14.18,0.56,201726.98,3.32
862808.52,14.18,0.56,201849.95,3.32
862980.34,14.19,0.57,201998.24,3.32
862802.32,14.19,0.57,201908.63,3.32
862508.05,14.18,0.56,201767.9,3.32
862559.98,14.18,0.56,201890.87,3.32
862611.91,14.19,0.57,201962.0,3.32
862475.71,14.19,0.57,201831.58,3.32
862475.71,14.19,0.57,201831.58,3.32
862300.47,14.19,0.56,201759.69,3.32
864645.89,14.22,0.6,208673.78,3.43
864967.53,14.23,0.61,209182.88,3.44
864873.95,14.23,0.61,208964.5,3.44
864925.89,14.23,0.61,209087.47,3.44
864977.82,14.23,0.61,209158.6,3.44
864683.55,14.23,0.61,208937.88,3.44
864911.61,14.24,0.61,208921.91,3.44
864775.41,14.24,0.61,209179.56,3.44
864831.21,14.24,0.62,208821.39,3.44
864536.94,14.23,0.61,208519.29,3.43
864545.53,14.24,0.62,208321.53,3.43
864387.39,14.23,0.61,208167.17,3.43
864439.33,14.24,0.62,208290.14,3.43
864491.26,14.24,0.62,208361.27,3.43
864663.07,14.24,0.62,208441.84,3.43
864884.39,14.25,0.63,208704.62,3.44
864596.86,14.25,0.62,208601.93,3.44
864818.18,14.25,0.63,208633.71,3.44
864818.18,14.25,0.63,208633.71,3.44
864870.12,14.25,0.63,208859.14,3.44
864733.91,14.25,0.63,208813.45,3.44
864436.38,14.25,0.63,208668.4,3.44
864488.32,14.25,0.63,208745.93,3.44
864708.59,14.26,0.64,208800.95,3.44
864936.66,14.26,0.64,209332.71,3.45
864988.59,14.26,0.64,209455.68,3.45
864694.32,14.26,0.64,209128.64,3.45
864915.64,14.27,0.64,209262.87,3.45
865087.45,14.27,0.65,209343.44,3.45
865139.38,14.27,0.65,209534.13,3.46
865003.18,14.27,0.65,209403.71,3.46
865055.11,14.28,0.65,209588.07,3.46
869533.38,14.35,0.73,210235.09,3.47
870215.57,14.36,0.74,210306.02,3.47
870215.57,14.36,0.74,210306.02,3.47
870215.57,14.36,0.74,210306.02,3.47
870897.75,14.38,0.76,210376.94,3.47
870949.69,14.38,0.76,210499.92,3.48
871001.62,14.38,0.76,210571.04,3.48
870869.28,14.38,0.76,209928.96,3.47
870877.88,14.38,0.76,209831.51,3.47
870741.67,14.38,0.76,209812.17,3.47
870793.6,14.39,0.77,209863.35,3.47
870845.53,14.39,0.77,209986.32,3.47
870709.33,14.39,0.77,209901.23,3.47
870761.26,14.39,0.77,210024.21,3.47
870483.25,14.39,0.77,209753.13,3.47
870535.18,14.39,0.77,209824.25,3.47
870535.18,14.39,0.77,209824.25,3.47
870590.98,14.39,0.77,209466.08,3.46
870312.96,14.39,0.77,209277.87,3.46
870133.42,14.39,0.77,208896.51,3.45
870185.35,14.39,0.77,209019.49,3.46
869887.83,14.39,0.77,208874.43,3.46
870059.64,14.39,0.77,209022.72,3.46
869843.61,14.39,0.77,208787.58,3.45
869895.54,14.39,0.77,208910.56,3.46
869895.54,14.39,0.77,208914.95,3.46
869895.54,14.39,0.77,208914.95,3.46
869759.34,14.39,0.77,208823.81,3.46
869531.32,14.39,0.77,208685.2,3.45
869583.25,14.39,0.77,208554.78,3.45
869583.25,14.39,0.77,208550.13,3.45
869755.06,14.4,0.78,209033.89,3.46
869477.05,14.39,0.77,208738.01,3.46
869698.37,14.4,0.78,208769.79,3.46
869750.3,14.4,0.78,208995.22,3.46
869802.23,14.4,0.78,209118.2,3.46
