ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpushare60-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_806c-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
1,2,0,6212,0
2,3,810,6212,810
3,5,1810,6212,1810
3,5,2620,6212,2620
4,6,2620,6212,2620
5,8,3090,6212,3090
6,9,3410,6212,3410
7,11,4410,6212,4410
8,13,5410,6212,5410
8,13,6220,6212,6220
9,14,6770,6212,6770
9,14,7580,6212,7580
10,15,8390,6212,8390
10,15,8440,6212,8440
11,16,9250,6212,9250
12,17,9480,6212,9480
13,18,10290,6212,10290
14,20,10760,6212,10760
15,22,10760,6212,10760
16,23,11570,6212,11570
17,24,12380,6212,12380
18,25,13190,6212,13190
19,26,14190,6212,14190
20,28,15190,6212,15190
21,29,15350,6212,15350
22,31,16000,6212,16000
23,32,16470,6212,16470
23,32,16790,6212,16790
24,33,17790,6212,17790
25,34,18020,6212,18020
25,34,18830,6212,18830
26,35,19640,6212,19640
27,36,19640,6212,19640
28,38,20290,6212,20290
29,42,21290,6212,21290
30,43,21610,6212,21610
31,45,22610,6212,22610
31,45,23420,6212,23420
32,47,23420,6212,23420
33,49,24070,6212,24070
33,49,24880,6212,24880
34,50,25880,6212,25880
35,52,26530,6212,26530
36,54,27000,6212,27000
37,55,27110,6212,27110
38,56,27580,6212,27580
38,56,28580,6212,28580
38,56,29390,6212,29390
38,56,29940,6212,29940
39,58,30590,6212,30590
40,60,30750,6212,30750
41,62,31220,6212,31220
42,64,32220,6212,32220
42,64,32220,6212,32220
43,66,32220,6212,32220
44,68,32220,6212,32220
45,70,32870,6212,32870
46,74,33870,6212,33870
47,76,34870,6212,34870
47,76,35680,6212,35680
48,78,35680,6212,35680
49,82,35680,6212,35680
50,84,36680,6212,36680
51,86,36680,6212,36680
51,86,37490,6212,37490
51,86,38300,6212,38300
52,88,38770,6212,38770
52,88,39580,6212,39580
53,90,40050,6212,40050
53,90,40860,6212,40860
54,92,41860,6212,41860
54,92,42860,6212,42860
54,92,43670,6212,43670
54,92,44140,6212,44140
55,94,44610,6212,44610
56,96,44930,6212,44930
56,96,45930,6212,45930
56,96,46480,6212,46480
56,96,47480,6212,47480
57,98,47850,6212,47850
57,98,48310,6212,48310
58,100,49310,6212,49310
59,104,49310,6212,49310
