ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6ee0-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
851773.23,13.71,0.12,197014.82,3.17
851958.89,13.72,0.13,197014.4,3.17
852204.35,13.72,0.13,197013.98,3.17
852384.06,13.72,0.13,197013.95,3.17
852384.06,13.72,0.13,197013.53,3.17
852580.62,13.73,0.14,196949.29,3.17
852631.07,13.73,0.14,197075.7,3.17
852681.52,13.73,0.14,197075.65,3.17
852734.72,13.73,0.14,197076.12,3.17
852908.47,13.74,0.15,197075.7,3.17
853088.18,13.74,0.15,197424.09,3.18
853267.88,13.75,0.16,197423.67,3.18
853447.59,13.75,0.16,197415.62,3.18
853627.29,13.75,0.16,197424.32,3.18
853807.0,13.76,0.17,197423.9,3.18
853977.66,13.76,0.17,196836.49,3.17
854157.37,13.77,0.17,196836.46,3.17
854362.76,13.77,0.18,196337.18,3.16
854362.76,13.77,0.18,196336.75,3.16
854548.42,13.77,0.18,196336.33,3.16
854744.98,13.78,0.19,196272.09,3.16
854941.55,13.78,0.19,196204.06,3.16
855121.25,13.79,0.2,196204.03,3.16
854985.35,13.79,0.2,196203.6,3.16
855035.8,13.79,0.2,196203.56,3.16
855083.16,13.79,0.2,195861.85,3.16
855133.61,13.79,0.2,195861.8,3.16
855184.06,13.8,0.21,195988.22,3.16
855363.76,13.8,0.21,195980.16,3.16
855537.51,13.8,0.21,195979.74,3.16
855717.22,13.81,0.22,195979.74,3.16
855767.67,13.81,0.22,195979.69,3.16
855767.67,13.81,0.22,195979.27,3.16
855818.11,13.81,0.22,195979.22,3.16
855682.21,13.81,0.22,196031.97,3.16
855867.87,13.82,0.23,196080.9,3.17
855918.32,13.82,0.23,196080.85,3.17
856123.71,13.82,0.23,196080.43,3.17
856123.71,13.82,0.23,195956.96,3.16
856174.16,13.83,0.24,195956.54,3.16
856333.83,13.83,0.24,196050.76,3.17
856384.28,13.83,0.24,196177.18,3.17
856434.73,13.84,0.25,196177.13,3.17
856882.02,13.84,0.25,196268.2,3.17
857061.73,13.85,0.26,196260.15,3.17
857112.18,13.85,0.26,196260.1,3.17
857162.62,13.85,0.26,196260.05,3.17
857401.31,13.86,0.27,196320.82,3.17
857641.88,13.86,0.27,196265.09,3.17
857821.59,13.87,0.28,196265.06,3.17
857872.04,13.87,0.28,196265.01,3.17
858051.74,13.87,0.28,196264.98,3.17
857915.83,13.87,0.28,196265.18,3.17
857915.83,13.87,0.28,196272.29,3.17
857915.83,13.87,0.28,196271.87,3.17
857915.83,13.87,0.28,196271.45,3.17
858101.49,13.88,0.29,196271.03,3.17
857965.59,13.88,0.29,196271.03,3.17
858145.29,13.88,0.29,196271.0,3.18
858325.0,13.89,0.3,196270.58,3.18
858325.0,13.89,0.3,196767.88,3.18
858325.0,13.89,0.3,196615.24,3.18
858189.09,13.89,0.3,196468.74,3.18
