ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d18b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
852543.37,13.72,0.13,197792.18,3.18
852716.53,13.73,0.14,197722.16,3.18
853439.64,13.74,0.15,197807.69,3.18
854182.01,13.75,0.16,198118.69,3.19
854182.01,13.75,0.16,197895.39,3.19
854362.9,13.76,0.17,197879.9,3.19
854186.68,13.76,0.16,197727.49,3.18
854010.46,13.75,0.16,197575.09,3.18
854063.66,13.76,0.16,197591.38,3.18
854234.33,13.76,0.17,197003.98,3.17
854826.92,13.77,0.18,197726.9,3.19
854993.34,13.77,0.18,197650.15,3.18
855159.76,13.78,0.19,197573.4,3.18
855902.14,13.79,0.2,197884.39,3.19
856068.56,13.79,0.2,197807.65,3.19
856089.44,13.8,0.2,197632.16,3.18
856831.81,13.81,0.22,197943.16,3.19
856742.7,13.81,0.22,197657.67,3.19
857509.75,13.82,0.23,198350.93,3.2
858313.28,13.83,0.24,198701.11,3.2
858509.85,13.84,0.25,198636.87,3.2
858703.32,13.84,0.25,198464.82,3.2
859433.1,13.86,0.26,198932.38,3.21
859069.53,13.85,0.26,198325.63,3.2
858893.31,13.85,0.26,197906.24,3.19
858717.09,13.85,0.26,197486.85,3.19
858540.87,13.85,0.26,197067.46,3.18
858364.65,13.85,0.26,196648.07,3.17
859107.02,13.86,0.27,196959.07,3.18
859127.91,13.86,0.27,196783.58,3.18
859930.75,13.88,0.29,197133.07,3.18
859754.53,13.88,0.28,196713.68,3.17
861220.68,13.9,0.31,199255.33,3.22
861044.46,13.9,0.31,198835.94,3.21
861244.98,13.9,0.31,198599.61,3.21
861297.72,13.91,0.31,198461.45,3.2
861121.5,13.9,0.31,198042.06,3.2
861112.84,13.91,0.31,197790.22,3.19
864569.21,13.96,0.37,201044.74,3.25
864395.63,13.96,0.37,200627.99,3.24
864983.14,13.97,0.38,200753.22,3.24
864648.88,13.97,0.38,200253.5,3.23
864472.67,13.97,0.38,199834.11,3.23
864639.09,13.97,0.38,199757.36,3.23
865381.46,13.98,0.39,200068.36,3.23
865205.24,13.98,0.39,199648.97,3.23
865029.02,13.98,0.39,199229.58,3.22
865112.72,13.98,0.39,199070.11,3.22
865383.61,13.99,0.4,199144.62,3.22
866125.98,14.0,0.41,199455.62,3.22
865949.76,14.0,0.41,199303.21,3.22
866692.13,14.01,0.42,199614.21,3.23
866556.22,14.01,0.42,199902.77,3.23
870012.59,14.07,0.48,203157.29,3.29
871725.85,14.1,0.51,204242.8,3.3
872827.52,14.12,0.52,205063.02,3.32
872996.36,14.12,0.53,205151.38,3.32
872860.45,14.12,0.53,205255.73,3.32
873602.82,14.13,0.54,205566.73,3.33
874050.11,14.14,0.55,205657.8,3.33
875151.78,14.16,0.57,206478.03,3.34
875199.14,14.16,0.57,207101.14,3.35
875440.84,14.17,0.57,206715.09,3.34
878825.66,14.22,0.63,209322.3,3.39
878487.21,14.22,0.63,208983.86,3.38
878537.66,14.22,0.63,209106.08,3.38
879280.03,14.23,0.64,209417.08,3.39
879330.48,14.23,0.64,209490.93,3.39
879660.4,14.24,0.65,209548.9,3.39
879710.85,14.24,0.65,209671.12,3.39
879761.3,14.25,0.66,209744.97,3.4
879625.39,14.25,0.66,209803.87,3.4
880367.76,14.26,0.67,210114.87,3.4
880418.21,14.26,0.67,210082.37,3.4
880468.66,14.27,0.67,210204.59,3.41
880519.11,14.27,0.68,210278.44,3.41
880316.64,14.27,0.68,210037.63,3.4
880154.85,14.26,0.67,209844.97,3.4
880435.16,14.27,0.68,209648.69,3.4
881177.53,14.28,0.69,209959.69,3.4
880800.48,14.28,0.69,209431.48,3.4
881247.77,14.29,0.7,209522.56,3.4
881295.13,14.29,0.7,210145.67,3.41
881621.1,14.3,0.7,210200.11,3.41
885005.91,14.35,0.76,212807.32,3.45
885056.36,14.35,0.76,212929.54,3.45
885236.07,14.36,0.77,212985.59,3.45
885943.27,14.37,0.78,213069.16,3.46
885833.63,14.37,0.78,213126.6,3.46
885524.52,14.37,0.78,212621.12,3.45
885795.41,14.37,0.78,212695.63,3.45
885845.85,14.37,0.78,212817.85,3.45
886031.51,14.38,0.79,212878.5,3.45
886311.82,14.39,0.79,212531.06,3.45
889768.19,14.44,0.85,215785.58,3.5
890355.71,14.45,0.86,215910.81,3.5
891098.08,14.47,0.87,216221.81,3.51
894554.45,14.52,0.93,219476.32,3.56
895296.82,14.53,0.94,219787.32,3.57
895884.34,14.55,0.95,219912.55,3.57
895632.77,14.54,0.95,219828.87,3.57
896734.44,14.56,0.97,220649.1,3.58
897476.81,14.57,0.98,220960.1,3.59
900933.19,14.63,1.04,224214.61,3.64
900777.02,14.63,1.04,224085.63,3.64
901519.39,14.64,1.05,224396.63,3.64
901966.68,14.65,1.06,224487.7,3.65
902208.38,14.66,1.06,224152.55,3.64
902448.42,14.66,1.07,224121.06,3.64
902071.37,14.66,1.07,223744.0,3.64
902172.92,14.66,1.07,223794.67,3.64
902414.62,14.67,1.07,223459.52,3.63
902941.29,14.67,1.08,223465.26,3.63
902607.03,14.67,1.08,222965.54,3.62
902272.77,14.67,1.08,222465.83,3.62
901934.33,14.66,1.07,222076.5,3.61
901735.91,14.66,1.07,221531.78,3.6
901646.79,14.66,1.07,221246.3,3.6
902389.16,14.68,1.09,221557.3,3.6
902570.05,14.68,1.09,221541.81,3.6
903157.57,14.69,1.1,221667.04,3.61
902769.15,14.69,1.1,220932.33,3.59
902612.79,14.68,1.09,220795.07,3.59
903326.05,14.7,1.11,220880.58,3.59
903506.93,14.7,1.11,220865.1,3.59
903506.93,14.7,1.11,220641.8,3.59
903903.52,14.71,1.12,220931.57,3.6
904361.21,14.72,1.13,220726.22,3.59
904026.95,14.71,1.12,220226.5,3.58
903978.6,14.72,1.12,220381.68,3.59
903899.8,14.72,1.12,220133.62,3.58
904138.49,14.72,1.13,220188.25,3.58
903829.37,14.72,1.13,219682.76,3.58
904416.89,14.73,1.14,219807.99,3.58
904596.59,14.73,1.14,220051.12,3.58
904434.47,14.73,1.14,220119.5,3.59
904100.21,14.73,1.14,219619.78,3.58
904063.44,14.73,1.14,219513.66,3.58
905776.69,14.75,1.16,220599.17,3.59
906543.74,14.77,1.18,221292.43,3.6
906234.63,14.76,1.17,220786.95,3.6
906415.51,14.77,1.18,220771.46,3.6
907157.89,14.78,1.19,221082.46,3.6
906959.47,14.78,1.19,220537.75,3.59
906803.11,14.78,1.19,220386.3,3.59
908269.26,14.8,1.21,222927.95,3.63
909011.63,14.81,1.22,223238.95,3.64
908905.28,14.81,1.22,223118.37,3.64
909492.79,14.82,1.23,223243.6,3.64
909492.79,14.82,1.23,223020.3,3.64
909158.53,14.82,1.23,222520.58,3.63
909871.79,14.84,1.24,222606.1,3.63
909562.68,14.83,1.24,222100.61,3.62
909406.32,14.83,1.24,221951.57,3.62
910173.37,14.84,1.25,222644.83,3.63
910173.37,14.84,1.25,222644.83,3.63
911886.63,14.87,1.28,223730.34,3.65
911387.51,14.86,1.27,223034.86,3.64
911078.4,14.86,1.27,222529.37,3.63
911259.28,14.87,1.27,222513.88,3.63
911309.73,14.87,1.28,222636.1,3.63
911309.73,14.87,1.28,222636.1,3.63
911897.25,14.88,1.29,222761.33,3.63
911740.89,14.88,1.29,222643.2,3.63
911788.25,14.88,1.29,223266.32,3.64
911453.99,14.87,1.28,222766.6,3.64
912196.37,14.89,1.3,223077.6,3.64
912783.88,14.9,1.31,223202.83,3.64
913526.25,14.91,1.32,223513.83,3.65
914268.62,14.93,1.33,223824.82,3.65
914449.51,14.93,1.34,223809.34,3.65
915748.25,14.95,1.36,225881.01,3.69
916335.76,14.96,1.37,226006.23,3.69
916199.85,14.96,1.37,225915.43,3.69
916199.85,14.96,1.37,225899.0,3.69
915865.59,14.96,1.37,225399.29,3.68
915709.24,14.96,1.37,225262.04,3.68
916627.38,14.97,1.38,227042.52,3.71
917216.61,14.98,1.39,226939.51,3.71
917007.77,14.98,1.39,226804.62,3.71
917750.14,15.0,1.4,227115.62,3.71
918463.4,15.01,1.42,227201.13,3.71
918705.09,15.02,1.43,226865.97,3.71
919582.28,15.03,1.44,226700.16,3.71
