ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f153-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
851773.23,13.71,0.12,197326.28,3.18
851946.39,13.72,0.12,197256.26,3.18
852247.56,13.72,0.13,197649.02,3.18
852427.27,13.72,0.13,197730.58,3.18
852427.27,13.72,0.13,197583.98,3.18
852317.63,13.72,0.13,197480.66,3.18
852141.41,13.72,0.13,197328.25,3.18
851965.19,13.72,0.13,196908.86,3.17
851857.83,13.72,0.13,196801.5,3.17
851493.08,13.72,0.12,196368.98,3.16
851672.78,13.72,0.13,196450.54,3.16
851417.17,13.72,0.13,196229.79,3.16
851583.59,13.72,0.13,196153.04,3.16
851763.3,13.72,0.13,196153.04,3.16
851507.68,13.72,0.13,196403.31,3.16
851681.44,13.72,0.13,196425.24,3.17
851421.78,13.72,0.13,196263.04,3.16
851413.11,13.72,0.13,196011.2,3.16
851413.11,13.72,0.13,196011.2,3.16
851586.27,13.73,0.14,195941.18,3.16
851321.36,13.72,0.13,195676.27,3.15
851537.31,13.73,0.14,195670.97,3.15
851717.01,13.73,0.14,195662.1,3.15
851581.11,13.73,0.14,195849.13,3.16
851404.89,13.73,0.14,195429.74,3.15
851228.67,13.73,0.14,195010.35,3.15
851052.45,13.73,0.14,194590.96,3.14
850876.23,13.73,0.14,194171.57,3.13
850620.62,13.72,0.13,193906.1,3.13
850710.38,13.73,0.14,193757.7,3.13
850876.81,13.73,0.14,193680.95,3.13
850700.59,13.73,0.14,193261.56,3.12
850700.59,13.73,0.14,193261.56,3.12
850524.37,13.73,0.14,192842.17,3.11
850388.46,13.73,0.14,192894.09,3.11
850574.12,13.73,0.14,192943.03,3.11
850397.9,13.73,0.14,192523.64,3.11
