ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_8e5b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_8e5b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_8e5b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_8e5b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_gpushare80-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_8e5b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
852543.37,13.72,0.13,197792.18,3.18
852716.53,13.73,0.14,197722.16,3.18
853017.71,13.73,0.14,198114.92,3.19
853760.08,13.75,0.16,198425.92,3.19
854396.5,13.76,0.17,199086.15,3.21
854191.74,13.75,0.16,198813.62,3.2
854015.52,13.75,0.16,198394.23,3.19
853839.31,13.75,0.16,197974.84,3.19
853731.95,13.75,0.16,197867.49,3.19
853821.71,13.75,0.16,197719.08,3.18
854564.08,13.77,0.18,198030.08,3.19
854730.5,13.77,0.18,197953.33,3.19
854896.93,13.77,0.18,197876.58,3.19
855639.3,13.79,0.2,198187.58,3.19
855805.72,13.79,0.2,198110.83,3.19
855895.49,13.79,0.2,197962.43,3.19
856637.86,13.81,0.21,198273.43,3.2
856629.19,13.81,0.22,198021.59,3.19
857730.86,13.82,0.23,198841.81,3.2
857904.02,13.83,0.24,198771.8,3.2
857587.28,13.82,0.23,198455.06,3.2
857322.37,13.82,0.23,198190.15,3.19
858064.74,13.83,0.24,198501.15,3.2
857701.17,13.83,0.24,197894.4,3.19
857524.95,13.83,0.24,197475.01,3.18
857348.73,13.83,0.24,197055.62,3.18
857172.51,13.83,0.24,196636.23,3.17
856996.29,13.83,0.23,196216.84,3.17
857738.66,13.84,0.25,196527.84,3.17
857828.43,13.84,0.25,196379.44,3.17
857994.85,13.84,0.25,196302.69,3.17
857818.63,13.84,0.25,195883.3,3.16
858455.05,13.85,0.26,196276.55,3.17
858278.83,13.85,0.26,196124.14,3.17
858479.35,13.86,0.27,195887.81,3.16
858532.09,13.86,0.27,195749.65,3.16
858222.98,13.86,0.27,195244.17,3.15
858133.86,13.86,0.27,194958.68,3.15
858133.86,13.86,0.27,194948.07,3.15
858266.98,13.86,0.27,194443.59,3.14
858854.49,13.87,0.28,194568.82,3.14
858520.23,13.87,0.28,194069.11,3.13
858211.12,13.87,0.27,193563.62,3.13
859013.96,13.88,0.29,193913.11,3.13
859756.33,13.89,0.3,194224.11,3.14
859447.22,13.89,0.3,193718.62,3.13
859138.1,13.89,0.3,193213.14,3.12
859552.43,13.89,0.3,193239.81,3.12
859823.32,13.9,0.31,193314.33,3.12
860565.69,13.91,0.32,193625.33,3.13
860256.58,13.91,0.32,193119.84,3.12
860998.95,13.92,0.33,193430.84,3.13
860304.74,13.91,0.32,192670.93,3.12
862032.92,13.94,0.35,194528.91,3.15
863746.18,13.97,0.38,195614.42,3.16
864847.85,13.99,0.4,196434.64,3.18
865302.13,13.99,0.4,196416.06,3.18
864803.02,13.99,0.4,195720.57,3.17
865545.39,14.0,0.41,196031.57,3.17
865868.32,14.01,0.42,196199.19,3.17
866969.99,14.03,0.44,197019.42,3.19
867017.35,14.03,0.44,197642.53,3.2
867259.05,14.03,0.44,197256.49,3.19
868360.72,14.05,0.46,198076.71,3.21
868022.28,14.05,0.46,197738.27,3.2
867713.16,14.04,0.45,197232.78,3.19
868455.54,14.06,0.47,197543.78,3.2
868146.42,14.05,0.46,197038.29,3.19
868600.7,14.06,0.47,197019.71,3.19
868291.58,14.06,0.47,196514.22,3.18
868093.17,14.06,0.47,195969.51,3.17
867957.26,14.06,0.47,196028.41,3.17
868699.63,14.07,0.48,196339.41,3.18
868390.52,14.07,0.48,195833.92,3.17
868192.1,14.07,0.48,195289.21,3.16
867993.68,14.07,0.47,194744.5,3.16
868106.44,14.07,0.48,194797.06,3.16
868009.39,14.07,0.48,194604.0,3.15
868289.7,14.07,0.48,194407.72,3.15
869032.07,14.09,0.5,194718.71,3.16
868655.02,14.08,0.49,194190.51,3.15
869102.31,14.09,0.5,194281.58,3.15
869102.31,14.09,0.5,194107.37,3.15
869428.28,14.1,0.51,194161.81,3.15
869435.74,14.1,0.51,194465.72,3.15
869126.63,14.09,0.5,193960.23,3.15
869573.92,14.1,0.51,194051.3,3.15
870281.12,14.12,0.53,194134.88,3.15
870470.22,14.12,0.53,194168.33,3.15
870379.2,14.12,0.53,193781.77,3.14
870226.19,14.12,0.53,193652.77,3.14
870027.77,14.12,0.53,193108.06,3.13
869907.77,14.12,0.53,192945.85,3.13
870188.08,14.12,0.53,192598.41,3.13
870188.08,14.12,0.53,192587.8,3.13
870775.59,14.13,0.54,192713.03,3.13
871517.97,14.15,0.56,193024.03,3.13
873246.15,14.18,0.58,194882.0,3.16
873988.52,14.19,0.6,195193.0,3.17
874576.04,14.2,0.61,195318.23,3.17
875023.33,14.21,0.62,195409.3,3.17
876125.0,14.23,0.64,196229.53,3.19
876867.37,14.24,0.65,196540.53,3.19
880323.74,14.3,0.7,199795.04,3.24
880166.38,14.29,0.7,199637.68,3.24
880908.75,14.31,0.72,199948.68,3.25
881234.72,14.31,0.72,200003.12,3.25
881476.42,14.32,0.73,199667.96,3.24
881397.98,14.32,0.73,199538.63,3.24
881020.92,14.31,0.72,199161.58,3.24
881478.61,14.32,0.73,198956.23,3.23
881364.18,14.32,0.73,198877.09,3.23
881890.85,14.33,0.74,198882.83,3.23
881556.59,14.33,0.74,198383.12,3.22
881222.33,14.33,0.73,197883.4,3.22
880913.21,14.32,0.73,197377.92,3.21
880604.1,14.32,0.73,196872.43,3.2
880514.98,14.32,0.73,196586.94,3.2
881257.35,14.33,0.74,196897.94,3.2
881438.24,14.34,0.75,196882.46,3.2
882025.75,14.35,0.76,197007.68,3.2
881501.49,14.34,0.75,196317.97,3.19
881344.14,14.34,0.75,196160.61,3.19
882057.39,14.35,0.76,196246.12,3.19
882238.28,14.36,0.77,196230.63,3.19
883104.87,14.37,0.78,196990.41,3.21
883552.15,14.38,0.79,197081.48,3.21
883672.33,14.38,0.79,196881.2,3.2
883168.12,14.38,0.78,196425.92,3.2
883622.4,14.38,0.79,196407.33,3.2
883735.16,14.39,0.8,196459.9,3.2
884150.68,14.39,0.8,196247.39,3.2
883952.27,14.39,0.8,195702.68,3.19
884539.78,14.4,0.81,195827.91,3.19
884811.59,14.41,0.82,196100.0,3.19
884714.54,14.41,0.82,195906.93,3.19
884380.28,14.41,0.81,195407.22,3.18
884617.76,14.41,0.82,195249.65,3.18
886331.02,14.44,0.85,196335.17,3.2
887432.69,14.46,0.87,197155.39,3.21
887234.27,14.45,0.86,196610.68,3.2
887448.22,14.46,0.87,196346.42,3.2
888190.59,14.47,0.88,196657.42,3.2
887881.48,14.47,0.88,196151.93,3.2
887724.12,14.47,0.88,195994.57,3.19
888435.94,14.48,0.89,196951.91,3.21
889178.32,14.49,0.9,197262.9,3.21
889070.96,14.49,0.9,197155.55,3.21
889658.47,14.5,0.91,197280.77,3.22
890098.88,14.51,0.92,197546.79,3.22
889764.62,14.5,0.91,197047.08,3.21
890477.88,14.52,0.93,197132.59,3.21
890168.77,14.52,0.92,196627.1,3.21
891270.48,14.53,0.94,197284.6,3.22
892372.15,14.55,0.96,198104.83,3.23
892419.51,14.55,0.96,198727.94,3.24
894132.77,14.58,0.99,199813.45,3.26
893744.35,14.58,0.99,199078.74,3.25
893791.71,14.58,0.99,198737.04,3.24
894093.8,14.59,0.99,198719.06,3.24
894141.16,14.59,1.0,198377.35,3.24
894374.97,14.59,1.0,198692.55,3.24
894580.87,14.6,1.01,198659.77,3.24
894423.51,14.59,1.0,198502.41,3.24
894423.51,14.59,1.0,198349.77,3.24
894470.87,14.6,1.01,198008.07,3.23
894856.76,14.6,1.01,198155.28,3.23
895444.28,14.62,1.02,198280.51,3.24
896186.65,14.63,1.04,198591.51,3.24
896929.02,14.64,1.05,198902.51,3.25
897084.76,14.65,1.05,198892.79,3.25
897532.05,14.65,1.06,198983.87,3.25
898119.56,14.67,1.07,199109.1,3.25
897983.66,14.67,1.07,199402.45,3.26
898335.01,14.67,1.08,199596.35,3.26
898037.75,14.67,1.08,199299.1,3.26
897880.39,14.67,1.08,199141.74,3.25
897744.48,14.67,1.08,199224.56,3.25
897900.22,14.67,1.08,199214.84,3.25
898171.11,14.67,1.08,199289.35,3.26
898913.48,14.69,1.1,199600.35,3.26
899626.74,14.7,1.11,199685.86,3.26
899868.44,14.71,1.12,199350.71,3.26
900198.35,14.71,1.12,199408.67,3.26
