name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0252,,T4,104,2,549755813888,15109,10,2192,549755813888,0,0,50,755,0,0,0,0,0,0,0,0,0,0,0,0,50,755
0001-openb-node-0261,,G2,96,8,412316860416,20000,14,972,412316860416,60,1200,60,1200,50,1000,70,1400,200,4000,70,1400,450,9000,190,3800,1150,23000
0002-openb-node-1175,,T4,104,2,549755813888,15109,8,1684,549755813888,10,151,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,80,1208
0003-openb-node-0857,,G2,96,8,412316860416,20000,14,1346,412316860416,0,0,120,2400,60,1200,60,1200,50,1000,0,0,50,1000,50,1000,390,7800
0004-openb-node-0094,,G2,96,8,412316860416,20000,14,736,412316860416,60,1200,0,0,0,0,190,3800,30,600,190,3800,190,3800,1000,20000,1660,33200
0005-openb-node-0639,,T4,104,2,549755813888,15109,6,2784,549755813888,0,0,60,906,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0006-openb-node-0010,,P100,64,2,274877906944,16280,6,5196,274877906944,30,488,30,488,0,0,0,0,0,0,0,0,0,0,0,0,60,976
0007-openb-node-0860,,G2,96,8,412316860416,20000,17,2284,412316860416,60,1200,0,0,80,1600,60,1200,50,1000,70,1400,0,0,50,1000,370,7400
0008-openb-node-1136,,G2,96,8,412316860416,20000,11,764,412316860416,190,3800,70,1400,0,0,120,2400,60,1200,350,7000,190,3800,0,0,980,19600
0009-openb-node-0499,,G2,96,8,412316860416,20000,7,976,412316860416,60,1200,210,4200,0,0,350,7000,1000,20000,1000,20000,1000,20000,1000,20000,4620,92400
0010-openb-node-1133,,G2,96,8,412316860416,20000,15,2720,412316860416,80,1600,30,600,190,3800,190,3800,190,3800,90,1800,60,1200,30,600,860,17200
0011-openb-node-0648,,T4,104,2,549755813888,15109,9,4248,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0012-openb-node-0869,,P100,16,2,128849018880,16280,4,696,128849018880,30,488,130,2116,0,0,0,0,0,0,0,0,0,0,0,0,160,2604
0013-openb-node-0315,,T4,104,2,549755813888,15109,10,196,549755813888,10,151,60,906,0,0,0,0,0,0,0,0,0,0,0,0,70,1057
0014-openb-node-0736,,G2,96,8,412316860416,20000,13,3852,412316860416,30,600,30,600,60,1200,190,3800,190,3800,190,3800,60,1200,30,600,780,15600
0015-openb-node-0863,,G2,96,8,412316860416,20000,12,3480,412316860416,30,600,0,0,30,600,0,0,190,3800,190,3800,30,600,190,3800,660,13200
0016-openb-node-0737,,G2,96,8,412316860416,20000,11,864,412316860416,30,600,60,1200,210,4200,30,600,0,0,190,3800,190,3800,1000,20000,1710,34200
0017-openb-node-0867,,V100M32,96,8,824633720832,32510,11,1136,824633720832,0,0,70,2275,0,0,0,0,30,975,210,6827,190,6176,190,6176,690,22429
0018-openb-node-0790,,G2,96,8,412316860416,20000,14,820,412316860416,50,1000,30,600,60,1200,190,3800,60,1200,190,3800,190,3800,30,600,800,16000
0019-openb-node-1199,,T4,104,2,549755813888,15109,9,396,549755813888,30,453,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,220,3323
0020-openb-node-0841,,G2,96,8,412316860416,20000,14,820,412316860416,30,600,70,1400,190,3800,130,2600,0,0,130,2600,80,1600,30,600,660,13200
0021-openb-node-0382,,G2,96,8,412316860416,20000,14,624,412316860416,30,600,0,0,20,400,90,1800,190,3800,190,3800,70,1400,190,3800,780,15600
0022-openb-node-0515,,G2,96,8,412316860416,20000,14,1852,412316860416,0,0,60,1200,60,1200,130,2600,130,2600,30,600,190,3800,30,600,630,12600
0023-openb-node-1004,,G2,96,8,412316860416,20000,15,2728,412316860416,100,2000,70,1400,30,600,190,3800,190,3800,70,1400,70,1400,190,3800,910,18200
0024-openb-node-0338,,G2,96,8,412316860416,20000,7,432,412316860416,0,0,70,1400,0,0,530,10600,450,9000,1000,20000,1000,20000,1000,20000,4050,81000
0025-openb-node-0921,,V100M16,32,4,137438953472,16160,7,484,137438953472,80,1292,50,808,190,3070,190,3070,0,0,0,0,0,0,0,0,510,8240
0026-openb-node-0000,,P100,64,2,274877906944,16280,7,784,274877906944,30,488,50,814,0,0,0,0,0,0,0,0,0,0,0,0,80,1302
0027-openb-node-1035,,G2,96,8,412316860416,20000,14,180,412316860416,0,0,30,600,190,3800,60,1200,190,3800,160,3200,190,3800,0,0,820,16400
0028-openb-node-0217,,G2,96,8,412316860416,20000,15,2820,412316860416,0,0,70,1400,190,3800,190,3800,60,1200,210,4200,190,3800,20,400,930,18600
0029-openb-node-0800,,T4,104,2,549755813888,15109,11,2140,549755813888,30,453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0030-openb-node-0307,,G3,128,8,824633720832,30000,16,16,824633720832,30,900,30,900,190,5700,60,1800,30,900,190,5700,30,900,190,5700,750,22500
0031-openb-node-0012,,P100,64,2,274877906944,16280,6,2940,274877906944,30,488,30,488,0,0,0,0,0,0,0,0,0,0,0,0,60,976
0032-openb-node-0469,,G2,96,8,412316860416,20000,13,9176,412316860416,120,2400,30,600,0,0,0,0,190,3800,190,3800,60,1200,190,3800,780,15600
0033-openb-node-0186,,G2,96,8,412316860416,20000,15,1976,412316860416,30,600,30,600,190,3800,50,1000,130,2600,190,3800,0,0,30,600,650,13000
0034-openb-node-0235,,T4,104,2,549755813888,15109,7,2940,549755813888,80,1208,60,906,0,0,0,0,0,0,0,0,0,0,0,0,140,2114
0035-openb-node-0717,,T4,104,2,549755813888,15109,9,7940,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0036-openb-node-0348,,T4,104,2,549755813888,15109,7,1500,549755813888,70,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1057
0037-openb-node-0767,,V100M16,8,1,34359738368,16160,2,848,34359738368,80,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,1292
0038-openb-node-0285,,G2,96,8,412316860416,20000,14,1620,412316860416,80,1600,30,600,190,3800,190,3800,190,3800,60,1200,80,1600,190,3800,1010,20200
0039-openb-node-0327,,G2,96,8,412316860416,20000,13,1760,412316860416,30,600,30,600,30,600,190,3800,190,3800,60,1200,190,3800,120,2400,840,16800
0040-openb-node-1047,,G2,96,8,412316860416,20000,14,3682,412316860416,70,1400,30,600,190,3800,0,0,70,1400,80,1600,60,1200,0,0,500,10000
0041-openb-node-0099,,V100M16,32,4,137438953472,16160,7,3392,137438953472,30,484,190,3070,90,1454,190,3070,0,0,0,0,0,0,0,0,500,8078
0042-openb-node-0445,,G2,96,8,412316860416,20000,14,620,412316860416,30,600,80,1600,190,3800,190,3800,160,3200,190,3800,190,3800,190,3800,1220,24400
0043-openb-node-0844,,G2,96,8,412316860416,20000,14,428,412316860416,10,200,130,2600,60,1200,30,600,190,3800,30,600,0,0,0,0,450,9000
0044-openb-node-0477,,G2,96,8,412316860416,20000,15,1088,412316860416,30,600,30,600,50,1000,30,600,190,3800,190,3800,210,4200,190,3800,920,18400
0045-openb-node-0871,,T4,104,2,549755813888,15109,8,92,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0046-openb-node-0512,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0047-openb-node-1130,,T4,96,4,412316860416,15109,8,1244,412316860416,30,453,30,453,0,0,190,2870,0,0,0,0,0,0,0,0,250,3776
0048-openb-node-0224,,V100M16,32,4,137438953472,16160,6,636,137438953472,130,2100,60,969,190,3070,410,6625,0,0,0,0,0,0,0,0,790,12764
0049-openb-node-0158,,G2,96,8,412316860416,20000,14,132,412316860416,70,1400,0,0,30,600,30,600,20,400,190,3800,190,3800,0,0,530,10600
0050-openb-node-0602,,T4,104,2,549755813888,15109,8,3792,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0051-openb-node-0734,,G2,96,8,412316860416,20000,14,984,412316860416,30,600,0,0,0,0,190,3800,160,3200,60,1200,90,1800,190,3800,720,14400
0052-openb-node-0176,,G2,96,8,412316860416,20000,11,3932,412316860416,50,1000,0,0,190,3800,190,3800,0,0,190,3800,190,3800,190,3800,1000,20000
0053-openb-node-0263,,P100,16,2,128849018880,16280,4,1696,128849018880,90,1465,80,1302,0,0,0,0,0,0,0,0,0,0,0,0,170,2767
0054-openb-node-0189,,G2,96,8,412316860416,20000,14,524,412316860416,50,1000,0,0,50,1000,90,1800,190,3800,190,3800,190,3800,190,3800,950,19000
0055-openb-node-0276,,G2,96,8,412316860416,20000,13,1468,412316860416,30,600,80,1600,50,1000,0,0,0,0,190,3800,190,3800,30,600,570,11400
0056-openb-node-0434,,G2,96,8,412316860416,20000,14,2728,412316860416,80,1600,30,600,190,3800,30,600,190,3800,60,1200,60,1200,30,600,670,13400
0057-openb-node-0457,,T4,104,2,549755813888,15109,8,296,549755813888,30,453,90,1359,0,0,0,0,0,0,0,0,0,0,0,0,120,1812
0058-openb-node-0777,,T4,104,2,549755813888,15109,8,3196,549755813888,30,453,90,1359,0,0,0,0,0,0,0,0,0,0,0,0,120,1812
0059-openb-node-0420,,T4,104,2,549755813888,15109,8,848,549755813888,0,0,140,2115,0,0,0,0,0,0,0,0,0,0,0,0,140,2115
0060-openb-node-0352,,G2,96,8,412316860416,20000,13,1712,412316860416,60,1200,0,0,190,3800,30,600,160,3200,190,3800,30,600,60,1200,720,14400
0061-openb-node-0637,,T4,104,2,549755813888,15109,8,696,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0062-openb-node-0771,,G2,96,8,412316860416,20000,14,1640,412316860416,90,1800,60,1200,0,0,0,0,30,600,190,3800,190,3800,130,2600,690,13800
0063-openb-node-0500,,G2,96,8,412316860416,20000,15,1516,412316860416,30,600,70,1400,30,600,30,600,60,1200,190,3800,190,3800,10,200,610,12200
0064-openb-node-0153,,G2,96,8,412316860416,20000,13,3864,412316860416,80,1600,190,3800,190,3800,80,1600,0,0,60,1200,190,3800,190,3800,980,19600
0065-openb-node-0641,,T4,104,2,549755813888,15109,8,696,549755813888,80,1208,30,453,0,0,0,0,0,0,0,0,0,0,0,0,110,1661
0066-openb-node-0835,,G3,128,8,824633720832,30000,15,272,824633720832,30,900,60,1800,30,900,60,1800,190,5700,190,5700,190,5700,190,5700,940,28200
0067-openb-node-0141,,G2,96,8,412316860416,20000,13,1760,412316860416,190,3800,190,3800,60,1200,60,1200,30,600,160,3200,120,2400,190,3800,1000,20000
0068-openb-node-1082,,T4,104,2,549755813888,15109,7,484,549755813888,130,1964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,1964
0069-openb-node-0856,,G2,96,8,412316860416,20000,15,2826,412316860416,70,1400,20,400,30,600,190,3800,70,1400,190,3800,0,0,50,1000,620,12400
0070-openb-node-0159,,G2,96,8,412316860416,20000,14,2968,412316860416,90,1800,0,0,60,1200,130,2600,0,0,30,600,90,1800,30,600,430,8600
0071-openb-node-0203,,T4,104,2,549755813888,15109,7,440,549755813888,0,0,10,151,0,0,0,0,0,0,0,0,0,0,0,0,10,151
0072-openb-node-0336,,G3,128,8,824633720832,30000,16,2180,824633720832,0,0,90,2700,0,0,30,900,80,2400,30,900,190,5700,190,5700,610,18300
0073-openb-node-0018,,P100,64,2,274877906944,16280,6,500,274877906944,0,0,70,1139,0,0,0,0,0,0,0,0,0,0,0,0,70,1139
0074-openb-node-0660,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0075-openb-node-0770,,G2,96,8,412316860416,20000,14,1868,412316860416,30,600,90,1800,190,3800,0,0,190,3800,30,600,30,600,30,600,590,11800
0076-openb-node-1026,,T4,104,2,549755813888,15109,8,3540,549755813888,60,906,30,453,0,0,0,0,0,0,0,0,0,0,0,0,90,1359
0077-openb-node-1121,,T4,104,2,549755813888,15109,7,4440,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0078-openb-node-0041,,G2,96,8,412316860416,20000,14,1372,412316860416,30,600,30,600,30,600,190,3800,190,3800,190,3800,190,3800,60,1200,910,18200
0079-openb-node-0086,,G2,96,8,412316860416,20000,11,2980,412316860416,190,3800,30,600,0,0,70,1400,0,0,190,3800,30,600,0,0,510,10200
0080-openb-node-0283,,P100,16,2,128849018880,16280,4,1696,128849018880,30,488,80,1302,0,0,0,0,0,0,0,0,0,0,0,0,110,1790
0081-openb-node-0121,,T4,104,2,549755813888,15109,7,1032,549755813888,140,2115,60,906,0,0,0,0,0,0,0,0,0,0,0,0,200,3021
0082-openb-node-0740,,G2,96,8,412316860416,20000,13,2384,412316860416,30,600,190,3800,0,0,190,3800,190,3800,160,3200,190,3800,190,3800,1140,22800
0083-openb-node-0761,,T4,104,2,549755813888,15109,7,4440,549755813888,30,453,30,453,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0084-openb-node-0969,,G3,128,8,824633720832,30000,15,1846,824633720832,60,1800,50,1500,30,900,30,900,60,1800,60,1800,190,5700,0,0,480,14400
0085-openb-node-1014,,T4,104,2,549755813888,15109,9,1792,549755813888,70,1057,30,453,0,0,0,0,0,0,0,0,0,0,0,0,100,1510
0086-openb-node-1120,,T4,104,2,549755813888,15109,9,796,549755813888,30,453,80,1208,0,0,0,0,0,0,0,0,0,0,0,0,110,1661
