ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_7e61-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
1179977.54,19.0,0.41,219985.21,3.54
1179540.33,18.99,0.4,219451.64,3.53
1179337.67,18.99,0.4,219330.87,3.53
1179167.67,18.99,0.4,218555.58,3.52
1179123.91,18.99,0.41,219608.24,3.54
1179353.57,19.0,0.41,219230.19,3.53
1179263.09,19.0,0.41,219096.36,3.53
1179384.9,19.0,0.42,219250.18,3.53
1178953.89,19.0,0.41,218860.48,3.53
1178749.17,19.0,0.41,218702.93,3.52
1178311.96,18.99,0.41,218169.36,3.52
1178144.93,18.99,0.41,218160.41,3.52
1178406.92,19.0,0.41,218441.43,3.52
1178047.9,18.99,0.41,218157.73,3.52
1178064.42,18.99,0.41,218145.89,3.52
1178292.77,19.0,0.41,217891.51,3.51
1178136.13,19.0,0.41,217749.33,3.51
1178048.93,19.0,0.41,217565.77,3.51
1177423.27,18.99,0.41,216843.74,3.5
1177256.24,18.99,0.41,216834.79,3.5
1177272.76,18.99,0.41,216820.25,3.5
1177534.75,19.0,0.41,217101.27,3.5
1177872.43,19.0,0.42,223665.68,3.61
1177893.36,19.01,0.42,223763.01,3.61
1177735.4,19.0,0.42,223724.18,3.61
1182315.23,19.08,0.49,224940.66,3.63
1182148.2,19.08,0.49,224830.53,3.63
1182393.33,19.09,0.5,224638.73,3.63
1181871.44,19.08,0.49,224085.51,3.62
1182133.35,19.09,0.5,223864.69,3.61
1182024.89,19.09,0.5,223756.24,3.61
1181832.3,19.09,0.5,223742.41,3.61
1181848.82,19.09,0.5,223735.57,3.61
1181479.8,19.08,0.49,223441.87,3.61
1181287.21,19.08,0.49,223367.05,3.61
1181094.62,19.08,0.49,223359.83,3.61
1180902.03,19.08,0.49,223278.41,3.61
1180735.0,19.08,0.49,223269.46,3.61
1180567.97,19.08,0.49,223196.78,3.61
1180829.95,19.09,0.5,223292.12,3.61
1180846.48,19.09,0.5,223279.2,3.61
1180679.44,19.09,0.5,223524.17,3.61
1180679.44,19.09,0.5,225096.32,3.64
1180941.35,19.1,0.51,224875.5,3.64
1180720.08,19.09,0.5,224632.02,3.63
1180527.49,19.09,0.5,224547.5,3.63
1180527.49,19.09,0.5,225190.44,3.64
1180856.82,19.1,0.51,225716.22,3.65
1180128.15,19.09,0.5,225002.0,3.64
1179589.48,19.08,0.5,224477.79,3.63
1182814.47,19.14,0.55,226614.25,3.67
1182591.79,19.13,0.55,226340.32,3.66
1182424.76,19.13,0.55,226338.31,3.66
1182257.72,19.14,0.55,226258.69,3.66
1181632.06,19.13,0.54,225536.66,3.65
1181639.97,19.13,0.54,225446.18,3.65
1181447.38,19.13,0.54,225364.46,3.65
1181254.79,19.13,0.54,225357.54,3.65
1180629.12,19.12,0.53,224635.51,3.64
1180191.92,19.12,0.53,224101.94,3.63
1179566.26,19.11,0.52,223379.91,3.62
1178940.59,19.1,0.51,222657.88,3.61
1178667.03,19.1,0.51,222386.33,3.6
1178499.99,19.1,0.51,222309.19,3.6
1178332.96,19.1,0.51,222304.7,3.6
1178165.93,19.1,0.51,222295.76,3.6
1177998.9,19.1,0.51,222223.08,3.6
1178031.94,19.1,0.51,222235.78,3.6
1177864.91,19.1,0.51,222158.63,3.6
1177697.88,19.1,0.51,222154.15,3.6
1177602.22,19.1,0.51,221962.12,3.6
1177165.01,19.1,0.51,221428.55,3.59
1176997.98,19.1,0.51,221419.6,3.59
1176830.94,19.1,0.51,221346.92,3.59
1176393.74,19.09,0.5,220813.35,3.58
1176393.74,19.09,0.5,220780.89,3.58
1176638.87,19.1,0.51,220600.22,3.58
1176471.83,19.1,0.51,220591.28,3.58
1175949.94,19.1,0.5,220026.92,3.57
1175217.27,19.1,0.51,222399.68,3.61
1177204.62,19.13,0.54,223578.65,3.63
1177021.06,19.13,0.54,222837.44,3.62
1177037.58,19.13,0.54,222830.6,3.62
1176805.74,19.13,0.54,222358.7,3.61
1176638.71,19.13,0.54,222286.02,3.61
1176019.24,19.12,0.53,221707.86,3.6
1176035.77,19.12,0.53,221694.94,3.6
1175598.56,19.12,0.52,221161.37,3.6
1175431.53,19.12,0.52,221084.07,3.6
1175264.49,19.12,0.52,221079.74,3.6
1175797.73,19.13,0.54,221144.71,3.6
1175630.7,19.13,0.54,221135.77,3.6
1175787.56,19.13,0.54,221377.58,3.6
1175350.35,19.13,0.54,220844.01,3.59
1174730.88,19.12,0.53,220265.85,3.59
1174563.85,19.12,0.53,220188.55,3.58
1174825.84,19.13,0.54,220606.16,3.59
1174531.95,19.12,0.53,220321.66,3.59
1174531.95,19.12,0.53,221893.81,3.61
1174552.88,19.13,0.53,221991.13,3.62
1174573.82,19.13,0.54,222135.09,3.62
1174396.88,19.13,0.54,221861.78,3.61
1173959.67,19.12,0.53,221328.21,3.61
1173959.67,19.12,0.53,221971.15,3.62
1177184.66,19.18,0.58,224107.6,3.65
1177017.63,19.18,0.58,224030.46,3.65
1176850.6,19.18,0.58,224025.98,3.65
1177095.72,19.19,0.59,223845.31,3.65
1176573.84,19.18,0.58,223280.95,3.64
1176406.8,19.18,0.58,223203.65,3.64
1176037.78,19.18,0.58,222841.72,3.63
1175870.75,19.18,0.58,222837.39,3.63
1176115.88,19.18,0.59,222645.59,3.63
1175593.99,19.18,0.58,222092.37,3.62
1175839.11,19.18,0.59,221911.69,3.62
1176368.09,19.2,0.6,221974.34,3.62
1175742.43,19.19,0.59,221252.31,3.61
1175742.43,19.19,0.59,221252.31,3.61
1178942.64,19.24,0.65,224856.92,3.67
1182142.84,19.29,0.7,228461.53,3.73
1182142.84,19.29,0.7,228461.53,3.73
1181975.81,19.29,0.7,228459.52,3.73
1181263.92,19.28,0.69,227705.17,3.72
1181096.89,19.29,0.69,227625.55,3.72
1180659.69,19.28,0.68,227091.97,3.71
1180659.69,19.28,0.68,227091.97,3.71
1180659.69,19.28,0.68,227091.97,3.71
