ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_094e-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
1,1,0,6212,0
2,2,810,6212,810
3,4,1810,6212,1810
4,8,2810,6212,2810
5,10,3810,6212,3810
5,10,4620,6212,4620
6,11,5090,6212,5090
7,13,5740,6212,5740
7,13,6550,6212,6550
8,14,6780,6212,6780
9,15,7590,6212,7590
10,17,8590,6212,8590
11,19,9060,6212,9060
12,20,9520,6212,9520
13,21,9520,6212,9520
14,23,10520,6212,10520
14,23,10980,6212,10980
15,24,11440,6212,11440
15,24,12440,6212,12440
16,26,13440,6212,13440
16,26,13440,6212,13440
17,28,13910,6212,13910
18,30,13910,6212,13910
18,30,14720,6212,14720
18,30,14880,6212,14880
18,30,14880,6212,14880
18,30,15880,6212,15880
19,32,16880,6212,16880
19,32,17690,6212,17690
20,34,18690,6212,18690
20,34,18800,6212,18800
21,36,19800,6212,19800
22,38,19800,6212,19800
23,39,20270,6212,20270
24,41,21270,6212,21270
25,43,22270,6212,22270
26,45,23270,6212,23270
27,47,24270,6212,24270
28,49,25270,6212,25270
29,51,25740,6212,25740
29,51,25740,6212,25740
29,51,26740,6212,26740
30,53,26740,6212,26740
31,55,27740,6212,27740
31,55,28060,6212,28060
32,57,29060,6212,29060
33,59,29060,6212,29060
34,60,29380,6212,29380
34,60,30380,6212,30380
34,60,31190,6212,31190
35,62,31190,6212,31190
35,62,31560,6212,31560
36,64,32560,6212,32560
37,66,33560,6212,33560
37,66,34560,6212,34560
37,66,34880,6212,34880
38,68,35880,6212,35880
39,70,36880,6212,36880
39,70,37880,6212,37880
39,70,38690,6212,38690
40,71,39690,6212,39690
40,71,40690,6212,40690
40,71,41010,6212,41010
41,73,42010,6212,42010
41,73,43010,6212,43010
42,75,44010,6212,44010
43,77,45010,6212,45010
44,79,45010,6212,45010
45,81,46010,6212,46010
46,83,47010,6212,47010
47,84,47480,6212,47480
47,84,48290,6212,48290
48,86,49290,6212,49290
48,86,50290,6212,50290
48,86,51100,6212,51100
48,86,51100,6212,51100
49,88,52100,6212,52100
50,90,53100,6212,53100
50,90,53910,6212,53910
51,98,57910,6212,57910
52,100,57910,6212,57910
52,100,58720,6212,58720
53,102,58720,6212,58720
53,102,59530,6212,59530
53,102,60530,6212,60530
53,102,61530,6212,61530
53,102,61530,6212,61530
53,102,62340,6212,62340
54,104,63340,6212,63340
54,104,64340,6212,64340
55,106,65340,6212,65340
56,108,66340,6212,66340
57,110,66990,6212,66990
57,110,67800,6212,67800
58,111,68800,6212,68800
59,113,69800,6212,69800
59,113,70270,6212,70270
59,113,70590,6212,70590
59,113,70590,6212,70590
60,115,71400,6212,71400
60,115,72210,6212,72210
60,115,72760,6212,72760
60,115,73570,6212,73570
60,115,73570,6212,73570
60,115,73570,6212,73570
60,115,74570,6212,74570
61,117,75570,6212,75570
62,119,76570,6212,76570
62,119,77380,6212,77380
63,121,78380,6212,78380
64,123,78850,6212,78850
65,125,79850,6212,79850
66,127,80850,6212,80850
66,127,81660,6212,81660
67,129,82660,6212,82660
68,131,83660,6212,83660
69,132,84660,6212,84660
70,134,84660,6212,84660
71,135,84660,6212,84660
72,136,84660,6212,84660
73,138,84660,6212,84660
74,140,85660,6212,85660
74,140,86660,6212,86660
75,142,87660,6212,87660
75,142,88470,6212,88470
75,142,88470,6212,88470
76,144,88470,6212,88470
77,146,89470,6212,89470
78,148,89470,6212,89470
79,150,89470,6212,89470
80,152,89470,6212,89470
81,154,90120,6212,90120
81,154,90930,6212,90930
82,156,90930,6212,90930
83,158,91930,6212,91930
84,160,92930,6212,92930
85,161,93400,6212,93400
86,163,94400,6212,94400
87,164,95400,6212,95400
87,164,96210,6212,96210
88,166,97210,6212,97210
89,168,98210,6212,98210
90,170,98210,6212,98210
91,172,98860,6212,98860
92,174,99860,6212,99860
93,176,99860,6212,99860
93,176,100510,6212,100510
94,177,100980,6212,100980
94,177,101980,6212,101980
95,179,102790,6212,102790
95,179,103600,6212,103600
95,179,104600,6212,104600
95,179,105410,6212,105410
96,181,106410,6212,106410
97,183,106880,6212,106880
97,183,107880,6212,107880
98,184,108880,6212,108880
98,184,109690,6212,109690
99,186,110690,6212,110690
99,186,111010,6212,111010
99,186,111560,6212,111560
100,188,112560,6212,112560
101,190,113560,6212,113560
101,190,114020,6212,114020
101,190,115020,6212,115020
101,190,115830,6212,115830
102,192,116830,6212,116830
103,194,117830,6212,117830
103,194,118150,6212,118150
104,196,119150,6212,119150
105,197,119470,6212,119470
106,199,120470,6212,120470
106,199,120790,6212,120790
107,200,120790,6212,120790
107,200,121790,6212,121790
107,200,121790,6212,121790
107,200,122790,6212,122790
108,202,123790,6212,123790
108,202,124600,6212,124600
109,204,125600,6212,125600
109,204,125600,6212,125600
110,206,126600,6212,126600
111,208,127070,6212,127070
111,208,127880,6212,127880
112,210,128880,6212,128880
113,212,129530,6212,129530
113,212,129530,6212,129530
113,212,129530,6212,129530
113,212,129760,6212,129760
113,212,130080,6212,130080
113,212,130400,6212,130400
113,212,131210,6212,131210
114,216,132210,6212,132210
114,216,133020,6212,133020
114,216,133020,6212,133020
115,218,133020,6212,133020
116,220,134020,6212,134020
116,220,134830,6212,134830
116,220,134830,6212,134830
117,222,134830,6212,134830
117,222,135640,6212,135640
117,222,135960,6212,135960
117,222,136960,6212,136960
117,222,137960,6212,137960
118,224,138960,6212,138960
119,226,139610,6212,139610
120,228,140610,6212,140610
120,228,141420,6212,141420
121,230,141420,6212,141420
122,232,142420,6212,142420
123,234,143420,6212,143420
124,236,144420,6212,144420
124,236,145230,6212,145230
124,236,145600,6212,145600
125,238,146070,6212,146070
126,240,147070,6212,147070
127,242,147540,6212,147540
128,244,148540,6212,148540
129,246,149540,6212,149540
129,246,150010,6212,150010
130,248,151010,6212,151010
130,248,151820,6212,151820
130,248,152630,6212,152630
130,248,153630,6212,153630
130,248,153630,6212,153630
131,250,154630,6212,154630
132,252,155100,6212,155100
133,254,156100,6212,156100
133,254,156570,6212,156570
133,254,156940,6212,156940
134,256,157940,6212,157940
134,256,158750,6212,158750
134,256,159560,6212,159560
134,256,160020,6212,160020
134,256,160830,6212,160830
135,258,161480,6212,161480
135,258,161710,6212,161710
135,258,161710,6212,161710
135,258,161710,6212,161710
135,258,161710,6212,161710
136,260,162710,6212,162710
136,260,163520,6212,163520
137,264,167520,6212,167520
138,266,168520,6212,168520
138,266,169520,6212,169520
138,266,170520,6212,170520
138,266,171520,6212,171520
139,268,172520,6212,172520
140,270,172990,6212,172990
141,272,173990,6212,173990
142,274,174990,6212,174990
143,276,175460,6212,175460
143,276,176460,6212,176460
144,278,177460,6212,177460
144,278,178270,6212,178270
145,280,179270,6212,179270
146,282,179740,6212,179740
147,284,180740,6212,180740
148,286,181740,6212,181740
148,286,182740,6212,182740
148,286,183740,6212,183740
148,286,184740,6212,184740
149,290,185200,6212,185200
149,290,186200,6212,186200
149,290,186200,6212,186200
149,290,187200,6212,187200
149,290,188200,6212,188200
150,294,189200,6212,189200
150,294,189520,6212,189520
150,294,190330,6212,190330
150,294,191140,6212,191140
150,294,191690,6212,191690
150,294,192160,6212,192160
150,294,192160,6212,192160
150,294,192390,6212,192390
151,296,192860,6212,192860
151,296,193080,6212,193080
151,296,194080,6212,194080
151,296,194890,6212,194890
151,296,195890,6212,195890
151,296,196700,6212,196700
151,296,196700,6212,196700
151,296,197170,6212,197170
152,300,198170,6212,198170
152,300,199170,6212,199170
152,300,199980,6212,199980
153,304,200980,6212,200980
153,304,201980,6212,201980
153,304,202450,6212,202450
153,304,203450,6212,203450
153,304,204260,6212,204260
153,304,205260,6212,205260
153,304,205730,6212,205730
153,304,205730,6212,205730
154,306,206540,6212,206540
154,306,207350,6212,207350
154,306,207350,6212,207350
155,310,208350,6212,208350
155,310,209350,6212,209350
155,310,209580,6212,209580
156,312,211580,6212,211580
156,312,211580,6212,211580
156,312,212390,6212,212390
156,312,212390,6212,212390
156,312,213390,6212,213390
156,312,214390,6212,214390
156,312,215200,6212,215200
157,316,216200,6212,216200
157,316,217200,6212,217200
158,320,218200,6212,218200
158,320,219010,6212,219010
158,320,219330,6212,219330
158,320,220140,6212,220140
158,320,221140,6212,221140
158,320,222140,6212,222140
158,320,222140,6212,222140
159,322,223140,6212,223140
159,322,223790,6212,223790
159,322,223790,6212,223790
160,326,224790,6212,224790
160,326,226790,6212,226790
160,326,227020,6212,227020
161,330,227490,6212,227490
161,330,228490,6212,228490
161,330,229300,6212,229300
161,330,230300,6212,230300
161,330,231300,6212,231300
162,334,232300,6212,232300
162,334,233110,6212,233110
162,334,233110,6212,233110
162,334,233920,6212,233920
162,334,234510,6212,234510
162,334,234830,6212,234830
162,334,235830,6212,235830
162,334,235830,6212,235830
162,334,235830,6212,235830
162,334,236300,6212,236300
162,334,237110,6212,237110
162,334,237110,6212,237110
163,336,238110,6212,238110
163,336,238340,6212,238340
164,340,239340,6212,239340
164,340,240340,6212,240340
165,348,241340,6212,241340
165,348,241340,6212,241340
165,348,241660,6212,241660
165,348,242130,6212,242130
166,350,243130,6212,243130
166,350,243130,6212,243130
166,350,243780,6212,243780
166,350,244590,6212,244590
167,358,252590,6212,252590
168,362,253590,6212,253590
168,362,254590,6212,254590
169,366,255590,6212,255590
169,366,256240,6212,256240
169,366,257240,6212,257240
170,368,257710,6212,257710
170,368,258710,6212,258710
170,368,259710,6212,259710
171,370,260710,6212,260710
171,370,261710,6212,261710
172,372,262710,6212,262710
172,372,262940,6212,262940
172,372,263940,6212,263940
173,376,264940,6212,264940
173,376,265750,6212,265750
173,376,266560,6212,266560
173,376,267030,6212,267030
174,380,268030,6212,268030
174,380,269030,6212,269030
175,382,270030,6212,270030
175,382,271030,6212,271030
175,382,271030,6212,271030
176,384,271580,6212,271580
176,384,272050,6212,272050
177,388,272700,6212,272700
177,388,272700,6212,272700
177,388,273700,6212,273700
178,392,274700,6212,274700
178,392,275510,6212,275510
178,392,275980,6212,275980
178,392,276980,6212,276980
178,392,277980,6212,277980
179,396,278980,6212,278980
179,396,279790,6212,279790
179,396,280790,6212,280790
180,404,288790,6212,288790
180,404,289600,6212,289600
180,404,290600,6212,290600
181,406,291150,6212,291150
181,406,292150,6212,292150
182,410,293150,6212,293150
182,410,293620,6212,293620
182,410,294620,6212,294620
182,410,295430,6212,295430
183,414,296080,6212,296080
183,414,297080,6212,297080
184,416,298080,6212,298080
184,416,299080,6212,299080
184,416,300080,6212,300080
185,418,301080,6212,301080
185,418,302080,6212,302080
185,418,303080,6212,303080
186,420,304080,6212,304080
186,420,304550,6212,304550
187,424,305550,6212,305550
187,424,305550,6212,305550
188,428,306550,6212,306550
188,428,306550,6212,306550
188,428,307550,6212,307550
189,430,308550,6212,308550
189,430,308550,6212,308550
189,430,309550,6212,309550
189,430,309780,6212,309780
189,430,310780,6212,310780
189,430,311780,6212,311780
189,430,311780,6212,311780
189,430,311780,6212,311780
189,430,312240,6212,312240
190,434,313240,6212,313240
190,434,314050,6212,314050
190,434,314050,6212,314050
190,434,315050,6212,315050
190,434,315270,6212,315270
190,434,316270,6212,316270
190,434,317080,6212,317080
190,434,318080,6212,318080
190,434,318540,6212,318540
191,438,319350,6212,319350
191,438,320160,6212,320160
191,438,320810,6212,320810
192,440,321810,6212,321810
192,440,322040,6212,322040
193,442,323040,6212,323040
193,442,324040,6212,324040
193,442,325040,6212,325040
193,442,326040,6212,326040
194,444,326510,6212,326510
194,444,326980,6212,326980
194,444,327980,6212,327980
195,448,328980,6212,328980
195,448,329980,6212,329980
196,450,330980,6212,330980
196,450,331300,6212,331300
196,450,332300,6212,332300
197,454,333110,6212,333110
198,456,333920,6212,333920
198,456,334920,6212,334920
198,456,335920,6212,335920
199,460,336920,6212,336920
199,460,337730,6212,337730
199,460,338540,6212,338540
199,460,339540,6212,339540
200,462,340010,6212,340010
200,462,341010,6212,341010
200,462,341010,6212,341010
200,462,341010,6212,341010
200,462,342010,6212,342010
200,462,342010,6212,342010
201,466,343010,6212,343010
201,466,343010,6212,343010
201,466,343820,6212,343820
201,466,344820,6212,344820
201,466,345050,6212,345050
201,466,346050,6212,346050
201,466,346860,6212,346860
202,470,347670,6212,347670
202,470,347670,6212,347670
202,470,348670,6212,348670
202,470,349020,6212,349020
202,470,350020,6212,350020
203,472,351020,6212,351020
203,472,351020,6212,351020
203,472,351340,6212,351340
203,472,352340,6212,352340
203,472,353340,6212,353340
203,472,353340,6212,353340
204,476,354340,6212,354340
204,476,355340,6212,355340
204,476,356150,6212,356150
204,476,357150,6212,357150
204,476,357150,6212,357150
205,480,358150,6212,358150
205,480,359150,6212,359150
205,480,360150,6212,360150
205,480,360620,6212,360620
206,484,361620,6212,361620
206,484,362620,6212,362620
206,484,363430,6212,363430
206,484,364240,6212,364240
207,488,365240,6212,365240
207,488,365240,6212,365240
207,488,365240,6212,365240
207,488,366240,6212,366240
207,488,366470,6212,366470
207,488,367470,6212,367470
207,488,368470,6212,368470
207,488,369280,6212,369280
208,492,369930,6212,369930
208,492,369930,6212,369930
208,492,370930,6212,370930
208,492,371930,6212,371930
208,492,372390,6212,372390
208,492,373200,6212,373200
209,494,374200,6212,374200
209,494,375200,6212,375200
210,502,376200,6212,376200
211,504,377200,6212,377200
211,504,378010,6212,378010
211,504,378010,6212,378010
212,506,379010,6212,379010
212,506,380010,6212,380010
213,508,381010,6212,381010
213,508,381480,6212,381480
213,508,382480,6212,382480
214,510,383480,6212,383480
214,510,383480,6212,383480
214,510,384480,6212,384480
215,512,385290,6212,385290
215,512,385520,6212,385520
215,512,386520,6212,386520
216,514,387520,6212,387520
216,514,388520,6212,388520
216,514,389520,6212,389520
216,514,389520,6212,389990
216,514,390520,6212,390990
216,514,391520,6212,391990
216,514,392520,6212,392990
216,514,393520,6212,393990
217,516,394330,6212,394800
217,516,395330,6212,395800
218,518,396330,6212,396800
218,518,397330,6212,397800
218,518,397560,6212,398030
218,518,397560,6212,398030
218,518,398560,6212,399030
219,520,399370,6212,399840
219,520,400370,6212,400840
220,522,401370,6212,401840
220,522,401690,6212,402160
220,522,402690,6212,403160
220,522,402690,6212,403160
220,522,403690,6212,404160
221,524,404500,6212,404970
221,524,405050,6212,405520
221,524,405050,6212,405520
221,524,405210,6212,405680
221,524,405530,6212,406000
222,526,406340,6212,406810
222,526,406810,6212,407280
222,526,407810,6212,408280
222,526,408620,6212,409090
222,526,409090,6212,409560
222,526,409550,6212,410020
223,528,410550,6212,411020
223,528,411550,6212,412020
224,530,412550,6212,413020
224,530,412770,6212,413240
224,530,412770,6212,413240
224,530,413770,6212,414240
225,538,421770,6212,422240
225,538,422770,6212,423240
225,538,423580,6212,424050
225,538,423580,6212,424050
226,540,424580,6212,425050
226,540,425580,6212,426050
226,540,425800,6212,426270
227,542,426450,6212,426920
227,542,427450,6212,427920
228,544,428450,6212,428920
228,544,429450,6212,429920
229,546,430100,6212,430570
229,546,430910,6212,431380
230,548,431910,6212,432380
230,548,432560,6212,433030
231,550,433030,6212,433500
231,550,433030,6212,433500
231,550,433840,6212,434310
231,550,434310,6212,434780
232,552,434780,6212,435250
232,552,435250,6212,435720
232,552,435720,6212,436190
233,554,436530,6212,437000
233,554,437530,6212,438000
233,554,437850,6212,438320
234,556,438850,6212,439320
234,556,439660,6212,440130
234,556,440130,6212,440600
235,558,441130,6212,441600
235,558,441450,6212,441920
235,558,442260,6212,442730
235,558,442420,6212,442890
236,560,443420,6212,443890
236,560,444070,6212,444540
236,560,444070,6212,444540
237,568,445070,6212,445540
238,570,445540,6212,446010
238,570,446540,6212,447010
238,570,446860,6212,447330
239,572,447860,6212,448330
239,572,448860,6212,449330
239,572,449230,6212,449700
240,574,450230,6212,450700
240,574,451230,6212,451700
241,576,452230,6212,452700
241,576,453230,6212,453700
241,576,454230,6212,454700
241,576,455230,6212,455700
242,578,456230,6212,456700
242,578,456230,6212,456700
242,578,456230,6212,456700
242,578,456460,6212,456930
242,578,457460,6212,457930
242,578,457460,6212,457930
242,578,457780,6212,458250
243,580,458250,6212,458720
244,588,459250,6212,459720
244,588,460250,6212,460720
245,590,461250,6212,461720
245,590,462060,6212,462530
246,592,462870,6212,463340
246,592,463350,6212,463820
246,592,464350,6212,464820
247,594,465350,6212,465820
247,594,466350,6212,466820
247,594,466350,6212,466820
248,596,467350,6212,467820
248,596,468350,6212,468820
249,598,469160,6212,469630
249,598,470160,6212,470630
250,600,470630,6212,471100
