ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec10-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_01d8-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1179977.54,19.0,0.41,220672.72,3.55
1179540.33,18.99,0.4,220139.14,3.54
1179373.3,18.99,0.4,220061.65,3.54
1179208.08,18.99,0.4,220048.0,3.54
1179041.04,18.99,0.4,220043.86,3.54
1178610.03,18.99,0.4,219654.16,3.54
1178514.37,18.99,0.4,219462.13,3.54
1178671.22,18.99,0.4,219500.24,3.54
1178234.02,18.99,0.4,218966.67,3.53
1178029.88,18.98,0.4,219052.35,3.53
1177592.68,18.98,0.39,218518.77,3.52
1177425.64,18.98,0.39,218411.3,3.52
1177687.63,18.99,0.4,218509.84,3.52
1177328.61,18.98,0.39,218500.37,3.52
1177328.61,18.98,0.39,218500.37,3.52
1177161.58,18.98,0.39,218394.61,3.52
1177074.38,18.98,0.39,218211.04,3.52
1176987.19,18.98,0.39,218027.48,3.52
1176367.72,18.98,0.39,217449.32,3.51
1176200.69,18.98,0.39,217438.59,3.51
1176200.69,18.98,0.39,217438.59,3.51
1176462.68,18.98,0.39,217724.77,3.51
1176462.68,18.98,0.39,217739.24,3.51
1176483.61,18.98,0.39,217839.86,3.52
1176325.65,18.98,0.39,217792.67,3.51
1176325.65,18.98,0.39,217792.67,3.51
1175706.18,18.97,0.39,217214.51,3.51
1175539.15,18.98,0.39,217104.39,3.5
1175101.94,18.97,0.38,216570.82,3.5
1174934.91,18.97,0.38,216488.42,3.5
1174825.16,18.97,0.38,216380.95,3.49
1174658.13,18.97,0.38,216376.65,3.49
1174658.13,18.97,0.38,216376.65,3.49
1174289.11,18.97,0.37,216074.5,3.49
1174122.07,18.97,0.37,216071.04,3.49
1173955.04,18.97,0.37,215987.81,3.49
1173788.01,18.97,0.37,215977.08,3.49
1173620.98,18.97,0.37,215901.12,3.49
1173453.94,18.97,0.37,215890.38,3.49
1173715.93,18.97,0.38,216176.57,3.49
1173715.93,18.97,0.38,216176.57,3.49
1173548.9,18.97,0.38,216094.47,3.49
1173548.9,18.97,0.38,216094.47,3.49
1173381.87,18.97,0.38,216089.88,3.49
1173160.6,18.97,0.38,215930.5,3.49
1172993.56,18.97,0.38,215848.3,3.49
1172993.56,18.97,0.38,215848.3,3.49
1173047.9,18.97,0.38,215806.27,3.49
1172422.24,18.97,0.37,215084.24,3.48
1172083.65,18.96,0.37,214438.15,3.47
1172083.65,18.96,0.37,214438.15,3.47
1172003.31,18.96,0.37,214428.2,3.47
1171836.28,18.96,0.37,214423.71,3.47
1171669.24,18.96,0.37,214341.45,3.47
1171043.58,18.96,0.36,213619.43,3.46
1171051.49,18.96,0.36,213528.94,3.46
1170884.46,18.96,0.36,213524.51,3.46
1170717.42,18.96,0.36,213442.25,3.46
1170091.76,18.95,0.36,212720.22,3.45
1169654.56,18.95,0.35,212186.65,3.44
1169028.89,18.94,0.35,211464.62,3.43
1168403.23,18.93,0.34,210742.59,3.41
1168129.67,18.93,0.34,210471.04,3.41
1167962.63,18.93,0.34,210466.61,3.41
1167336.97,18.92,0.33,209744.58,3.4
1167169.94,18.92,0.33,209733.85,3.4
1167002.91,18.92,0.33,209657.89,3.4
1167002.91,18.92,0.33,209657.89,3.4
1166835.87,18.92,0.33,209575.5,3.4
1166668.84,18.92,0.33,209571.2,3.4
1166573.18,18.92,0.33,209379.17,3.4
1166135.97,18.92,0.32,208845.59,3.39
1165968.94,18.92,0.32,208834.86,3.39
1165801.91,18.92,0.32,208758.9,3.39
1165364.7,18.92,0.32,208225.33,3.38
1165364.7,18.92,0.32,208225.33,3.38
1165197.67,18.92,0.32,208207.96,3.38
1165030.64,18.92,0.32,208194.86,3.38
1164692.05,18.91,0.32,207548.77,3.37
1163954.73,18.91,0.32,207549.52,3.37
1163954.73,18.91,0.32,207549.52,3.37
1163434.39,18.91,0.31,207099.58,3.37
1163434.39,18.91,0.31,207099.58,3.37
1163455.32,18.91,0.31,207095.49,3.37
1163288.29,18.91,0.31,207274.3,3.37
1163095.31,18.91,0.31,206495.59,3.36
1163095.31,18.91,0.31,206495.59,3.36
1163009.49,18.91,0.31,206526.97,3.36
1162842.46,18.91,0.31,206444.71,3.36
1162675.43,18.91,0.31,206440.28,3.36
1162508.39,18.91,0.31,206357.86,3.36
1162341.36,18.91,0.31,206353.58,3.36
1162498.22,18.92,0.32,206391.69,3.36
1162519.15,18.92,0.32,206700.67,3.36
1162352.12,18.92,0.32,206618.44,3.36
1162185.08,18.92,0.32,206613.98,3.36
1162447.07,18.93,0.33,206712.52,3.37
1162153.19,18.92,0.32,206491.17,3.36
1162153.19,18.92,0.32,206491.17,3.36
1162174.12,18.93,0.33,206797.9,3.37
1162195.05,18.93,0.33,206898.53,3.37
1162442.06,18.93,0.33,207305.06,3.38
1162462.99,18.94,0.34,207405.69,3.38
1162462.99,18.94,0.34,207405.69,3.38
1162462.99,18.94,0.34,207405.69,3.38
1162295.96,18.94,0.34,207401.83,3.38
1162128.93,18.94,0.34,207319.57,3.38
