name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0260,,G2,96,8,412316860416,20000,5,24748,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,3600,180,3600
0001-openb-node-0858,,G2,96,8,412316860416,20000,4,10900,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0002-openb-node-0619,,G2,96,8,412316860416,20000,1,8000,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0003-openb-node-0582,,G2,96,8,412316860416,20000,1,31800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0004-openb-node-0882,,T4,104,2,549755813888,15109,7,3200,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0005-openb-node-1135,,G2,96,8,412316860416,20000,9,42340,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,90,1800,0,0,90,1800
0006-openb-node-0431,,P100,16,2,128849018880,16280,3,7848,128849018880,0,0,30,488,0,0,0,0,0,0,0,0,0,0,0,0,30,488
0007-openb-node-1096,,T4,104,2,549755813888,15109,7,692,549755813888,10,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,151
0008-openb-node-1052,,P100,16,2,128849018880,16280,4,1696,128849018880,30,488,30,488,0,0,0,0,0,0,0,0,0,0,0,0,60,976
0009-openb-node-0985,,P100,16,2,128849018880,16280,3,5848,128849018880,0,0,80,1302,0,0,0,0,0,0,0,0,0,0,0,0,80,1302
0010-openb-node-1151,,T4,104,2,549755813888,15109,8,1492,549755813888,20,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,302
0011-openb-node-1171,,G2,96,8,412316860416,20000,1,31800,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0012-openb-node-0016,,P100,64,2,274877906944,16280,3,36000,274877906944,60,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,976
0013-openb-node-0003,,P100,64,2,274877906944,16280,4,32792,274877906944,0,0,10,162,0,0,0,0,0,0,0,0,0,0,0,0,10,162
0014-openb-node-0877,,T4,104,2,549755813888,15109,7,3192,549755813888,0,0,60,906,0,0,0,0,0,0,0,0,0,0,0,0,60,906
