ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
1,2,0,6212,0
2,10,810,6212,810
3,12,1810,6212,1810
4,20,2810,6212,2810
5,22,3810,6212,3810
6,30,4620,6212,4620
7,34,5090,6212,5090
8,36,5740,6212,5740
9,38,6550,6212,6550
10,40,6780,6212,6780
11,42,7590,6212,7590
12,50,8590,6212,8590
13,52,9060,6212,9060
14,60,9520,6212,9520
15,64,9520,6212,9520
16,72,10520,6212,10520
17,74,10980,6212,10980
18,76,11440,6212,11440
19,84,12440,6212,12440
20,92,13440,6212,13440
21,100,13440,6212,13440
22,108,13910,6212,13910
23,116,13910,6212,13910
24,124,14720,6212,14720
25,126,14880,6212,14880
26,128,14880,6212,14880
27,136,15880,6212,15880
28,144,16880,6212,16880
29,146,17690,6212,17690
30,148,18690,6212,18690
31,156,18800,6212,18800
32,164,19800,6212,19800
33,172,19800,6212,19800
34,180,20270,6212,20270
35,188,21270,6212,21270
36,190,22270,6212,22270
37,192,23270,6212,23270
38,194,24270,6212,24270
39,202,25270,6212,25270
40,204,25740,6212,25740
41,212,25740,6212,25740
42,214,26740,6212,26740
42,214,26740,6212,26740
43,222,27740,6212,27740
44,230,28060,6212,28060
45,238,29060,6212,29060
46,246,29060,6212,29060
47,254,29380,6212,29380
48,262,30380,6212,30380
49,264,31190,6212,31190
50,272,31190,6212,31190
51,274,31560,6212,31560
52,282,32560,6212,32560
53,290,33560,6212,33560
53,290,34560,6212,34560
54,292,34880,6212,34880
55,294,35880,6212,35880
56,298,36880,6212,36880
57,306,37880,6212,37880
58,308,38690,6212,38690
59,316,39690,6212,39690
60,324,40690,6212,40690
61,326,41010,6212,41010
62,334,42010,6212,42010
63,336,43010,6212,43010
64,344,44010,6212,44010
64,344,45010,6212,45010
65,346,45010,6212,45010
66,354,46010,6212,46010
67,356,47010,6212,47010
68,358,47480,6212,47480
69,360,48290,6212,48290
70,362,49290,6212,49290
71,364,50290,6212,50290
72,372,51100,6212,51100
73,380,51100,6212,51100
74,382,52100,6212,52100
75,390,53100,6212,53100
76,398,53910,6212,53910
77,406,57910,6212,57910
78,414,57910,6212,57910
79,416,58720,6212,58720
80,424,58720,6212,58720
81,432,59530,6212,59530
82,434,60530,6212,60530
83,436,61530,6212,61530
84,444,61530,6212,61530
85,452,62340,6212,62340
86,460,63340,6212,63340
87,462,64340,6212,64340
88,470,65340,6212,65340
89,472,66340,6212,66340
90,480,66990,6212,66990
91,488,67800,6212,67800
92,496,68800,6212,68800
93,498,69800,6212,69800
94,500,70270,6212,70270
95,508,70590,6212,70590
96,510,70590,6212,70590
97,512,71400,6212,71400
98,514,72210,6212,72210
99,522,72760,6212,72760
100,524,73570,6212,73570
101,526,73570,6212,73570
102,534,73570,6212,73570
103,536,74570,6212,74570
103,536,75570,6212,75570
103,536,76570,6212,76570
104,538,77380,6212,77380
105,540,78380,6212,78380
106,542,78850,6212,78850
107,550,79850,6212,79850
108,552,80850,6212,80850
109,554,81660,6212,81660
110,562,82660,6212,82660
111,564,83660,6212,83660
111,564,84660,6212,84660
112,572,84660,6212,84660
113,576,84660,6212,84660
114,584,84660,6212,84660
115,586,84660,6212,84660
116,594,85660,6212,85660
117,598,86660,6212,86660
118,600,87660,6212,87660
119,602,88470,6212,88470
120,604,88470,6212,88470
121,606,88470,6212,88470
122,614,89470,6212,89470
123,622,89470,6212,89470
124,624,89470,6212,89470
125,632,89470,6212,89470
126,640,90120,6212,90120
127,648,90930,6212,90930
128,650,90930,6212,90930
129,658,91930,6212,91930
130,666,92930,6212,92930
131,674,93400,6212,93400
132,682,94400,6212,94400
133,684,95400,6212,95400
134,692,96210,6212,96210
135,694,97210,6212,97210
136,696,98210,6212,98210
137,704,98210,6212,98210
138,706,98860,6212,98860
139,708,99860,6212,99860
140,710,99860,6212,99860
141,712,100510,6212,100510
142,720,100980,6212,100980
143,722,101980,6212,101980
144,730,102790,6212,102790
145,738,103600,6212,103600
146,740,104600,6212,104600
147,742,105410,6212,105410
148,750,106410,6212,106410
149,752,106880,6212,106880
150,754,107880,6212,107880
151,762,108880,6212,108880
151,762,109690,6212,109690
152,764,110690,6212,110690
153,766,111010,6212,111010
154,768,111560,6212,111560
155,776,112560,6212,112560
156,778,113560,6212,113560
