ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9dac-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
1605509.88,25.85,0.39,212265.5,3.42
1605465.65,25.85,0.4,212275.47,3.42
1605259.45,25.85,0.4,212204.4,3.42
1605026.91,25.85,0.4,212192.05,3.42
1605154.61,25.86,0.4,212008.58,3.41
1605110.38,25.86,0.41,212018.55,3.42
1605298.4,25.86,0.41,211753.65,3.41
1605772.49,25.87,0.42,211863.39,3.41
1605754.33,25.88,0.42,211959.78,3.42
1606141.66,25.88,0.43,211973.15,3.42
1606123.5,25.89,0.43,212069.54,3.42
1605890.96,25.89,0.43,212072.15,3.42
1606118.48,25.89,0.44,212156.55,3.42
1606337.33,25.9,0.44,212156.02,3.42
1606337.33,25.9,0.44,212117.27,3.42
1606104.79,25.9,0.45,212104.92,3.42
1606589.18,25.91,0.46,212107.69,3.42
1606824.88,25.91,0.46,212105.17,3.42
1606592.35,25.91,0.46,212106.2,3.42
1606359.81,25.92,0.46,212108.81,3.42
1606391.83,25.92,0.46,212121.54,3.42
1606602.32,25.92,0.47,212127.11,3.42
1606634.34,25.92,0.47,212139.84,3.42
1606544.4,25.92,0.47,212071.51,3.42
1606876.69,25.93,0.48,212004.83,3.42
1606876.69,25.93,0.48,211944.22,3.42
1606644.15,25.93,0.48,211945.24,3.42
1606411.62,25.93,0.48,211947.85,3.42
1606342.08,25.93,0.48,211509.46,3.41
1606485.01,25.94,0.49,211296.23,3.41
1606856.8,25.95,0.49,211279.61,3.41
1606624.26,25.95,0.49,211282.22,3.41
1606640.79,25.95,0.49,211276.4,3.41
1606828.81,25.95,0.5,211284.53,3.41
1606596.28,25.95,0.5,211289.86,3.41
1606390.08,25.95,0.5,211287.83,3.41
1606517.77,25.96,0.51,211104.36,3.41
1606311.58,25.96,0.51,211102.19,3.41
1606056.57,25.96,0.51,211107.78,3.41
1606284.09,25.97,0.51,211192.17,3.41
1606316.11,25.97,0.51,211204.91,3.41
1606109.91,25.97,0.51,211134.08,3.41
1606109.91,25.97,0.51,211065.04,3.41
1605877.38,25.97,0.51,211063.92,3.41
1606163.21,25.97,0.52,211070.81,3.41
1605930.68,25.97,0.52,211060.88,3.41
1605947.2,25.97,0.52,211055.06,3.41
1606255.51,25.98,0.53,211051.75,3.41
1606022.97,25.98,0.53,211052.77,3.41
1605953.43,25.98,0.53,210614.38,3.41
1605969.96,25.98,0.53,210601.6,3.41
1606268.17,25.99,0.53,210533.78,3.41
1606035.63,25.99,0.54,210539.11,3.41
1605780.63,25.99,0.54,210538.13,3.41
1605516.07,25.99,0.54,210509.41,3.41
1605834.03,26.0,0.54,210593.85,3.41
1605627.83,26.0,0.54,210523.21,3.41
1605426.28,26.0,0.54,210503.57,3.41
1605193.75,26.0,0.54,210500.96,3.41
1605124.21,26.0,0.55,210062.57,3.4
1604891.67,26.0,0.55,210059.4,3.4
1604659.13,26.0,0.55,210060.43,3.4
1604977.09,26.01,0.55,210144.86,3.41
