name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0260,,G2,96,8,412316860416,20000,8,7730,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0001-openb-node-0858,,G2,96,8,412316860416,20000,9,984,412316860416,0,0,0,0,0,0,300,6000,0,0,0,0,360,7200,1000,20000,1660,33200
0002-openb-node-0619,,G2,96,8,412316860416,20000,2,0,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0003-openb-node-0582,,G2,96,8,412316860416,20000,9,2426,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0004-openb-node-0882,,T4,104,2,549755813888,15109,6,1048,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0005-openb-node-1135,,G2,96,8,412316860416,20000,4,3300,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0006-openb-node-0431,,P100,16,2,128849018880,16280,2,0,128849018880,530,8628,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1530,24908
0007-openb-node-1096,,T4,104,2,549755813888,15109,11,1848,549755813888,20,302,30,453,0,0,0,0,0,0,0,0,0,0,0,0,50,755
0008-openb-node-1052,,P100,16,2,128849018880,16280,3,648,128849018880,0,0,80,1302,0,0,0,0,0,0,0,0,0,0,0,0,80,1302
0009-openb-node-0985,,P100,16,2,128849018880,16280,2,1448,128849018880,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0010-openb-node-1151,,T4,104,2,549755813888,15109,9,640,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0011-openb-node-1171,,G2,96,8,412316860416,20000,10,22,412316860416,0,0,0,0,0,0,30,600,0,0,350,7000,30,600,0,0,410,8200
0012-openb-node-0016,,P100,64,2,274877906944,16280,3,4300,274877906944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
