ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
1,8,0,6212,0
2,9,810,6212,810
3,11,1810,6212,1810
3,11,2810,6212,2810
4,12,3810,6212,3810
5,13,4620,6212,4620
6,14,5090,6212,5090
7,16,5740,6212,5740
8,18,6550,6212,6550
8,18,6780,6212,6780
9,20,7590,6212,7590
10,21,8590,6212,8590
10,21,9060,6212,9060
10,21,9520,6212,9520
10,21,9520,6212,9520
11,23,10520,6212,10520
12,24,10980,6212,10980
12,24,11440,6212,11440
12,24,12440,6212,12440
13,26,13440,6212,13440
13,26,13440,6212,13440
14,28,13910,6212,13910
14,28,13910,6212,13910
14,28,14720,6212,14720
14,28,14880,6212,14880
14,28,14880,6212,14880
14,28,15880,6212,15880
15,36,16880,6212,16880
15,36,17690,6212,17690
16,38,18690,6212,18690
16,38,18800,6212,18800
16,38,19800,6212,19800
16,38,19800,6212,19800
16,38,20270,6212,20270
16,38,21270,6212,21270
16,38,22270,6212,22270
16,38,23270,6212,23270
16,38,24270,6212,24270
16,38,25270,6212,25270
17,40,25740,6212,25740
18,48,25740,6212,25740
19,50,26740,6212,26740
19,50,26740,6212,26740
19,50,27740,6212,27740
19,50,28060,6212,28060
20,52,29060,6212,29060
20,52,29060,6212,29060
20,52,29380,6212,29380
20,52,30380,6212,30380
21,53,31190,6212,31190
21,53,31190,6212,31190
21,53,31560,6212,31560
22,55,32560,6212,32560
23,63,33560,6212,33560
23,63,34560,6212,34560
24,64,34880,6212,34880
24,64,35880,6212,35880
24,64,36880,6212,36880
24,64,37880,6212,37880
25,65,38690,6212,38690
25,65,39690,6212,39690
25,65,40690,6212,40690
26,67,41010,6212,41010
26,67,42010,6212,42010
26,67,43010,6212,43010
26,67,44010,6212,44010
26,67,45010,6212,45010
27,75,45010,6212,45010
28,83,46010,6212,46010
28,83,47010,6212,47010
