ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b3d0-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
1605509.88,25.85,0.39,213537.82,3.44
1605041.07,25.84,0.39,213009.32,3.43
1604834.87,25.84,0.39,212938.25,3.43
1604628.67,25.84,0.39,212933.08,3.43
1604337.39,25.84,0.39,212813.34,3.43
1603882.52,25.84,0.39,212427.67,3.42
1603754.93,25.84,0.39,212240.67,3.42
1604229.02,25.85,0.4,212350.41,3.42
1604210.86,25.85,0.4,212446.8,3.42
1604598.19,25.86,0.41,212867.9,3.43
1604580.03,25.86,0.41,212964.29,3.43
1604288.75,25.86,0.41,212844.55,3.43
1603985.26,25.86,0.4,212717.87,3.43
1604220.96,25.86,0.41,213033.11,3.43
1604237.49,25.86,0.41,213022.64,3.43
1604346.46,25.87,0.42,212773.13,3.43
1604241.57,25.87,0.42,212737.7,3.43
1603879.67,25.87,0.41,212510.66,3.43
1603164.63,25.86,0.41,211832.16,3.42
1603292.32,25.87,0.41,211648.69,3.41
1603307.82,25.87,0.41,211635.36,3.41
1603479.32,25.87,0.42,211715.91,3.42
1603811.92,25.88,0.42,218235.01,3.52
1603271.77,25.87,0.42,217737.26,3.51
1603113.73,25.87,0.41,217586.44,3.51
1607265.05,25.94,0.48,218828.85,3.53
1606531.29,25.93,0.47,218084.32,3.52
1606298.75,25.93,0.47,218086.4,3.52
1606221.08,25.93,0.48,218404.18,3.53
1605955.1,25.93,0.48,218329.37,3.53
1605846.33,25.93,0.48,218220.87,3.52
1605580.35,25.93,0.48,218212.82,3.52
1605580.35,25.93,0.48,218190.86,3.52
1605202.87,25.92,0.47,217952.97,3.52
1604938.31,25.92,0.47,217940.11,3.52
1604673.75,25.92,0.47,218214.88,3.53
1604409.2,25.92,0.47,218137.81,3.52
1604148.12,25.92,0.47,218043.35,3.52
1604032.44,25.93,0.47,218951.34,3.54
1604259.96,25.93,0.48,219035.74,3.54
1604291.98,25.93,0.48,219049.25,3.54
1604085.78,25.93,0.48,218978.43,3.54
1604085.78,25.93,0.48,218947.65,3.54
1603879.58,25.93,0.48,218942.24,3.54
1603653.7,25.93,0.48,218787.86,3.54
1603796.63,25.94,0.48,218574.64,3.54
1603796.63,25.94,0.48,220033.49,3.56
1604114.59,25.95,0.49,220747.64,3.57
1603365.59,25.94,0.48,220032.85,3.56
1602896.77,25.93,0.48,219504.35,3.55
1602981.47,25.93,0.48,220040.99,3.56
1602757.03,25.93,0.48,219750.16,3.56
1602491.05,25.93,0.48,219743.32,3.56
1602236.05,25.93,0.48,219742.34,3.56
1601970.07,25.93,0.48,219666.33,3.56
1601950.69,25.93,0.48,219580.95,3.55
1601663.67,25.93,0.48,219553.8,3.55
1601376.65,25.93,0.48,219582.24,3.56
1601089.62,25.93,0.48,219559.02,3.56
1600620.81,25.93,0.47,219030.52,3.55
1600337.27,25.93,0.48,219034.26,3.55
1600009.96,25.93,0.47,218258.45,3.54
1600327.92,25.93,0.48,218342.88,3.54
1600039.74,25.93,0.48,218325.19,3.54
1599685.57,25.93,0.48,218065.18,3.53
1599397.39,25.93,0.48,218055.06,3.54
1599109.2,25.93,0.48,218049.9,3.54
1599141.22,25.93,0.48,218063.41,3.54
1598886.22,25.93,0.48,218065.27,3.54
1598599.2,25.93,0.48,218040.28,3.54
1598282.87,25.93,0.48,217885.86,3.53
1598264.71,25.93,0.48,218267.25,3.54
1597977.68,25.93,0.48,218290.97,3.54
1597690.66,25.93,0.48,218258.6,3.54
1597221.85,25.93,0.47,217730.1,3.53
1600073.75,25.97,0.52,220069.17,3.57
1599790.22,25.97,0.52,220064.31,3.57
1599502.03,25.97,0.52,220153.21,3.57
1599033.22,25.97,0.52,219624.71,3.57
1598213.08,25.97,0.52,219581.4,3.57
1598213.08,25.97,0.52,219550.63,3.57
