ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_42dd-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1605509.88,25.85,0.39,214040.82,3.45
1605055.01,25.84,0.39,213655.15,3.44
1604848.81,25.84,0.39,213584.08,3.44
1604642.61,25.84,0.39,213578.91,3.44
1604436.42,25.84,0.39,213575.6,3.44
1603981.55,25.84,0.39,213189.93,3.43
1603853.96,25.84,0.39,213002.92,3.43
1603914.22,25.84,0.39,212987.29,3.43
1603896.06,25.85,0.39,213075.3,3.43
1604283.39,25.85,0.4,213088.3,3.43
1604265.23,25.86,0.4,213602.54,3.44
1604059.03,25.86,0.4,213599.23,3.44
1603755.55,25.85,0.4,213458.37,3.44
1603636.7,25.85,0.4,213280.11,3.44
1603636.7,25.85,0.4,213280.11,3.44
1603430.51,25.86,0.4,213202.75,3.44
1603325.61,25.86,0.4,213167.31,3.44
1603206.77,25.86,0.4,212989.06,3.43
1602653.25,25.85,0.39,212218.14,3.42
1602447.05,25.85,0.39,212214.83,3.42
1602447.05,25.85,0.39,212214.83,3.42
1602674.57,25.86,0.4,212500.13,3.43
1602674.57,25.86,0.4,212518.56,3.43
1602130.81,25.85,0.39,212009.91,3.42
1601972.77,25.85,0.39,211856.11,3.42
1601972.77,25.85,0.39,211856.11,3.42
1601315.19,25.84,0.39,211139.1,3.41
1601082.65,25.84,0.39,211141.71,3.41
1600613.84,25.84,0.38,210613.21,3.4
1600347.86,25.84,0.38,210862.75,3.4
1600245.85,25.84,0.38,210763.92,3.4
1600039.66,25.84,0.38,210760.6,3.4
1600039.66,25.84,0.38,210760.6,3.4
1599665.94,25.84,0.38,210457.94,3.4
1599401.38,25.84,0.38,210436.19,3.4
1599195.18,25.84,0.38,210358.83,3.4
1598988.99,25.84,0.38,210355.52,3.4
1598782.79,25.84,0.38,210278.15,3.4
1598576.59,25.84,0.38,210274.84,3.4
1598804.11,25.84,0.38,210560.14,3.4
1598804.11,25.84,0.38,210560.14,3.4
1598597.91,25.85,0.38,210485.01,3.4
1598597.91,25.85,0.38,210485.01,3.4
1598391.71,25.85,0.38,210479.46,3.4
1598165.83,25.84,0.38,210319.66,3.4
1597959.63,25.84,0.38,210244.6,3.4
1597959.63,25.84,0.38,210199.42,3.4
1597663.4,25.84,0.38,209912.67,3.4
1597005.82,25.83,0.37,209195.67,3.38
1596537.0,25.83,0.37,208667.17,3.38
1596537.0,25.83,0.37,208712.88,3.38
1596502.91,25.83,0.37,208618.72,3.38
1596296.71,25.83,0.37,208613.11,3.38
1596041.71,25.83,0.37,208612.13,3.38
1595384.12,25.83,0.36,207895.12,3.37
1595364.75,25.83,0.36,207809.74,3.36
1595158.55,25.83,0.36,207734.45,3.36
1594952.35,25.83,0.36,207729.07,3.36
1594294.77,25.82,0.36,207012.07,3.35
1593825.95,25.82,0.35,206483.57,3.34
1593168.37,25.81,0.35,205766.56,3.33
1592510.78,25.81,0.34,205049.56,3.32
1592828.74,25.81,0.35,205136.83,3.32
1592622.54,25.81,0.35,205493.54,3.33
1592069.03,25.81,0.34,204722.63,3.32
1591782.0,25.81,0.34,204695.48,3.32
1591575.81,25.81,0.34,204692.17,3.32
1591575.81,25.81,0.34,204660.69,3.32
1591288.78,25.81,0.34,204689.4,3.32
1591082.58,25.81,0.34,204612.03,3.32
1590766.26,25.81,0.34,204265.9,3.31
1590222.49,25.8,0.33,203757.26,3.31
1590016.3,25.8,0.33,203753.95,3.31
1589810.1,25.8,0.33,203676.58,3.31
1589341.29,25.8,0.33,203148.08,3.3
1589341.29,25.8,0.33,203188.22,3.3
1589135.09,25.8,0.33,203185.06,3.3
1588928.89,25.8,0.33,203107.54,3.3
1588460.08,25.79,0.32,202579.04,3.29
1587639.94,25.8,0.32,202535.71,3.29
1587639.94,25.8,0.32,202535.71,3.29
1587171.12,25.79,0.32,202007.21,3.28
1587171.12,25.79,0.32,202007.21,3.28
1586702.31,25.79,0.32,201478.71,3.27
1586496.11,25.79,0.32,201403.41,3.27
1585838.53,25.78,0.31,200686.41,3.26
1585838.53,25.78,0.31,200686.41,3.26
1585820.37,25.79,0.31,200864.58,3.27
1585614.17,25.79,0.31,200789.19,3.27
1585407.97,25.79,0.31,200783.9,3.27
1585201.78,25.79,0.31,200708.58,3.27
1584995.58,25.79,0.31,200703.23,3.27
1585114.12,25.8,0.32,200690.26,3.27
1585095.96,25.8,0.32,201057.16,3.27
1584889.76,25.8,0.32,200982.04,3.27
1584683.56,25.8,0.32,200976.49,3.27
1584911.08,25.81,0.32,201063.75,3.27
1584616.35,25.8,0.32,200841.66,3.27
1584616.35,25.8,0.32,200841.66,3.27
1584598.19,25.81,0.32,201166.4,3.28
1584580.03,25.81,0.33,201266.36,3.28
1584789.37,25.81,0.33,201679.47,3.29
1584771.21,25.82,0.33,201779.43,3.29
1584771.21,25.82,0.33,201779.43,3.29
1584771.21,25.82,0.33,201779.43,3.29
1584565.02,25.82,0.33,201782.34,3.29
1584300.46,25.82,0.33,201826.43,3.29
1584094.26,25.82,0.33,201823.27,3.29
1584076.1,25.82,0.34,201911.13,3.29
