ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_1522-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
1,8,0,6212,0
2,16,810,6212,810
3,24,1810,6212,1810
4,26,2810,6212,2810
5,28,3810,6212,3810
6,30,4620,6212,4620
7,38,5090,6212,5090
8,46,5740,6212,5740
9,48,6550,6212,6550
10,50,6780,6212,6780
11,52,7590,6212,7590
12,60,8590,6212,8590
13,68,9060,6212,9060
14,76,9520,6212,9520
15,78,9520,6212,9520
15,78,10520,6212,10520
16,86,10980,6212,10980
17,94,11440,6212,11440
18,102,12440,6212,12440
19,110,13440,6212,13440
20,112,13440,6212,13440
21,114,13910,6212,13910
22,122,13910,6212,13910
23,124,14720,6212,14720
24,126,14880,6212,14880
25,130,14880,6212,14880
26,132,15880,6212,15880
27,140,16880,6212,16880
28,144,17690,6212,17690
29,146,18690,6212,18690
30,154,18800,6212,18800
31,162,19800,6212,19800
32,170,19800,6212,19800
33,172,20270,6212,20270
34,180,21270,6212,21270
34,180,22270,6212,22270
35,188,23270,6212,23270
36,192,24270,6212,24270
37,200,25270,6212,25270
38,202,25740,6212,25740
39,210,25740,6212,25740
40,218,26740,6212,26740
41,222,26740,6212,26740
42,230,27740,6212,27740
43,232,28060,6212,28060
44,240,29060,6212,29060
45,248,29060,6212,29060
46,256,29380,6212,29380
47,258,30380,6212,30380
48,260,31190,6212,31190
49,262,31190,6212,31190
50,264,31560,6212,31560
51,272,32560,6212,32560
52,280,33560,6212,33560
53,288,34560,6212,34560
54,290,34880,6212,34880
55,292,35880,6212,35880
56,300,36880,6212,36880
57,308,37880,6212,37880
58,316,38690,6212,38690
59,324,39690,6212,39690
60,332,40690,6212,40690
61,334,41010,6212,41010
62,342,42010,6212,42010
63,344,43010,6212,43010
64,352,44010,6212,44010
65,354,45010,6212,45010
66,356,45010,6212,45010
67,364,46010,6212,46010
68,366,47010,6212,47010
69,368,47480,6212,47480
70,369,48290,6212,48290
70,369,49290,6212,49290
71,373,50290,6212,50290
72,381,51100,6212,51100
73,389,51100,6212,51100
74,391,52100,6212,52100
75,393,53100,6212,53100
76,401,53910,6212,53910
77,409,57910,6212,57910
78,411,57910,6212,57910
79,419,58720,6212,58720
80,421,58720,6212,58720
81,429,59530,6212,59530
82,433,60530,6212,60530
83,441,61530,6212,61530
84,443,61530,6212,61530
85,445,62340,6212,62340
86,453,63340,6212,63340
87,455,64340,6212,64340
88,457,65340,6212,65340
89,465,66340,6212,66340
90,467,66990,6212,66990
91,475,67800,6212,67800
92,483,68800,6212,68800
93,487,69800,6212,69800
94,489,70270,6212,70270
95,491,70590,6212,70590
96,493,70590,6212,70590
97,497,71400,6212,71400
98,505,72210,6212,72210
99,509,72760,6212,72760
100,511,73570,6212,73570
101,513,73570,6212,73570
102,521,73570,6212,73570
103,523,74570,6212,74570
104,525,75570,6212,75570
105,527,76570,6212,76570
106,529,77380,6212,77380
107,531,78380,6212,78380
108,539,78850,6212,78850
108,539,79850,6212,79850
109,547,80850,6212,80850
110,555,81660,6212,81660
111,563,82660,6212,82660
112,567,83660,6212,83660
113,569,84660,6212,84660
114,577,84660,6212,84660
114,577,84660,6212,84660
115,585,84660,6212,84660
116,587,84660,6212,84660
117,595,85660,6212,85660
118,597,86660,6212,86660
119,599,87660,6212,87660
120,601,88470,6212,88470
121,603,88470,6212,88470
122,611,88470,6212,88470
123,613,89470,6212,89470
124,615,89470,6212,89470
125,619,89470,6212,89470
126,627,89470,6212,89470
127,629,90120,6212,90120
128,637,90930,6212,90930
129,639,90930,6212,90930
130,641,91930,6212,91930
131,649,92930,6212,92930
131,649,93400,6212,93400
132,651,94400,6212,94400
133,659,95400,6212,95400
134,661,96210,6212,96210
135,669,97210,6212,97210
136,671,98210,6212,98210
137,679,98210,6212,98210
138,681,98860,6212,98860
139,683,99860,6212,99860
140,685,99860,6212,99860
141,687,100510,6212,100510
142,695,100980,6212,100980
143,703,101980,6212,101980
144,705,102790,6212,102790
145,707,103600,6212,103600
146,709,104600,6212,104600
147,711,105410,6212,105410
148,713,106410,6212,106410
148,713,106880,6212,106880
149,715,107880,6212,107880
150,723,108880,6212,108880
151,725,109690,6212,109690
152,733,110690,6212,110690
153,735,111010,6212,111010
154,737,111560,6212,111560
155,739,112560,6212,112560
156,747,113560,6212,113560
157,755,114020,6212,114020
158,763,115020,6212,115020
159,771,115830,6212,115830
160,773,116830,6212,116830
160,773,117830,6212,117830
161,781,118150,6212,118150
162,789,119150,6212,119150
163,791,119470,6212,119470
164,799,120470,6212,120470
165,801,120790,6212,120790
166,803,120790,6212,120790
167,807,121790,6212,121790
168,811,121790,6212,121790
169,813,122790,6212,122790
170,821,123790,6212,123790
171,823,124600,6212,124600
172,825,125600,6212,125600
173,833,125600,6212,125600
174,835,126600,6212,126600
175,843,127070,6212,127070
175,843,127880,6212,127880
176,851,128880,6212,128880
177,859,129530,6212,129530
178,867,129530,6212,129530
179,875,129530,6212,129530
180,883,129760,6212,129760
181,891,130080,6212,130080
182,893,130400,6212,130400
183,895,131210,6212,131210
184,897,132210,6212,132210
184,897,133020,6212,133020
185,905,133020,6212,133020
186,913,133020,6212,133020
187,915,134020,6212,134020
188,923,134830,6212,134830
189,931,134830,6212,134830
190,932,134830,6212,134830
191,940,135640,6212,135640
192,942,135960,6212,135960
193,944,136960,6212,136960
193,944,137960,6212,137960
194,946,138960,6212,138960
195,954,139610,6212,139610
195,954,140610,6212,140610
195,954,141420,6212,141420
196,956,141420,6212,141420
196,956,142420,6212,142420
197,964,143420,6212,143420
198,966,144420,6212,144420
199,968,145230,6212,145230
200,976,145600,6212,145600
201,978,146070,6212,146070
202,980,147070,6212,147070
203,982,147540,6212,147540
204,984,148540,6212,148540
205,992,149540,6212,149540
206,1000,150010,6212,150010
207,1008,151010,6212,151010
207,1008,151820,6212,151820
208,1016,152630,6212,152630
209,1018,153630,6212,153630
210,1026,153630,6212,153630
211,1028,154630,6212,154630
212,1032,155100,6212,155100
212,1032,156100,6212,156100
213,1034,156570,6212,156570
214,1036,156940,6212,156940
215,1038,157940,6212,157940
216,1046,158750,6212,158750
217,1048,159560,6212,159560
218,1050,160020,6212,160020
218,1050,160830,6212,160830
219,1054,161480,6212,161480
220,1056,161710,6212,161710
221,1058,161710,6212,161710
222,1066,161710,6212,161710
223,1074,161710,6212,161710
224,1082,162710,6212,162710
225,1084,163520,6212,163520
226,1092,167520,6212,167520
226,1092,168520,6212,168520
226,1092,169520,6212,169520
227,1100,170520,6212,170520
228,1102,171520,6212,171520
229,1110,172520,6212,172520
230,1118,172990,6212,172990
231,1126,173990,6212,173990
232,1128,174990,6212,174990
233,1136,175460,6212,175460
234,1138,176460,6212,176460
234,1138,177460,6212,177460
235,1146,178270,6212,178270
236,1148,179270,6212,179270
237,1150,179740,6212,179740
237,1150,180740,6212,180740
237,1150,181740,6212,181740
238,1158,182740,6212,182740
239,1166,183740,6212,183740
240,1174,184740,6212,184740
241,1182,185200,6212,185200
242,1190,186200,6212,186200
242,1190,186200,6212,186200
243,1198,187200,6212,187200
243,1198,188200,6212,188200
243,1198,189200,6212,189200
244,1200,189520,6212,189520
245,1201,190330,6212,190330
245,1201,191140,6212,191140
246,1203,191690,6212,191690
246,1203,192160,6212,192160
247,1211,192160,6212,192160
248,1219,192390,6212,192390
249,1221,192860,6212,192860
249,1221,193080,6212,193080
249,1221,194080,6212,194080
250,1229,194890,6212,194890
251,1237,195890,6212,195890
252,1245,196700,6212,196700
253,1247,196700,6212,196700
254,1255,197170,6212,197170
255,1263,198170,6212,198170
256,1271,199170,6212,199170
257,1279,199980,6212,199980
258,1281,200980,6212,200980
259,1283,201980,6212,201980
260,1285,202450,6212,202450
260,1285,203450,6212,203450
261,1293,204260,6212,204260
262,1301,205260,6212,205260
263,1303,205730,6212,205730
264,1311,205730,6212,205730
265,1313,206540,6212,206540
266,1321,207350,6212,207350
266,1321,207350,6212,207350
267,1329,208350,6212,208350
267,1329,209350,6212,209350
268,1330,209580,6212,209580
269,1338,211580,6212,211580
269,1338,211580,6212,211580
270,1340,212390,6212,212390
271,1342,212390,6212,212390
272,1350,213390,6212,213390
273,1358,214390,6212,214390
274,1366,215200,6212,215200
275,1368,216200,6212,216200
276,1376,217200,6212,217200
277,1380,218200,6212,218200
278,1382,219010,6212,219010
278,1382,219330,6212,219330
279,1384,220140,6212,220140
280,1386,221140,6212,221140
281,1394,222140,6212,222140
282,1396,222140,6212,222140
283,1404,223140,6212,223140
283,1404,223790,6212,223790
284,1408,223790,6212,223790
285,1416,224790,6212,224790
285,1416,226790,6212,226790
286,1418,227020,6212,227020
287,1422,227490,6212,227490
288,1430,228490,6212,228490
289,1432,229300,6212,229300
290,1434,230300,6212,230300
290,1434,231300,6212,231300
290,1434,232300,6212,232300
290,1434,233110,6212,233110
291,1442,233110,6212,233110
292,1450,233920,6212,233920
292,1450,234510,6212,234510
293,1452,234830,6212,234830
294,1454,235830,6212,235830
294,1454,235830,6212,235830
295,1456,235830,6212,235830
296,1458,236300,6212,236300
297,1460,237110,6212,237110
297,1460,237110,6212,237110
298,1462,238110,6212,238110
299,1464,238340,6212,238340
299,1464,239340,6212,239340
299,1464,240340,6212,240340
299,1464,241340,6212,241340
299,1464,241340,6212,241340
300,1466,241660,6212,241660
300,1466,242130,6212,242130
301,1474,243130,6212,243130
302,1482,243130,6212,243130
303,1490,243780,6212,243780
304,1492,244590,6212,244590
305,1500,252590,6212,252590
305,1500,253590,6212,253590
306,1508,254590,6212,254590
306,1508,255590,6212,255590
307,1510,256240,6212,256240
308,1512,257240,6212,257240
309,1520,257710,6212,257710
310,1522,258710,6212,258710
311,1530,259710,6212,259710
311,1530,260710,6212,260710
311,1530,261710,6212,261710
312,1532,262710,6212,262710
313,1534,262940,6212,262940
314,1542,263940,6212,263940
314,1542,264940,6212,264940
315,1550,265750,6212,265750
316,1552,266560,6212,266560
316,1552,267030,6212,267030
317,1560,268030,6212,268030
318,1568,269030,6212,269030
319,1570,270030,6212,270030
320,1578,271030,6212,271030
321,1586,271030,6212,271030
322,1588,271580,6212,271580
323,1590,272050,6212,272050
324,1598,272700,6212,272700
324,1598,272700,6212,272700
325,1606,273700,6212,273700
326,1608,274700,6212,274700
327,1610,275510,6212,275510
328,1612,275980,6212,275980
329,1620,276980,6212,276980
