ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_98fe-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
1794838.48,28.89,0.38,206343.18,3.32
1794351.18,28.89,0.38,205813.13,3.31
1794052.8,28.89,0.38,205742.94,3.31
1794111.67,28.89,0.38,205493.59,3.31
1793896.18,28.9,0.38,205486.22,3.31
1793867.1,28.9,0.39,205586.23,3.31
1794074.7,28.9,0.39,205486.72,3.31
1794496.94,28.91,0.4,205596.41,3.31
1793956.84,28.91,0.4,205108.33,3.31
1793984.74,28.91,0.4,205192.85,3.31
1793512.17,28.91,0.39,204783.91,3.3
1793244.0,28.91,0.4,204786.25,3.3
1793835.22,28.92,0.41,205084.8,3.31
1794047.76,28.92,0.41,204989.33,3.3
1794700.31,28.94,0.42,205693.05,3.32
1794400.37,28.94,0.42,205687.75,3.32
1794612.91,28.94,0.43,205592.28,3.32
1794475.81,28.94,0.43,205412.68,3.31
1793799.89,28.93,0.42,204694.27,3.3
1793876.84,28.94,0.43,204490.02,3.3
1793876.84,28.94,0.43,204490.02,3.3
1794093.28,28.95,0.43,204560.99,3.3
1796858.42,28.99,0.48,207667.96,3.35
1796301.62,28.99,0.47,207136.42,3.34
1796142.99,28.98,0.47,206978.06,3.34
1797136.92,29.0,0.49,207859.16,3.35
1796919.88,29.0,0.49,208140.4,3.36
1796621.75,29.0,0.49,208114.7,3.36
1796134.46,29.0,0.48,207584.65,3.35
1795918.96,29.0,0.48,207521.58,3.35
1796215.6,29.0,0.49,207456.11,3.35
1796292.55,29.01,0.5,207251.86,3.35
1797286.48,29.03,0.51,208132.96,3.36
1797140.56,29.02,0.51,207944.54,3.36
1797217.51,29.03,0.52,207760.67,3.36
1797000.47,29.03,0.52,207754.92,3.36
1797077.42,29.04,0.52,207550.68,3.35
1796792.34,29.04,0.52,207602.71,3.36
1796869.29,29.04,0.53,207398.47,3.35
1797460.51,29.06,0.54,207697.02,3.36
1800225.65,29.1,0.59,210804.0,3.41
1801268.13,29.12,0.61,211851.19,3.43
1802262.06,29.14,0.62,212732.29,3.44
1802353.73,29.14,0.63,212519.6,3.44
1802302.66,29.14,0.63,212505.25,3.44
1801997.04,29.14,0.63,212313.79,3.43
1802990.97,29.16,0.65,213194.89,3.45
1803564.17,29.17,0.66,213279.54,3.45
1802817.36,29.16,0.65,212557.99,3.44
1802260.56,29.16,0.65,212006.08,3.43
1803590.7,29.18,0.67,213080.29,3.45
1803317.05,29.18,0.67,212813.77,3.44
1803394.01,29.18,0.67,212629.89,3.44
1803453.91,29.19,0.68,212381.57,3.44
1802707.11,29.18,0.67,211660.02,3.43
1803014.46,29.19,0.68,211720.29,3.43
1802797.41,29.19,0.68,212113.56,3.43
1802857.32,29.2,0.68,211865.24,3.43
1802110.52,29.19,0.67,211143.69,3.42
1801539.0,29.18,0.67,210620.59,3.41
1801240.87,29.18,0.67,210665.94,3.41
1800494.06,29.18,0.66,209924.03,3.4
1800442.99,29.18,0.66,209909.68,3.4
1800144.86,29.18,0.66,209872.26,3.4
1799929.37,29.18,0.66,209809.2,3.4
1800006.32,29.18,0.67,209604.95,3.4
1799789.28,29.18,0.67,209599.21,3.4
1801179.47,29.21,0.69,212366.36,3.44
1801271.14,29.21,0.7,212153.67,3.44
1801348.09,29.22,0.7,211969.79,3.44
1801315.05,29.22,0.71,212169.35,3.44
1800775.29,29.22,0.7,211681.88,3.43
1800559.79,29.22,0.7,211674.51,3.43
1800259.86,29.22,0.7,212250.9,3.44
1799744.84,29.21,0.7,211744.51,3.44
