ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_6b76-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
1,8,0,6212,0
2,9,810,6212,810
3,10,1810,6212,1810
4,11,2810,6212,2810
5,13,3810,6212,3810
5,13,4620,6212,4620
6,14,5090,6212,5090
7,16,5740,6212,5740
7,16,6550,6212,6550
8,17,6780,6212,6780
9,18,7590,6212,7590
9,18,8590,6212,8590
9,18,9060,6212,9060
9,18,9520,6212,9520
9,18,9520,6212,9520
9,18,10520,6212,10520
9,18,10980,6212,10980
9,18,11440,6212,11440
9,18,12440,6212,12440
9,18,13440,6212,13440
10,26,13440,6212,13440
11,28,13910,6212,13910
11,28,13910,6212,13910
12,29,14720,6212,14720
12,29,14880,6212,14880
12,29,14880,6212,14880
12,29,15880,6212,15880
12,29,16880,6212,16880
12,29,17690,6212,17690
13,31,18690,6212,18690
13,31,18800,6212,18800
13,31,19800,6212,19800
14,39,19800,6212,19800
14,39,20270,6212,20270
14,39,21270,6212,21270
15,41,22270,6212,22270
15,41,23270,6212,23270
16,45,24270,6212,24270
16,45,25270,6212,25270
17,47,25740,6212,25740
17,47,25740,6212,25740
18,49,26740,6212,26740
18,49,26740,6212,26740
18,49,27740,6212,27740
18,49,28060,6212,28060
19,53,29060,6212,29060
19,53,29060,6212,29060
19,53,29380,6212,29380
19,53,30380,6212,30380
19,53,31190,6212,31190
19,53,31190,6212,31190
20,55,31560,6212,31560
20,55,32560,6212,32560
20,55,33560,6212,33560
20,55,34560,6212,34560
20,55,34880,6212,34880
21,57,35880,6212,35880
21,57,36880,6212,36880
22,58,37880,6212,37880
22,58,38690,6212,38690
22,58,39690,6212,39690
23,59,40690,6212,40690
24,60,41010,6212,41010
25,68,42010,6212,42010
26,70,43010,6212,43010
26,70,44010,6212,44010
26,70,45010,6212,45010
26,70,45010,6212,45010
26,70,46010,6212,46010
26,70,47010,6212,47010
26,70,47480,6212,47480
26,70,48290,6212,48290
