ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d977-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
1,1,0,6212,0
2,2,810,6212,810
3,4,1810,6212,1810
4,6,2810,6212,2810
5,8,3810,6212,3810
5,8,4620,6212,4620
6,9,5090,6212,5090
7,11,5740,6212,5740
7,11,6550,6212,6550
8,12,6780,6212,6780
8,12,7590,6212,7590
9,20,8590,6212,8590
10,22,9060,6212,9060
11,23,9520,6212,9520
12,24,9520,6212,9520
13,26,10520,6212,10520
13,26,10980,6212,10980
14,27,11440,6212,11440
15,28,12440,6212,12440
16,30,13440,6212,13440
16,30,13440,6212,13440
17,32,13910,6212,13910
17,32,13910,6212,13910
17,32,14720,6212,14720
17,32,14880,6212,14880
17,32,14880,6212,14880
17,32,15880,6212,15880
17,32,16880,6212,16880
18,33,17690,6212,17690
19,35,18690,6212,18690
19,35,18800,6212,18800
20,37,19800,6212,19800
21,39,19800,6212,19800
22,40,20270,6212,20270
23,42,21270,6212,21270
24,46,22270,6212,22270
25,48,23270,6212,23270
25,48,24270,6212,24270
26,50,25270,6212,25270
27,52,25740,6212,25740
27,52,25740,6212,25740
28,54,26740,6212,26740
28,54,26740,6212,26740
29,56,27740,6212,27740
29,56,28060,6212,28060
30,60,29060,6212,29060
30,60,29060,6212,29060
31,61,29380,6212,29380
31,61,30380,6212,30380
31,61,31190,6212,31190
32,63,31190,6212,31190
32,63,31560,6212,31560
33,65,32560,6212,32560
34,67,33560,6212,33560
34,67,34560,6212,34560
34,67,34880,6212,34880
35,69,35880,6212,35880
36,71,36880,6212,36880
36,71,37880,6212,37880
36,71,38690,6212,38690
36,71,39690,6212,39690
36,71,40690,6212,40690
36,71,41010,6212,41010
36,71,42010,6212,42010
36,71,43010,6212,43010
37,73,44010,6212,44010
38,75,45010,6212,45010
38,75,45010,6212,45010
38,75,46010,6212,46010
39,77,47010,6212,47010
40,78,47480,6212,47480
40,78,48290,6212,48290
40,78,49290,6212,49290
41,80,50290,6212,50290
41,80,51100,6212,51100
42,82,51100,6212,51100
43,84,52100,6212,52100
44,86,53100,6212,53100
44,86,53910,6212,53910
45,90,57910,6212,57910
45,90,57910,6212,57910
45,90,58720,6212,58720
46,92,58720,6212,58720
47,93,59530,6212,59530
48,95,60530,6212,60530
48,95,61530,6212,61530
48,95,61530,6212,61530
49,97,62340,6212,62340
49,97,63340,6212,63340
49,97,64340,6212,64340
50,99,65340,6212,65340
51,101,66340,6212,66340
52,103,66990,6212,66990
52,103,67800,6212,67800
52,103,68800,6212,68800
52,103,69800,6212,69800
53,105,70270,6212,70270
54,106,70590,6212,70590
55,108,70590,6212,70590
55,108,71400,6212,71400
55,108,72210,6212,72210
55,108,72760,6212,72760
56,109,73570,6212,73570
57,111,73570,6212,73570
58,113,73570,6212,73570
58,113,74570,6212,74570
59,115,75570,6212,75570
60,117,76570,6212,76570
60,117,77380,6212,77380
61,119,78380,6212,78380
62,121,78850,6212,78850
62,121,79850,6212,79850
63,123,80850,6212,80850
63,123,81660,6212,81660
64,125,82660,6212,82660
65,129,83660,6212,83660
66,130,84660,6212,84660
67,132,84660,6212,84660
68,133,84660,6212,84660
69,134,84660,6212,84660
70,136,84660,6212,84660
71,138,85660,6212,85660
71,138,86660,6212,86660
72,140,87660,6212,87660
72,140,88470,6212,88470
72,140,88470,6212,88470
73,142,88470,6212,88470
74,144,89470,6212,89470
75,146,89470,6212,89470
76,148,89470,6212,89470
77,150,89470,6212,89470
77,150,90120,6212,90120
77,150,90930,6212,90930
78,152,90930,6212,90930
79,154,91930,6212,91930
79,154,92930,6212,92930
80,155,93400,6212,93400
81,157,94400,6212,94400
81,157,95400,6212,95400
81,157,96210,6212,96210
82,159,97210,6212,97210
82,159,98210,6212,98210
83,161,98210,6212,98210
84,163,98860,6212,98860
85,165,99860,6212,99860
86,167,99860,6212,99860
86,167,100510,6212,100510
87,168,100980,6212,100980
88,176,101980,6212,101980
89,178,102790,6212,102790
89,178,103600,6212,103600
89,178,104600,6212,104600
89,178,105410,6212,105410
90,180,106410,6212,106410
91,182,106880,6212,106880
91,182,107880,6212,107880
92,183,108880,6212,108880
92,183,109690,6212,109690
92,183,110690,6212,110690
92,183,111010,6212,111010
93,184,111560,6212,111560
94,186,112560,6212,112560
95,188,113560,6212,113560
96,190,114020,6212,114020
96,190,115020,6212,115020
96,190,115830,6212,115830
97,192,116830,6212,116830
98,194,117830,6212,117830
98,194,118150,6212,118150
99,202,119150,6212,119150
100,204,119470,6212,119470
100,204,120470,6212,120470
100,204,120790,6212,120790
101,206,120790,6212,120790
101,206,121790,6212,121790
101,206,121790,6212,121790
102,208,122790,6212,122790
103,210,123790,6212,123790
103,210,124600,6212,124600
104,212,125600,6212,125600
104,212,125600,6212,125600
105,214,126600,6212,126600
106,216,127070,6212,127070
106,216,127880,6212,127880
107,218,128880,6212,128880
108,220,129530,6212,129530
108,220,129530,6212,129530
108,220,129530,6212,129530
108,220,129760,6212,129760
108,220,130080,6212,130080
108,220,130400,6212,130400
108,220,131210,6212,131210
109,222,132210,6212,132210
109,222,133020,6212,133020
109,222,133020,6212,133020
109,222,133020,6212,133020
110,224,134020,6212,134020
110,224,134830,6212,134830
110,224,134830,6212,134830
110,224,134830,6212,134830
110,224,135640,6212,135640
110,224,135960,6212,135960
110,224,136960,6212,136960
111,226,137960,6212,137960
111,226,138960,6212,138960
112,228,139610,6212,139610
113,230,140610,6212,140610
113,230,141420,6212,141420
114,232,141420,6212,141420
115,234,142420,6212,142420
116,236,143420,6212,143420
116,236,144420,6212,144420
116,236,145230,6212,145230
116,236,145600,6212,145600
117,238,146070,6212,146070
118,240,147070,6212,147070
119,242,147540,6212,147540
120,244,148540,6212,148540
121,246,149540,6212,149540
121,246,150010,6212,150010
122,248,151010,6212,151010
122,248,151820,6212,151820
122,248,152630,6212,152630
122,248,153630,6212,153630
122,248,153630,6212,153630
122,248,154630,6212,154630
123,250,155100,6212,155100
124,252,156100,6212,156100
124,252,156570,6212,156570
124,252,156940,6212,156940
125,254,157940,6212,157940
125,254,158750,6212,158750
125,254,159560,6212,159560
126,256,160020,6212,160020
126,256,160830,6212,160830
127,258,161480,6212,161480
127,258,161710,6212,161710
128,260,161710,6212,161710
128,260,161710,6212,161710
128,260,161710,6212,161710
129,262,162710,6212,162710
129,262,163520,6212,163520
130,266,167520,6212,167520
131,268,168520,6212,168520
132,270,169520,6212,169520
132,270,170520,6212,170520
132,270,171520,6212,171520
133,272,172520,6212,172520
134,274,172990,6212,172990
134,274,173990,6212,173990
135,276,174990,6212,174990
136,278,175460,6212,175460
137,280,176460,6212,176460
137,280,177460,6212,177460
137,280,178270,6212,178270
138,282,179270,6212,179270
138,282,179740,6212,179740
138,282,180740,6212,180740
139,284,181740,6212,181740
140,286,182740,6212,182740
140,286,183740,6212,183740
141,288,184740,6212,184740
141,288,185200,6212,185200
141,288,186200,6212,186200
141,288,186200,6212,186200
142,290,187200,6212,187200
143,292,188200,6212,188200
144,294,189200,6212,189200
145,296,189520,6212,189520
145,296,190330,6212,190330
145,296,191140,6212,191140
146,298,191690,6212,191690
146,298,192160,6212,192160
146,298,192160,6212,192160
146,298,192390,6212,192390
147,300,192860,6212,192860
147,300,193080,6212,193080
147,300,194080,6212,194080
147,300,194890,6212,194890
148,302,195890,6212,195890
148,302,196700,6212,196700
148,302,196700,6212,196700
149,304,197170,6212,197170
150,308,198170,6212,198170
151,310,199170,6212,199170
151,310,199980,6212,199980
151,310,200980,6212,200980
152,312,201980,6212,201980
153,314,202450,6212,202450
154,316,203450,6212,203450
154,316,204260,6212,204260
154,316,205260,6212,205260
154,316,205730,6212,205730
154,316,205730,6212,205730
155,318,206540,6212,206540
155,318,207350,6212,207350
155,318,207350,6212,207350
156,320,208350,6212,208350
157,322,209350,6212,209350
157,322,209580,6212,209580
157,322,211580,6212,211580
157,322,211580,6212,211580
157,322,212390,6212,212390
157,322,212390,6212,212390
158,330,213390,6212,213390
158,330,214390,6212,214390
158,330,215200,6212,215200
159,334,216200,6212,216200
160,336,217200,6212,217200
161,338,218200,6212,218200
161,338,219010,6212,219010
161,338,219330,6212,219330
161,338,220140,6212,220140
162,340,221140,6212,221140
163,342,222140,6212,222140
163,342,222140,6212,222140
164,344,223140,6212,223140
164,344,223790,6212,223790
164,344,223790,6212,223790
165,346,224790,6212,224790
166,350,226790,6212,226790
166,350,227020,6212,227020
166,350,227490,6212,227490
166,350,228490,6212,228490
166,350,229300,6212,229300
166,350,230300,6212,230300
166,350,231300,6212,231300
167,354,232300,6212,232300
167,354,233110,6212,233110
167,354,233110,6212,233110
167,354,233920,6212,233920
167,354,234510,6212,234510
168,356,234830,6212,234830
168,356,235830,6212,235830
168,356,235830,6212,235830
168,356,235830,6212,235830
168,356,236300,6212,236300
168,356,237110,6212,237110
168,356,237110,6212,237110
168,356,238110,6212,238110
168,356,238340,6212,238340
169,360,239340,6212,239340
169,360,240340,6212,240340
170,364,241340,6212,241340
170,364,241340,6212,241340
170,364,241660,6212,241660
170,364,242130,6212,242130
170,364,243130,6212,243130
170,364,243130,6212,243130
171,366,243780,6212,243780
171,366,244590,6212,244590
172,374,252590,6212,252590
172,374,253590,6212,253590
173,376,254590,6212,254590
174,380,255590,6212,255590
174,380,256240,6212,256240
174,380,257240,6212,257240
174,380,257710,6212,257710
174,380,258710,6212,258710
174,380,259710,6212,259710
175,384,260710,6212,260710
176,386,261710,6212,261710
176,386,262710,6212,262710
176,386,262940,6212,262940
177,390,263940,6212,263940
177,390,264940,6212,264940
177,390,265750,6212,265750
177,390,266560,6212,266560
177,390,267030,6212,267030
178,394,268030,6212,268030
178,394,269030,6212,269030
179,396,270030,6212,270030
179,396,271030,6212,271030
179,396,271030,6212,271030
180,398,271580,6212,271580
180,398,272050,6212,272050
180,398,272700,6212,272700
180,398,272700,6212,272700
180,398,273700,6212,273700
181,402,274700,6212,274700
181,402,275510,6212,275510
181,402,275980,6212,275980
181,402,276980,6212,276980
181,402,277980,6212,277980
182,406,278980,6212,278980
182,406,279790,6212,279790
182,406,280790,6212,280790
183,414,288790,6212,288790
184,416,289600,6212,289600
184,416,290600,6212,290600
185,418,291150,6212,291150
185,418,292150,6212,292150
186,420,293150,6212,293150
186,420,293620,6212,293620
186,420,294620,6212,294620
186,420,295430,6212,295430
187,422,296080,6212,296080
187,422,297080,6212,297080
188,426,298080,6212,298080
188,426,299080,6212,299080
188,426,300080,6212,300080
189,430,301080,6212,301080
189,430,302080,6212,302080
189,430,303080,6212,303080
190,432,304080,6212,304080
190,432,304550,6212,304550
190,432,305550,6212,305550
190,432,305550,6212,305550
191,436,306550,6212,306550
191,436,306550,6212,306550
191,436,307550,6212,307550
191,436,308550,6212,308550
191,436,308550,6212,308550
191,436,309550,6212,309550
191,436,309780,6212,309780
191,436,310780,6212,310780
192,440,311780,6212,311780
192,440,311780,6212,311780
192,440,311780,6212,311780
192,440,312240,6212,312240
192,440,313240,6212,313240
192,440,314050,6212,314050
192,440,314050,6212,314050
192,440,315050,6212,315050
192,440,315270,6212,315270
193,444,316270,6212,316270
193,444,317080,6212,317080
193,444,318080,6212,318080
193,444,318540,6212,318540
193,444,319350,6212,319350
193,444,320160,6212,320160
194,446,320810,6212,320810
194,446,321810,6212,321810
194,446,322040,6212,322040
195,450,323040,6212,323040
195,450,324040,6212,324040
196,452,325040,6212,325040
196,452,326040,6212,326040
196,452,326510,6212,326510
196,452,326980,6212,326980
197,456,327980,6212,327980
197,456,328980,6212,328980
198,458,329980,6212,329980
198,458,330980,6212,330980
198,458,331300,6212,331300
199,460,332300,6212,332300
199,460,333110,6212,333110
199,460,333920,6212,333920
199,460,334920,6212,334920
199,460,335920,6212,335920
199,460,336920,6212,336920
199,460,337730,6212,337730
200,462,338540,6212,338540
200,462,339540,6212,339540
200,462,340010,6212,340010
200,462,341010,6212,341010
200,462,341010,6212,341010
200,462,341010,6212,341010
200,462,342010,6212,342010
200,462,342010,6212,342010
201,464,343010,6212,343010
201,464,343010,6212,343010
201,464,343820,6212,343820
202,468,344820,6212,344820
202,468,345050,6212,345050
202,468,346050,6212,346050
202,468,346860,6212,346860
202,468,347670,6212,347670
202,468,347670,6212,347670
202,468,348670,6212,348670
202,468,349020,6212,349020
203,470,350020,6212,350020
203,470,351020,6212,351020
203,470,351020,6212,351020
203,470,351340,6212,351340
204,474,352340,6212,352340
204,474,353340,6212,353340
204,474,353340,6212,353340
205,476,354340,6212,354340
205,476,355340,6212,355340
205,476,356150,6212,356150
206,478,357150,6212,357150
206,478,357150,6212,357150
206,478,358150,6212,358150
207,486,359150,6212,359150
207,486,360150,6212,360150
208,490,360620,6212,360620
208,490,361620,6212,361620
209,494,362620,6212,362620
210,496,363430,6212,363430
210,496,364240,6212,364240
210,496,365240,6212,365240
210,496,365240,6212,365240
210,496,365240,6212,365240
211,498,366240,6212,366240
211,498,366470,6212,366470
211,498,367470,6212,367470
211,498,368470,6212,368470
211,498,369280,6212,369280
211,498,369930,6212,369930
211,498,369930,6212,369930
212,500,370930,6212,370930
212,500,371930,6212,371930
212,500,372390,6212,372390
213,504,373200,6212,373200
214,506,374200,6212,374200
214,506,375200,6212,375200
214,506,376200,6212,376200
214,506,377200,6212,377200
214,506,378010,6212,378010
214,506,378010,6212,378010
215,508,379010,6212,379010
215,508,380010,6212,380010
216,510,381010,6212,381010
216,510,381480,6212,381480
216,510,382480,6212,382480
216,510,383480,6212,383480
216,510,383480,6212,383480
217,514,384480,6212,384480
218,516,385290,6212,385290
218,516,385520,6212,385520
218,516,386520,6212,386520
218,516,387520,6212,387520
218,516,388520,6212,388520
219,520,389520,6212,389520
219,520,389990,6212,389990
219,520,390990,6212,390990
220,522,391990,6212,391990
220,522,392990,6212,392990
221,526,393990,6212,393990
221,526,393990,6212,394800
221,526,394990,6212,395800
221,526,395990,6212,396800
221,526,396990,6212,397800
221,526,397220,6212,398030
221,526,397220,6212,398030
222,530,398220,6212,399030
222,530,399030,6212,399840
222,530,400030,6212,400840
222,530,401030,6212,401840
222,530,401350,6212,402160
222,530,402350,6212,403160
222,530,402350,6212,403160
223,534,403350,6212,404160
223,534,403350,6212,404970
223,534,403900,6212,405520
223,534,403900,6212,405520
223,534,404060,6212,405680
223,534,404060,6212,406000
223,534,404060,6212,406810
223,534,404530,6212,407280
223,534,405530,6212,408280
223,534,406340,6212,409090
223,534,406810,6212,409560
223,534,407270,6212,410020
224,538,408270,6212,411020
224,538,409270,6212,412020
224,538,410270,6212,413020
224,538,410490,6212,413240
224,538,410490,6212,413240
225,540,411490,6212,414240
226,548,419490,6212,422240
226,548,420490,6212,423240
226,548,421300,6212,424050
226,548,421300,6212,424050
227,552,422300,6212,425050
227,552,423300,6212,426050
227,552,423520,6212,426270
227,552,424170,6212,426920
228,554,425170,6212,427920
228,554,426170,6212,428920
229,562,427170,6212,429920
229,562,427820,6212,430570
230,566,428630,6212,431380
230,566,429630,6212,432380
230,566,429630,6212,433030
230,566,430100,6212,433500
230,566,430100,6212,433500
230,566,430910,6212,434310
230,566,431380,6212,434780
231,568,431850,6212,435250
231,568,432320,6212,435720
231,568,432790,6212,436190
232,570,433600,6212,437000
232,570,434600,6212,438000
232,570,434920,6212,438320
233,572,435920,6212,439320
233,572,436730,6212,440130
233,572,437200,6212,440600
234,574,438200,6212,441600
234,574,438520,6212,441920
234,574,439330,6212,442730
234,574,439490,6212,442890
235,576,440490,6212,443890
235,576,441140,6212,444540
235,576,441140,6212,444540
236,578,442140,6212,445540
236,578,442610,6212,446010
237,580,443610,6212,447010
237,580,443930,6212,447330
237,580,444930,6212,448330
238,582,445930,6212,449330
238,582,446300,6212,449700
238,582,447300,6212,450700
239,584,448300,6212,451700
239,584,449300,6212,452700
240,586,450300,6212,453700
240,586,451300,6212,454700
240,586,452300,6212,455700
241,588,453300,6212,456700
241,588,453300,6212,456700
241,588,453300,6212,456700
241,588,453530,6212,456930
242,590,454530,6212,457930
242,590,454530,6212,457930
242,590,454850,6212,458250
242,590,455320,6212,458720
243,592,456320,6212,459720
243,592,457320,6212,460720
244,594,458320,6212,461720
244,594,459130,6212,462530
245,596,459940,6212,463340
245,596,460420,6212,463820
245,596,461420,6212,464820
246,598,462420,6212,465820
246,598,463420,6212,466820
246,598,463420,6212,466820
247,600,464420,6212,467820
247,600,465420,6212,468820
248,602,466230,6212,469630
248,602,467230,6212,470630
248,602,467230,6212,471100
