ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5c20-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
1794185.93,28.88,0.37,204912.38,3.3
1793698.63,28.88,0.37,204382.33,3.29
1793370.16,28.88,0.37,204264.98,3.29
1793041.69,28.88,0.37,204147.63,3.29
1792826.2,28.88,0.37,204140.27,3.29
1792797.12,28.88,0.37,204240.27,3.29
1792665.92,28.88,0.37,204196.87,3.29
1792693.27,28.89,0.37,204188.65,3.29
1792205.97,28.88,0.37,203658.6,3.28
1791999.98,28.88,0.37,203807.44,3.28
1791512.68,28.87,0.36,203277.38,3.28
1791244.51,28.88,0.36,203278.5,3.28
1791391.18,28.88,0.37,203252.97,3.28
1791016.38,28.88,0.37,203376.28,3.28
1791016.38,28.88,0.37,203298.47,3.28
1790718.25,28.88,0.37,203759.3,3.29
1790581.15,28.88,0.37,203579.7,3.28
1790444.04,28.88,0.37,203400.11,3.28
1789768.12,28.87,0.36,202681.69,3.27
1789473.09,28.87,0.36,202539.34,3.27
1789473.09,28.87,0.36,202561.62,3.27
1789689.54,28.87,0.36,202632.58,3.27
1789689.54,28.87,0.36,202617.42,3.27
1789216.96,28.87,0.36,202232.37,3.26
1789059.0,28.87,0.36,202093.82,3.26
1789059.0,28.87,0.36,202093.82,3.26
1788841.96,28.87,0.36,202375.06,3.27
1788569.78,28.87,0.36,202143.88,3.26
1788082.49,28.87,0.36,201613.82,3.25
1787866.99,28.87,0.36,201550.76,3.25
1787757.26,28.87,0.35,201340.0,3.25
1787457.32,28.87,0.35,201344.65,3.25
1787457.32,28.87,0.35,201292.72,3.25
1787085.38,28.86,0.35,200983.64,3.25
1786787.0,28.86,0.35,200984.07,3.25
1786501.91,28.86,0.35,201035.66,3.25
1786201.97,28.86,0.35,200959.76,3.25
1785916.89,28.86,0.35,201011.8,3.25
1785623.28,28.86,0.35,201016.84,3.25
1785744.52,28.87,0.36,200991.31,3.25
1785744.52,28.87,0.36,200991.31,3.25
1785420.95,28.87,0.36,201018.4,3.25
1785420.95,28.87,0.36,201018.4,3.25
1785097.39,28.87,0.36,200995.61,3.25
1784860.64,28.86,0.35,200979.74,3.25
1784552.69,28.86,0.35,200885.71,3.25
1784552.69,28.86,0.35,200885.71,3.25
1784556.77,28.86,0.35,200847.3,3.25
1783880.85,28.86,0.35,200128.89,3.24
1783393.56,28.85,0.34,199598.83,3.23
1783393.56,28.85,0.34,199710.71,3.23
1783678.89,28.86,0.35,200000.94,3.24
1783357.65,28.86,0.35,200050.52,3.24
1783033.31,28.86,0.35,200005.86,3.24
1782357.39,28.85,0.34,199287.45,3.23
1782154.65,28.85,0.34,199171.77,3.22
1781939.16,28.85,0.34,199108.7,3.22
1781615.6,28.85,0.34,199402.32,3.23
1780939.68,28.85,0.34,198683.91,3.22
1780452.38,28.84,0.33,198153.85,3.21
1780184.21,28.84,0.33,198150.46,3.21
1779508.29,28.84,0.33,197432.04,3.2
1779470.75,28.84,0.33,197343.85,3.2
1779172.62,28.84,0.33,197318.11,3.2
1778955.58,28.84,0.33,197312.37,3.2
1778630.47,28.84,0.33,197184.37,3.2
1778414.97,28.84,0.33,197177.01,3.2
1778414.97,28.84,0.33,197740.22,3.21
1778120.72,28.84,0.33,197583.78,3.2
1777827.11,28.84,0.33,197591.01,3.21
1777695.91,28.84,0.33,197547.61,3.2
1777208.62,28.83,0.33,197017.55,3.2
1776991.57,28.83,0.33,196956.11,3.2
1776668.01,28.83,0.33,196923.52,3.2
1776180.72,28.83,0.32,196393.47,3.19
1776180.72,28.83,0.32,196357.3,3.19
1775857.15,28.83,0.32,196383.17,3.19
1775533.59,28.83,0.32,196364.05,3.19
1775046.3,28.82,0.32,195834.0,3.18
1773752.04,28.82,0.32,195804.78,3.18
1773752.04,28.82,0.32,195843.14,3.18
1773264.75,28.82,0.31,195313.08,3.17
1773264.75,28.82,0.31,195286.33,3.17
1772877.78,28.82,0.31,194723.93,3.16
1772579.39,28.82,0.31,194656.66,3.16
1771833.96,28.81,0.3,194018.5,3.15
1771833.96,28.81,0.3,194018.5,3.15
1771806.43,28.81,0.31,194114.62,3.16
1771506.49,28.81,0.31,194106.42,3.16
1770945.62,28.81,0.3,193428.97,3.15
1770647.23,28.81,0.3,193358.79,3.15
1770347.3,28.81,0.3,193353.49,3.15
1770380.96,28.81,0.31,193357.55,3.15
1769809.43,28.8,0.3,192834.45,3.14
1769546.17,28.8,0.3,192612.9,3.14
1769238.22,28.8,0.3,193249.0,3.15
1769379.1,28.81,0.31,193316.1,3.15
1769081.83,28.81,0.3,193290.54,3.15
1769081.83,28.81,0.3,193321.6,3.15
1769052.75,28.81,0.3,193479.56,3.15
1768917.42,28.81,0.31,193514.15,3.15
1769116.89,28.82,0.31,193453.02,3.15
1769011.0,28.82,0.31,193016.63,3.14
1769011.0,28.82,0.31,193016.63,3.14
1769011.0,28.82,0.31,193016.63,3.14
1768687.44,28.82,0.31,192990.31,3.14
1768313.48,28.82,0.31,192702.91,3.14
1767989.91,28.82,0.31,192684.11,3.14
1767856.91,28.82,0.31,192709.23,3.14
1767639.86,28.82,0.31,193108.07,3.15
1767260.6,28.81,0.31,192971.1,3.15
1767045.11,28.82,0.31,192907.59,3.15
1766720.77,28.82,0.31,192885.4,3.15
1766585.44,28.82,0.31,192875.14,3.15
1766260.33,28.82,0.31,193454.4,3.16
1765954.71,28.82,0.31,193707.32,3.16
1765661.1,28.82,0.31,193707.61,3.16
1765661.1,28.82,0.31,193707.61,3.16
1765661.1,28.82,0.31,193706.8,3.16
