ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_gpuspec25-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d48f-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
1794185.93,28.88,0.37,205354.11,3.31
1793698.63,28.88,0.37,204824.06,3.3
1793483.14,28.88,0.37,204760.55,3.3
1793266.1,28.88,0.37,204755.25,3.3
1793050.6,28.88,0.37,204746.57,3.3
1793021.52,28.89,0.37,204847.74,3.3
1793237.97,28.89,0.38,204920.99,3.3
1793345.53,28.9,0.38,205515.0,3.31
1792872.95,28.89,0.38,205129.96,3.31
1792668.09,28.89,0.37,204822.09,3.3
1792180.79,28.89,0.37,204292.04,3.29
1791912.62,28.89,0.37,204294.37,3.29
1791540.68,28.88,0.37,204037.7,3.29
1791765.27,28.89,0.37,203973.23,3.29
1791765.27,28.89,0.37,203973.23,3.29
1791548.23,28.89,0.37,204396.09,3.3
1791188.14,28.89,0.37,204044.89,3.29
1791412.74,28.89,0.37,203980.42,3.29
1790837.14,28.89,0.37,203368.36,3.28
1790620.1,28.89,0.37,203791.21,3.29
1790620.1,28.89,0.37,203791.21,3.29
1790250.01,28.88,0.36,203430.01,3.28
1790250.01,28.88,0.36,203448.43,3.28
1789693.2,28.88,0.36,202859.94,3.27
1789535.24,28.88,0.36,202706.21,3.27
1789535.24,28.88,0.36,202706.21,3.27
1789319.75,28.88,0.36,202639.29,3.27
1789021.62,28.88,0.36,202613.59,3.27
1788534.33,28.87,0.35,202083.53,3.26
1788317.28,28.87,0.35,202077.64,3.26
1788207.55,28.87,0.35,201972.1,3.26
1787992.05,28.87,0.35,201963.41,3.26
1787992.05,28.87,0.35,201963.41,3.26
1788206.95,28.88,0.36,202260.12,3.27
1787991.45,28.88,0.36,202264.67,3.27
1787774.41,28.88,0.36,202187.31,3.27
1787558.92,28.88,0.36,202178.63,3.27
1787273.83,28.88,0.36,202230.66,3.27
1787056.79,28.89,0.36,202166.54,3.27
1786684.85,28.88,0.35,201865.7,3.26
1786684.85,28.88,0.35,201865.7,3.26
1786469.35,28.88,0.35,201798.56,3.26
1786469.35,28.88,0.35,201798.56,3.26
1786252.31,28.88,0.35,201792.88,3.26
1786559.66,28.89,0.36,201855.1,3.26
1786274.57,28.89,0.36,201238.05,3.25
1786274.57,28.89,0.36,201238.05,3.25
1786085.61,28.89,0.36,201429.17,3.26
1785409.69,28.88,0.35,200710.76,3.25
1784922.39,28.88,0.35,200180.7,3.24
1784922.39,28.88,0.35,200180.7,3.24
1785207.72,28.88,0.35,200495.46,3.24
1784992.23,28.89,0.35,200500.0,3.24
1784775.19,28.89,0.35,200422.65,3.24
1784099.27,28.88,0.35,199704.23,3.23
1783805.39,28.88,0.34,199601.99,3.23
1783589.89,28.88,0.34,199534.69,3.23
1783372.85,28.88,0.34,199529.18,3.23
1782696.93,28.87,0.34,198810.77,3.22
1782209.64,28.87,0.33,198280.71,3.21
1781911.51,28.87,0.33,198326.07,3.21
1781235.59,28.86,0.33,197607.65,3.2
1781032.85,28.86,0.32,197358.02,3.2
1780734.72,28.86,0.32,197320.6,3.2
1780519.23,28.86,0.32,197253.67,3.2
1780302.18,28.86,0.32,197247.78,3.2
1780086.69,28.86,0.32,197239.1,3.2
1780086.69,28.86,0.32,197239.1,3.2
1779869.65,28.87,0.32,197174.97,3.2
1779654.15,28.87,0.32,197179.51,3.2
1779869.05,28.87,0.33,197462.99,3.2
1779381.75,28.87,0.33,196932.94,3.2
