ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
1,2,0,6212,0
2,3,810,6212,810
3,5,1810,6212,1810
4,9,2810,6212,2810
5,17,3810,6212,3810
6,25,4620,6212,4620
7,27,5090,6212,5090
8,35,5740,6212,5740
9,37,6550,6212,6550
10,45,6780,6212,6780
11,47,7590,6212,7590
12,49,8590,6212,8590
13,51,9060,6212,9060
14,53,9520,6212,9520
15,61,9520,6212,9520
16,69,10520,6212,10520
17,71,10980,6212,10980
18,73,11440,6212,11440
19,77,12440,6212,12440
20,79,13440,6212,13440
21,83,13440,6212,13440
22,91,13910,6212,13910
23,93,13910,6212,13910
24,101,14720,6212,14720
25,103,14880,6212,14880
26,111,14880,6212,14880
27,119,15880,6212,15880
28,121,16880,6212,16880
29,129,17690,6212,17690
30,131,18690,6212,18690
31,133,18800,6212,18800
32,141,19800,6212,19800
33,143,19800,6212,19800
34,145,20270,6212,20270
35,147,21270,6212,21270
36,155,22270,6212,22270
37,163,23270,6212,23270
38,171,24270,6212,24270
39,173,25270,6212,25270
40,181,25740,6212,25740
41,189,25740,6212,25740
42,191,26740,6212,26740
43,193,26740,6212,26740
44,195,27740,6212,27740
45,203,28060,6212,28060
46,211,29060,6212,29060
46,211,29060,6212,29060
47,213,29380,6212,29380
48,215,30380,6212,30380
49,223,31190,6212,31190
50,225,31190,6212,31190
51,227,31560,6212,31560
52,229,32560,6212,32560
53,231,33560,6212,33560
54,233,34560,6212,34560
55,237,34880,6212,34880
56,239,35880,6212,35880
57,241,36880,6212,36880
58,249,37880,6212,37880
59,257,38690,6212,38690
60,265,39690,6212,39690
61,267,40690,6212,40690
62,269,41010,6212,41010
63,277,42010,6212,42010
64,279,43010,6212,43010
65,287,44010,6212,44010
65,287,45010,6212,45010
66,295,45010,6212,45010
67,297,46010,6212,46010
68,305,47010,6212,47010
69,307,47480,6212,47480
70,309,48290,6212,48290
71,317,49290,6212,49290
72,319,50290,6212,50290
73,321,51100,6212,51100
74,329,51100,6212,51100
75,331,52100,6212,52100
76,333,53100,6212,53100
77,335,53910,6212,53910
78,343,57910,6212,57910
79,351,57910,6212,57910
79,351,58720,6212,58720
