ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_829a-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
2204453.28,35.49,0.31,189613.52,3.05
2204233.34,35.49,0.31,189659.73,3.05
2203988.5,35.49,0.31,189610.59,3.05
2203625.31,35.49,0.32,188904.46,3.04
2203282.38,35.49,0.32,188906.44,3.04
2203128.01,35.49,0.32,188914.05,3.04
2203317.27,35.5,0.32,188970.97,3.04
2203304.51,35.5,0.33,188972.08,3.04
2203247.81,35.51,0.33,189069.43,3.05
2203504.2,35.51,0.33,189073.08,3.05
2203447.5,35.51,0.34,189170.43,3.05
2203202.66,35.52,0.34,189121.65,3.05
2203691.89,35.53,0.35,189415.33,3.05
2204042.23,35.53,0.36,189361.43,3.05
2204042.23,35.53,0.36,189340.91,3.05
2203699.31,35.54,0.36,189326.88,3.05
2204049.65,35.54,0.36,189272.97,3.05
2204247.1,35.55,0.37,189225.64,3.05
2203865.32,35.55,0.37,189069.8,3.05
2203620.48,35.55,0.37,189021.02,3.05
2203620.48,35.55,0.37,189013.26,3.05
2203731.56,35.56,0.37,189017.8,3.05
2203731.56,35.56,0.37,188975.14,3.05
2203565.18,35.56,0.38,188982.75,3.05
2203864.15,35.56,0.38,188936.47,3.05
2203876.54,35.56,0.38,188930.79,3.05
2203533.62,35.56,0.38,188931.75,3.05
2203288.78,35.56,0.38,188882.97,3.05
2203134.41,35.57,0.38,188890.58,3.05
2202889.57,35.57,0.38,188841.72,3.05
2203220.91,35.57,0.39,188795.57,3.05
2202877.98,35.58,0.39,188797.55,3.05
2202877.98,35.58,0.39,188755.01,3.05
2203067.24,35.58,0.4,188811.92,3.05
2202822.4,35.58,0.4,188818.71,3.05
2202479.48,35.58,0.4,188822.45,3.05
2202136.55,35.58,0.4,188824.43,3.05
2201793.62,35.58,0.4,188826.41,3.05
2201548.79,35.59,0.4,188777.63,3.05
2201659.86,35.59,0.4,188782.17,3.05
2201686.71,35.59,0.4,188790.82,3.05
2201441.87,35.59,0.4,188741.67,3.05
2201441.87,35.59,0.4,188699.13,3.05
2201197.03,35.59,0.4,188650.27,3.05
2201412.55,35.6,0.41,188653.76,3.05
2201057.62,35.6,0.41,188642.09,3.05
2201057.62,35.6,0.41,188639.7,3.05
2201539.65,35.61,0.42,188707.02,3.05
2201294.81,35.61,0.42,188658.15,3.05
2201140.44,35.61,0.42,188665.77,3.05
2202349.52,35.63,0.44,189772.09,3.07
2202610.12,35.64,0.45,189725.06,3.07
2202582.11,35.64,0.45,189551.47,3.07
2202337.27,35.65,0.45,189502.32,3.07
2202092.44,35.65,0.45,189453.46,3.07
2202374.01,35.65,0.46,189442.27,3.07
2202129.17,35.66,0.46,189393.41,3.07
2201884.34,35.66,0.46,189344.26,3.07
2201541.41,35.66,0.46,189341.75,3.07
2201387.03,35.66,0.46,189349.37,3.07
2201044.11,35.66,0.46,189347.61,3.07
2200799.27,35.66,0.46,189298.75,3.07
2201080.84,35.67,0.47,189324.16,3.07
2200737.92,35.67,0.47,189324.08,3.07
2200493.08,35.67,0.47,189275.22,3.07
2200117.11,35.67,0.47,189279.43,3.07
2199735.34,35.67,0.47,189253.27,3.07
2199762.18,35.67,0.47,189261.91,3.07
2199517.34,35.67,0.47,189213.05,3.07
2199174.42,35.67,0.47,189216.79,3.07
2199535.42,35.68,0.48,189373.84,3.07
2199478.72,35.68,0.48,189471.19,3.07
2199135.8,35.68,0.48,189473.17,3.07
2198890.96,35.69,0.48,189424.03,3.07
2198834.26,35.69,0.48,189521.38,3.08
2198846.65,35.69,0.48,189515.71,3.08
2198818.64,35.7,0.49,189342.11,3.07
2198573.8,35.7,0.49,189293.33,3.07
2198403.9,35.7,0.49,188859.77,3.07
2196951.65,35.7,0.49,188863.65,3.07
2196964.04,35.7,0.49,188857.97,3.07
2196907.34,35.7,0.49,189461.84,3.08
2196919.73,35.7,0.49,189456.16,3.08
2196765.36,35.71,0.5,189463.77,3.08
2196520.52,35.71,0.5,189414.91,3.08
2196177.59,35.71,0.5,189395.04,3.08
