name,ip,model,cpu,gpu,memory_mib,gpu_mem_mib_each,num_pod,cpu_milli_left,memory_mib_left,gpu_milli_left_0,gpu_mem_mib_left_0,gpu_milli_left_1,gpu_mem_mib_left_1,gpu_milli_left_2,gpu_mem_mib_left_2,gpu_milli_left_3,gpu_mem_mib_left_3,gpu_milli_left_4,gpu_mem_mib_left_4,gpu_milli_left_5,gpu_mem_mib_left_5,gpu_milli_left_6,gpu_mem_mib_left_6,gpu_milli_left_7,gpu_mem_mib_left_7,gpu_milli_left,gpu_mem_mib_left
0000-openb-node-0260,,G2,96,8,412316860416,20000,9,2128,412316860416,0,0,0,0,0,0,0,0,0,0,190,3800,350,7000,190,3800,730,14600
0001-openb-node-0858,,G2,96,8,412316860416,20000,9,3392,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,70,1400,530,10600,600,12000
0002-openb-node-0619,,G2,96,8,412316860416,20000,9,3436,412316860416,0,0,0,0,0,0,770,15400,0,0,0,0,190,3800,190,3800,1150,23000
0003-openb-node-0582,,G2,96,8,412316860416,20000,12,8418,412316860416,0,0,190,3800,30,600,190,3800,0,0,0,0,60,1200,130,2600,600,12000
0004-openb-node-0882,,T4,104,2,549755813888,15109,2,84848,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0005-openb-node-1135,,G2,96,8,412316860416,20000,9,3538,412316860416,0,0,0,0,0,0,0,0,1000,20000,190,3800,770,15400,1000,20000,2960,59200
0006-openb-node-0431,,P100,16,2,128849018880,16280,2,940,128849018880,530,8628,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,720,11721
0007-openb-node-1096,,T4,104,2,549755813888,15109,4,21892,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0008-openb-node-1052,,P100,16,2,128849018880,16280,4,696,128849018880,350,5698,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,540,8791
0009-openb-node-0985,,P100,16,2,128849018880,16280,1,1800,128849018880,0,0,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1000,16280
0010-openb-node-1151,,T4,104,2,549755813888,15109,4,24848,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0011-openb-node-1171,,G2,96,8,412316860416,20000,9,3496,412316860416,0,0,0,0,0,0,680,13600,0,0,190,3800,0,0,0,0,870,17400
0012-openb-node-0016,,P100,64,2,274877906944,16280,4,15684,274877906944,0,0,60,976,0,0,0,0,0,0,0,0,0,0,0,0,60,976
0013-openb-node-0003,,P100,64,2,274877906944,16280,4,184,274877906944,0,0,30,488,0,0,0,0,0,0,0,0,0,0,0,0,30,488
0014-openb-node-0877,,T4,104,2,549755813888,15109,3,74048,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0015-openb-node-0256,,V100M32,96,8,824633720832,32510,6,284,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,1000,32510,1000,32510,2000,65020
0016-openb-node-0382,,G2,96,8,412316860416,20000,7,1832,412316860416,0,0,0,0,0,0,0,0,350,7000,0,0,1000,20000,1000,20000,2350,47000
0017-openb-node-0280,,G2,96,8,412316860416,20000,9,1332,412316860416,0,0,190,3800,0,0,0,0,0,0,0,0,0,0,1000,20000,1190,23800
0018-openb-node-0080,,G2,96,8,412316860416,20000,11,3092,412316860416,190,3800,0,0,0,0,890,17800,0,0,30,600,190,3800,190,3800,1490,29800
0019-openb-node-0320,,G3,128,8,824633720832,30000,1,7800,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0020-openb-node-1170,,G3,128,8,824633720832,30000,13,1364,824633720832,0,0,80,2400,0,0,220,6600,0,0,0,0,0,0,0,0,300,9000
0021-openb-node-0764,,G2,96,8,412316860416,20000,10,6444,412316860416,0,0,0,0,200,4000,0,0,0,0,0,0,190,3800,190,3800,580,11600
0022-openb-node-0717,,T4,104,2,549755813888,15109,6,12348,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0023-openb-node-0074,,G2,96,8,412316860416,20000,9,80,412316860416,350,7000,0,0,0,0,350,7000,0,0,1000,20000,680,13600,190,3800,2570,51400
0024-openb-node-0430,,P100,16,2,128849018880,16280,1,0,128849018880,0,0,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1000,16280
0025-openb-node-0466,,G2,96,8,412316860416,20000,11,88,412316860416,0,0,0,0,30,600,0,0,410,8200,190,3800,0,0,680,13600,1310,26200
0026-openb-node-0989,,P100,8,2,64424509440,16280,2,1696,64424509440,190,3093,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,380,6186
0027-openb-node-0321,,G2,96,8,412316860416,20000,9,11344,412316860416,0,0,0,0,0,0,0,0,190,3800,0,0,190,3800,0,0,380,7600
0028-openb-node-0014,,P100,64,2,274877906944,16280,7,24848,274877906944,30,488,130,2116,0,0,0,0,0,0,0,0,0,0,0,0,160,2604
0029-openb-node-1026,,T4,104,2,549755813888,15109,4,72948,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0030-openb-node-0019,,P100,64,2,274877906944,16280,5,2348,274877906944,70,1139,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,260,4232
0031-openb-node-0780,,T4,104,2,549755813888,15109,4,64092,549755813888,0,0,130,1964,0,0,0,0,0,0,0,0,0,0,0,0,130,1964
0032-openb-node-0849,,G2,96,8,412316860416,20000,12,766,412316860416,0,0,0,0,350,7000,360,7200,300,6000,130,2600,190,3800,190,3800,1520,30400
0033-openb-node-0775,,T4,104,2,549755813888,15109,6,28048,549755813888,0,0,130,1964,0,0,0,0,0,0,0,0,0,0,0,0,130,1964
0034-openb-node-1196,,T4,104,2,549755813888,15109,5,27892,549755813888,0,0,120,1813,0,0,0,0,0,0,0,0,0,0,0,0,120,1813
0035-openb-node-1066,,G2,96,8,412316860416,20000,10,4828,412316860416,0,0,0,0,530,10600,190,3800,530,10600,190,3800,190,3800,0,0,1630,32600
0036-openb-node-0853,,G2,96,8,412316860416,20000,9,5824,412316860416,190,3800,0,0,680,13600,0,0,0,0,0,0,190,3800,410,8200,1470,29400
0037-openb-node-1080,,V100M16,8,1,34359738368,16160,1,0,34359738368,530,8564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,8564
0038-openb-node-0912,,G2,96,8,412316860416,20000,8,1540,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,190,3800,350,7000,540,10800
0039-openb-node-0477,,G2,96,8,412316860416,20000,10,7124,412316860416,0,0,0,0,0,0,0,0,60,1200,60,1200,0,0,190,3800,310,6200
0040-openb-node-0632,,G2,96,8,412316860416,20000,10,2180,412316860416,0,0,0,0,680,13600,0,0,190,3800,350,7000,60,1200,1000,20000,2280,45600
0041-openb-node-1161,,T4,104,2,549755813888,15109,3,80348,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0042-openb-node-0333,,G3,128,8,824633720832,30000,12,2628,824633720832,0,0,0,0,0,0,30,900,190,5700,0,0,120,3600,80,2400,420,12600
0043-openb-node-1003,,P100,16,2,128849018880,16280,3,848,128849018880,300,4884,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,490,7977
0044-openb-node-0169,,G3,128,8,824633720832,30000,10,45640,824633720832,0,0,0,0,190,5700,0,0,0,0,190,5700,190,5700,0,0,570,17100
0045-openb-node-0141,,G2,96,8,412316860416,20000,9,15040,412316860416,0,0,0,0,0,0,0,0,30,600,0,0,0,0,190,3800,220,4400
0046-openb-node-0681,,G2,96,8,412316860416,20000,12,4572,412316860416,0,0,0,0,190,3800,60,1200,120,2400,0,0,80,1600,190,3800,640,12800
0047-openb-node-0561,,G2,96,8,412316860416,20000,9,340,412316860416,0,0,0,0,0,0,0,0,0,0,680,13600,190,3800,0,0,870,17400
0048-openb-node-0153,,G2,96,8,412316860416,20000,6,20640,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,3200,160,3200
0049-openb-node-0390,,T4,104,2,549755813888,15109,3,77148,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0050-openb-node-0928,,T4,104,2,549755813888,15109,4,40092,549755813888,0,0,30,453,0,0,0,0,0,0,0,0,0,0,0,0,30,453
0051-openb-node-0384,,G2,96,8,412316860416,20000,9,1016,412316860416,0,0,0,0,190,3800,0,0,0,0,0,0,0,0,210,4200,400,8000
0052-openb-node-0893,,G2,96,8,412316860416,20000,2,19300,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0053-openb-node-0065,,V100M32,96,8,824633720832,32510,9,3744,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0054-openb-node-0511,,G2,96,8,412316860416,20000,10,2380,412316860416,0,0,60,1200,190,3800,190,3800,0,0,0,0,530,10600,530,10600,1500,30000
0055-openb-node-0282,,G2,96,8,412316860416,20000,10,688,412316860416,0,0,0,0,190,3800,0,0,680,13600,0,0,190,3800,530,10600,1590,31800
0056-openb-node-0168,,G3,128,8,824633720832,30000,10,288,824633720832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0057-openb-node-0957,,G2,96,8,412316860416,20000,9,280,412316860416,190,3800,0,0,0,0,0,0,0,0,530,10600,680,13600,190,3800,1590,31800
0058-openb-node-0543,,P100,16,2,128849018880,16280,2,92,128849018880,530,8628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530,8628
0059-openb-node-0422,,T4,104,2,549755813888,15109,3,77048,549755813888,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0060-openb-node-0391,,T4,104,2,549755813888,15109,3,81548,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0061-openb-node-0646,,T4,104,2,549755813888,15109,4,53792,549755813888,0,0,60,906,0,0,0,0,0,0,0,0,0,0,0,0,60,906
0062-openb-node-0211,,T4,104,2,549755813888,15109,5,500,549755813888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0063-openb-node-0380,,P100,16,2,128849018880,16280,2,940,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
0064-openb-node-0799,,T4,96,4,412316860416,15109,8,2588,412316860416,0,0,160,2417,0,0,190,2870,0,0,0,0,0,0,0,0,350,5287
0065-openb-node-0433,,G2,96,8,412316860416,20000,7,1948,412316860416,0,0,0,0,0,0,190,3800,1000,20000,1000,20000,1000,20000,1000,20000,4190,83800
0066-openb-node-0761,,T4,104,2,549755813888,15109,4,61648,549755813888,0,0,190,2870,0,0,0,0,0,0,0,0,0,0,0,0,190,2870
0067-openb-node-0898,,P100,16,2,128849018880,16280,3,848,128849018880,80,1302,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,270,4395
0068-openb-node-1035,,G2,96,8,412316860416,20000,12,8632,412316860416,0,0,0,0,0,0,0,0,30,600,190,3800,210,4200,40,800,470,9400
0069-openb-node-1169,,G2,96,8,412316860416,20000,8,3196,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,190,3800,0,0,190,3800
0070-openb-node-0848,,G2,96,8,412316860416,20000,11,13966,412316860416,60,1200,0,0,0,0,0,0,190,3800,0,0,0,0,190,3800,440,8800
0071-openb-node-1022,,G2,96,8,412316860416,20000,11,3688,412316860416,0,0,230,4600,0,0,30,600,0,0,190,3800,0,0,120,2400,570,11400
0072-openb-node-1089,,P100,16,2,128849018880,16280,1,0,128849018880,0,0,1000,16280,0,0,0,0,0,0,0,0,0,0,0,0,1000,16280
0073-openb-node-0792,,G2,96,8,412316860416,20000,1,8000,412316860416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0074-openb-node-0089,,G2,96,8,412316860416,20000,11,11376,412316860416,0,0,0,0,0,0,0,0,190,3800,80,1600,210,4200,0,0,480,9600
0075-openb-node-0913,,G2,96,8,412316860416,20000,8,126,412316860416,0,0,0,0,0,0,190,3800,1000,20000,350,7000,190,3800,450,9000,2180,43600
0076-openb-node-0366,,G2,96,8,412316860416,20000,10,15684,412316860416,0,0,0,0,0,0,0,0,0,0,190,3800,210,4200,190,3800,590,11800
0077-openb-node-0145,,P100,16,2,128849018880,16280,2,1548,128849018880,0,0,190,3093,0,0,0,0,0,0,0,0,0,0,0,0,190,3093
