ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_2113-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-arrived_gpu_milli
1,2,0,6212,0
2,3,810,6212,810
3,5,1810,6212,1810
4,7,2810,6212,2810
5,9,3810,6212,3810
5,9,4620,6212,4620
5,9,5090,6212,5090
6,11,5740,6212,5740
6,11,6550,6212,6550
6,11,6780,6212,6780
6,11,7590,6212,7590
7,13,8590,6212,8590
7,13,9060,6212,9060
8,15,9520,6212,9520
8,15,9520,6212,9520
9,17,10520,6212,10520
9,17,10980,6212,10980
10,19,11440,6212,11440
11,20,12440,6212,12440
12,22,13440,6212,13440
13,26,13440,6212,13440
14,28,13910,6212,13910
15,32,13910,6212,13910
15,32,14720,6212,14720
15,32,14880,6212,14880
16,34,14880,6212,14880
16,34,15880,6212,15880
17,36,16880,6212,16880
17,36,17690,6212,17690
18,38,18690,6212,18690
18,38,18800,6212,18800
19,46,19800,6212,19800
20,48,19800,6212,19800
21,49,20270,6212,20270
22,51,21270,6212,21270
23,53,22270,6212,22270
24,55,23270,6212,23270
24,55,24270,6212,24270
25,57,25270,6212,25270
26,59,25740,6212,25740
27,63,25740,6212,25740
27,63,26740,6212,26740
28,65,26740,6212,26740
29,67,27740,6212,27740
29,67,28060,6212,28060
30,69,29060,6212,29060
31,71,29060,6212,29060
32,73,29380,6212,29380
32,73,30380,6212,30380
32,73,31190,6212,31190
33,75,31190,6212,31190
33,75,31560,6212,31560
34,77,32560,6212,32560
35,79,33560,6212,33560
35,79,34560,6212,34560
35,79,34880,6212,34880
36,81,35880,6212,35880
36,81,36880,6212,36880
36,81,37880,6212,37880
36,81,38690,6212,38690
36,81,39690,6212,39690
37,83,40690,6212,40690
37,83,41010,6212,41010
38,85,42010,6212,42010
38,85,43010,6212,43010
39,87,44010,6212,44010
40,89,45010,6212,45010
41,93,45010,6212,45010
42,95,46010,6212,46010
43,97,47010,6212,47010
43,97,47480,6212,47480
43,97,48290,6212,48290
44,99,49290,6212,49290
45,101,50290,6212,50290
46,103,51100,6212,51100
47,105,51100,6212,51100
47,105,52100,6212,52100
47,105,53100,6212,53100
47,105,53910,6212,53910
47,105,57910,6212,57910
48,107,57910,6212,57910
49,109,58720,6212,58720
