ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-arrived_gpu_milli
1,8,0,6212,0
2,9,810,6212,810
3,10,1810,6212,1810
4,11,2810,6212,2810
5,13,3810,6212,3810
6,14,4620,6212,4620
7,15,5090,6212,5090
8,17,5740,6212,5740
8,17,6550,6212,6550
9,18,6780,6212,6780
10,19,7590,6212,7590
10,19,8590,6212,8590
11,21,9060,6212,9060
12,22,9520,6212,9520
12,22,9520,6212,9520
13,24,10520,6212,10520
14,25,10980,6212,10980
15,27,11440,6212,11440
16,28,12440,6212,12440
16,28,13440,6212,13440
16,28,13440,6212,13440
16,28,13910,6212,13910
16,28,13910,6212,13910
16,28,14720,6212,14720
16,28,14880,6212,14880
16,28,14880,6212,14880
17,29,15880,6212,15880
18,31,16880,6212,16880
18,31,17690,6212,17690
19,33,18690,6212,18690
20,35,18800,6212,18800
21,43,19800,6212,19800
21,43,19800,6212,19800
21,43,20270,6212,20270
21,43,21270,6212,21270
21,43,22270,6212,22270
21,43,23270,6212,23270
21,43,24270,6212,24270
21,43,25270,6212,25270
21,43,25740,6212,25740
22,51,25740,6212,25740
23,53,26740,6212,26740
23,53,26740,6212,26740
23,53,27740,6212,27740
23,53,28060,6212,28060
24,55,29060,6212,29060
24,55,29060,6212,29060
25,56,29380,6212,29380
25,56,30380,6212,30380
26,57,31190,6212,31190
26,57,31190,6212,31190
26,57,31560,6212,31560
26,57,32560,6212,32560
27,59,33560,6212,33560
27,59,34560,6212,34560
28,60,34880,6212,34880
29,62,35880,6212,35880
30,64,36880,6212,36880
30,64,37880,6212,37880
31,65,38690,6212,38690
31,65,39690,6212,39690
31,65,40690,6212,40690
32,67,41010,6212,41010
32,67,42010,6212,42010
32,67,43010,6212,43010
32,67,44010,6212,44010
32,67,45010,6212,45010
33,75,45010,6212,45010
34,77,46010,6212,46010
34,77,47010,6212,47010
34,77,47480,6212,47480
