ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_d70f-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
2204453.28,35.49,0.31,190575.31,3.07
2203934.66,35.48,0.31,190046.2,3.06
2203526.17,35.48,0.31,189930.96,3.06
2203117.68,35.48,0.31,189815.72,3.06
2202872.84,35.48,0.31,189766.94,3.06
2202377.28,35.48,0.31,189383.25,3.05
2202199.75,35.48,0.31,189195.81,3.05
2202518.81,35.49,0.32,189336.97,3.05
2201948.83,35.48,0.31,188842.14,3.04
2201970.55,35.49,0.31,188837.65,3.04
2201451.93,35.48,0.31,188308.53,3.04
2201207.09,35.48,0.31,188304.81,3.04
2201696.33,35.49,0.32,188598.5,3.04
2201550.84,35.49,0.32,188565.29,3.04
2201563.23,35.49,0.32,188556.25,3.04
2201318.39,35.5,0.32,188507.11,3.04
2201149.67,35.5,0.32,188328.48,3.04
2201347.12,35.5,0.33,188281.15,3.04
2200639.58,35.5,0.32,187563.71,3.03
2200394.74,35.5,0.32,187560.34,3.03
2200409.2,35.5,0.32,187551.76,3.03
2200036.91,35.5,0.32,187710.77,3.03
2200308.46,35.5,0.32,194118.3,3.13
2200251.76,35.5,0.32,194185.51,3.13
2200093.63,35.5,0.32,194054.13,3.13
2203648.61,35.56,0.38,195415.9,3.15
2202941.07,35.55,0.37,194698.46,3.14
2202913.06,35.56,0.38,194499.29,3.14
2202352.92,35.55,0.37,194031.93,3.13
2201988.05,35.55,0.37,193978.89,3.13
2202319.39,35.56,0.38,193932.74,3.13
2201976.46,35.56,0.38,193934.33,3.13
2201976.46,35.56,0.38,193915.74,3.13
2201787.54,35.56,0.38,194266.34,3.14
2201422.68,35.56,0.38,194260.28,3.14
2201052.9,35.56,0.38,194332.6,3.14
2200683.13,35.56,0.38,194283.84,3.14
2200313.36,35.56,0.38,194245.22,3.14
2199943.58,35.56,0.38,195100.28,3.15
2200132.84,35.56,0.38,195427.32,3.16
2200159.69,35.57,0.38,195436.68,3.16
2199914.85,35.57,0.38,195387.54,3.16
2200140.2,35.57,0.39,196365.39,3.17
2199895.36,35.57,0.39,196362.04,3.18
2199608.1,35.57,0.39,196195.42,3.17
2199243.24,35.57,0.39,196139.67,3.17
2199243.24,35.57,0.39,196115.73,3.17
2199238.93,35.57,0.39,196223.71,3.17
2198476.02,35.56,0.38,195529.21,3.16
2197957.41,35.56,0.38,195000.09,3.15
2197957.41,35.56,0.38,196635.78,3.18
2197681.74,35.56,0.37,196339.35,3.18
2197316.87,35.56,0.37,196335.99,3.18
2197274.41,35.56,0.38,196119.53,3.17
2196525.96,35.56,0.37,195442.32,3.16
2196462.44,35.56,0.37,195354.5,3.16
2196097.57,35.56,0.37,195301.45,3.16
2195852.73,35.56,0.37,195252.31,3.16
2195482.96,35.56,0.37,194184.88,3.15
2194964.34,35.56,0.37,193655.76,3.14
2194640.26,35.56,0.37,195781.15,3.17
2194395.42,35.56,0.37,195777.79,3.17
2194677.0,35.56,0.38,195803.21,3.17
2194312.13,35.56,0.38,195797.15,3.17
2194343.23,35.57,0.38,195041.41,3.16
2194303.35,35.58,0.39,195880.91,3.18
2196070.13,35.61,0.42,196305.01,3.18
2196096.98,35.61,0.42,196314.37,3.18
2195732.11,35.61,0.42,196261.32,3.18
2195367.24,35.61,0.42,196255.27,3.18
2195048.77,35.61,0.42,196443.39,3.19
2194992.07,35.61,0.42,196546.04,3.19
2194747.23,35.61,0.42,196497.26,3.19
2194502.39,35.62,0.42,196493.54,3.19
2194445.69,35.62,0.43,196590.9,3.19
2194445.69,35.62,0.43,196566.95,3.19
2194200.85,35.62,0.43,196573.74,3.19
2193956.02,35.62,0.43,196514.45,3.19
2193539.06,35.62,0.42,195954.3,3.18
2192090.43,35.62,0.42,198224.45,3.22
2193636.12,35.65,0.45,199491.47,3.24
2193579.42,35.65,0.45,199664.52,3.24
2193579.42,35.65,0.45,199664.52,3.24
2193007.76,35.64,0.45,199218.06,3.24
2192994.08,35.65,0.45,199037.09,3.24
2192216.85,35.64,0.45,198324.39,3.22
2192216.85,35.64,0.45,198324.39,3.22
2191698.23,35.64,0.44,197795.28,3.22
2191453.39,35.64,0.44,197746.13,3.22
2191208.56,35.64,0.44,197742.78,3.22
2190963.72,35.64,0.44,197693.63,3.22
2190718.88,35.65,0.44,197690.28,3.22
2191037.94,35.66,0.45,197831.44,3.22
2190467.97,35.65,0.45,197336.6,3.21
2189760.43,35.65,0.44,196619.16,3.2
2189515.59,35.65,0.44,196570.01,3.2
2190004.82,35.66,0.45,196863.7,3.21
2189720.81,35.66,0.45,196594.07,3.2
2189720.81,35.66,0.45,196594.07,3.2
2189160.66,35.65,0.45,196126.72,3.19
2188642.05,35.65,0.44,195597.61,3.19
2188383.52,35.65,0.44,195329.17,3.18
2188326.82,35.65,0.44,195426.53,3.18
2188326.82,35.65,0.44,195426.53,3.18
2188339.21,35.65,0.44,195416.29,3.18
2188168.07,35.65,0.45,196241.58,3.2
2187923.23,35.65,0.45,196238.22,3.2
2188559.78,35.67,0.46,196542.3,3.2
2188503.08,35.67,0.47,196715.36,3.21
2188258.24,35.68,0.47,196666.21,3.21
2188447.5,35.68,0.47,196723.13,3.21
2188202.67,35.68,0.47,196719.77,3.21
2187957.83,35.69,0.47,196670.99,3.21
2187901.13,35.69,0.47,197039.5,3.21
2187656.29,35.69,0.47,197035.78,3.21
2187411.45,35.69,0.47,197098.57,3.22
2187166.62,35.7,0.47,196983.28,3.21
2187166.62,35.7,0.47,196962.1,3.21
2187166.62,35.7,0.47,196962.1,3.21
2187181.07,35.7,0.47,196974.9,3.21
2187181.07,35.7,0.47,197637.52,3.23
2187153.06,35.7,0.48,197463.92,3.22
2186908.23,35.7,0.48,197414.92,3.22
2186663.39,35.7,0.48,197411.42,3.22
2186493.48,35.71,0.48,196977.86,3.22
2186493.48,35.71,0.48,197426.36,3.22
2186874.49,35.71,0.49,197408.51,3.22
2186846.48,35.72,0.49,197209.34,3.22
2190292.01,35.77,0.55,203913.39,3.33
2190292.01,35.77,0.55,203913.39,3.33
2190292.01,35.77,0.55,203913.39,3.33
2190211.0,35.78,0.55,203993.27,3.33
2189692.39,35.77,0.55,203464.16,3.32
2189692.39,35.77,0.55,203464.16,3.32
2189447.55,35.77,0.55,203470.95,3.32
2189202.71,35.78,0.55,203411.66,3.32
2188828.62,35.77,0.55,203175.13,3.32
2188583.78,35.78,0.55,203181.92,3.32
2188338.94,35.78,0.55,203122.63,3.32
2187821.4,35.77,0.54,202595.19,3.31
2187576.57,35.78,0.54,202601.97,3.31
2187331.73,35.78,0.54,202542.69,3.31
2187331.73,35.78,0.54,202542.69,3.31
2187411.5,35.78,0.55,202551.97,3.31
2187166.67,35.78,0.55,202503.19,3.31
2187166.67,35.78,0.55,202503.19,3.31
2186557.41,35.78,0.54,201910.24,3.3
2186746.67,35.78,0.55,202587.79,3.32
2186501.84,35.79,0.55,202584.07,3.32
2186331.93,35.79,0.55,202150.51,3.31
2186087.68,35.79,0.55,202057.25,3.31
2185842.85,35.79,0.55,202008.11,3.31
2185324.23,35.79,0.54,201479.0,3.3
2185079.39,35.79,0.55,201475.64,3.3
2184705.3,35.78,0.54,201057.08,3.29
2183942.39,35.78,0.53,200337.0,3.28
2183234.85,35.77,0.53,199619.56,3.27
2182716.24,35.77,0.53,199090.44,3.26
2182471.4,35.77,0.53,199041.31,3.26
2182176.79,35.77,0.52,198810.52,3.26
2182348.15,35.77,0.53,198436.18,3.25
2182103.32,35.78,0.53,198432.82,3.25
