ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f7e7-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
2204453.28,35.49,0.31,190575.31,3.07
2203934.66,35.48,0.31,190046.2,3.06
2203526.17,35.48,0.31,189930.96,3.06
2203117.68,35.48,0.31,189815.72,3.06
2202872.84,35.48,0.31,189766.94,3.06
2202816.14,35.49,0.31,189946.68,3.06
2202661.83,35.49,0.31,189904.66,3.06
2202980.9,35.5,0.32,190045.83,3.06
2202410.92,35.49,0.32,189550.99,3.05
2202432.64,35.49,0.32,189546.5,3.05
2201914.02,35.49,0.32,189017.39,3.05
2201669.18,35.49,0.32,188968.61,3.05
2202158.41,35.5,0.33,189262.29,3.05
2202012.92,35.5,0.33,189229.09,3.05
2202025.31,35.5,0.33,189220.04,3.05
2201780.47,35.5,0.33,189216.32,3.05
2201611.75,35.5,0.33,189037.69,3.05
2201809.2,35.51,0.33,188990.36,3.05
2201101.66,35.5,0.33,188272.92,3.04
2200856.83,35.51,0.33,188697.18,3.04
2200871.28,35.51,0.33,188688.6,3.04
2200499.0,35.5,0.32,188329.17,3.04
2200770.55,35.51,0.33,194736.7,3.14
2200210.41,35.5,0.32,194269.35,3.13
2200052.27,35.5,0.32,194115.89,3.13
2203607.25,35.56,0.38,195477.66,3.15
2202899.71,35.55,0.37,194760.21,3.14
2202871.71,35.56,0.38,194561.04,3.14
2202298.8,35.55,0.37,194056.54,3.13
2201933.93,35.55,0.37,194003.5,3.13
2202265.27,35.56,0.38,193957.35,3.13
2201922.35,35.56,0.38,193958.94,3.13
2201922.35,35.56,0.38,193940.35,3.13
2201733.43,35.56,0.38,194290.95,3.14
2201368.56,35.56,0.38,194284.89,3.14
2200998.78,35.56,0.38,194357.21,3.14
2200629.01,35.56,0.38,194308.45,3.14
2200259.24,35.56,0.38,194269.83,3.14
2199889.47,35.56,0.38,195124.89,3.15
2200107.15,35.56,0.38,195471.21,3.16
2200133.99,35.56,0.39,195480.56,3.16
2199889.16,35.57,0.39,195449.95,3.16
2199889.16,35.57,0.39,195426.0,3.16
2199644.32,35.57,0.39,195377.14,3.16
2199357.06,35.57,0.38,195150.81,3.16
2199112.22,35.57,0.38,195147.17,3.16
2199112.22,35.57,0.38,196416.37,3.18
2199107.92,35.57,0.38,196524.35,3.18
2198804.63,35.57,0.38,195857.53,3.17
2198443.1,35.57,0.38,195973.54,3.17
2198504.02,35.57,0.38,196615.83,3.18
2198420.96,35.57,0.39,196520.9,3.18
2198056.09,35.57,0.39,196522.9,3.18
2197691.22,35.57,0.39,196461.8,3.18
2196983.68,35.56,0.38,195744.36,3.17
2196920.16,35.57,0.38,195656.54,3.17
2196906.48,35.57,0.39,195475.56,3.17
2196661.64,35.57,0.39,195426.42,3.16
2196284.26,35.57,0.39,193942.81,3.14
2196237.13,35.58,0.39,198162.37,3.21
2197335.22,35.6,0.42,197595.15,3.2
2197090.39,35.6,0.42,197591.8,3.2
2197371.96,35.61,0.42,197617.21,3.2
2197127.12,35.61,0.42,198059.58,3.21
2196730.74,35.61,0.42,196858.42,3.19
2196365.88,35.61,0.42,196805.17,3.19
2196001.01,35.61,0.42,196799.32,3.19
2196027.85,35.61,0.42,196808.68,3.19
2195662.99,35.61,0.42,196755.63,3.19
2195298.12,35.61,0.42,196749.58,3.19
2194979.65,35.61,0.42,196407.75,3.19
2195054.44,35.61,0.42,196875.51,3.19
2194809.6,35.61,0.42,196826.73,3.19
2194564.76,35.62,0.42,196823.01,3.19
2194508.06,35.62,0.43,196920.37,3.2
2194508.06,35.62,0.43,196896.42,3.2
2194263.22,35.62,0.43,196908.02,3.2
2194018.39,35.62,0.43,196859.23,3.2
2193431.15,35.62,0.42,196336.53,3.19
2191982.52,35.62,0.42,198606.68,3.23
2193528.21,35.64,0.45,199873.7,3.25
2193471.51,35.65,0.45,200053.44,3.25
2193471.51,35.65,0.45,200053.44,3.25
2193150.54,35.65,0.45,199336.2,3.24
2193136.86,35.65,0.45,199155.22,3.24
2192141.37,35.64,0.44,198150.44,3.22
2192141.37,35.64,0.44,198150.44,3.22
2191787.11,35.64,0.44,197679.62,3.21
2191542.27,35.64,0.44,197630.48,3.21
2190765.03,35.64,0.44,196917.78,3.2
2190520.2,35.64,0.44,196914.42,3.2
2190275.36,35.64,0.44,196865.64,3.2
2190355.14,35.64,0.44,197174.71,3.21
2189836.52,35.64,0.44,196645.59,3.2
2189128.98,35.63,0.43,195928.15,3.19
2189086.52,35.64,0.44,195711.68,3.19
2189575.75,35.65,0.45,196005.37,3.19
2189281.14,35.65,0.44,195722.58,3.19
2189281.14,35.65,0.44,195722.58,3.19
2188722.69,35.64,0.44,195235.37,3.18
2188162.54,35.64,0.44,194768.02,3.17
2187904.02,35.64,0.44,194499.59,3.17
2187847.32,35.64,0.44,194596.95,3.17
2187847.32,35.64,0.44,194596.95,3.17
2187847.32,35.64,0.44,194596.95,3.17
2187676.17,35.64,0.44,195422.23,3.18
2187431.34,35.65,0.44,195455.84,3.19
2188067.89,35.66,0.46,195759.92,3.19
2187549.27,35.66,0.45,195230.8,3.18
2187304.43,35.66,0.45,195181.66,3.18
2187493.69,35.67,0.46,195598.79,3.19
2187248.86,35.67,0.46,195549.64,3.19
2187004.02,35.67,0.46,195546.29,3.19
2186485.4,35.67,0.46,195017.17,3.18
2186240.57,35.67,0.46,195023.96,3.18
2185995.73,35.67,0.46,194964.67,3.18
2185288.19,35.66,0.45,194247.23,3.17
2185300.58,35.66,0.45,194241.49,3.17
2185300.58,35.66,0.45,194240.96,3.17
2185300.58,35.66,0.45,194214.57,3.17
2185315.04,35.66,0.45,194662.39,3.18
2185070.2,35.67,0.45,194669.18,3.18
2184825.36,35.67,0.45,194609.89,3.18
2184797.35,35.67,0.46,194436.3,3.17
2184224.45,35.67,0.45,193906.22,3.17
2184224.45,35.67,0.45,194082.26,3.17
2184285.37,35.67,0.45,194075.09,3.17
2184257.36,35.68,0.46,193875.92,3.17
2186701.34,35.72,0.5,200668.15,3.28
2186701.34,35.72,0.5,200668.15,3.28
2186701.34,35.72,0.5,200668.15,3.28
2187020.41,35.72,0.51,200809.32,3.28
2186447.5,35.72,0.5,200304.81,3.27
2186447.5,35.72,0.5,200304.81,3.27
2186202.66,35.72,0.5,200311.6,3.27
2185957.83,35.72,0.5,200252.31,3.27
2185583.73,35.72,0.5,199891.83,3.27
2185338.89,35.72,0.5,199898.62,3.27
2185094.06,35.72,0.5,199839.33,3.27
2184576.52,35.72,0.5,199311.88,3.26
2184331.68,35.72,0.5,199318.67,3.26
2184086.84,35.72,0.5,199259.38,3.26
2184086.84,35.72,0.5,199259.38,3.26
2184166.62,35.73,0.5,199268.67,3.26
2183921.78,35.73,0.5,199519.66,3.26
2183921.78,35.73,0.5,199519.66,3.26
2183307.76,35.72,0.49,198920.04,3.25
2183497.02,35.73,0.5,198976.96,3.26
2183252.19,35.73,0.5,199288.9,3.26
2182682.21,35.73,0.49,198794.06,3.25
2182163.59,35.72,0.49,198264.95,3.25
2181918.76,35.73,0.49,198215.8,3.25
2181862.05,35.73,0.49,198395.91,3.25
2181617.22,35.73,0.49,198402.69,3.25
2181243.12,35.73,0.49,198041.34,3.24
2180998.28,35.73,0.49,197982.05,3.24
2180290.75,35.72,0.48,197264.61,3.23
2179772.13,35.72,0.48,196735.49,3.22
2179527.29,35.72,0.48,196686.35,3.22
2179232.68,35.72,0.48,196403.57,3.22
2179402.76,35.73,0.48,196806.19,3.23
2179157.92,35.73,0.48,196757.41,3.23
2178913.09,35.73,0.48,196753.69,3.23
