ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9523-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
1,1,0,6212,0
2,2,810,6212,810
3,4,1810,6212,1810
4,6,2810,6212,2810
5,8,3810,6212,3810
5,8,4620,6212,4620
6,9,5090,6212,5090
7,11,5740,6212,5740
7,11,6550,6212,6550
8,12,6780,6212,6780
8,12,7590,6212,7590
9,14,8590,6212,8590
10,16,9060,6212,9060
11,17,9520,6212,9520
12,18,9520,6212,9520
13,20,10520,6212,10520
13,20,10980,6212,10980
14,22,11440,6212,11440
15,23,12440,6212,12440
16,25,13440,6212,13440
16,25,13440,6212,13440
16,25,13910,6212,13910
17,27,13910,6212,13910
17,27,14720,6212,14720
17,27,14880,6212,14880
18,29,14880,6212,14880
18,29,15880,6212,15880
19,31,16880,6212,16880
19,31,17690,6212,17690
20,33,18690,6212,18690
20,33,18800,6212,18800
21,41,19800,6212,19800
22,43,19800,6212,19800
23,44,20270,6212,20270
24,46,21270,6212,21270
25,48,22270,6212,22270
26,50,23270,6212,23270
26,50,24270,6212,24270
27,52,25270,6212,25270
28,54,25740,6212,25740
28,54,25740,6212,25740
28,54,26740,6212,26740
29,56,26740,6212,26740
30,58,27740,6212,27740
30,58,28060,6212,28060
31,60,29060,6212,29060
32,62,29060,6212,29060
33,63,29380,6212,29380
33,63,30380,6212,30380
33,63,31190,6212,31190
34,65,31190,6212,31190
34,65,31560,6212,31560
35,67,32560,6212,32560
36,69,33560,6212,33560
36,69,34560,6212,34560
36,69,34880,6212,34880
37,71,35880,6212,35880
37,71,36880,6212,36880
37,71,37880,6212,37880
37,71,38690,6212,38690
37,71,39690,6212,39690
38,73,40690,6212,40690
38,73,41010,6212,41010
39,75,42010,6212,42010
39,75,43010,6212,43010
40,77,44010,6212,44010
41,79,45010,6212,45010
41,79,45010,6212,45010
42,81,46010,6212,46010
43,83,47010,6212,47010
44,84,47480,6212,47480
44,84,48290,6212,48290
45,86,49290,6212,49290
46,88,50290,6212,50290
47,90,51100,6212,51100
47,90,51100,6212,51100
48,92,52100,6212,52100
48,92,53100,6212,53100
48,92,53910,6212,53910
48,92,57910,6212,57910
48,92,57910,6212,57910
49,94,58720,6212,58720
49,94,58720,6212,58720
49,94,59530,6212,59530
50,96,60530,6212,60530
50,96,61530,6212,61530
50,96,61530,6212,61530
50,96,62340,6212,62340
50,96,63340,6212,63340
50,96,64340,6212,64340
51,98,65340,6212,65340
52,100,66340,6212,66340
53,102,66990,6212,66990
53,102,67800,6212,67800
54,103,68800,6212,68800
55,105,69800,6212,69800
56,107,70270,6212,70270
56,107,70590,6212,70590
56,107,70590,6212,70590
56,107,71400,6212,71400
56,107,72210,6212,72210
56,107,72760,6212,72760
56,107,73570,6212,73570
56,107,73570,6212,73570
57,109,73570,6212,73570
58,113,74570,6212,74570
59,115,75570,6212,75570
60,117,76570,6212,76570
60,117,77380,6212,77380
61,119,78380,6212,78380
62,121,78850,6212,78850
63,123,79850,6212,79850
64,125,80850,6212,80850
64,125,81660,6212,81660
65,127,82660,6212,82660
65,127,83660,6212,83660
66,128,84660,6212,84660
67,130,84660,6212,84660
68,131,84660,6212,84660
69,132,84660,6212,84660
70,134,84660,6212,84660
71,136,85660,6212,85660
72,138,86660,6212,86660
73,140,87660,6212,87660
73,140,88470,6212,88470
73,140,88470,6212,88470
74,142,88470,6212,88470
75,144,89470,6212,89470
76,146,89470,6212,89470
77,148,89470,6212,89470
78,150,89470,6212,89470
79,152,90120,6212,90120
79,152,90930,6212,90930
80,154,90930,6212,90930
81,156,91930,6212,91930
82,158,92930,6212,92930
83,159,93400,6212,93400
83,159,94400,6212,94400
84,161,95400,6212,95400
84,161,96210,6212,96210
85,163,97210,6212,97210
86,165,98210,6212,98210
87,167,98210,6212,98210
88,169,98860,6212,98860
88,169,99860,6212,99860
89,171,99860,6212,99860
89,171,100510,6212,100510
89,171,100980,6212,100980
90,173,101980,6212,101980
90,173,102790,6212,102790
90,173,103600,6212,103600
90,173,104600,6212,104600
90,173,105410,6212,105410
91,175,106410,6212,106410
92,177,106880,6212,106880
92,177,107880,6212,107880
93,178,108880,6212,108880
93,178,109690,6212,109690
93,178,110690,6212,110690
93,178,111010,6212,111010
93,178,111560,6212,111560
94,180,112560,6212,112560
94,180,113560,6212,113560
95,181,114020,6212,114020
95,181,115020,6212,115020
96,183,115830,6212,115830
96,183,116830,6212,116830
97,185,117830,6212,117830
97,185,118150,6212,118150
98,187,119150,6212,119150
99,188,119470,6212,119470
100,190,120470,6212,120470
100,190,120790,6212,120790
101,191,120790,6212,120790
101,191,121790,6212,121790
101,191,121790,6212,121790
102,193,122790,6212,122790
103,195,123790,6212,123790
103,195,124600,6212,124600
103,195,125600,6212,125600
103,195,125600,6212,125600
104,197,126600,6212,126600
105,199,127070,6212,127070
105,199,127880,6212,127880
106,201,128880,6212,128880
107,203,129530,6212,129530
107,203,129530,6212,129530
107,203,129530,6212,129530
107,203,129760,6212,129760
107,203,130080,6212,130080
108,204,130400,6212,130400
108,204,131210,6212,131210
109,208,132210,6212,132210
109,208,133020,6212,133020
109,208,133020,6212,133020
110,210,133020,6212,133020
111,212,134020,6212,134020
112,214,134830,6212,134830
112,214,134830,6212,134830
113,215,134830,6212,134830
113,215,135640,6212,135640
113,215,135960,6212,135960
114,216,136960,6212,136960
115,218,137960,6212,137960
115,218,138960,6212,138960
116,220,139610,6212,139610
117,222,140610,6212,140610
117,222,141420,6212,141420
118,224,141420,6212,141420
119,226,142420,6212,142420
119,226,143420,6212,143420
119,226,144420,6212,144420
119,226,145230,6212,145230
119,226,145600,6212,145600
120,228,146070,6212,146070
120,228,147070,6212,147070
121,230,147540,6212,147540
122,232,148540,6212,148540
123,234,149540,6212,149540
124,236,150010,6212,150010
125,238,151010,6212,151010
125,238,151820,6212,151820
125,238,152630,6212,152630
125,238,153630,6212,153630
125,238,153630,6212,153630
126,240,154630,6212,154630
127,242,155100,6212,155100
128,244,156100,6212,156100
128,244,156570,6212,156570
128,244,156940,6212,156940
129,246,157940,6212,157940
129,246,158750,6212,158750
129,246,159560,6212,159560
130,248,160020,6212,160020
130,248,160830,6212,160830
131,250,161480,6212,161480
131,250,161710,6212,161710
131,250,161710,6212,161710
131,250,161710,6212,161710
131,250,161710,6212,161710
132,252,162710,6212,162710
132,252,163520,6212,163520
133,256,167520,6212,167520
134,258,168520,6212,168520
134,258,169520,6212,169520
135,260,170520,6212,170520
135,260,171520,6212,171520
135,260,172520,6212,172520
136,262,172990,6212,172990
137,266,173990,6212,173990
138,274,174990,6212,174990
139,276,175460,6212,175460
140,278,176460,6212,176460
141,280,177460,6212,177460
141,280,178270,6212,178270
141,280,179270,6212,179270
142,282,179740,6212,179740
142,282,180740,6212,180740
143,284,181740,6212,181740
144,286,182740,6212,182740
145,288,183740,6212,183740
145,288,184740,6212,184740
146,290,185200,6212,185200
146,290,186200,6212,186200
146,290,186200,6212,186200
147,292,187200,6212,187200
148,294,188200,6212,188200
148,294,189200,6212,189200
148,294,189520,6212,189520
148,294,190330,6212,190330
148,294,191140,6212,191140
148,294,191690,6212,191690
148,294,192160,6212,192160
148,294,192160,6212,192160
148,294,192390,6212,192390
148,294,192860,6212,192860
148,294,193080,6212,193080
149,296,194080,6212,194080
149,296,194890,6212,194890
150,298,195890,6212,195890
150,298,196700,6212,196700
150,298,196700,6212,196700
151,300,197170,6212,197170
152,304,198170,6212,198170
152,304,199170,6212,199170
152,304,199980,6212,199980
152,304,200980,6212,200980
153,306,201980,6212,201980
154,308,202450,6212,202450
155,312,203450,6212,203450
155,312,204260,6212,204260
156,314,205260,6212,205260
156,314,205730,6212,205730
156,314,205730,6212,205730
156,314,206540,6212,206540
156,314,207350,6212,207350
156,314,207350,6212,207350
157,316,208350,6212,208350
158,318,209350,6212,209350
158,318,209580,6212,209580
158,318,211580,6212,211580
158,318,211580,6212,211580
158,318,212390,6212,212390
158,318,212390,6212,212390
158,318,213390,6212,213390
158,318,214390,6212,214390
158,318,215200,6212,215200
159,320,216200,6212,216200
160,322,217200,6212,217200
161,324,218200,6212,218200
161,324,219010,6212,219010
161,324,219330,6212,219330
162,326,220140,6212,220140
163,328,221140,6212,221140
164,330,222140,6212,222140
164,330,222140,6212,222140
165,332,223140,6212,223140
166,334,223790,6212,223790
166,334,223790,6212,223790
166,334,224790,6212,224790
167,338,226790,6212,226790
167,338,227020,6212,227020
167,338,227490,6212,227490
167,338,228490,6212,228490
167,338,229300,6212,229300
168,340,230300,6212,230300
168,340,231300,6212,231300
169,342,232300,6212,232300
169,342,233110,6212,233110
169,342,233110,6212,233110
169,342,233920,6212,233920
169,342,234510,6212,234510
169,342,234830,6212,234830
169,342,235830,6212,235830
169,342,235830,6212,235830
169,342,235830,6212,235830
169,342,236300,6212,236300
169,342,237110,6212,237110
169,342,237110,6212,237110
169,342,238110,6212,238110
169,342,238340,6212,238340
169,342,239340,6212,239340
169,342,240340,6212,240340
169,342,241340,6212,241340
169,342,241340,6212,241340
169,342,241660,6212,241660
170,344,242130,6212,242130
171,348,243130,6212,243130
171,348,243130,6212,243130
171,348,243780,6212,243780
171,348,244590,6212,244590
172,356,252590,6212,252590
173,360,253590,6212,253590
173,360,254590,6212,254590
174,364,255590,6212,255590
174,364,256240,6212,256240
174,364,257240,6212,257240
174,364,257710,6212,257710
174,364,258710,6212,258710
174,364,259710,6212,259710
174,364,260710,6212,260710
174,364,261710,6212,261710
175,366,262710,6212,262710
175,366,262940,6212,262940
176,374,263940,6212,263940
176,374,264940,6212,264940
176,374,265750,6212,265750
176,374,266560,6212,266560
177,376,267030,6212,267030
177,376,268030,6212,268030
178,380,269030,6212,269030
178,380,270030,6212,270030
178,380,271030,6212,271030
178,380,271030,6212,271030
179,382,271580,6212,271580
179,382,272050,6212,272050
180,384,272700,6212,272700
180,384,272700,6212,272700
180,384,273700,6212,273700
180,384,274700,6212,274700
180,384,275510,6212,275510
180,384,275980,6212,275980
181,388,276980,6212,276980
181,388,277980,6212,277980
181,388,278980,6212,278980
181,388,279790,6212,279790
181,388,280790,6212,280790
182,396,288790,6212,288790
182,396,289600,6212,289600
182,396,290600,6212,290600
183,398,291150,6212,291150
183,398,292150,6212,292150
183,398,293150,6212,293150
183,398,293620,6212,293620
184,400,294620,6212,294620
184,400,295430,6212,295430
185,404,296080,6212,296080
185,404,297080,6212,297080
185,404,298080,6212,298080
186,408,299080,6212,299080
187,410,300080,6212,300080
187,410,301080,6212,301080
188,414,302080,6212,302080
188,414,303080,6212,303080
188,414,304080,6212,304080
189,416,304550,6212,304550
189,416,305550,6212,305550
189,416,305550,6212,305550
190,420,306550,6212,306550
190,420,306550,6212,306550
191,422,307550,6212,307550
191,422,308550,6212,308550
191,422,308550,6212,308550
191,422,309550,6212,309550
191,422,309780,6212,309780
192,426,310780,6212,310780
192,426,311780,6212,311780
192,426,311780,6212,311780
192,426,311780,6212,311780
192,426,312240,6212,312240
192,426,313240,6212,313240
192,426,314050,6212,314050
192,426,314050,6212,314050
192,426,315050,6212,315050
192,426,315270,6212,315270
193,428,316270,6212,316270
193,428,317080,6212,317080
193,428,318080,6212,318080
194,430,318540,6212,318540
194,430,319350,6212,319350
194,430,320160,6212,320160
195,432,320810,6212,320810
195,432,321810,6212,321810
195,432,322040,6212,322040
195,432,323040,6212,323040
196,434,324040,6212,324040
196,434,325040,6212,325040
196,434,326040,6212,326040
196,434,326510,6212,326510
197,436,326980,6212,326980
198,440,327980,6212,327980
198,440,328980,6212,328980
198,440,329980,6212,329980
199,444,330980,6212,330980
199,444,331300,6212,331300
199,444,332300,6212,332300
199,444,333110,6212,333110
200,446,333920,6212,333920
200,446,334920,6212,334920
200,446,335920,6212,335920
200,446,336920,6212,336920
200,446,337730,6212,337730
200,446,338540,6212,338540
201,450,339540,6212,339540
201,450,340010,6212,340010
201,450,341010,6212,341010
201,450,341010,6212,341010
201,450,341010,6212,341010
202,458,342010,6212,342010
202,458,342010,6212,342010
203,462,343010,6212,343010
203,462,343010,6212,343010
204,464,343820,6212,343820
204,464,344820,6212,344820
204,464,345050,6212,345050
204,464,346050,6212,346050
204,464,346860,6212,346860
205,468,347670,6212,347670
205,468,347670,6212,347670
206,470,348670,6212,348670
206,470,349020,6212,349020
206,470,350020,6212,350020
207,474,351020,6212,351020
207,474,351020,6212,351020
207,474,351340,6212,351340
207,474,352340,6212,352340
207,474,353340,6212,353340
207,474,353340,6212,353340
208,478,354340,6212,354340
208,478,355340,6212,355340
209,480,356150,6212,356150
209,480,357150,6212,357150
209,480,357150,6212,357150
209,480,358150,6212,358150
209,480,359150,6212,359150
210,482,360150,6212,360150
210,482,360620,6212,360620
211,484,361620,6212,361620
211,484,362620,6212,362620
212,486,363430,6212,363430
212,486,364240,6212,364240
212,486,365240,6212,365240
212,486,365240,6212,365240
212,486,365240,6212,365240
213,488,366240,6212,366240
213,488,366470,6212,366470
214,490,367470,6212,367470
214,490,368470,6212,368470
214,490,369280,6212,369280
215,492,369930,6212,369930
215,492,369930,6212,369930
215,492,370930,6212,370930
216,494,371930,6212,371930
217,498,372390,6212,372390
217,498,373200,6212,373200
217,498,374200,6212,374200
217,498,375200,6212,375200
218,502,376200,6212,376200
218,502,377200,6212,377200
218,502,378010,6212,378010
218,502,378010,6212,378010
218,502,379010,6212,379010
219,504,380010,6212,380010
219,504,381010,6212,381010
220,506,381480,6212,381480
220,506,382480,6212,382480
221,510,383480,6212,383480
221,510,383480,6212,383480
221,510,384480,6212,384480
221,510,385290,6212,385290
221,510,385520,6212,385520
221,510,386520,6212,386520
222,514,387520,6212,387520
222,514,388520,6212,388520
222,514,389520,6212,389520
222,514,389990,6212,389990
222,514,390990,6212,390990
223,518,391990,6212,391990
223,518,392990,6212,392990
223,518,393990,6212,393990
223,518,394800,6212,394800
224,520,395800,6212,395800
224,520,396800,6212,396800
225,522,397800,6212,397800
225,522,398030,6212,398030
225,522,398030,6212,398030
226,524,399030,6212,399030
226,524,399840,6212,399840
226,524,400840,6212,400840
226,524,401840,6212,401840
227,526,402160,6212,402160
227,526,403160,6212,403160
227,526,403160,6212,403160
228,528,404160,6212,404160
229,532,404970,6212,404970
229,532,405520,6212,405520
229,532,405520,6212,405520
229,532,405680,6212,405680
229,532,406000,6212,406000
229,532,406810,6212,406810
229,532,407280,6212,407280
230,536,408280,6212,408280
230,536,409090,6212,409090
230,536,409560,6212,409560
231,538,410020,6212,410020
231,538,411020,6212,411020
231,538,412020,6212,412020
232,542,413020,6212,413020
232,542,413240,6212,413240
232,542,413240,6212,413240
232,542,414240,6212,414240
233,550,422240,6212,422240
233,550,423240,6212,423240
233,550,424050,6212,424050
233,550,424050,6212,424050
234,554,425050,6212,425050
234,554,426050,6212,426050
234,554,426270,6212,426270
234,554,426920,6212,426920
234,554,427920,6212,427920
234,554,428920,6212,428920
235,558,429920,6212,429920
235,558,430570,6212,430570
235,558,431380,6212,431380
235,558,432380,6212,432380
236,560,433030,6212,433030
236,560,433500,6212,433500
236,560,433500,6212,433500
237,564,434310,6212,434310
237,564,434780,6212,434780
237,564,435250,6212,435250
237,564,435720,6212,435720
237,564,435720,6212,436190
237,564,436530,6212,437000
237,564,437530,6212,438000
237,564,437850,6212,438320
238,568,438850,6212,439320
238,568,439660,6212,440130
238,568,440130,6212,440600
238,568,441130,6212,441600
238,568,441450,6212,441920
239,572,442260,6212,442730
239,572,442420,6212,442890
239,572,443420,6212,443890
240,574,444070,6212,444540
240,574,444070,6212,444540
240,574,445070,6212,445540
240,574,445540,6212,446010
240,574,446540,6212,447010
240,574,446860,6212,447330
240,574,447860,6212,448330
240,574,448860,6212,449330
240,574,448860,6212,449700
240,574,449860,6212,450700
240,574,450860,6212,451700
241,576,451860,6212,452700
241,576,452860,6212,453700
241,576,453860,6212,454700
242,578,454860,6212,455700
242,578,455860,6212,456700
242,578,455860,6212,456700
242,578,455860,6212,456700
242,578,456090,6212,456930
243,580,457090,6212,457930
243,580,457090,6212,457930
243,580,457090,6212,458250
243,580,457560,6212,458720
243,580,458560,6212,459720
244,588,459560,6212,460720
245,590,460560,6212,461720
245,590,461370,6212,462530
246,592,462180,6212,463340
246,592,462660,6212,463820
247,600,463660,6212,464820
248,608,464660,6212,465820
248,608,465660,6212,466820
248,608,465660,6212,466820
249,610,466660,6212,467820
249,610,467660,6212,468820
250,612,468470,6212,469630
250,612,469470,6212,470630
251,614,469940,6212,471100
