ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5637-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5637-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5637-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5637-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_gpuspec33-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5637-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
2204453.28,35.49,0.31,190575.31,3.07
2203934.66,35.48,0.31,190046.2,3.06
2203526.17,35.48,0.31,189930.96,3.06
2203117.68,35.48,0.31,189815.72,3.06
2202752.81,35.48,0.31,189762.47,3.06
2202257.25,35.48,0.31,189378.79,3.05
2202079.71,35.48,0.31,189191.34,3.05
2202033.92,35.48,0.31,189194.68,3.05
2201515.3,35.48,0.31,188665.57,3.04
2201304.91,35.48,0.3,188644.55,3.04
2200786.3,35.47,0.3,188115.44,3.03
2200421.43,35.47,0.3,188109.58,3.03
2200502.22,35.48,0.31,188162.67,3.03
2200126.56,35.47,0.3,188226.46,3.03
2200126.56,35.47,0.3,188225.88,3.03
2199761.69,35.47,0.3,188119.9,3.03
2199592.97,35.47,0.3,187941.27,3.03
2199790.42,35.48,0.31,187893.94,3.03
2199082.88,35.47,0.3,187176.49,3.02
2198680.07,35.47,0.3,187205.3,3.02
2198680.07,35.47,0.3,187503.73,3.02
2198307.78,35.47,0.3,187205.91,3.02
2198307.78,35.47,0.3,187163.25,3.02
2197789.16,35.46,0.29,186634.13,3.01
2198088.14,35.47,0.3,187224.65,3.02
2198088.14,35.47,0.3,187120.06,3.02
2197380.6,35.46,0.29,186402.62,3.01
2196977.79,35.46,0.29,186381.67,3.01
2196463.98,35.46,0.29,185989.97,3.0
2196061.16,35.46,0.29,185972.04,3.0
2196392.51,35.46,0.3,186223.62,3.01
2196049.58,35.46,0.3,186224.51,3.01
2196049.58,35.46,0.3,186205.01,3.01
2195860.66,35.46,0.29,186075.22,3.01
2195495.79,35.46,0.29,186077.21,3.01
2195126.02,35.46,0.29,186314.84,3.01
2194756.24,35.46,0.29,186277.09,3.01
2194386.47,35.46,0.29,186214.06,3.01
2193983.66,35.46,0.29,186233.86,3.01
2194034.85,35.47,0.3,186218.86,3.01
2194034.85,35.47,0.3,186218.86,3.01
2193790.01,35.47,0.3,186468.05,3.01
2193790.01,35.47,0.3,186429.28,3.01
2193545.17,35.47,0.3,186380.42,3.01
2193257.91,35.47,0.29,186138.37,3.01
2192855.1,35.47,0.29,186550.41,3.02
2192855.1,35.47,0.29,186550.41,3.02
2192850.79,35.47,0.3,186658.39,3.02
2192143.26,35.46,0.29,185940.95,3.01
2191624.64,35.46,0.29,185411.84,3.0
2191624.64,35.46,0.29,185523.83,3.0
2191329.42,35.46,0.29,185097.47,2.99
2190926.6,35.46,0.29,185367.15,3.0
2190550.64,35.45,0.29,185367.92,3.0
2189843.1,35.45,0.28,184650.47,2.99
2189779.58,35.45,0.28,184562.65,2.99
2189376.76,35.45,0.28,184540.44,2.99
2189131.93,35.45,0.28,184424.8,2.99
2188762.15,35.45,0.28,185187.46,3.0
2188243.54,35.45,0.28,184658.35,2.99
2187900.61,35.45,0.28,184655.5,2.99
2187655.77,35.45,0.28,184606.64,2.99
2187937.35,35.46,0.28,185123.28,3.0
2187567.57,35.45,0.28,185101.37,3.0
2186860.04,35.45,0.28,184383.92,2.99
2186490.26,35.45,0.28,184449.27,2.99
2186120.49,35.45,0.28,184427.79,2.99
2186120.49,35.45,0.28,184427.79,2.99
2185750.72,35.45,0.28,184376.51,2.99
2185347.91,35.45,0.28,184397.68,2.99
2185029.43,35.45,0.28,184055.85,2.99
2184510.82,35.44,0.27,183526.74,2.98
2184108.0,35.44,0.27,183509.38,2.98
2183705.19,35.44,0.27,183516.76,2.98
2183648.49,35.44,0.27,183614.12,2.98
2183648.49,35.44,0.27,183614.12,2.98
2183245.68,35.44,0.27,183596.59,2.98
2183000.84,35.44,0.27,183630.58,2.98
2182505.28,35.44,0.27,183246.89,2.98
2181053.04,35.44,0.27,183249.1,2.98
2181053.04,35.44,0.27,183233.2,2.98
2180996.33,35.44,0.27,183330.56,2.98
2180996.33,35.44,0.27,183316.88,2.98
2180477.72,35.44,0.27,182787.77,2.97
2180107.95,35.44,0.27,183618.76,2.98
2179400.41,35.43,0.27,182901.32,2.97
2179400.41,35.43,0.27,182901.32,2.97
2178881.79,35.43,0.26,182372.21,2.97
2178478.98,35.43,0.26,182361.77,2.97
2177771.44,35.42,0.26,181644.32,2.95
2177368.63,35.42,0.26,181640.97,2.96
2177003.76,35.42,0.26,181579.87,2.95
2176957.96,35.43,0.26,181583.21,2.95
2176541.0,35.42,0.26,181023.06,2.95
2176171.23,35.42,0.26,181437.61,2.95
2175806.36,35.42,0.26,181381.87,2.95
2175887.15,35.43,0.26,181804.89,2.96
2175586.98,35.42,0.26,181783.56,2.96
2175586.98,35.42,0.26,181783.56,2.96
2175015.33,35.42,0.26,181337.11,2.95
2174598.37,35.42,0.25,180776.96,2.94
2174286.72,35.42,0.25,180590.5,2.94
2174230.01,35.42,0.25,180763.56,2.94
2174230.01,35.42,0.25,180763.56,2.94
2174230.01,35.42,0.25,180763.56,2.94
2173847.46,35.42,0.25,180744.98,2.94
2173444.65,35.42,0.25,180773.17,2.95
2173041.84,35.42,0.25,180753.36,2.95
2172827.58,35.42,0.26,180740.3,2.95
2172424.76,35.42,0.26,180746.04,2.95
2172039.11,35.41,0.25,180379.67,2.94
2171636.29,35.41,0.25,180364.48,2.94
2171391.45,35.42,0.25,180315.7,2.94
2171177.19,35.42,0.25,180310.97,2.94
2170774.38,35.42,0.25,180702.7,2.95
2170529.54,35.42,0.25,180698.98,2.95
2170146.99,35.42,0.25,180611.3,2.95
2170146.99,35.42,0.25,180635.62,2.95
2170146.99,35.42,0.25,180635.04,2.95
2170146.99,35.42,0.25,180634.46,2.95
2170146.99,35.42,0.25,180610.14,2.95
2169771.02,35.42,0.25,180616.11,2.95
2169526.19,35.42,0.25,180567.1,2.95
2169123.37,35.42,0.25,180546.86,2.95
2168953.47,35.42,0.26,180113.3,2.94
2168953.47,35.42,0.26,180139.11,2.94
2168953.47,35.42,0.26,180121.16,2.94
2168522.46,35.42,0.25,179851.05,2.94
2168522.46,35.42,0.25,179871.49,2.94
2168522.46,35.42,0.25,179872.48,2.94
2168522.46,35.42,0.25,179855.2,2.94
2168449.82,35.42,0.26,179872.93,2.94
2168235.55,35.42,0.26,179857.3,2.94
2168235.55,35.42,0.26,179857.3,2.94
2167832.74,35.42,0.26,179842.52,2.94
2167429.93,35.42,0.26,180021.31,2.94
2167481.12,35.42,0.26,180125.51,2.94
2167236.28,35.43,0.26,180122.01,2.94
2166991.44,35.43,0.26,180072.91,2.94
2166777.18,35.43,0.27,180872.49,2.96
2166401.21,35.43,0.27,180878.46,2.96
2165998.4,35.43,0.27,180851.05,2.96
2165998.4,35.43,0.27,180851.05,2.96
2165925.76,35.43,0.27,180875.71,2.96
2165680.92,35.43,0.27,180872.31,2.96
2165680.92,35.43,0.27,180849.92,2.96
2165066.9,35.43,0.26,180250.29,2.95
2165256.16,35.43,0.27,180307.21,2.95
2165011.32,35.43,0.27,180618.54,2.96
2164841.42,35.44,0.27,180184.98,2.95
2164597.17,35.44,0.27,180091.72,2.95
2164194.36,35.44,0.27,180070.98,2.95
2163980.1,35.44,0.27,180058.81,2.95
2163597.55,35.44,0.27,182239.82,2.98
2163223.45,35.43,0.27,181879.08,2.98
2162820.64,35.43,0.27,182064.58,2.98
2162417.82,35.43,0.27,181872.44,2.98
2162203.56,35.43,0.27,182551.07,2.99
2161821.79,35.43,0.27,182362.7,2.99
2161521.62,35.43,0.27,181889.47,2.98
2161589.78,35.43,0.27,181105.12,2.97
2161213.81,35.43,0.27,181109.34,2.97
2160968.97,35.43,0.27,181060.55,2.97
