ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_e32b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
870575.11,14.02,0.67,344694.92,5.55
869962.52,14.01,0.67,343969.33,5.54
871170.26,14.03,0.68,344822.79,5.55
871483.37,14.04,0.69,344609.88,5.55
870970.31,14.03,0.69,344051.75,5.54
871127.0,14.03,0.69,344899.49,5.56
870703.12,14.03,0.69,344362.6,5.55
871534.73,14.04,0.7,344668.05,5.55
871847.85,14.05,0.71,344467.01,5.55
875253.96,14.11,0.76,347396.69,5.6
876864.02,14.13,0.79,348435.65,5.62
876852.46,14.13,0.79,348379.16,5.61
878101.9,14.15,0.81,348461.11,5.62
877588.84,14.15,0.8,347891.11,5.61
877920.65,14.16,0.81,347676.96,5.61
877732.98,14.15,0.81,347272.47,5.6
881139.1,14.21,0.87,350202.15,5.65
882749.15,14.23,0.89,351241.11,5.66
882772.82,14.24,0.89,351020.7,5.66
882241.06,14.23,0.89,350463.81,5.65
881628.48,14.22,0.88,349738.22,5.64
881015.89,14.21,0.87,349012.63,5.63
880933.31,14.21,0.87,348817.04,5.63
880850.72,14.21,0.87,348621.45,5.63
880238.13,14.21,0.86,348032.24,5.62
880848.19,14.22,0.88,348071.2,5.62
881189.87,14.22,0.88,348913.78,5.63
881502.98,14.23,0.89,348712.74,5.63
881816.1,14.24,0.9,348499.83,5.63
882129.21,14.25,0.9,348298.79,5.62
882739.27,14.26,0.91,348337.75,5.63
882130.43,14.25,0.91,347699.89,5.62
881617.38,14.24,0.9,347129.9,5.61
881915.33,14.25,0.91,346856.75,5.6
881321.45,14.25,0.91,346712.88,5.61
881619.4,14.26,0.91,346439.73,5.6
883089.2,14.28,0.94,347720.3,5.62
883920.81,14.3,0.95,348025.75,5.63
884752.43,14.31,0.97,348331.21,5.64
884669.84,14.31,0.97,348135.62,5.63
884967.79,14.32,0.98,347862.48,5.63
884819.9,14.32,0.97,347714.58,5.63
885481.77,14.33,0.99,347799.36,5.63
885794.89,14.34,0.99,347586.45,5.63
885182.3,14.33,0.99,346860.86,5.62
885182.3,14.33,0.99,346860.86,5.62
884669.24,14.32,0.98,346302.73,5.61
884982.36,14.33,0.99,346089.82,5.6
884899.77,14.33,0.99,345894.23,5.6
886851.25,14.36,1.02,346868.37,5.62
887461.31,14.37,1.03,346907.33,5.62
887759.26,14.38,1.04,346634.19,5.62
888369.32,14.39,1.05,346673.15,5.62
888667.27,14.4,1.06,346400.0,5.61
888519.38,14.4,1.06,346252.11,5.61
889727.11,14.42,1.08,347105.57,5.63
889214.05,14.41,1.07,346535.57,5.62
888088.96,14.41,1.07,346251.34,5.62
887401.07,14.4,1.06,345563.44,5.61
887714.18,14.41,1.07,345362.4,5.61
888545.79,14.43,1.08,345667.86,5.61
888858.91,14.43,1.09,345466.82,5.61
888347.1,14.43,1.08,344961.0,5.6
887644.04,14.42,1.08,344212.87,5.59
887130.98,14.41,1.07,343654.74,5.58
887444.1,14.42,1.08,343453.7,5.58
887444.1,14.42,1.08,343453.7,5.58
888913.9,14.45,1.1,344734.27,5.6
888416.0,14.44,1.1,344236.38,5.6
888729.12,14.45,1.1,344035.34,5.59
