ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
1,1,810,6212,810
2,2,1810,6212,1810
3,4,1810,6212,1810
4,6,2810,6212,2810
4,6,3620,6212,3620
5,10,4620,6212,4620
6,11,5430,6212,5430
7,13,5900,6212,5900
8,15,6900,6212,6900
9,19,6900,6212,6900
10,21,6900,6212,6900
10,21,7220,6212,7220
11,23,8220,6212,8220
11,23,9030,6212,9030
12,25,10030,6212,10030
12,25,10620,6212,10620
13,27,10620,6212,10620
14,29,10620,6212,10620
15,30,11170,6212,11170
16,31,11980,6212,11980
17,32,12980,6212,12980
18,33,13980,6212,13980
19,34,14450,6212,14450
20,35,14920,6212,14920
21,36,15920,6212,15920
22,38,16920,6212,16920
22,38,16920,6212,16920
22,38,17920,6212,17920
23,40,18920,6212,18920
24,42,19920,6212,19920
25,44,20920,6212,20920
25,44,21730,6212,21730
25,44,22540,6212,22540
26,46,23540,6212,23540
27,50,27540,6212,27540
28,52,28540,6212,28540
29,56,29540,6212,29540
30,58,30010,6212,30010
31,60,30480,6212,30480
32,61,30950,6212,30950
33,63,31950,6212,31950
33,63,32410,6212,32410
34,65,33060,6212,33060
35,67,34060,6212,34060
36,68,35060,6212,35060
36,68,35060,6212,35060
36,68,35870,6212,35870
37,70,36870,6212,36870
38,71,37340,6212,37340
39,73,37340,6212,37340
40,75,38340,6212,38340
41,77,39340,6212,39340
42,79,40340,6212,40340
43,81,41340,6212,41340
43,81,41800,6212,41800
44,83,41800,6212,41800
44,83,42610,6212,42610
45,91,50610,6212,50610
45,91,51610,6212,51610
46,93,52610,6212,52610
47,95,53080,6212,53080
48,97,54080,6212,54080
48,97,54890,6212,54890
48,97,55890,6212,55890
48,97,56700,6212,56700
49,99,57700,6212,57700
49,99,57700,6212,57700
50,103,58700,6212,58700
50,103,59510,6212,59510
51,105,60510,6212,60510
51,105,60830,6212,60830
51,105,61830,6212,61830
52,107,62830,6212,62830
52,107,63310,6212,63310
53,108,63790,6212,63790
54,109,64260,6212,64260
55,111,64910,6212,64910
56,119,72910,6212,72910
57,121,73910,6212,73910
58,123,74910,6212,74910
59,125,75910,6212,75910
60,126,76380,6212,76380
61,128,77380,6212,77380
61,128,78190,6212,78190
61,128,78510,6212,78510
62,130,79510,6212,79510
63,134,83510,6212,83510
64,136,84510,6212,84510
64,136,85320,6212,85320
65,138,86320,6212,86320
65,138,86910,6212,86910
65,138,86910,6212,86910
66,140,87910,6212,87910
67,142,88380,6212,88380
67,142,88380,6212,88380
68,143,88700,6212,88700
68,143,89020,6212,89020
69,145,90020,6212,90020
70,147,91020,6212,91020
71,149,91490,6212,91490
72,151,91960,6212,91960
72,151,91960,6212,91960
73,153,92960,6212,92960
73,153,93960,6212,93960
74,154,94430,6212,94430
75,156,95430,6212,95430
75,156,95800,6212,95800
75,156,95800,6212,95800
75,156,96610,6212,96610
76,157,97080,6212,97080
77,159,97550,6212,97550
77,159,98360,6212,98360
78,161,99360,6212,99360
78,161,100170,6212,100170
79,162,101170,6212,101170
79,162,101980,6212,101980
80,164,101980,6212,101980
81,165,102530,6212,102530
82,167,103530,6212,103530
82,167,104530,6212,104530
82,167,104530,6212,104530
82,167,104530,6212,104530
83,169,105530,6212,105530
84,171,106530,6212,106530
84,171,107080,6212,107080
84,171,108080,6212,108080
85,172,108080,6212,108080
85,172,109080,6212,109080
86,174,110080,6212,110080
87,176,111080,6212,111080
88,178,112080,6212,112080
89,180,113080,6212,113080
89,180,114080,6212,114080
89,180,114890,6212,114890
90,182,115890,6212,115890
90,182,116110,6212,116110
91,184,116760,6212,116760
92,186,117760,6212,117760
93,188,118760,6212,118760
93,188,118760,6212,118760
94,190,119760,6212,119760
95,192,120760,6212,120760
96,194,120760,6212,120760
97,198,120760,6212,120760
97,198,121080,6212,121080
97,198,121890,6212,121890
98,200,122360,6212,122360
99,202,123360,6212,123360
100,204,124360,6212,124360
101,206,125360,6212,125360
102,208,127360,6212,127360
103,210,128360,6212,128360
104,212,129360,6212,129360
105,216,133360,6212,133360
106,218,133830,6212,133830
107,220,134300,6212,134300
108,222,135300,6212,135300
108,222,135300,6212,135300
109,230,143300,6212,143300
109,230,144300,6212,144300
110,232,145300,6212,145300
111,234,146300,6212,146300
111,234,147300,6212,147300
112,236,148300,6212,148300
112,236,149110,6212,149110
113,238,150110,6212,150110
114,240,151110,6212,151110
114,240,151270,6212,151270
114,240,151820,6212,151820
114,240,152820,6212,152820
115,242,153820,6212,153820
116,244,154820,6212,154820
117,246,155820,6212,155820
118,248,156820,6212,156820
119,250,157820,6212,157820
120,252,158820,6212,158820
120,252,158820,6212,158820
121,254,159820,6212,159820
121,254,160820,6212,160820
121,254,161630,6212,161630
122,256,162630,6212,162630
123,258,163630,6212,163630
124,260,164100,6212,164100
125,262,164570,6212,164570
126,264,165570,6212,165570
127,272,173570,6212,173570
128,274,174570,6212,174570
128,274,175570,6212,175570
129,276,176570,6212,176570
129,276,176800,6212,176800
129,276,177610,6212,177610
130,278,178610,6212,178610
130,278,178610,6212,178610
131,280,179610,6212,179610
131,280,179610,6212,179610
132,282,180610,6212,180610
133,284,181610,6212,181610
133,284,182610,6212,182610
134,286,183610,6212,183610
134,286,183610,6212,183610
135,288,184610,6212,184610
136,290,185610,6212,185610
