ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f412-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
870575.11,14.02,0.67,344694.92,5.55
869962.52,14.01,0.67,343969.33,5.54
871170.26,14.03,0.68,344822.79,5.55
871483.37,14.04,0.69,344609.88,5.55
870970.31,14.03,0.69,344051.75,5.54
871127.0,14.03,0.69,344899.49,5.56
870703.12,14.03,0.69,344362.6,5.55
871534.73,14.04,0.7,344668.05,5.55
871847.85,14.05,0.71,344467.01,5.55
875253.96,14.11,0.76,347396.69,5.6
876864.02,14.13,0.79,348435.65,5.62
876840.96,14.13,0.79,348355.66,5.61
877154.08,14.14,0.8,348142.75,5.61
876641.02,14.13,0.79,347584.62,5.6
876972.84,14.14,0.8,347370.47,5.6
876661.08,14.14,0.79,347033.58,5.6
876661.08,14.14,0.79,347069.24,5.6
878271.14,14.16,0.82,348108.21,5.61
878108.55,14.16,0.82,347832.62,5.61
877684.67,14.16,0.81,347295.73,5.6
877072.08,14.15,0.81,346570.14,5.59
876459.5,14.14,0.8,345844.55,5.58
876376.91,14.14,0.8,345785.34,5.58
876294.33,14.14,0.8,345589.75,5.58
875681.74,14.13,0.79,344864.17,5.57
876291.8,14.14,0.8,344903.13,5.57
876462.64,14.15,0.8,345780.01,5.58
876697.92,14.15,0.81,345492.7,5.58
877011.03,14.16,0.82,345279.79,5.58
877324.15,14.17,0.83,345078.75,5.57
877934.21,14.18,0.84,345117.71,5.57
877421.15,14.17,0.83,344547.72,5.57
876908.09,14.17,0.82,343989.59,5.56
877206.04,14.17,0.83,343716.44,5.55
876612.16,14.17,0.83,343572.57,5.56
876910.11,14.18,0.84,343299.42,5.55
878379.91,14.21,0.86,344579.99,5.57
879211.53,14.22,0.88,344885.44,5.58
880043.14,14.24,0.89,345190.9,5.58
879960.55,14.24,0.89,344995.31,5.58
880258.51,14.24,0.9,344722.17,5.58
880110.61,14.24,0.9,344574.27,5.58
880772.48,14.25,0.91,344659.05,5.58
881085.6,14.26,0.92,344446.14,5.58
880473.01,14.25,0.91,343720.55,5.56
880473.01,14.25,0.91,343720.55,5.56
879959.96,14.25,0.9,343150.55,5.56
880273.07,14.26,0.91,342937.64,5.55
880190.49,14.25,0.91,342742.05,5.55
881206.66,14.27,0.93,343563.29,5.56
881816.72,14.28,0.94,343602.25,5.57
882114.67,14.29,0.95,343329.11,5.56
882724.73,14.3,0.96,343368.07,5.56
883022.68,14.31,0.97,343094.92,5.56
882874.79,14.31,0.97,342947.03,5.56
884082.52,14.33,0.98,343800.49,5.57
883569.46,14.32,0.98,343242.36,5.56
882444.37,14.32,0.98,342958.13,5.57
881741.31,14.31,0.97,342210.0,5.56
882054.43,14.32,0.98,342008.96,5.55
882886.04,14.34,0.99,342314.41,5.56
883199.16,14.34,1.0,342113.37,5.56
882686.1,14.34,0.99,341543.37,5.55
881998.2,14.33,0.98,340855.48,5.54
881485.15,14.32,0.98,340285.48,5.53
881798.26,14.33,0.98,340084.44,5.53
881798.26,14.33,0.98,340084.44,5.53
883268.06,14.35,1.01,341365.01,5.55
882755.01,14.35,1.0,340795.01,5.54
883068.12,14.36,1.01,340593.97,5.54
883045.06,14.36,1.01,340513.97,5.54
