ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu20-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_a23e-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
870575.11,14.02,0.67,344694.92,5.55
869962.52,14.01,0.67,343969.33,5.54
869962.52,14.01,0.67,343887.27,5.54
869814.05,14.01,0.67,343856.22,5.54
869390.17,14.0,0.66,343319.33,5.53
869241.7,14.0,0.66,343304.3,5.53
868817.82,14.0,0.65,342767.41,5.52
869103.18,14.0,0.66,342854.7,5.52
868954.71,14.0,0.66,343002.38,5.53
868954.71,14.0,0.66,343002.38,5.53
868954.71,14.0,0.66,343002.38,5.53
868729.44,14.0,0.66,342843.9,5.53
868580.97,14.0,0.66,342779.96,5.53
868157.09,14.0,0.65,342243.08,5.52
868008.62,14.0,0.65,342193.94,5.52
867780.34,13.99,0.65,341852.65,5.51
867780.34,13.99,0.65,341828.56,5.51
867780.34,13.99,0.65,341854.63,5.51
867617.75,13.99,0.65,341579.04,5.51
867193.87,13.99,0.64,341178.54,5.5
866581.28,13.98,0.64,340452.95,5.49
865968.7,13.97,0.63,339727.36,5.48
865886.11,13.97,0.63,339531.77,5.48
865803.53,13.97,0.63,339336.18,5.48
865190.94,13.96,0.62,338610.59,5.46
865042.47,13.96,0.62,338712.69,5.47
865042.47,13.96,0.62,338700.02,5.47
864894.0,13.96,0.62,338567.12,5.47
864745.53,13.96,0.62,338524.46,5.47
864597.06,13.96,0.62,338438.98,5.47
864448.59,13.96,0.62,338325.87,5.46
864024.71,13.96,0.61,337788.98,5.46
863602.12,13.95,0.61,337253.39,5.45
863453.65,13.95,0.61,337238.36,5.45
862859.76,13.95,0.61,337094.48,5.45
862711.29,13.95,0.61,336981.37,5.45
862562.82,13.95,0.61,336966.33,5.45
862848.18,13.96,0.61,337053.62,5.45
862474.35,13.95,0.61,336854.12,5.45
862391.77,13.95,0.61,336658.54,5.45
862243.3,13.95,0.61,336702.6,5.45
862170.71,13.95,0.61,336653.39,5.45
862349.11,13.96,0.61,336692.34,5.45
862200.64,13.96,0.61,336845.76,5.45
861588.05,13.95,0.61,336256.55,5.44
861588.05,13.95,0.61,336256.55,5.44
861164.17,13.94,0.6,335719.66,5.44
861015.7,13.94,0.6,335677.0,5.44
860933.11,13.94,0.6,335481.41,5.43
860933.11,13.94,0.6,335481.41,5.43
860784.64,13.94,0.6,335395.93,5.43
860636.17,13.94,0.6,335283.51,5.43
860487.7,13.94,0.6,335267.78,5.43
860339.23,13.94,0.6,335155.37,5.43
860266.65,13.94,0.6,334969.78,5.43
860266.65,13.94,0.6,334969.78,5.43
859842.76,13.94,0.59,334432.89,5.42
858775.29,13.94,0.59,334215.12,5.42
858253.18,13.93,0.59,333419.91,5.41
858104.7,13.93,0.59,333404.18,5.41
858390.06,13.94,0.59,333491.46,5.41
858241.59,13.94,0.59,333639.14,5.42
857728.54,13.93,0.59,333126.08,5.41
857225.12,13.92,0.58,332374.71,5.4
856693.36,13.92,0.57,331817.82,5.39
856544.89,13.92,0.57,331791.28,5.39
856544.89,13.92,0.57,331791.28,5.39
856396.42,13.92,0.57,331689.67,5.39
