ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
1,1,810,6212,810
2,2,1810,6212,1810
3,4,2810,6212,2810
4,6,3810,6212,3810
5,7,4280,6212,4280
6,9,5280,6212,5280
7,11,6280,6212,6280
8,13,7280,6212,7280
8,13,8090,6212,8090
9,14,9090,6212,9090
9,14,9200,6212,9200
9,14,10010,6212,10010
9,14,11010,6212,11010
9,14,11820,6212,11820
10,16,12820,6212,12820
10,16,13630,6212,13630
11,17,14440,6212,14440
12,19,15440,6212,15440
12,19,16250,6212,16250
13,21,17250,6212,17250
14,23,18250,6212,18250
14,23,18480,6212,18480
15,31,26480,6212,26480
16,33,27480,6212,27480
16,33,27850,6212,27850
16,33,27850,6212,27850
17,37,31850,6212,31850
17,37,31850,6212,31850
18,38,32440,6212,32440
19,39,32910,6212,32910
20,40,33720,6212,33720
20,40,33720,6212,33720
21,41,34720,6212,34720
22,42,35530,6212,35530
23,44,36530,6212,36530
23,44,36530,6212,36530
23,44,37530,6212,37530
23,44,37750,6212,37750
23,44,38750,6212,38750
23,44,39070,6212,39070
24,45,39620,6212,39620
25,46,40430,6212,40430
26,48,41080,6212,41080
27,50,41080,6212,41080
28,51,42080,6212,42080
29,59,50080,6212,50080
30,63,51080,6212,51080
31,65,52080,6212,52080
32,67,53080,6212,53080
32,67,53890,6212,53890
33,69,54890,6212,54890
34,71,55890,6212,55890
35,73,56540,6212,56540
36,77,58540,6212,58540
36,77,59540,6212,59540
36,77,60540,6212,60540
36,77,60910,6212,60910
36,77,61910,6212,61910
37,79,61910,6212,61910
38,80,62380,6212,62380
38,80,62540,6212,62540
39,81,63010,6212,63010
40,83,64010,6212,64010
41,87,65010,6212,65010
41,87,65820,6212,65820
42,88,66630,6212,66630
43,90,67100,6212,67100
44,91,67570,6212,67570
45,93,69570,6212,69570
46,94,70030,6212,70030
47,96,71030,6212,71030
48,98,72030,6212,72030
48,98,72840,6212,72840
49,100,73840,6212,73840
50,102,74840,6212,74840
51,104,75840,6212,75840
51,104,76300,6212,76300
52,106,76770,6212,76770
53,108,77770,6212,77770
54,110,78240,6212,78240
55,111,79240,6212,79240
56,113,80240,6212,80240
56,113,81050,6212,81050
57,115,82050,6212,82050
57,115,82280,6212,82280
58,117,83280,6212,83280
59,119,84280,6212,84280
60,120,84750,6212,84750
61,122,85750,6212,85750
62,124,86750,6212,86750
63,126,87750,6212,87750
63,126,88070,6212,88070
63,126,89070,6212,89070
64,134,97070,6212,97070
64,134,97880,6212,97880
65,136,98880,6212,98880
65,136,99690,6212,99690
65,136,100690,6212,100690
65,136,101500,6212,101500
66,138,102500,6212,102500
66,138,102500,6212,102500
67,142,103500,6212,103500
67,142,103500,6212,103500
68,144,104500,6212,104500
69,146,105500,6212,105500
70,148,106150,6212,106150
71,152,107150,6212,107150
72,154,108150,6212,108150
72,154,108960,6212,108960
73,156,109960,6212,109960
74,158,110960,6212,110960
75,160,111960,6212,111960
76,162,112960,6212,112960
77,164,113960,6212,113960
78,165,114960,6212,114960
78,165,115770,6212,115770
79,167,116770,6212,116770
79,167,116990,6212,116990
79,167,117800,6212,117800
80,175,125800,6212,125800
80,175,126610,6212,126610
81,176,127080,6212,127080
81,176,128080,6212,128080
81,176,129080,6212,129080
82,178,130080,6212,130080
83,180,130550,6212,130550
84,182,131550,6212,131550
85,184,132550,6212,132550
85,184,132870,6212,132870
86,186,133870,6212,133870
86,186,134190,6212,134190
87,188,135190,6212,135190
87,188,136190,6212,136190
87,188,137000,6212,137000
87,188,138000,6212,138000
88,190,139000,6212,139000
89,192,140000,6212,140000
90,194,140470,6212,140470
90,194,141280,6212,141280
90,194,141280,6212,141280
91,196,142280,6212,142280
92,198,143280,6212,143280
93,200,145280,6212,145280
94,202,145600,6212,145600
95,204,147600,6212,147600
96,206,148600,6212,148600
96,206,149600,6212,149600
96,206,150600,6212,150600
97,210,151600,6212,151600
97,210,152600,6212,152600
98,212,153600,6212,153600
99,214,154600,6212,154600
99,214,155410,6212,155410
100,222,163410,6212,163410
100,222,163640,6212,163640
100,222,164450,6212,164450
100,222,165260,6212,165260
100,222,165260,6212,165260
101,224,165910,6212,165910
102,226,166910,6212,166910
103,228,167380,6212,167380
104,232,168380,6212,168380
104,232,168380,6212,168380
104,232,169190,6212,169190
105,234,169660,6212,169660
105,234,170470,6212,170470
106,236,171470,6212,171470
107,238,172470,6212,172470
107,238,173280,6212,173280
108,240,174280,6212,174280
108,240,174280,6212,174280
109,244,174280,6212,174280
109,244,174330,6212,174330
110,246,175330,6212,175330
110,246,176140,6212,176140
110,246,176460,6212,176460
110,246,176930,6212,176930
111,248,177930,6212,177930
111,248,178740,6212,178740
112,250,179740,6212,179740
113,252,180740,6212,180740
113,252,181290,6212,181290
114,254,181940,6212,181940
115,256,182940,6212,182940
116,260,183940,6212,183940
116,260,184940,6212,184940
117,262,184940,6212,184940
118,264,185940,6212,185940
119,266,186940,6212,186940
119,266,187940,6212,187940
120,268,188940,6212,188940
121,270,189940,6212,189940
122,272,190940,6212,190940
123,274,191940,6212,191940
123,274,192940,6212,192940
124,276,193940,6212,193940
125,278,194590,6212,194590
125,278,195590,6212,195590
125,278,195750,6212,195750
125,278,196040,6212,196040
125,278,197040,6212,197040
