ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0d71-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
873282.51,14.06,1.0,446604.12,7.19
872661.82,14.05,0.99,445872.72,7.18
872932.64,14.06,0.99,445578.28,7.18
873218.3,14.07,1.0,445354.44,7.17
873127.61,14.07,1.0,445153.03,7.17
872972.23,14.06,1.0,445025.2,7.17
873257.89,14.07,1.01,444801.36,7.17
873543.55,14.08,1.01,444577.52,7.17
873024.28,14.07,1.01,444002.5,7.16
872403.6,14.06,1.0,443271.09,7.15
872294.87,14.06,1.0,443162.36,7.14
871775.6,14.06,0.99,442587.35,7.14
871609.32,14.06,0.99,442526.8,7.14
871090.06,14.05,0.98,441951.79,7.13
870934.67,14.05,0.98,441799.03,7.13
870430.25,14.04,0.98,441294.61,7.12
869998.3,14.04,0.97,440751.94,7.11
870302.27,14.04,0.98,440490.66,7.11
869764.69,14.04,0.97,439953.08,7.1
870050.35,14.04,0.98,439717.62,7.1
870626.75,14.06,0.99,439728.76,7.1
870687.48,14.06,0.99,439745.37,7.1
869546.32,14.06,0.99,439308.23,7.1
869831.98,14.06,1.0,439072.77,7.1
869752.71,14.06,1.0,438949.37,7.1
869752.71,14.06,1.0,438949.37,7.1
869135.12,14.06,1.0,438508.15,7.1
869135.12,14.06,1.0,438508.15,7.1
868899.28,14.06,1.0,438303.18,7.09
868808.59,14.06,1.0,438101.77,7.09
868376.64,14.06,0.99,437559.09,7.08
868376.64,14.06,0.99,437559.09,7.08
867755.95,14.05,0.98,436827.69,7.07
867324.0,14.04,0.98,436285.01,7.06
867627.97,14.05,0.99,436023.73,7.06
867627.97,14.05,0.99,436203.03,7.06
866900.39,14.04,0.98,435475.45,7.05
866705.55,14.04,0.97,435272.63,7.05
866539.28,14.04,0.97,435057.7,7.05
866219.28,14.03,0.97,434737.7,7.04
866048.59,14.03,0.97,434456.29,7.04
865616.64,14.03,0.96,433913.62,7.03
866251.08,14.04,0.97,433976.94,7.03
867433.56,14.06,0.99,434806.46,7.05
866812.88,14.05,0.98,434075.05,7.04
865767.72,14.05,0.99,433742.07,7.04
867207.65,14.08,1.01,434951.32,7.06
867493.32,14.08,1.02,434715.86,7.06
