ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_61dc-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-arrived_gpu_milli
1,1,810,6212,810
2,2,1810,6212,1810
3,3,2810,6212,2810
4,4,3810,6212,3810
5,5,4280,6212,4280
6,7,5280,6212,5280
6,7,6280,6212,6280
7,9,7280,6212,7280
8,10,8090,6212,8090
9,11,9090,6212,9090
9,11,9200,6212,9200
10,12,10010,6212,10010
10,12,11010,6212,11010
11,13,11820,6212,11820
12,15,12820,6212,12820
13,16,13630,6212,13630
14,17,14440,6212,14440
14,17,15440,6212,15440
15,18,16250,6212,16250
16,26,17250,6212,17250
16,26,18250,6212,18250
17,27,18480,6212,18480
18,35,26480,6212,26480
18,35,27480,6212,27480
19,36,27850,6212,27850
19,36,27850,6212,27850
20,40,31850,6212,31850
20,40,31850,6212,31850
20,40,32440,6212,32440
21,41,32910,6212,32910
22,42,33720,6212,33720
22,42,33720,6212,33720
23,43,34720,6212,34720
24,44,35530,6212,35530
25,46,36530,6212,36530
25,46,36530,6212,36530
26,47,37530,6212,37530
27,48,37750,6212,37750
27,48,38750,6212,38750
27,48,39070,6212,39070
28,49,39620,6212,39620
29,50,40430,6212,40430
30,52,41080,6212,41080
30,52,41080,6212,41080
31,53,42080,6212,42080
32,61,50080,6212,50080
32,61,51080,6212,51080
33,63,52080,6212,52080
33,63,53080,6212,53080
34,64,53890,6212,53890
35,66,54890,6212,54890
35,66,55890,6212,55890
36,68,56540,6212,56540
37,70,58540,6212,58540
38,72,59540,6212,59540
38,72,60540,6212,60540
39,74,60910,6212,60910
39,74,61910,6212,61910
39,74,61910,6212,61910
40,76,62380,6212,62380
40,76,62540,6212,62540
40,76,63010,6212,63010
40,76,64010,6212,64010
41,78,65010,6212,65010
41,78,65820,6212,65820
41,78,66630,6212,66630
42,80,67100,6212,67100
42,80,67570,6212,67570
43,82,69570,6212,69570
43,82,70030,6212,70030
44,84,71030,6212,71030
44,84,72030,6212,72030
45,86,72840,6212,72840
45,86,73840,6212,73840
46,88,74840,6212,74840
46,88,75840,6212,75840
46,88,76300,6212,76300
47,90,76770,6212,76770
47,90,77770,6212,77770
47,90,78240,6212,78240
48,92,79240,6212,79240
48,92,80240,6212,80240
49,94,81050,6212,81050
50,96,82050,6212,82050
50,96,82280,6212,82280
50,96,83280,6212,83280
50,96,84280,6212,84280
51,98,84750,6212,84750
51,98,85750,6212,85750
52,100,86750,6212,86750
52,100,87750,6212,87750
52,100,88070,6212,88070
53,104,89070,6212,89070
54,112,97070,6212,97070
55,114,97880,6212,97880
55,114,98880,6212,98880
56,116,99690,6212,99690
56,116,100690,6212,100690
57,118,101500,6212,101500
57,118,102500,6212,102500
57,118,102500,6212,102500
58,120,103500,6212,103500
58,120,103500,6212,103500
58,120,104500,6212,104500
59,122,105500,6212,105500
59,122,106150,6212,106150
60,124,107150,6212,107150
60,124,108150,6212,108150
61,126,108960,6212,108960
61,126,109960,6212,109960
62,128,110960,6212,110960
62,128,111960,6212,111960
63,130,112960,6212,112960
63,130,113960,6212,113960
64,132,114960,6212,114960
65,134,115770,6212,115770
65,134,116770,6212,116770
65,134,116990,6212,116990
66,136,117800,6212,117800
67,144,125800,6212,125800
67,144,126610,6212,126610
67,144,127080,6212,127080
68,146,128080,6212,128080
68,146,129080,6212,129080
69,148,130080,6212,130080
69,148,130550,6212,130550
69,148,131550,6212,131550
70,150,132550,6212,132550
70,150,132870,6212,132870
71,152,133870,6212,133870
71,152,134190,6212,134190
71,152,135190,6212,135190
71,152,136190,6212,136190
72,154,137000,6212,137000
72,154,138000,6212,138000
73,156,139000,6212,139000
73,156,140000,6212,140000
74,158,140470,6212,140470
74,158,141280,6212,141280
74,158,141280,6212,141280
75,160,142280,6212,142280
75,160,143280,6212,143280
76,162,145280,6212,145280
76,162,145600,6212,145600
77,164,147600,6212,147600
78,166,148600,6212,148600
78,166,149600,6212,149600
79,170,150600,6212,150600
80,172,151600,6212,151600
80,172,152600,6212,152600
81,174,153600,6212,153600
81,174,154600,6212,154600
82,176,155410,6212,155410
83,184,163410,6212,163410
83,184,163640,6212,163640
83,184,164450,6212,164450
83,184,165260,6212,165260
83,184,165260,6212,165260
84,186,165910,6212,165910
84,186,166910,6212,166910
85,188,167380,6212,167380
85,188,168380,6212,168380
85,188,168380,6212,168380
86,190,169190,6212,169190
86,190,169660,6212,169660
86,190,170470,6212,170470
87,192,171470,6212,171470
87,192,172470,6212,172470
88,194,173280,6212,173280
88,194,174280,6212,174280
88,194,174280,6212,174280
88,194,174280,6212,174280
88,194,174330,6212,174330
89,198,175330,6212,175330
89,198,176140,6212,176140
89,198,176460,6212,176460
89,198,176930,6212,176930
89,198,177930,6212,177930
90,200,178740,6212,178740
90,200,179740,6212,179740
91,202,180740,6212,180740
91,202,181290,6212,181290
91,202,181940,6212,181940
91,202,182940,6212,182940
92,204,183940,6212,183940
92,204,184940,6212,184940
92,204,184940,6212,184940
92,204,185940,6212,185940
93,206,186940,6212,186940
93,206,187940,6212,187940
94,210,188940,6212,188940
95,212,189940,6212,189940
95,212,190940,6212,190940
96,216,191940,6212,191940
96,216,192940,6212,192940
96,216,193940,6212,193940
96,216,194590,6212,194590
97,220,195590,6212,195590
97,220,195750,6212,195750
97,220,196040,6212,196040
