ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_nodes,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-used_gpu_milli,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-total_gpus,ow_multigpu30-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_9a36-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-arrived_gpu_milli
1,1,810,6212,810
2,2,1810,6212,1810
3,3,2810,6212,2810
4,4,3810,6212,3810
5,5,4280,6212,4280
6,7,5280,6212,5280
6,7,6280,6212,6280
7,9,7280,6212,7280
8,10,8090,6212,8090
9,11,9090,6212,9090
9,11,9200,6212,9200
10,12,10010,6212,10010
10,12,11010,6212,11010
11,13,11820,6212,11820
12,15,12820,6212,12820
13,16,13630,6212,13630
14,17,14440,6212,14440
14,17,15440,6212,15440
15,18,16250,6212,16250
16,26,17250,6212,17250
16,26,18250,6212,18250
17,27,18480,6212,18480
18,35,26480,6212,26480
18,35,27480,6212,27480
19,36,27850,6212,27850
19,36,27850,6212,27850
20,40,31850,6212,31850
20,40,31850,6212,31850
20,40,32440,6212,32440
21,41,32910,6212,32910
22,42,33720,6212,33720
22,42,33720,6212,33720
23,43,34720,6212,34720
24,44,35530,6212,35530
25,46,36530,6212,36530
25,46,36530,6212,36530
26,47,37530,6212,37530
27,48,37750,6212,37750
27,48,38750,6212,38750
27,48,39070,6212,39070
28,49,39620,6212,39620
29,50,40430,6212,40430
30,52,41080,6212,41080
30,52,41080,6212,41080
31,53,42080,6212,42080
32,61,50080,6212,50080
32,61,51080,6212,51080
33,63,52080,6212,52080
33,63,53080,6212,53080
34,64,53890,6212,53890
35,66,54890,6212,54890
35,66,55890,6212,55890
36,68,56540,6212,56540
37,70,58540,6212,58540
38,72,59540,6212,59540
38,72,60540,6212,60540
39,74,60910,6212,60910
39,74,61910,6212,61910
39,74,61910,6212,61910
39,74,62380,6212,62380
39,74,62540,6212,62540
40,76,63010,6212,63010
40,76,64010,6212,64010
41,78,65010,6212,65010
41,78,65820,6212,65820
41,78,66630,6212,66630
41,78,67100,6212,67100
42,80,67570,6212,67570
43,82,69570,6212,69570
43,82,70030,6212,70030
43,82,71030,6212,71030
44,84,72030,6212,72030
45,86,72840,6212,72840
45,86,73840,6212,73840
45,86,74840,6212,74840
46,88,75840,6212,75840
46,88,76300,6212,76300
46,88,76770,6212,76770
47,90,77770,6212,77770
47,90,78240,6212,78240
47,90,79240,6212,79240
48,92,80240,6212,80240
49,94,81050,6212,81050
49,94,82050,6212,82050
49,94,82280,6212,82280
49,94,83280,6212,83280
50,96,84280,6212,84280
50,96,84750,6212,84750
51,98,85750,6212,85750
51,98,86750,6212,86750
52,100,87750,6212,87750
52,100,88070,6212,88070
52,100,89070,6212,89070
53,108,97070,6212,97070
54,110,97880,6212,97880
54,110,98880,6212,98880
55,112,99690,6212,99690
55,112,100690,6212,100690
56,114,101500,6212,101500
56,114,102500,6212,102500
56,114,102500,6212,102500
57,116,103500,6212,103500
57,116,103500,6212,103500
57,116,104500,6212,104500
58,118,105500,6212,105500
58,118,106150,6212,106150
59,120,107150,6212,107150
59,120,108150,6212,108150
60,122,108960,6212,108960
60,122,109960,6212,109960
61,124,110960,6212,110960
61,124,111960,6212,111960
62,126,112960,6212,112960
62,126,113960,6212,113960
63,128,114960,6212,114960
64,130,115770,6212,115770
64,130,116770,6212,116770
64,130,116990,6212,116990
65,132,117800,6212,117800
66,140,125800,6212,125800
66,140,126610,6212,126610
66,140,127080,6212,127080
67,142,128080,6212,128080
67,142,129080,6212,129080
68,144,130080,6212,130080
68,144,130550,6212,130550
68,144,131550,6212,131550
69,146,132550,6212,132550
69,146,132870,6212,132870
70,148,133870,6212,133870
70,148,134190,6212,134190
70,148,135190,6212,135190
71,152,136190,6212,136190
72,154,137000,6212,137000
72,154,138000,6212,138000
73,156,139000,6212,139000
73,156,140000,6212,140000
74,158,140470,6212,140470
74,158,141280,6212,141280
74,158,141280,6212,141280
75,160,142280,6212,142280
75,160,143280,6212,143280
76,162,145280,6212,145280
76,162,145600,6212,145600
77,164,147600,6212,147600
78,166,148600,6212,148600
78,166,149600,6212,149600
78,166,150600,6212,150600
79,168,151600,6212,151600
79,168,152600,6212,152600
80,170,153600,6212,153600
80,170,154600,6212,154600
80,170,155410,6212,155410
81,178,163410,6212,163410
81,178,163640,6212,163640
81,178,164450,6212,164450
82,180,165260,6212,165260
82,180,165260,6212,165260
82,180,165910,6212,165910
83,184,166910,6212,166910
84,186,167380,6212,167380
84,186,168380,6212,168380
84,186,168380,6212,168380
85,188,169190,6212,169190
85,188,169660,6212,169660
85,188,170470,6212,170470
86,190,171470,6212,171470
86,190,172470,6212,172470
87,192,173280,6212,173280
87,192,174280,6212,174280
87,192,174280,6212,174280
87,192,174280,6212,174280
87,192,174330,6212,174330
88,194,175330,6212,175330
88,194,176140,6212,176140
88,194,176460,6212,176460
89,198,176930,6212,176930
89,198,177930,6212,177930
89,198,178740,6212,178740
89,198,179740,6212,179740
90,200,180740,6212,180740
90,200,181290,6212,181290
90,200,181940,6212,181940
91,202,182940,6212,182940
91,202,183940,6212,183940
91,202,184940,6212,184940
91,202,184940,6212,184940
92,204,185940,6212,185940
92,204,186940,6212,186940
93,206,187940,6212,187940
93,206,188940,6212,188940
94,210,189940,6212,189940
95,212,190940,6212,190940
95,212,191940,6212,191940
96,216,192940,6212,192940
97,220,193940,6212,193940
97,220,194590,6212,194590
