ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-arrived_gpu_milli
1,8,1000,6212,1000
2,16,2000,6212,2000
3,18,2470,6212,2470
4,20,3470,6212,3470
5,28,4020,6212,4020
6,30,5020,6212,5020
7,38,6020,6212,6020
8,46,7020,6212,7020
9,48,7020,6212,7020
10,56,8020,6212,8020
11,58,8490,6212,8490
12,60,9490,6212,9490
13,68,10490,6212,10490
13,68,11490,6212,11490
14,76,13490,6212,13490
15,84,13490,6212,13490
16,92,14300,6212,14300
17,94,14460,6212,14460
18,102,15460,6212,15460
19,110,19460,6212,19460
20,118,20050,6212,20050
21,120,21050,6212,21050
22,124,22050,6212,22050
23,132,22860,6212,22860
24,134,23860,6212,23860
25,136,23860,6212,23860
26,144,24860,6212,24860
27,146,25670,6212,25670
28,148,26670,6212,26670
29,152,27670,6212,27670
30,154,28670,6212,28670
31,162,29140,6212,29140
32,170,29950,6212,29950
33,172,30420,6212,30420
34,174,31010,6212,31010
35,176,32010,6212,32010
36,177,32330,6212,32330
37,179,32800,6212,32800
38,187,33800,6212,33800
39,191,34800,6212,34800
40,199,35800,6212,35800
41,201,35800,6212,35800
42,209,36120,6212,36120
43,217,44120,6212,44120
44,219,45120,6212,45120
45,227,46120,6212,46120
46,235,54120,6212,54120
47,237,55120,6212,55120
48,245,55120,6212,55120
49,253,55590,6212,55590
50,261,56590,6212,56590
51,263,56590,6212,56590
52,271,64590,6212,64590
53,273,65590,6212,65590
54,275,66590,6212,66590
55,277,66590,6212,66590
56,285,67400,6212,67400
56,285,68400,6212,68400
57,287,68870,6212,68870
58,295,69870,6212,69870
59,297,70870,6212,70870
60,299,72870,6212,72870
61,301,73190,6212,73190
62,303,73190,6212,73190
63,305,74190,6212,74190
64,313,74510,6212,74510
65,315,75510,6212,75510
66,323,76510,6212,76510
67,331,76980,6212,76980
68,339,77980,6212,77980
69,347,77980,6212,77980
70,355,78450,6212,78450
71,357,80450,6212,80450
72,365,88450,6212,88450
73,367,88450,6212,88450
74,369,89450,6212,89450
75,371,90450,6212,90450
76,379,91100,6212,91100
77,381,92100,6212,92100
78,389,92750,6212,92750
79,391,92750,6212,92750
80,393,93750,6212,93750
81,401,94750,6212,94750
82,403,94980,6212,94980
83,411,95790,6212,95790
84,413,96340,6212,96340
85,415,96340,6212,96340
86,417,97340,6212,97340
87,425,98340,6212,98340
88,433,98340,6212,98340
89,441,106340,6212,106340
90,443,106340,6212,106340
91,445,106810,6212,106810
92,447,107810,6212,107810
93,449,107810,6212,107810
94,457,111810,6212,111810
95,465,112180,6212,112180
96,467,112990,6212,112990
97,469,113990,6212,113990
98,477,114990,6212,114990
99,479,115990,6212,115990
100,483,116800,6212,116800
101,491,116800,6212,116800
102,499,117800,6212,117800
103,501,118800,6212,118800
104,509,119800,6212,119800
105,517,120800,6212,120800
106,525,121800,6212,121800
107,527,122800,6212,122800
107,527,123800,6212,123800
108,529,124270,6212,124270
109,537,125270,6212,125270
110,545,126270,6212,126270
111,553,126270,6212,126270
112,561,127270,6212,127270
113,563,128270,6212,128270
114,565,129270,6212,129270
115,573,137270,6212,137270
116,581,138270,6212,138270
117,589,146270,6212,146270
118,591,147270,6212,147270
119,599,147590,6212,147590
120,607,148590,6212,148590
120,607,149180,6212,149180
120,607,153180,6212,153180
121,615,155180,6212,155180
122,623,155650,6212,155650
123,624,156120,6212,156120
124,626,156350,6212,156350
125,634,157350,6212,157350
126,636,158350,6212,158350
127,638,160350,6212,160350
128,640,161350,6212,161350
129,642,162160,6212,162160
130,650,162160,6212,162160
131,652,163160,6212,163160
132,654,163630,6212,163630
133,656,164630,6212,164630
134,658,164950,6212,164950
135,666,165950,6212,165950
136,674,166500,6212,166500
137,682,167500,6212,167500
138,684,167500,6212,167500
138,684,168500,6212,168500
139,692,169500,6212,169500
140,700,169970,6212,169970
141,702,170970,6212,170970
142,710,178970,6212,178970
143,718,179440,6212,179440
144,726,180440,6212,180440
145,734,181440,6212,181440
146,742,182440,6212,182440
147,750,183250,6212,183250
148,758,184250,6212,184250
149,760,184720,6212,184720
150,768,185190,6212,185190
151,770,186190,6212,186190
152,772,187000,6212,187000
153,780,187470,6212,187470
154,788,188470,6212,188470
155,796,189470,6212,189470
156,804,190470,6212,190470
157,806,192470,6212,192470
157,806,192470,6212,192470
158,814,193060,6212,193060
159,818,193430,6212,193430
160,820,194430,6212,194430
161,822,194660,6212,194660
162,830,195660,6212,195660
163,838,196130,6212,196130
164,846,196180,6212,196180
165,854,196180,6212,196180
166,856,196990,6212,196990
167,858,197990,6212,197990
