ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_367d-policy_Random1000desharemd8fc0-de_share-gs_random-scmd_8fc0-bellman_ratio
880007.21,14.17,1.48,585362.53,9.42
880131.01,14.17,1.48,585394.73,9.43
880400.54,14.18,1.49,585419.03,9.43
880231.55,14.18,1.49,585221.42,9.43
880774.63,14.19,1.5,585196.78,9.43
880605.64,14.19,1.5,585089.59,9.43
880729.44,14.19,1.5,585074.99,9.43
880853.24,14.2,1.5,585107.19,9.43
880853.24,14.2,1.5,584999.49,9.43
880977.03,14.2,1.51,585070.98,9.43
881753.3,14.21,1.52,585333.2,9.44
881584.31,14.21,1.52,585208.82,9.44
881708.11,14.22,1.53,585281.83,9.44
881545.37,14.22,1.52,585033.71,9.44
881506.43,14.22,1.53,584894.48,9.44
881792.97,14.23,1.53,585025.87,9.44
882105.53,14.23,1.54,585126.09,9.44
882479.39,14.24,1.55,584602.35,9.43
882603.19,14.24,1.55,584634.55,9.43
882238.76,14.25,1.55,584420.22,9.44
882744.57,14.26,1.56,584392.1,9.44
882575.58,14.26,1.56,584199.74,9.44
882468.37,14.26,1.56,584037.93,9.44
882780.93,14.26,1.57,584138.16,9.44
882611.94,14.26,1.57,584030.97,9.44
882611.94,14.26,1.57,583933.02,9.44
882735.74,14.27,1.57,584006.02,9.44
882755.52,14.27,1.58,584001.28,9.44
883012.73,14.28,1.58,583755.86,9.44
882847.34,14.28,1.58,583022.76,9.43
883104.56,14.28,1.59,582777.33,9.42
883666.88,14.29,1.6,582841.23,9.43
883979.44,14.3,1.61,582941.45,9.43
884248.98,14.3,1.61,582965.75,9.43
884462.0,14.31,1.62,582795.44,9.43
884293.01,14.31,1.62,582603.08,9.43
884298.53,14.31,1.62,582500.93,9.43
884568.06,14.32,1.62,582526.7,9.43
884691.86,14.32,1.63,582558.89,9.43
884584.65,14.32,1.63,582432.77,9.43
884708.44,14.32,1.63,582458.62,9.43
884708.44,14.32,1.63,582326.14,9.43
885363.49,14.34,1.64,582379.57,9.43
884348.11,14.34,1.65,581896.1,9.43
884179.12,14.34,1.65,581771.73,9.43
884302.91,14.34,1.65,581779.32,9.44
883287.53,14.34,1.65,581295.85,9.44
883530.32,14.35,1.66,580981.84,9.44
883816.86,14.35,1.66,581113.23,9.44
884379.18,14.37,1.67,581177.12,9.44
884502.98,14.37,1.68,581209.32,9.44
885659.95,14.39,1.7,582015.73,9.46
884644.56,14.39,1.7,581532.26,9.46
884475.57,14.39,1.7,581407.88,9.46
884306.58,14.39,1.7,581210.28,9.46
885463.55,14.41,1.72,582016.69,9.47
885776.12,14.42,1.72,582116.91,9.47
885613.38,14.42,1.72,581883.89,9.47
886389.65,14.43,1.74,582146.11,9.48
886513.45,14.43,1.74,582178.3,9.48
886344.46,14.43,1.74,581985.94,9.48
885981.96,14.43,1.74,581721.75,9.48
886344.22,14.44,1.75,581766.04,9.48
886344.22,14.44,1.75,581673.37,9.48
886175.23,14.44,1.75,581478.69,9.47
886830.27,14.45,1.76,581468.87,9.47
886661.28,14.45,1.76,581344.5,9.47
886785.08,14.45,1.76,581417.5,9.48
887347.4,14.46,1.77,581481.39,9.48
887471.2,14.47,1.78,581554.4,9.48
887616.39,14.47,1.78,581436.95,9.48
888178.72,14.48,1.79,581509.78,9.48
887816.22,14.48,1.79,581245.58,9.48
886800.83,14.48,1.79,580787.62,9.48
886800.83,14.48,1.79,580655.14,9.48
886631.84,14.48,1.79,580451.8,9.48
886462.85,14.48,1.79,580257.12,9.48
886914.65,14.49,1.8,580284.21,9.48
886745.66,14.49,1.8,580086.61,9.48
887197.45,14.5,1.81,580113.7,9.48
887197.45,14.5,1.81,580021.02,9.48
887737.12,14.51,1.82,580003.88,9.48
887860.92,14.51,1.82,579989.28,9.48
888293.49,14.52,1.83,579980.1,9.48
888606.05,14.53,1.84,580080.32,9.48
888991.08,14.54,1.84,579648.77,9.48
888991.08,14.54,1.84,579541.07,9.48
888822.09,14.54,1.84,579348.71,9.47
888945.88,14.54,1.85,579337.18,9.48
889232.42,14.55,1.85,579468.57,9.48
888217.04,14.55,1.86,578985.09,9.48
888217.04,14.55,1.86,578887.14,9.48
888486.57,14.55,1.86,578912.91,9.48
888317.58,14.55,1.86,578789.51,9.48
888317.58,14.55,1.86,578651.3,9.48
887953.16,14.56,1.86,578419.65,9.48
888587.09,14.57,1.88,578372.39,9.48
888602.3,14.57,1.88,577899.53,9.48
888433.31,14.57,1.88,577775.16,9.47
888557.11,14.57,1.88,577848.17,9.48
888388.12,14.57,1.88,577740.98,9.48
888452.84,14.58,1.88,577515.21,9.47
888598.04,14.58,1.89,577655.51,9.48
888721.84,14.58,1.89,577649.02,9.48
888979.05,14.59,1.9,577392.3,9.48
889102.84,14.59,1.9,577377.7,9.48
889226.64,14.6,1.91,577363.1,9.48
889350.44,14.6,1.91,577410.8,9.48
889181.45,14.6,1.91,577286.43,9.48
889018.71,14.6,1.91,577074.06,9.48
889288.24,14.61,1.92,577099.83,9.48
889412.04,14.61,1.92,577172.83,9.48
889535.84,14.62,1.92,577245.83,9.49
889681.03,14.62,1.93,577202.07,9.48
889804.83,14.62,1.93,577139.69,9.49
889635.84,14.62,1.93,576944.64,9.48
889466.85,14.62,1.93,576837.46,9.48
888451.47,14.63,1.93,576379.49,9.49
888575.26,14.63,1.94,576452.5,9.49
887559.88,14.63,1.94,575969.03,9.5
887390.89,14.63,1.94,575768.29,9.49
888045.94,14.64,1.95,575821.72,9.5
888169.73,14.65,1.96,575970.01,9.5
888389.0,14.65,1.96,575683.93,9.5
887793.57,14.65,1.96,575290.44,9.5
887754.63,14.66,1.96,575151.21,9.5
888316.95,14.67,1.98,575239.06,9.5
888215.46,14.67,1.97,575029.89,9.5
888648.03,14.67,1.98,575020.72,9.5
888771.83,14.68,1.99,575093.72,9.5
888602.84,14.68,1.99,574890.38,9.5
888240.34,14.68,1.99,574626.19,9.5
888071.35,14.68,1.98,574428.58,9.49
888091.13,14.68,1.99,574423.84,9.49
888377.66,14.68,1.99,574555.23,9.5
888208.67,14.68,1.99,574448.04,9.5
888478.21,14.69,2.0,574472.34,9.5
888309.22,14.69,2.0,574277.66,9.5
888671.48,14.7,2.0,574321.96,9.5
888795.28,14.7,2.01,574394.96,9.5
889338.35,14.71,2.02,574370.32,9.5
889462.15,14.72,2.02,574402.52,9.5
891001.81,14.74,2.05,575385.38,9.52
890839.07,14.74,2.05,575192.48,9.52
890962.87,14.74,2.05,575265.49,9.52
891525.19,14.76,2.06,575329.38,9.52
891356.2,14.76,2.06,575131.77,9.52
890340.82,14.76,2.07,574648.3,9.53
890903.14,14.77,2.08,574721.12,9.53
891026.94,14.77,2.08,574706.52,9.53
891150.74,14.78,2.08,574667.67,9.53
891274.53,14.78,2.09,574601.0,9.53
891587.1,14.79,2.1,574701.22,9.53
891710.9,14.79,2.1,574679.55,9.53
891980.43,14.8,2.11,574705.32,9.54
892542.75,14.81,2.12,574778.14,9.54
892373.76,14.81,2.12,574583.46,9.54
892393.54,14.81,2.12,574578.72,9.54
892955.86,14.82,2.13,574675.22,9.54
893079.66,14.83,2.13,574663.69,9.54
893203.46,14.83,2.14,574624.84,9.54
893327.26,14.84,2.14,574618.35,9.54
892964.76,14.83,2.14,574354.16,9.54
892964.76,14.83,2.14,574280.92,9.54
893470.56,14.84,2.15,574252.8,9.54
893873.49,14.85,2.16,574080.39,9.54
893704.5,14.85,2.16,573885.71,9.54
894137.07,14.86,2.17,573870.8,9.54
894260.87,14.86,2.17,573918.51,9.54
894823.19,14.87,2.18,573982.4,9.54
895566.08,14.89,2.19,574278.5,9.55
895711.28,14.89,2.2,574170.33,9.54
895731.05,14.89,2.2,574165.59,9.55
895562.06,14.89,2.2,573968.74,9.54
895562.06,14.89,2.2,573980.19,9.54
895393.07,14.89,2.2,573868.84,9.54
895224.08,14.89,2.2,573745.44,9.54
895786.4,14.9,2.21,573809.33,9.55
895623.66,14.9,2.21,573447.35,9.54
895893.2,14.91,2.21,573382.99,9.54
896333.4,14.91,2.22,573445.11,9.54
896457.2,14.92,2.23,573438.62,9.54
896457.2,14.92,2.23,573144.1,9.54
895441.81,14.92,2.23,572660.63,9.54
895272.82,14.92,2.23,572536.26,9.54
895812.49,14.93,2.24,572519.12,9.54
896062.77,14.94,2.25,572351.48,9.54
895893.78,14.94,2.25,572153.87,9.54
896017.58,14.94,2.25,572226.88,9.54
896141.38,14.95,2.25,572274.58,9.55
896354.4,14.95,2.26,572098.54,9.54
896478.2,14.96,2.26,572171.55,9.55
896602.0,14.96,2.27,572189.94,9.55
896439.25,14.96,2.27,571907.19,9.54
896245.75,14.96,2.27,572191.33,9.55
896603.44,14.97,2.27,572007.88,9.55
896860.65,14.97,2.28,571762.45,9.55
897117.86,14.98,2.29,571517.03,9.54
896948.87,14.98,2.29,571322.35,9.54
896786.13,14.98,2.29,571129.08,9.54
896423.63,14.98,2.29,570864.89,9.54
896875.43,14.99,2.3,570891.98,9.54
896895.2,14.99,2.3,570887.24,9.54
897327.78,15.0,2.31,570878.06,9.54
897779.57,15.01,2.32,571092.9,9.55
897644.48,15.01,2.32,571019.98,9.55
897450.97,15.01,2.31,570946.08,9.55
897728.77,15.01,2.32,571220.23,9.55
897728.77,15.01,2.32,571122.28,9.55
897559.78,15.01,2.32,570997.91,9.55
897390.79,15.01,2.32,570873.54,9.55
897703.36,15.02,2.33,570973.76,9.55
