ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b69b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b69b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b69b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b69b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_b69b-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
879689.9,14.16,1.47,585174.14,9.42
879058.41,14.16,1.46,584434.98,9.41
878956.92,14.15,1.46,584225.82,9.41
878763.41,14.15,1.46,584040.38,9.41
878581.92,14.15,1.46,583751.21,9.4
878839.13,14.16,1.47,583505.79,9.4
879081.92,14.17,1.47,583191.78,9.4
878364.37,14.16,1.46,582420.06,9.39
878364.37,14.16,1.46,582198.71,9.38
878195.38,14.16,1.46,582075.31,9.38
878464.92,14.16,1.47,582101.08,9.38
877761.79,14.15,1.46,581397.95,9.37
877568.28,14.15,1.46,581257.16,9.37
876936.79,14.14,1.45,580518.0,9.36
876574.29,14.14,1.45,580253.8,9.36
876894.49,14.15,1.45,580317.83,9.36
876889.74,14.15,1.46,580532.21,9.37
876730.98,14.15,1.45,580496.39,9.37
876099.49,14.14,1.45,579887.13,9.36
875431.7,14.14,1.44,579281.67,9.35
875185.76,14.13,1.44,578928.06,9.35
875016.77,14.13,1.44,578735.7,9.35
874823.26,14.13,1.44,578663.87,9.35
874380.54,14.13,1.44,578113.47,9.34
874637.75,14.13,1.44,577868.04,9.34
874832.94,14.14,1.44,582959.51,9.42
874663.95,14.14,1.44,582852.33,9.42
874221.23,14.13,1.44,582301.93,9.41
874027.72,14.13,1.44,582144.92,9.41
873310.17,14.12,1.43,581373.21,9.4
873141.18,14.12,1.43,581266.03,9.4
872762.66,14.12,1.42,580887.5,9.4
872319.94,14.11,1.42,580337.11,9.39
872218.44,14.11,1.42,580127.94,9.38
871972.51,14.11,1.42,579774.34,9.38
871779.0,14.11,1.41,579617.33,9.38
871784.52,14.11,1.41,579667.47,9.38
872054.06,14.11,1.42,579693.24,9.38
871422.56,14.1,1.41,578954.08,9.37
871253.57,14.1,1.41,578846.89,9.37
871060.06,14.1,1.41,578689.89,9.37
875121.6,14.17,1.48,580380.83,9.4
874826.05,14.17,1.47,580085.27,9.39
873810.66,14.17,1.47,579601.8,9.4
873179.17,14.16,1.47,578862.64,9.39
873010.18,14.16,1.47,578659.3,9.38
871994.8,14.16,1.47,578175.83,9.39
871801.29,14.16,1.47,578109.24,9.39
872087.82,14.16,1.47,578240.63,9.39
871709.3,14.16,1.47,578021.25,9.39
871077.81,14.15,1.46,577412.0,9.38
871077.81,14.15,1.46,577412.0,9.38
870062.43,14.15,1.46,576928.52,9.38
869430.94,14.15,1.45,576189.36,9.37
869261.94,14.14,1.45,575991.75,9.37
869261.94,14.14,1.45,575991.75,9.37
869257.2,14.15,1.45,576165.9,9.38
869063.69,14.15,1.45,576099.31,9.38
869333.23,14.15,1.46,576125.08,9.38
868701.74,14.14,1.45,575385.92,9.37
868976.74,14.15,1.46,575104.12,9.36
868614.24,14.15,1.46,574839.93,9.36
868318.68,14.14,1.45,574544.37,9.36
868352.33,14.15,1.45,574315.35,9.36
868595.12,14.15,1.46,574001.33,9.35
868365.23,14.15,1.46,574062.1,9.35
867629.9,14.14,1.45,573326.76,9.34
867460.91,14.14,1.45,573219.58,9.34
867705.92,14.14,1.45,573428.07,9.35
867512.41,14.14,1.45,573271.07,9.35
867512.41,14.14,1.45,576061.18,9.39
867133.89,14.14,1.45,575765.63,9.39
866771.39,14.14,1.44,575501.43,9.39
865756.0,14.14,1.45,575043.47,9.39
866196.39,14.15,1.45,576115.72,9.41
866027.4,14.14,1.45,575918.12,9.41
865833.89,14.14,1.45,575851.53,9.41
866439.91,14.16,1.46,575895.05,9.41
866979.58,14.17,1.47,575877.91,9.41
867138.59,14.17,1.48,575850.97,9.41
870954.93,14.23,1.54,577219.59,9.43
870785.94,14.23,1.54,577021.98,9.43
870592.43,14.23,1.54,576955.4,9.43
870405.42,14.23,1.54,576746.0,9.43
869879.06,14.22,1.53,576225.34,9.42
870104.83,14.23,1.54,576745.38,9.43
870104.83,14.23,1.54,576745.38,9.43
869935.84,14.23,1.53,576553.02,9.43
869742.33,14.23,1.53,576481.18,9.43
869742.33,14.23,1.53,576481.18,9.43
868726.94,14.23,1.54,575997.71,9.43
868726.94,14.23,1.54,575997.71,9.43
868996.48,14.23,1.54,576023.48,9.43
868827.49,14.23,1.54,575900.08,9.43
868827.49,14.23,1.54,575900.08,9.43
868176.53,14.23,1.54,575485.89,9.43
867837.25,14.23,1.53,575077.0,9.43
867832.5,14.23,1.54,575291.38,9.43
867129.38,14.22,1.53,574588.25,9.42
866935.87,14.22,1.53,574447.46,9.42
866766.88,14.22,1.53,574340.27,9.42
866324.16,14.21,1.52,573789.88,9.41
866324.16,14.21,1.52,573789.88,9.41
866130.65,14.21,1.52,573632.87,9.41
865961.66,14.21,1.52,573509.47,9.41
865768.15,14.21,1.52,573368.67,9.41
865599.16,14.21,1.52,573174.0,9.41
865405.65,14.21,1.52,573104.48,9.41
864774.16,14.2,1.51,572365.32,9.4
864605.16,14.2,1.51,572258.13,9.4
864226.64,14.2,1.5,571998.51,9.4
864033.13,14.2,1.5,571841.51,9.39
863864.14,14.19,1.5,571734.32,9.39
863864.14,14.19,1.5,571734.32,9.39
863670.63,14.19,1.5,571577.31,9.39
863039.14,14.19,1.49,570838.15,9.38
862870.15,14.19,1.49,570730.96,9.38
861854.77,14.19,1.5,570247.49,9.39
861661.26,14.19,1.49,570090.48,9.39
860645.87,14.19,1.5,569607.01,9.39
860014.38,14.18,1.49,568867.85,9.38
859716.38,14.18,1.48,568629.46,9.38
860256.05,14.19,1.5,568612.32,9.38
860010.11,14.18,1.49,568258.71,9.37
859300.98,14.18,1.49,566977.18,9.36
858938.48,14.18,1.49,566712.99,9.36
859208.01,14.19,1.49,566737.29,9.36
858829.49,14.18,1.49,566519.38,9.35
858623.93,14.18,1.49,566313.82,9.35
858454.94,14.18,1.49,566206.63,9.35
858261.43,14.18,1.49,566049.63,9.35
857898.93,14.18,1.48,565785.43,9.35
857729.94,14.18,1.48,565587.82,9.35
857725.2,14.18,1.49,565761.39,9.35
857725.2,14.18,1.49,565761.39,9.35
857531.69,14.18,1.48,565694.8,9.35
857801.22,14.18,1.49,565719.1,9.35
857632.23,14.18,1.49,565524.42,9.35
857402.34,14.18,1.49,565316.5,9.35
857208.83,14.18,1.49,565246.98,9.35
857434.6,14.18,1.49,565789.75,9.36
857265.61,14.18,1.49,565665.38,9.36
857265.61,14.18,1.49,565665.38,9.36
857072.1,14.18,1.49,565525.56,9.36
856903.11,14.18,1.49,565418.37,9.36
857537.51,14.19,1.5,565551.45,9.36
857344.0,14.19,1.5,565394.45,9.36
856328.61,14.19,1.5,564910.97,9.36
856598.15,14.2,1.51,564936.74,9.36
856429.16,14.2,1.51,564742.07,9.36
856235.65,14.2,1.51,564672.55,9.36
856510.65,14.21,1.51,564390.75,9.36
856103.09,14.2,1.51,563917.61,9.35
855934.1,14.2,1.51,563720.0,9.35
855555.57,14.19,1.5,563500.62,9.35
855800.59,14.2,1.51,563927.17,9.36
855607.08,14.2,1.51,563860.58,9.36
855626.85,14.2,1.51,563855.84,9.36
855248.33,14.2,1.5,563478.71,9.35
855079.34,14.2,1.5,563281.86,9.35
854885.83,14.19,1.5,563214.52,9.35
854150.49,14.18,1.49,562479.18,9.34
853787.99,14.18,1.49,562214.99,9.34
853787.99,14.18,1.49,562214.99,9.34
853976.49,14.19,1.5,562519.29,9.35
853634.48,14.18,1.49,562154.85,9.34
853465.49,14.18,1.49,561960.17,9.34
853263.65,14.18,1.49,561707.24,9.33
853070.14,14.18,1.49,561637.72,9.34
853339.67,14.18,1.49,561662.03,9.34
853289.67,14.18,1.49,561612.03,9.34
853289.67,14.18,1.49,561612.03,9.34
853284.93,14.19,1.49,561827.88,9.34
853115.94,14.19,1.49,561631.03,9.34
853115.94,14.19,1.49,561631.03,9.34
852922.43,14.18,1.49,561563.68,9.34
852753.44,14.18,1.49,561440.28,9.34
852374.92,14.18,1.49,561180.08,9.34
852181.41,14.18,1.49,561039.29,9.33
852450.94,14.18,1.49,561065.06,9.34
852292.17,14.18,1.49,560910.33,9.33
852123.18,14.18,1.49,560715.28,9.33
852123.18,14.18,1.49,560715.28,9.33
851107.8,14.18,1.49,560231.81,9.34
850914.29,14.18,1.49,560162.66,9.34
850745.3,14.18,1.49,559965.06,9.33
850971.07,14.19,1.49,560531.03,9.34
850777.56,14.19,1.49,560464.44,9.35
850608.57,14.19,1.49,560357.26,9.34
850415.06,14.18,1.49,560200.25,9.34
850623.51,14.19,1.5,559494.09,9.33
850880.72,14.2,1.5,559248.66,9.33
850711.73,14.2,1.5,559056.31,9.33
850518.22,14.19,1.5,558984.47,9.33
849800.67,14.19,1.49,558212.76,9.32
849513.5,14.18,1.49,557935.68,9.31
849344.51,14.18,1.49,557828.5,9.31
849151.0,14.18,1.49,557671.49,9.31
848982.01,14.18,1.49,557476.81,9.31
848788.5,14.18,1.49,557407.3,9.31
848426.0,14.18,1.48,557143.1,9.31
848517.21,14.18,1.49,557592.12,9.32
848536.99,14.18,1.49,557587.38,9.32
848335.15,14.18,1.49,557256.8,9.31
848469.64,14.18,1.49,557505.59,9.32
848300.65,14.18,1.49,557398.41,9.32
848107.14,14.18,1.49,557241.4,9.32
847738.61,14.18,1.48,556997.56,9.31
847738.61,14.18,1.48,556997.56,9.31
847565.05,14.18,1.48,556346.24,9.31
847278.28,14.17,1.48,555980.42,9.3
847298.05,14.18,1.48,555975.68,9.3
847129.06,14.18,1.48,555783.32,9.3
846935.55,14.18,1.48,555711.48,9.3
846637.55,14.17,1.48,555393.89,9.3
846975.29,14.18,1.48,555703.7,9.3
846612.79,14.18,1.48,555439.51,9.3
846612.79,14.18,1.48,555439.51,9.3
846870.0,14.18,1.49,555194.08,9.3
846701.01,14.18,1.49,554999.41,9.3
846507.5,14.18,1.49,554929.89,9.3
846782.5,14.19,1.5,554648.09,9.29
846281.25,14.18,1.49,554293.67,9.29
845265.87,14.18,1.49,553810.2,9.29
844548.32,14.17,1.48,553038.49,9.28
844379.33,14.17,1.48,552931.31,9.28
844185.82,14.17,1.48,552774.3,9.28
844185.82,14.17,1.48,552774.3,9.28
