ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acf4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acf4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acf4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acf4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acf4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
1,1,1000,6212,1000
2,2,2000,6212,2000
3,3,2470,6212,2470
4,4,3470,6212,3470
5,5,4020,6212,4020
6,7,5020,6212,5020
7,9,6020,6212,6020
7,9,7020,6212,7020
8,17,7020,6212,7020
9,19,8020,6212,8020
9,19,8490,6212,8490
9,19,9490,6212,9490
10,21,10490,6212,10490
10,21,11490,6212,11490
11,23,13490,6212,13490
11,23,13490,6212,13490
12,24,14300,6212,14300
12,24,14460,6212,14460
13,25,15460,6212,15460
14,29,19460,6212,19460
15,30,20050,6212,20050
16,32,21050,6212,21050
16,32,22050,6212,22050
17,33,22860,6212,22860
18,35,23860,6212,23860
18,35,23860,6212,23860
19,37,24860,6212,24860
19,37,25670,6212,25670
19,37,26670,6212,26670
20,38,27670,6212,27670
21,40,28670,6212,28670
21,40,29140,6212,29140
21,40,29950,6212,29950
22,41,30420,6212,30420
23,42,31010,6212,31010
24,44,32010,6212,32010
24,44,32330,6212,32330
24,44,32800,6212,32800
25,45,33800,6212,33800
26,47,34800,6212,34800
26,47,35800,6212,35800
26,47,35800,6212,35800
26,47,36120,6212,36120
27,55,44120,6212,44120
28,56,45120,6212,45120
29,58,46120,6212,46120
30,66,54120,6212,54120
30,66,55120,6212,55120
31,74,55120,6212,55120
32,75,55590,6212,55590
33,76,56590,6212,56590
33,76,56590,6212,56590
34,84,64590,6212,64590
35,85,65590,6212,65590
36,87,66590,6212,66590
36,87,66590,6212,66590
36,87,67400,6212,67400
37,88,68400,6212,68400
38,90,68870,6212,68870
38,90,69870,6212,69870
39,92,70870,6212,70870
40,94,72870,6212,72870
40,94,73190,6212,73190
40,94,73190,6212,73190
41,96,74190,6212,74190
41,96,74510,6212,74510
41,96,75510,6212,75510
42,98,76510,6212,76510
42,98,76980,6212,76980
43,100,77980,6212,77980
43,100,77980,6212,77980
43,100,78450,6212,78450
44,102,80450,6212,80450
45,110,88450,6212,88450
45,110,88450,6212,88450
45,110,89450,6212,89450
46,112,90450,6212,90450
47,114,91100,6212,91100
48,116,92100,6212,92100
48,116,92750,6212,92750
48,116,92750,6212,92750
49,118,93750,6212,93750
49,118,94750,6212,94750
49,118,94980,6212,94980
49,118,95790,6212,95790
49,118,96340,6212,96340
49,118,96340,6212,96340
50,120,97340,6212,97340
50,120,98340,6212,98340
50,120,98340,6212,98340
51,128,106340,6212,106340
51,128,106340,6212,106340
52,130,106810,6212,106810
52,130,107810,6212,107810
52,130,107810,6212,107810
53,134,111810,6212,111810
53,134,112180,6212,112180
54,135,112990,6212,112990
55,136,113990,6212,113990
56,138,114990,6212,114990
56,138,115990,6212,115990
57,139,116800,6212,116800
57,139,116800,6212,116800
58,140,117800,6212,117800
59,142,118800,6212,118800
59,142,119800,6212,119800
60,144,120800,6212,120800
60,144,121800,6212,121800
61,145,122800,6212,122800
62,147,123800,6212,123800
62,147,124270,6212,124270
63,149,125270,6212,125270
63,149,126270,6212,126270
63,149,126270,6212,126270
64,151,127270,6212,127270
64,151,128270,6212,128270
65,153,129270,6212,129270
66,161,137270,6212,137270
66,161,138270,6212,138270
67,169,146270,6212,146270
68,170,147270,6212,147270
68,170,147590,6212,147590
69,172,148590,6212,148590
70,174,149180,6212,149180
71,178,153180,6212,153180
72,180,155180,6212,155180
72,180,155650,6212,155650
72,180,156120,6212,156120
72,180,156350,6212,156350
73,182,157350,6212,157350
73,182,158350,6212,158350
74,184,160350,6212,160350
75,186,161350,6212,161350
75,186,162160,6212,162160
75,186,162160,6212,162160
76,188,163160,6212,163160
76,188,163630,6212,163630
76,188,164630,6212,164630
77,190,164950,6212,164950
77,190,165950,6212,165950
77,190,166500,6212,166500
78,192,167500,6212,167500
78,192,167500,6212,167500
78,192,168500,6212,168500
79,194,169500,6212,169500
79,194,169970,6212,169970
80,196,170970,6212,170970
81,204,178970,6212,178970
81,204,179440,6212,179440
82,206,180440,6212,180440
82,206,181440,6212,181440
83,208,182440,6212,182440
83,208,183250,6212,183250
84,210,184250,6212,184250
84,210,184720,6212,184720
84,210,185190,6212,185190
85,212,186190,6212,186190
85,212,187000,6212,187000
86,214,187470,6212,187470
86,214,188470,6212,188470
87,216,189470,6212,189470
87,216,190470,6212,190470
88,218,192470,6212,192470
88,218,192470,6212,192470
89,220,193060,6212,193060
89,220,193430,6212,193430
89,220,194430,6212,194430
89,220,194660,6212,194660
90,222,195660,6212,195660
90,222,196130,6212,196130
90,222,196180,6212,196180
90,222,196180,6212,196180
91,224,196990,6212,196990
91,224,197990,6212,197990
91,224,197990,6212,197990
92,226,198990,6212,198990
92,226,199990,6212,199990
92,226,200460,6212,200460
93,228,201460,6212,201460
93,228,201930,6212,201930
93,228,202090,6212,202090
94,230,203090,6212,203090
94,230,203090,6212,203090
95,238,211090,6212,211090
95,238,212090,6212,212090
96,240,213090,6212,213090
96,240,213640,6212,213640
97,242,214640,6212,214640
97,242,215640,6212,215640
98,244,216640,6212,216640
98,244,217230,6212,217230
99,246,218230,6212,218230
100,248,219230,6212,219230
100,248,220230,6212,220230
100,248,221230,6212,221230
100,248,221550,6212,221550
101,250,222550,6212,222550
101,250,223550,6212,223550
102,252,224550,6212,224550
102,252,225550,6212,225550
103,254,227550,6212,227550
104,256,228200,6212,228200
104,256,229010,6212,229010
104,256,229240,6212,229240
105,258,229890,6212,229890
105,258,230890,6212,230890
106,260,231890,6212,231890
106,260,232350,6212,232350
106,260,232350,6212,232350
106,260,233350,6212,233350
107,262,234350,6212,234350
107,262,235160,6212,235160
108,264,236160,6212,236160
108,264,237160,6212,237160
108,264,237480,6212,237480
108,264,237800,6212,237800
109,266,239800,6212,239800
109,266,239800,6212,239800
110,268,240800,6212,240800
111,270,241800,6212,241800
111,270,242800,6212,242800
112,272,243800,6212,243800
113,274,244450,6212,244450
114,282,252450,6212,252450
114,282,253450,6212,253450
114,282,254450,6212,254450
115,284,255450,6212,255450
115,284,255450,6212,255450
115,284,256260,6212,256260
116,286,257260,6212,257260
116,286,257260,6212,257260
116,286,258070,6212,258070
116,286,259070,6212,259070
117,288,259660,6212,259660
117,288,260660,6212,260660
118,290,261660,6212,261660
119,292,262660,6212,262660
119,292,263130,6212,263130
119,292,263780,6212,263780
120,294,264590,6212,264590
120,294,265590,6212,265590
121,296,266590,6212,266590
122,298,267590,6212,267590
123,306,275590,6212,275590
123,306,276590,6212,276590
124,308,277590,6212,277590
124,308,278590,6212,278590
125,310,279400,6212,279400
125,310,280400,6212,280400
126,312,280870,6212,280870
126,312,281870,6212,281870
126,312,281870,6212,281870
127,314,282870,6212,282870
127,314,283870,6212,283870
128,316,284870,6212,284870
128,316,284870,6212,284870
128,316,284870,6212,284870
128,316,284920,6212,284920
128,316,285920,6212,285920
129,318,286920,6212,286920
129,318,287240,6212,287240
129,318,288240,6212,288240
130,320,289240,6212,289240
131,322,290240,6212,290240
131,322,290240,6212,290240
131,322,291050,6212,291050
131,322,291050,6212,291050
131,322,291210,6212,291210
131,322,292210,6212,292210
131,322,292210,6212,292210
132,324,293020,6212,293020
132,324,293020,6212,293020
133,332,301020,6212,301020
134,336,305020,6212,305020
134,336,306020,6212,306020
134,336,306020,6212,306020
135,338,306670,6212,306670
136,340,308670,6212,308670
136,340,308670,6212,308670
136,340,309480,6212,309480
137,342,310480,6212,310480
137,342,310480,6212,310480
137,342,311480,6212,311480
137,342,311480,6212,311480
138,344,312480,6212,312480
138,344,313130,6212,313130
139,346,314130,6212,314130
139,346,315130,6212,315130
140,348,316130,6212,316130
140,348,316450,6212,316450
140,348,316920,6212,316920
140,348,317570,6212,317570
140,348,317800,6212,317800
141,350,318270,6212,318270
142,352,319270,6212,319270
143,356,323270,6212,323270
143,356,324080,6212,324080
143,356,324550,6212,324550
144,358,326550,6212,326550
145,360,327550,6212,327550
146,362,329550,6212,329550
146,362,330200,6212,330200
147,364,330850,6212,330850
147,364,331660,6212,331660
147,364,332660,6212,332660
147,364,333130,6212,333130
148,366,334130,6212,334130
148,366,334600,6212,334600
149,368,335600,6212,335600
150,372,339600,6212,339600
150,372,339920,6212,339920
150,372,340920,6212,340920
150,372,341140,6212,341140
151,374,342140,6212,342140
151,374,342140,6212,342140
151,374,343140,6212,343140
151,374,343140,6212,343140
152,376,344140,6212,344140
152,376,344610,6212,344610
152,376,345610,6212,345610
153,378,346080,6212,346080
153,378,347080,6212,347080
153,378,347080,6212,347080
154,380,348080,6212,348080
154,380,349080,6212,349080
154,380,349560,6212,349560
154,380,349880,6212,349880
155,388,357880,6212,357880
156,396,365880,6212,365880
157,398,366880,6212,366880
158,400,367880,6212,367880
158,400,367880,6212,367880
158,400,368880,6212,368880
159,408,376880,6212,376880
160,416,384880,6212,384880
161,418,385880,6212,385880
161,418,386350,6212,386350
161,418,387350,6212,387350
161,418,387350,6212,387350
162,420,387820,6212,387820
162,420,387820,6212,387820
162,420,387820,6212,387820
162,420,387820,6212,387820
162,420,388820,6212,388820
163,422,389820,6212,389820
163,422,390820,6212,390820
164,424,391820,6212,391820
164,424,392820,6212,392820
165,426,393470,6212,393470
165,426,393940,6212,393940
165,426,393940,6212,393940
165,426,394940,6212,394940
166,428,395410,6212,395410
166,428,395880,6212,395880
166,428,396350,6212,396350
167,430,397350,6212,397350
167,430,397820,6212,397820
167,430,398820,6212,398820
168,438,406820,6212,406820
169,440,407630,6212,407630
169,440,408630,6212,408630
169,440,408950,6212,408950
170,442,409950,6212,409950
170,442,410950,6212,410950
170,442,411270,6212,411270
171,444,412270,6212,412270
172,446,413270,6212,413270
172,446,414270,6212,414270
173,454,422270,6212,422270
173,454,422270,6212,422270
174,456,422730,6212,422730
174,456,423730,6212,423730
175,458,424380,6212,424380
175,458,425190,6212,425190
175,458,426190,6212,426190
176,460,427190,6212,427190
176,460,428190,6212,428190
177,462,429000,6212,429000
177,462,430000,6212,430000
178,464,430810,6212,430810
178,464,431810,6212,431810
179,466,432810,6212,432810
179,466,433810,6212,433810
180,468,434810,6212,434810
180,468,435620,6212,435620
180,468,436090,6212,436090
181,470,436900,6212,436900
182,478,444900,6212,444900
182,478,445370,6212,445370
183,480,446370,6212,446370
183,480,447370,6212,447370
184,482,448370,6212,448370
184,482,448690,6212,448690
184,482,448690,6212,448690
184,482,448690,6212,448690
184,482,449500,6212,449500
185,484,450310,6212,450310
185,484,450770,6212,450770
186,486,451770,6212,451770
186,486,452240,6212,452240
186,486,453240,6212,453240
186,486,453470,6212,453470
186,486,453470,6212,453470
187,488,454470,6212,454470
187,488,455470,6212,455470
188,490,456280,6212,456280
188,490,456750,6212,456750
189,492,457400,6212,457400
190,494,458400,6212,458400
190,494,459210,6212,459210
190,494,459210,6212,459210
191,496,460210,6212,460210
192,498,460670,6212,460670
192,498,461480,6212,461480
192,498,462290,6212,462290
193,500,463100,6212,463100
194,502,464100,6212,464100
194,502,464330,6212,464330
195,510,472330,6212,472330
195,510,472880,6212,472880
195,510,472880,6212,472880
195,510,473880,6212,473880
195,510,473880,6212,473880
196,512,474880,6212,474880
196,512,474880,6212,474880
196,512,475880,6212,475880
196,512,475880,6212,475880
197,514,476690,6212,476690
197,514,477500,6212,477500
198,516,478500,6212,478500
198,516,479500,6212,479500
199,518,480500,6212,480500
199,518,480500,6212,480500
199,518,481150,6212,481150
199,518,481150,6212,481150
200,520,482150,6212,482150
200,520,482620,6212,482620
201,522,483620,6212,483620
201,522,484620,6212,484620
202,524,485430,6212,485430
202,524,486430,6212,486430
203,528,490430,6212,490430
204,530,491430,6212,491430
204,530,491430,6212,491430
205,538,499430,6212,499430
206,540,500430,6212,500430
207,544,504430,6212,504430
207,544,504900,6212,504900
207,544,505900,6212,505900
208,546,506900,6212,506900
208,546,507900,6212,507900
208,546,508120,6212,508120
209,548,509120,6212,509120
209,548,510120,6212,510120
209,548,510930,6212,510930
210,550,511930,6212,511930
210,550,512930,6212,512930
211,552,513930,6212,513930
211,552,514930,6212,514930
212,554,515930,6212,515930
212,554,516160,6212,516160
212,554,516970,6212,516970
213,556,517780,6212,517780
213,556,518590,6212,518590
214,560,522590,6212,522590
215,562,523590,6212,523590
215,562,523910,6212,523910
215,562,524380,6212,524380
216,564,524840,6212,524840
216,564,525840,6212,525840
217,572,533840,6212,533840
218,574,534840,6212,534840
218,574,535840,6212,535840
219,576,536840,6212,536840
219,576,537650,6212,537650
219,576,537650,6212,537650
220,578,538650,6212,538650
220,578,538880,6212,538880
221,580,539880,6212,539880
222,582,541880,6212,541880
222,582,542340,6212,542340
222,582,543340,6212,543340
223,584,544340,6212,544340
224,586,545340,6212,545340
224,586,545800,6212,545800
225,588,546800,6212,546800
225,588,547800,6212,547800
225,588,548270,6212,548270
225,588,549080,6212,549080
226,590,550080,6212,550080
226,590,551080,6212,551080
227,592,551730,6212,551730
228,594,552730,6212,552730
229,596,553730,6212,553730
229,596,554730,6212,554730
229,596,555540,6212,555540
230,598,556540,6212,556540
230,598,557010,6212,557010
230,598,557480,6212,557480
230,598,558030,6212,558030
231,600,559030,6212,559030
231,600,560030,6212,560030
231,600,560030,6212,560030
232,602,560620,6212,560620
232,602,561620,6212,561620
232,602,561620,6212,561620
232,602,561940,6212,561940
232,602,561940,6212,561940
233,604,562410,6212,562410
233,604,563410,6212,563410
233,604,563880,6212,563880
234,606,564690,6212,564690
234,606,564690,6212,564690
234,606,565690,6212,565690
235,608,566160,6212,566160
235,608,566970,6212,566970
236,610,567970,6212,567970
236,610,568970,6212,568970
236,610,569290,6212,569290
