ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acf4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acf4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acf4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acf4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_acf4-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
879689.9,14.16,1.47,585174.14,9.42
879058.41,14.16,1.46,584434.98,9.41
878956.92,14.15,1.46,584225.82,9.41
878763.41,14.15,1.46,584040.38,9.41
878581.92,14.15,1.46,583751.21,9.4
878839.13,14.16,1.47,583505.79,9.4
879081.92,14.17,1.47,583191.78,9.4
878364.37,14.16,1.46,582420.06,9.39
878364.37,14.16,1.46,582198.71,9.38
878195.38,14.16,1.46,582075.31,9.38
878440.4,14.16,1.47,582305.77,9.39
877737.27,14.15,1.46,581602.65,9.38
877568.28,14.15,1.46,581495.46,9.38
877374.77,14.15,1.46,581338.45,9.38
877012.27,14.15,1.46,581074.26,9.37
877332.47,14.15,1.46,581138.28,9.38
876889.74,14.15,1.46,580587.89,9.37
876730.98,14.15,1.45,580429.12,9.37
876099.49,14.14,1.45,579819.87,9.36
875431.7,14.14,1.44,579214.4,9.35
875185.76,14.13,1.44,578860.79,9.35
875016.77,14.13,1.44,578668.43,9.35
874823.26,14.13,1.44,578596.6,9.35
874380.54,14.13,1.44,578046.2,9.34
874637.75,14.13,1.44,577800.77,9.34
874832.94,14.14,1.44,582892.24,9.42
874663.95,14.14,1.44,582785.06,9.42
874136.41,14.13,1.44,582203.35,9.41
873942.9,14.13,1.44,582046.34,9.41
873311.41,14.12,1.43,581307.18,9.4
873142.42,14.12,1.43,581199.99,9.4
872763.89,14.12,1.42,580888.74,9.4
872759.15,14.12,1.43,580896.38,9.4
872657.66,14.12,1.42,580687.22,9.39
872411.73,14.11,1.42,580333.61,9.39
872242.74,14.11,1.42,580141.25,9.39
872580.48,14.12,1.43,580614.92,9.4
872257.86,14.12,1.42,580251.4,9.39
871626.37,14.11,1.42,579512.24,9.38
871457.38,14.11,1.42,579405.05,9.38
871263.87,14.11,1.41,579248.04,9.38
875325.41,14.17,1.48,580938.99,9.41
875029.85,14.17,1.48,580643.43,9.4
874014.47,14.17,1.48,580159.96,9.41
873382.98,14.16,1.47,579550.7,9.4
873213.99,14.16,1.47,579347.37,9.4
872198.6,14.16,1.47,578863.89,9.4
872005.09,14.16,1.47,578797.31,9.4
872291.63,14.17,1.48,578928.7,9.4
872190.14,14.17,1.47,578719.53,9.4
871558.65,14.16,1.47,577980.37,9.39
871558.65,14.16,1.47,577980.37,9.39
870543.27,14.16,1.47,577496.9,9.39
869911.78,14.15,1.46,576887.64,9.39
869742.79,14.15,1.46,576690.04,9.38
869742.79,14.15,1.46,576690.04,9.38
869738.04,14.15,1.46,576809.0,9.39
869106.55,14.15,1.45,576069.84,9.38
869376.09,14.15,1.46,576095.61,9.38
869182.58,14.15,1.46,576176.9,9.38
869457.58,14.16,1.47,575895.1,9.38
869095.08,14.16,1.46,575630.9,9.38
868799.52,14.15,1.46,575335.35,9.37
868833.17,14.15,1.46,575106.32,9.37
869075.96,14.16,1.47,574792.31,9.36
868846.07,14.16,1.46,574626.14,9.36
868110.74,14.15,1.45,573890.8,9.35
867941.75,14.15,1.45,573783.62,9.35
868186.76,14.15,1.46,573997.86,9.36
868017.77,14.15,1.46,573890.68,9.36
868017.77,14.15,1.46,576680.79,9.4
867639.25,14.15,1.45,576369.53,9.4
867276.75,14.14,1.45,576105.34,9.4
866261.36,14.15,1.45,575647.37,9.4
866701.75,14.15,1.46,576719.63,9.42
866508.24,14.15,1.46,576562.62,9.42
866751.03,14.16,1.47,576248.61,9.41
867357.05,14.17,1.48,576292.13,9.42
867188.06,14.17,1.48,576094.52,9.41
867322.55,14.17,1.48,576350.33,9.42
871138.9,14.24,1.54,577718.96,9.44
870969.91,14.24,1.54,577521.35,9.44
870776.4,14.23,1.54,577454.76,9.44
870830.03,14.24,1.54,577514.11,9.44
870316.91,14.23,1.54,577000.98,9.43
870063.78,14.23,1.53,576747.86,9.43
870063.78,14.23,1.53,576747.86,9.43
869894.79,14.23,1.53,576555.5,9.43
869701.28,14.23,1.53,576483.66,9.43
869701.28,14.23,1.53,576483.66,9.43
868685.9,14.23,1.54,576000.19,9.43
868685.9,14.23,1.54,576000.19,9.43
868955.43,14.23,1.54,576025.96,9.44
868761.92,14.23,1.54,576107.25,9.44
868761.92,14.23,1.54,576107.25,9.44
868110.96,14.23,1.54,575693.06,9.44
867831.4,14.23,1.53,575478.05,9.43
867388.68,14.22,1.53,574927.66,9.43
866757.19,14.21,1.52,574188.49,9.42
866588.2,14.21,1.52,574081.31,9.42
866394.69,14.21,1.52,573924.3,9.41
865951.96,14.21,1.51,573373.9,9.41
865951.96,14.21,1.51,573373.9,9.41
865320.47,14.2,1.51,572634.74,9.4
865151.48,14.2,1.51,572511.34,9.4
864957.97,14.2,1.51,572370.55,9.4
864788.98,14.2,1.51,572175.87,9.39
864595.47,14.2,1.5,572106.35,9.39
863963.98,14.19,1.5,571367.19,9.38
863794.99,14.19,1.5,571260.0,9.38
864040.01,14.19,1.5,571474.25,9.39
863871.02,14.19,1.5,571367.06,9.39
863677.51,14.19,1.5,571210.06,9.39
863677.51,14.19,1.5,571210.06,9.39
863508.52,14.19,1.5,571012.45,9.38
863315.01,14.19,1.5,570945.86,9.38
863146.02,14.19,1.5,570838.68,9.38
862130.63,14.19,1.5,570355.2,9.39
861937.12,14.19,1.5,570198.2,9.39
860921.74,14.19,1.5,569714.73,9.39
860290.25,14.19,1.49,568975.56,9.38
859992.25,14.18,1.49,568683.17,9.38
860531.91,14.19,1.5,568666.03,9.38
860744.93,14.2,1.5,568495.72,9.38
860035.8,14.19,1.5,567214.19,9.36
859673.3,14.19,1.5,566950.0,9.36
859294.77,14.19,1.5,566638.74,9.36
859539.79,14.19,1.5,567362.09,9.37
859336.61,14.19,1.5,567042.2,9.36
859167.62,14.19,1.5,566935.01,9.36
858974.11,14.19,1.5,566778.0,9.36
858611.61,14.19,1.5,566513.81,9.36
858442.62,14.19,1.5,566316.2,9.36
858437.87,14.19,1.5,566435.17,9.36
858437.87,14.19,1.5,566435.17,9.36
858268.88,14.19,1.5,566327.98,9.36
857890.36,14.18,1.49,566065.02,9.36
857696.85,14.18,1.49,565908.01,9.36
858059.11,14.19,1.5,565952.3,9.36
857865.6,14.19,1.5,566088.76,9.36
857464.35,14.18,1.49,565773.82,9.36
857295.36,14.18,1.49,565649.44,9.36
857295.36,14.18,1.49,565649.44,9.36
857101.85,14.18,1.49,565509.62,9.36
856932.86,14.18,1.49,565402.43,9.36
857177.87,14.19,1.49,565616.68,9.36
857717.54,14.2,1.51,565599.55,9.36
856702.15,14.2,1.51,565116.07,9.37
856323.63,14.2,1.5,564804.82,9.36
856154.64,14.19,1.5,564610.14,9.36
855961.13,14.19,1.5,564540.63,9.36
855792.14,14.19,1.5,564343.02,9.36
855787.4,14.2,1.5,564461.98,9.36
855618.41,14.19,1.5,564264.37,9.36
855863.42,14.2,1.51,564636.96,9.37
855484.9,14.19,1.5,564257.79,9.36
855727.69,14.2,1.51,563943.78,9.36
855214.56,14.19,1.5,563430.65,9.35
855484.09,14.2,1.51,563456.42,9.35
855290.58,14.2,1.51,563605.63,9.36
855121.59,14.2,1.51,563410.95,9.36
854928.08,14.2,1.51,563341.43,9.36
854565.58,14.2,1.5,563077.24,9.35
854565.58,14.2,1.5,563077.24,9.35
854778.6,14.2,1.51,562906.93,9.35
854436.59,14.2,1.5,563025.92,9.35
854243.08,14.2,1.5,562853.04,9.35
854096.66,14.19,1.5,562667.9,9.35
853927.67,14.19,1.5,562544.5,9.35
854172.69,14.2,1.51,562774.96,9.35
854122.69,14.2,1.51,562724.96,9.35
854122.69,14.2,1.51,562724.96,9.35
854142.46,14.2,1.51,562720.22,9.36
853948.95,14.2,1.51,562647.17,9.36
853948.95,14.2,1.51,562647.17,9.36
853779.96,14.2,1.51,562539.98,9.36
853586.45,14.2,1.51,562382.97,9.35
853207.93,14.19,1.5,562071.72,9.35
853038.94,14.19,1.5,561874.11,9.35
853283.95,14.2,1.51,562246.69,9.36
853125.19,14.2,1.5,562112.04,9.35
852956.2,14.19,1.5,561916.99,9.35
852956.2,14.19,1.5,561916.99,9.35
851940.81,14.2,1.5,561433.52,9.36
851747.3,14.2,1.5,561364.38,9.36
851578.31,14.2,1.5,561166.77,9.35
851804.08,14.2,1.51,561518.45,9.36
851635.09,14.2,1.51,561320.84,9.36
851441.58,14.2,1.51,561254.25,9.36
851698.79,14.21,1.51,560997.54,9.36
851391.25,14.2,1.51,560647.12,9.35
851648.46,14.21,1.52,560401.69,9.35
851479.47,14.21,1.52,560209.33,9.35
851285.96,14.21,1.52,560137.5,9.35
850568.41,14.2,1.51,559365.79,9.34
850279.13,14.19,1.5,559077.52,9.33
850110.14,14.19,1.5,558970.33,9.33
849916.63,14.19,1.5,558813.33,9.33
849747.64,14.19,1.5,558618.65,9.33
849554.13,14.19,1.5,558549.13,9.33
849191.63,14.19,1.5,558284.94,9.33
849350.64,14.19,1.5,558257.99,9.33
849345.9,14.2,1.5,558458.26,9.33
849123.79,14.19,1.5,558274.23,9.33
849282.8,14.2,1.5,558423.53,9.33
849089.29,14.2,1.5,558315.98,9.33
848915.73,14.2,1.5,557579.73,9.32
848547.21,14.19,1.5,557210.56,9.32
848547.21,14.19,1.5,557210.56,9.32
848260.43,14.19,1.5,556929.67,9.32
848091.44,14.19,1.5,556805.3,9.31
848086.7,14.19,1.5,556830.13,9.32
847917.71,14.19,1.5,556637.77,9.31
847724.2,14.19,1.5,556565.93,9.32
847426.2,14.18,1.49,556343.26,9.31
847128.2,14.18,1.49,556067.33,9.31
846765.7,14.18,1.49,555803.13,9.31
846765.7,14.18,1.49,555803.13,9.31
847022.91,14.19,1.49,555557.71,9.3
846853.92,14.18,1.49,555363.03,9.3
846660.41,14.18,1.49,555293.51,9.3
846935.41,14.19,1.5,555011.71,9.3
847094.42,14.2,1.5,554984.77,9.3
846079.03,14.2,1.5,554501.29,9.3
845361.49,14.19,1.5,553729.58,9.29
845167.98,14.19,1.49,553775.91,9.3
845425.19,14.19,1.5,553530.49,9.29
845425.19,14.19,1.5,553530.49,9.29
