ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_5d8b-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
1,2,1000,6212,1000
2,3,2000,6212,2000
3,4,2470,6212,2470
4,6,3470,6212,3470
5,7,4020,6212,4020
6,9,5020,6212,5020
7,11,6020,6212,6020
7,11,7020,6212,7020
8,12,7020,6212,7020
9,14,8020,6212,8020
10,16,8490,6212,8490
10,16,9490,6212,9490
11,18,10490,6212,10490
11,18,11490,6212,11490
12,22,13490,6212,13490
12,22,13490,6212,13490
12,22,14300,6212,14300
12,22,14460,6212,14460
13,23,15460,6212,15460
14,27,19460,6212,19460
15,28,20050,6212,20050
16,32,21050,6212,21050
16,32,22050,6212,22050
17,33,22860,6212,22860
17,33,23860,6212,23860
18,37,23860,6212,23860
19,39,24860,6212,24860
19,39,25670,6212,25670
20,41,26670,6212,26670
20,41,27670,6212,27670
21,43,28670,6212,28670
22,44,29140,6212,29140
22,44,29950,6212,29950
23,45,30420,6212,30420
23,45,31010,6212,31010
24,49,32010,6212,32010
25,50,32330,6212,32330
26,52,32800,6212,32800
27,53,33800,6212,33800
28,55,34800,6212,34800
29,59,35800,6212,35800
30,61,35800,6212,35800
30,61,36120,6212,36120
31,69,44120,6212,44120
31,69,45120,6212,45120
32,71,46120,6212,46120
33,79,54120,6212,54120
34,81,55120,6212,55120
34,81,55120,6212,55120
35,82,55590,6212,55590
35,82,56590,6212,56590
35,82,56590,6212,56590
36,90,64590,6212,64590
37,91,65590,6212,65590
38,93,66590,6212,66590
38,93,66590,6212,66590
39,94,67400,6212,67400
40,95,68400,6212,68400
40,95,68870,6212,68870
41,96,69870,6212,69870
42,98,70870,6212,70870
43,102,72870,6212,72870
43,102,73190,6212,73190
44,104,73190,6212,73190
45,106,74190,6212,74190
46,107,74510,6212,74510
46,107,75510,6212,75510
47,109,76510,6212,76510
48,110,76980,6212,76980
49,112,77980,6212,77980
50,116,77980,6212,77980
51,118,78450,6212,78450
52,120,80450,6212,80450
53,128,88450,6212,88450
53,128,88450,6212,88450
54,130,89450,6212,89450
55,132,90450,6212,90450
55,132,91100,6212,91100
56,134,92100,6212,92100
57,136,92750,6212,92750
58,138,92750,6212,92750
59,140,93750,6212,93750
60,142,94750,6212,94750
60,142,94980,6212,94980
60,142,95790,6212,95790
60,142,96340,6212,96340
60,142,96340,6212,96340
61,146,97340,6212,97340
62,147,98340,6212,98340
63,149,98340,6212,98340
64,157,106340,6212,106340
64,157,106340,6212,106340
65,159,106810,6212,106810
66,161,107810,6212,107810
67,165,107810,6212,107810
68,169,111810,6212,111810
68,169,112180,6212,112180
68,169,112990,6212,112990
68,169,113990,6212,113990
69,171,114990,6212,114990
70,173,115990,6212,115990
70,173,116800,6212,116800
70,173,116800,6212,116800
70,173,117800,6212,117800
71,175,118800,6212,118800
72,177,119800,6212,119800
73,179,120800,6212,120800
74,181,121800,6212,121800
74,181,122800,6212,122800
75,183,123800,6212,123800
76,185,124270,6212,124270
77,187,125270,6212,125270
78,189,126270,6212,126270
79,191,126270,6212,126270
80,193,127270,6212,127270
80,193,128270,6212,128270
81,195,129270,6212,129270
82,203,137270,6212,137270
83,205,138270,6212,138270
84,213,146270,6212,146270
84,213,147270,6212,147270
84,213,147590,6212,147590
85,215,148590,6212,148590
85,215,149180,6212,149180
86,219,153180,6212,153180
87,221,155180,6212,155180
88,222,155650,6212,155650
89,223,156120,6212,156120
89,223,156350,6212,156350
90,225,157350,6212,157350
91,227,158350,6212,158350
92,229,160350,6212,160350
93,231,161350,6212,161350
93,231,162160,6212,162160
93,231,162160,6212,162160
94,233,163160,6212,163160
95,234,163630,6212,163630
96,236,164630,6212,164630
96,236,164950,6212,164950
97,238,165950,6212,165950
97,238,166500,6212,166500
97,238,167500,6212,167500
97,238,167500,6212,167500
98,240,168500,6212,168500
99,242,169500,6212,169500
100,244,169970,6212,169970
101,246,170970,6212,170970
102,254,178970,6212,178970
103,256,179440,6212,179440
104,258,180440,6212,180440
105,260,181440,6212,181440
106,262,182440,6212,182440
106,262,183250,6212,183250
107,266,184250,6212,184250
108,268,184720,6212,184720
109,270,185190,6212,185190
110,272,186190,6212,186190
110,272,187000,6212,187000
111,274,187470,6212,187470
112,276,188470,6212,188470
113,278,189470,6212,189470
113,278,190470,6212,190470
114,282,192470,6212,192470
114,282,192470,6212,192470
114,282,193060,6212,193060
114,282,193430,6212,193430
115,284,194430,6212,194430
115,284,194660,6212,194660
116,286,195660,6212,195660
117,288,196130,6212,196130
