pod,namespace,ip,cpu_milli,memory_mib,num_gpu,gpu_index,gpu_mem_ratio,gpu_milli,model,gpu_mem_mib_each,gpu_mem_mib,gpu_type_req,creation_time
openb-pod-0000,paib-gpu,,12000,,1,5,100,1000,G2,20000,20000,<none>,
openb-pod-0001,paib-gpu,,6000,,1,6,46,460,G2,20000,9200,<none>,
openb-pod-0002,paib-gpu,,12000,,1,1,100,1000,T4,15109,15109,<none>,
openb-pod-0003,paib-gpu,,6000,,1,2,46,460,G2,20000,9200,<none>,
openb-pod-0005,paib-gpu,,20000,,0,,0,0,T4,15109,0,<none>,
openb-pod-0006,paib-gpu,,4000,,1,0,100,1000,P100,16280,16280,<none>,
openb-pod-0008,paib-gpu,,12000,,1,1,100,1000,G2,20000,20000,<none>,
openb-pod-0009,paib-gpu,,12000,,1,1,100,1000,T4,15109,15109,<none>,
openb-pod-0011,paib-gpu,,6000,,1,0,46,460,T4,15109,6950,<none>,
openb-pod-0013,paib-gpu,,8000,,1,4,100,1000,G2,20000,20000,<none>,
openb-pod-0014,paib-gpu,,16000,,1,0,100,1000,G2,20000,20000,<none>,
openb-pod-0015,paib-gpu,,16000,,1,5,100,1000,G2,20000,20000,<none>,
openb-pod-0016,paib-gpu,,32000,,0,,0,0,T4,15109,0,<none>,
openb-pod-0017,paib-gpu,,88000,,8,0-1-2-3-4-5-6-7,100,1000,G2,20000,20000,<none>,
openb-pod-0019,paib-gpu,,8000,,1,1,47,470,G2,20000,9400,<none>,
openb-pod-0020,paib-gpu,,8000,,1,0,47,470,V100M16,16160,7595,<none>,
openb-pod-0022,paib-gpu,,4000,,1,3,22,220,G2,20000,4400,<none>,
openb-pod-0023,paib-gpu,,12000,,1,2,100,1000,G2,20000,20000,<none>,
openb-pod-0024,paib-gpu,,16000,,1,7,100,1000,G2,20000,20000,<none>,
openb-pod-0025,paib-gpu,,4000,,1,1,11,110,G2,20000,2200,<none>,
openb-pod-0027,paib-gpu,,1000,,1,5,32,320,G2,20000,6400,<none>,
openb-pod-0028,paib-gpu,,16000,,1,3,100,1000,G2,20000,20000,<none>,
openb-pod-0031,paib-gpu,,16000,,1,0,100,1000,G2,20000,20000,<none>,
openb-pod-0032,paib-gpu,,6000,,1,0,46,460,G2,20000,9200,<none>,
openb-pod-0033,paib-gpu,,3152,,1,1,100,1000,G2,20000,20000,<none>,
openb-pod-0034,paib-gpu,,16000,,1,5,100,1000,G2,20000,20000,<none>,
openb-pod-0035,paib-gpu,,16000,,1,0,100,1000,G2,20000,20000,<none>,
openb-pod-0036,paib-gpu,,3152,,1,1,100,1000,P100,16280,16280,<none>,
openb-pod-0037,paib-gpu,,16000,,1,1,100,1000,G2,20000,20000,<none>,
openb-pod-0039,paib-gpu,,4000,,1,0,5,50,T4,15109,755,<none>,
openb-pod-0040,paib-gpu,,8000,,1,5,23,230,V100M32,32510,7477,<none>,
openb-pod-0042,paib-gpu,,3152,,1,7,100,1000,G3,30000,30000,<none>,
openb-pod-0043,paib-gpu,,6000,,1,4,46,460,G2,20000,9200,<none>,
openb-pod-0044,paib-gpu,,3152,,1,5,100,1000,G2,20000,20000,<none>,
openb-pod-0046,paib-gpu,,3152,,1,0,100,1000,P100,16280,16280,<none>,
openb-pod-0047,paib-gpu,,3152,,1,0,100,1000,P100,16280,16280,<none>,
openb-pod-0048,paib-gpu,,8000,,0,,0,0,G2,20000,0,<none>,
openb-pod-0049,paib-gpu,,8000,,0,,0,0,T4,15109,0,<none>,
openb-pod-0050,paib-gpu,,8000,,0,,0,0,G3,30000,0,<none>,
openb-pod-0057,paib-gpu,,3152,,1,1,100,1000,G2,20000,20000,<none>,
openb-pod-0060,paib-gpu,,8000,,0,,0,0,G3,30000,0,<none>,
openb-pod-0061,paib-gpu,,11908,,1,2,100,1000,G2,20000,20000,<none>,
openb-pod-0063,paib-gpu,,12000,,1,1,100,1000,T4,15109,15109,<none>,
openb-pod-0065,paib-gpu,,12000,,1,0,100,1000,T4,15109,15109,<none>,
openb-pod-0067,paib-gpu,,4152,,1,0,81,810,T4,15109,12238,<none>,
openb-pod-0068,paib-gpu,,3152,,1,0,100,1000,P100,16280,16280,<none>,
openb-pod-0073,paib-gpu,,3152,,1,7,100,1000,G2,20000,20000,<none>,
openb-pod-0074,paib-gpu,,16000,,1,0,100,1000,G2,20000,20000,<none>,
openb-pod-0076,paib-gpu,,16000,,1,0,100,1000,P100,16280,16280,<none>,
openb-pod-0077,paib-gpu,,3152,,1,0,100,1000,P100,16280,16280,<none>,
openb-pod-0078,paib-gpu,,16000,,1,6,100,1000,G2,20000,20000,<none>,
openb-pod-0079,paib-gpu,,8000,,1,5,32,320,G2,20000,6400,<none>,
openb-pod-0080,paib-gpu,,6000,,1,0,46,460,V100M16,16160,7433,<none>,
openb-pod-0081,paib-gpu,,4000,,1,2,32,320,G2,20000,6400,<none>,
openb-pod-0082,paib-gpu,,8000,,1,1,65,650,T4,15109,9820,<none>,
openb-pod-0085,paib-gpu,,4152,,1,7,55,550,G2,20000,11000,<none>,
openb-pod-0086,paib-gpu,,3152,,1,3,100,1000,G2,20000,20000,<none>,
openb-pod-0087,paib-gpu,,11908,,1,1,100,1000,T4,15109,15109,<none>,
openb-pod-0091,paib-gpu,,3152,,1,3,81,810,G2,20000,16200,<none>,
openb-pod-0092,paib-gpu,,8000,,1,0,47,470,T4,15109,7101,<none>,
openb-pod-0093,paib-gpu,,3152,,1,6,100,1000,G2,20000,20000,<none>,
openb-pod-0095,paib-gpu,,4152,,1,4,81,810,G2,20000,16200,<none>,
openb-pod-0096,paib-gpu,,18708,,1,0,100,1000,G2,20000,20000,<none>,
openb-pod-0098,paib-gpu,,8000,,1,5,32,320,G2,20000,6400,<none>,
openb-pod-0099,paib-gpu,,3152,,1,2,100,1000,G2,20000,20000,<none>,
openb-pod-0101,paib-gpu,,9810,,1,1,100,1000,T4,15109,15109,<none>,
openb-pod-0109,paib-gpu,,4000,,1,1,16,160,G2,20000,3200,<none>,
openb-pod-0110,paib-gpu,,4000,,1,1,11,110,T4,15109,1661,<none>,
openb-pod-0111,paib-gpu,,12000,,1,0,100,1000,G2,20000,20000,<none>,
openb-pod-0112,paib-gpu,,8000,,1,3,47,470,G2,20000,9400,<none>,
openb-pod-0113,paib-gpu,,4152,,1,7,55,550,V100M32,32510,17880,<none>,
openb-pod-0115,paib-gpu,,3152,,1,0,100,1000,G2,20000,20000,<none>,
openb-pod-0117,paib-gpu,,3152,,1,3,81,810,G2,20000,16200,<none>,
openb-pod-0120,paib-gpu,,9810,,1,1,100,1000,P100,16280,16280,<none>,
openb-pod-0123,paib-gpu,,3152,,1,7,100,1000,G2,20000,20000,<none>,
openb-pod-0124,paib-gpu,,12000,,1,6,100,1000,V100M32,32510,32510,<none>,
openb-pod-0125,paib-gpu,,6000,,1,5,46,460,G2,20000,9200,<none>,
openb-pod-0126,paib-gpu,,8000,,1,5,32,320,G2,20000,6400,<none>,
openb-pod-0128,paib-gpu,,88000,,8,0-1-2-3-4-5-6-7,100,1000,G2,20000,20000,<none>,
openb-pod-0131,paib-gpu,,3152,,1,0,100,1000,G2,20000,20000,<none>,
openb-pod-0135,paib-gpu,,3152,,1,0,100,1000,G2,20000,20000,<none>,
openb-pod-0138,paib-gpu,,8000,,1,6,47,470,G2,20000,9400,<none>,
openb-pod-0139,paib-gpu,,8000,,1,0,47,470,T4,15109,7101,<none>,
openb-pod-0141,paib-gpu,,18708,,1,1,100,1000,T4,15109,15109,<none>,
openb-pod-0144,paib-gpu,,8000,,1,1,32,320,G2,20000,6400,<none>,
openb-pod-0146,paib-gpu,,18708,,1,7,100,1000,G2,20000,20000,<none>,
