ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_ratio,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-origin_q124,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_milli,ow_multigpu40-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_46cb-policy_FGDPredictor1000desharemd6126-de_share-gs_FGDPredictorScore-scmd_6126-bellman_ratio
879714.42,14.16,1.47,588033.72,9.47
879082.93,14.16,1.46,587294.56,9.46
878981.44,14.16,1.46,587085.4,9.45
878787.93,14.15,1.46,586899.9,9.45
878606.44,14.15,1.46,586610.74,9.45
878437.45,14.15,1.46,586496.42,9.45
878243.94,14.15,1.46,586339.41,9.45
877612.45,14.14,1.45,585600.25,9.44
877612.45,14.14,1.45,585378.89,9.43
877443.46,14.14,1.45,585248.36,9.43
877688.48,14.15,1.46,585478.82,9.44
877056.99,14.14,1.45,584869.57,9.43
876888.0,14.14,1.45,584755.25,9.43
876256.5,14.13,1.44,584016.09,9.42
875951.22,14.13,1.44,583604.18,9.42
875951.22,14.13,1.44,583604.18,9.42
875508.49,14.13,1.43,583053.78,9.41
875349.73,14.12,1.43,582895.01,9.41
874718.24,14.12,1.42,582155.85,9.39
874067.27,14.11,1.42,581741.64,9.39
873821.34,14.11,1.42,581388.03,9.39
873627.83,14.11,1.42,581231.03,9.39
873468.94,14.11,1.42,581317.67,9.39
873026.21,14.11,1.41,580767.27,9.38
872822.61,14.1,1.41,580487.07,9.38
872822.61,14.1,1.41,580487.07,9.38
872653.62,14.1,1.41,580372.76,9.38
872210.89,14.1,1.41,579822.36,9.37
