ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_540b-policy_DotProd1000demergemdac62-de_merge-gs_best-scmd_ac62-bellman_ratio
915626.9,14.74,2.48,846233.96,13.62
915603.91,14.74,2.48,846106.8,13.62
916076.62,14.75,2.49,846024.98,13.62
916279.99,14.76,2.49,845726.17,13.62
915549.33,14.75,2.48,844943.17,13.61
918737.25,14.8,2.53,847450.63,13.65
921925.17,14.85,2.59,849958.09,13.69
921277.67,14.84,2.58,849206.43,13.68
921481.03,14.85,2.58,848907.61,13.68
920945.12,14.84,2.58,848288.28,13.67
920404.45,14.83,2.57,847695.28,13.66
923592.38,14.89,2.62,850202.75,13.7
924695.28,14.9,2.64,850950.42,13.72
924898.65,14.91,2.64,850651.6,13.71
925102.02,14.92,2.65,850352.78,13.71
925305.38,14.92,2.66,850053.96,13.71
925522.34,14.93,2.66,849716.4,13.7
924874.84,14.92,2.65,848964.73,13.69
925347.54,14.93,2.66,848882.91,13.7
924806.88,14.92,2.66,848289.91,13.69
927994.8,14.97,2.71,850797.37,13.73
929332.9,15.0,2.73,851729.36,13.75
929522.33,15.0,2.74,851364.27,13.74
930241.52,15.02,2.75,851570.24,13.75
929023.41,15.02,2.75,850518.84,13.75
929154.53,15.02,2.76,851070.24,13.76
930211.33,15.04,2.77,851026.31,13.76
930414.69,15.05,2.78,850727.49,13.76
930364.03,15.05,2.78,850624.49,13.76
930443.01,15.05,2.78,850389.23,13.75
933630.93,15.1,2.83,852896.69,13.79
936818.85,15.15,2.88,855404.16,13.83
935801.43,15.15,2.89,854592.75,13.84
935683.93,15.15,2.89,854371.09,13.84
935723.27,15.15,2.89,854358.09,13.84
935546.54,15.15,2.89,854181.36,13.83
935749.91,15.16,2.89,853882.54,13.83
935165.4,15.15,2.88,853298.03,13.82
934611.15,15.14,2.88,852743.78,13.82
933851.1,15.14,2.87,851909.15,13.81
934556.93,15.15,2.89,851879.03,13.81
935105.55,15.16,2.9,851956.54,13.81
935322.51,15.17,2.9,851618.97,13.81
934562.46,15.17,2.9,850784.34,13.81
934765.83,15.17,2.91,850474.61,13.8
937953.75,15.22,2.96,852982.07,13.84
937413.09,15.22,2.95,852389.07,13.84
936678.13,15.21,2.95,851741.08,13.84
936881.5,15.22,2.96,851431.35,13.83
936881.5,15.22,2.96,851431.35,13.83
936340.84,15.21,2.95,850838.35,13.82
936494.94,15.22,2.95,850935.59,13.83
936711.9,15.22,2.96,850598.03,13.82
936915.26,15.23,2.96,850299.21,13.82
936379.35,15.22,2.96,849679.88,13.81
935635.1,15.21,2.95,848935.63,13.8
935838.46,15.22,2.95,848636.81,13.8
936041.83,15.22,2.96,848327.08,13.8
935311.17,15.21,2.95,847554.99,13.79
935514.54,15.22,2.96,847245.27,13.78
935717.91,15.23,2.96,846935.54,13.78
935717.91,15.23,2.96,846935.54,13.78
935177.24,15.22,2.95,846353.45,13.77
935380.61,15.23,2.96,846054.63,13.77
935583.98,15.23,2.97,845744.9,13.77
935029.73,15.22,2.96,845190.65,13.76
935246.69,15.23,2.97,844853.08,13.76
935246.69,15.23,2.97,844853.08,13.76
935450.05,15.24,2.97,844554.26,13.76
935034.72,15.23,2.97,844188.81,13.75
934304.06,15.22,2.96,843405.81,13.74
934507.43,15.23,2.97,843106.99,13.74
933526.25,15.23,2.97,842367.7,13.75
932985.58,15.23,2.96,841774.7,13.74
933458.29,15.24,2.97,841692.88,13.74
934006.91,15.25,2.98,841770.39,13.74
934210.28,15.25,2.99,841460.66,13.74
934413.65,15.26,2.99,841161.84,13.74
934617.02,15.27,3.0,840863.02,13.73
934806.45,15.27,3.01,840497.93,13.73
935009.82,15.28,3.01,840199.11,13.73
935558.44,15.29,3.02,840276.61,13.73
935535.32,15.29,3.02,840434.9,13.73
936083.94,15.3,3.03,840512.41,13.74
935353.28,15.29,3.02,839740.32,13.73
934622.62,15.28,3.02,838968.23,13.72
933891.95,15.27,3.01,838196.14,13.71
933891.95,15.27,3.01,838196.14,13.71
934796.95,15.29,3.02,838688.67,13.71
933779.53,15.29,3.02,837877.27,13.72
933968.96,15.29,3.03,837512.18,13.71
934185.91,15.3,3.04,837174.61,13.71
933645.25,15.29,3.03,836581.61,13.7
934364.45,15.31,3.04,836787.58,13.71
934567.82,15.31,3.05,836477.85,13.71
934040.52,15.31,3.04,835396.03,13.69
933499.86,15.3,3.04,834813.94,13.68
934972.57,15.33,3.06,835732.13,13.7
934871.9,15.33,3.06,835579.13,13.7
934754.4,15.32,3.06,835357.46,13.7
934717.91,15.32,3.06,835279.67,13.69
934163.66,15.32,3.05,834725.42,13.69
935266.56,15.34,3.07,835473.09,13.7
934725.9,15.33,3.06,834880.09,13.69
934929.27,15.33,3.07,834581.27,13.69
934393.35,15.33,3.06,833961.95,13.68
933676.63,15.32,3.05,833245.22,13.67
933456.43,15.32,3.05,832825.73,13.67
932721.47,15.31,3.05,832177.73,13.66
932400.81,15.31,3.05,831815.64,13.66
931665.85,15.31,3.04,831167.65,13.66
930935.19,15.3,3.03,830384.65,13.65
931138.56,15.31,3.04,830085.83,13.64
931138.56,15.31,3.04,830085.83,13.64
931087.89,15.31,3.04,829982.83,13.64
931291.26,15.31,3.05,829684.01,13.64
931422.39,15.32,3.05,830235.41,13.65
930881.73,15.31,3.04,829642.41,13.64
931938.52,15.33,3.06,829598.47,13.65
931892.6,15.33,3.06,829469.15,13.64
932611.8,15.34,3.08,829675.12,13.65
932828.76,15.35,3.08,829337.55,13.65
932959.88,15.35,3.09,829888.95,13.66
931942.46,15.36,3.09,829077.55,13.66
933529.26,15.38,3.12,829563.61,13.67
933732.62,15.39,3.12,829264.79,13.67
933935.99,15.4,3.13,828965.98,13.66
933288.49,15.39,3.12,828214.31,13.65
