ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_0f5d-policy_GpuClustering1000desharemddbc8-de_share-gs_best-scmd_dbc8-bellman_ratio
915182.75,14.73,2.47,845739.2,13.62
915159.76,14.73,2.47,845612.04,13.61
914935.48,14.73,2.47,845390.81,13.61
914744.43,14.73,2.47,845215.92,13.61
914520.15,14.73,2.47,845029.52,13.61
914556.39,14.73,2.47,844766.69,13.61
914969.86,14.74,2.47,844739.94,13.61
914322.36,14.73,2.47,843988.27,13.6
914131.3,14.73,2.47,843813.39,13.6
913672.61,14.72,2.46,843250.53,13.59
913213.91,14.72,2.45,842687.67,13.58
913407.18,14.72,2.46,846273.66,13.64
913565.13,14.72,2.46,847075.33,13.65
913340.86,14.72,2.46,846888.93,13.65
913149.8,14.72,2.46,846711.34,13.65
912925.53,14.72,2.46,846523.47,13.65
913142.48,14.73,2.46,846190.8,13.65
912494.98,14.72,2.45,845439.14,13.64
912303.92,14.72,2.45,845179.47,13.64
911845.23,14.71,2.45,844616.61,13.63
912258.7,14.72,2.45,844769.13,13.63
912034.43,14.72,2.45,844667.51,13.63
912223.86,14.72,2.46,844307.31,13.63
912474.41,14.73,2.46,844293.77,13.63
911456.98,14.73,2.47,843482.37,13.63
911265.93,14.73,2.47,843227.02,13.63
911041.65,14.73,2.46,843121.08,13.63
910850.6,14.73,2.46,842946.19,13.63
910551.86,14.72,2.46,842652.58,13.63
912361.85,14.75,2.49,841338.23,13.61
912555.11,14.76,2.49,841017.28,13.6
918930.95,14.86,2.6,848374.31,13.72
917913.53,14.86,2.6,847562.9,13.72
917531.92,14.86,2.59,847322.87,13.72
917914.89,14.86,2.6,847905.79,13.73
917609.77,14.86,2.6,847530.35,13.73
917385.49,14.86,2.6,847343.95,13.73
916800.98,14.85,2.59,846759.44,13.72
916342.28,14.85,2.58,846196.58,13.71
915582.24,14.84,2.58,845361.95,13.71
915614.74,14.84,2.58,845415.93,13.71
915752.42,14.85,2.58,845310.23,13.71
915561.36,14.85,2.58,845058.31,13.7
914826.4,14.85,2.58,844410.31,13.7
914602.13,14.84,2.58,844300.94,13.7
917790.05,14.9,2.63,846808.41,13.74
917754.58,14.9,2.63,846993.78,13.75
917019.62,14.9,2.63,846345.79,13.75
917222.99,14.9,2.64,846040.95,13.74
920151.68,14.95,2.68,850359.71,13.81
919692.98,14.94,2.68,849796.85,13.81
919394.25,14.94,2.67,849571.03,13.8
919203.19,14.94,2.67,849311.36,13.8
918978.91,14.94,2.67,849209.73,13.8
918520.22,14.93,2.67,848646.88,13.8
917775.97,14.92,2.66,847902.63,13.79
917584.91,14.92,2.66,847727.74,13.79
917360.64,14.92,2.66,847541.33,13.78
916643.91,14.91,2.65,846824.61,13.78
916847.28,14.92,2.65,846519.78,13.77
916656.22,14.92,2.65,846332.38,13.77
916656.22,14.92,2.65,846332.38,13.77
916197.53,14.91,2.65,845769.53,13.76
915973.26,14.91,2.64,845591.46,13.76
915782.2,14.91,2.64,845406.77,13.76
915323.5,14.9,2.64,844843.91,13.76
915099.23,14.9,2.64,844667.31,13.75
915099.23,14.9,2.64,844667.31,13.75
914908.17,14.9,2.64,844492.43,13.75
914492.84,14.9,2.63,844131.13,13.75
913762.18,14.89,2.62,843359.04,13.74
913537.91,14.89,2.62,843172.64,13.74
912556.72,14.89,2.63,842433.35,13.75
912098.03,14.89,2.62,841870.5,13.74
911906.97,14.89,2.62,841615.15,13.74
912044.65,14.89,2.62,841509.45,13.74
911820.38,14.89,2.62,841403.51,13.74
911629.32,14.89,2.62,841228.62,13.74
911405.05,14.89,2.62,841042.22,13.74
911594.48,14.89,2.63,840682.02,13.73
911797.85,14.9,2.63,840388.09,13.73
911902.31,14.9,2.64,840798.04,13.74
911784.81,14.9,2.64,840576.37,13.74
911922.49,14.9,2.64,840470.67,13.74
911191.83,14.89,2.63,839698.58,13.73
910475.11,14.89,2.62,838981.86,13.72
909744.44,14.88,2.61,838198.86,13.71
909744.44,14.88,2.61,838198.86,13.71
909744.44,14.88,2.61,838198.86,13.71
908727.02,14.88,2.61,837387.45,13.71
908535.97,14.88,2.61,837127.79,13.71
908311.69,14.88,2.61,837026.16,13.71
908276.23,14.88,2.61,837211.54,13.71
908995.42,14.89,2.63,837422.41,13.72
908804.36,14.89,2.63,837235.01,13.72
908277.07,14.89,2.62,836158.09,13.7
907750.58,14.88,2.62,835590.3,13.7
907750.58,14.88,2.62,835590.3,13.7
907727.59,14.88,2.62,835463.14,13.7
907610.09,14.88,2.61,835367.13,13.7
907311.35,14.88,2.61,835141.3,13.69
906852.65,14.87,2.61,834578.44,13.68
906852.65,14.87,2.61,834578.44,13.68
906393.96,14.86,2.6,834015.58,13.68
906169.68,14.86,2.6,833837.52,13.68
905710.99,14.86,2.59,833274.67,13.67
905063.49,14.85,2.58,832648.65,13.66
904478.97,14.84,2.58,832064.14,13.65
903744.02,14.84,2.57,831416.14,13.65
903482.89,14.84,2.57,831050.86,13.65
902747.93,14.83,2.57,830402.86,13.64
902100.43,14.83,2.56,829651.19,13.63
901909.37,14.82,2.56,829476.3,13.63
901909.37,14.82,2.56,829476.3,13.63
901612.99,14.82,2.56,829179.92,13.63
901388.72,14.82,2.55,828993.52,13.63
901197.66,14.82,2.55,828738.18,13.63
901173.58,14.82,2.56,828232.25,13.62
900949.3,14.82,2.55,828126.31,13.62
900650.56,14.81,2.55,827771.08,13.62
900867.35,14.82,2.55,827920.08,13.62
901084.31,14.83,2.56,827587.41,13.62
900893.25,14.83,2.56,827332.06,13.61
899875.83,14.83,2.56,826520.66,13.62
900126.38,14.83,2.57,826507.13,13.62
899902.11,14.83,2.57,826401.18,13.62
900105.48,14.84,2.57,826107.26,13.62
899914.42,14.84,2.57,825848.71,13.62
899532.81,14.83,2.57,825608.68,13.61
899308.54,14.83,2.57,825505.93,13.61
899117.48,14.83,2.56,825321.24,13.61
898373.23,14.82,2.56,824576.99,13.6
897638.27,14.82,2.55,823928.99,13.6
897414.0,14.82,2.55,823752.39,13.6
897222.94,14.82,2.55,823493.85,13.6
897187.48,14.82,2.55,823630.6,13.6
897185.23,14.82,2.55,823571.16,13.6
897149.76,14.82,2.56,823600.32,13.61
897149.76,14.82,2.56,823600.32,13.61
896925.49,14.82,2.55,823497.57,13.61
895908.07,14.82,2.56,822686.17,13.61
895717.01,14.82,2.56,822426.5,13.61
894986.35,14.81,2.55,821643.5,13.6
894762.07,14.81,2.55,821541.88,13.6
894571.02,14.81,2.54,821282.21,13.6
894568.77,14.81,2.55,821222.77,13.6
894344.49,14.81,2.55,821121.15,13.6
894561.82,14.82,2.55,821330.91,13.6
894180.22,14.81,2.55,821063.77,13.6
893199.03,14.81,2.55,820324.49,13.6
893007.98,14.81,2.55,820182.4,13.6
893145.66,14.82,2.55,820076.7,13.6
893362.99,14.82,2.56,820446.41,13.61
893360.74,14.82,2.56,820386.97,13.61
893136.47,14.82,2.56,820167.77,13.61
893609.17,14.83,2.57,820090.84,13.61
893812.54,14.84,2.57,819786.01,13.61
893621.49,14.84,2.57,819526.34,13.61
893397.21,14.84,2.57,819424.72,13.61
892981.88,14.83,2.57,819063.43,13.61
893102.09,14.84,2.57,818612.52,13.6
893298.13,14.84,2.58,818914.91,13.61
893298.13,14.84,2.58,818914.91,13.61
892882.8,14.84,2.58,818553.62,13.61
892584.06,14.84,2.57,818303.31,13.6
892393.0,14.84,2.57,818043.64,13.6
892168.73,14.84,2.57,817942.01,13.6
892168.73,14.84,2.57,817942.01,13.6
891977.67,14.83,2.57,817757.32,13.6
