ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-arrived_gpu_milli
1,1,650,6212,650
2,2,1020,6212,1020
3,3,2020,6212,2020
4,5,3020,6212,3020
4,5,4020,6212,4020
5,13,4020,6212,4020
5,13,4020,6212,4020
6,14,5020,6212,5020
7,16,6020,6212,6020
7,16,6830,6212,6830
8,17,7640,6212,7640
8,17,7640,6212,7640
8,17,7640,6212,7640
9,19,8640,6212,8640
9,19,9640,6212,9640
10,21,10640,6212,10640
11,23,11640,6212,11640
11,23,12640,6212,12640
12,25,13640,6212,13640
12,25,14450,6212,14450
13,33,14450,6212,14450
14,35,15450,6212,15450
14,35,16450,6212,16450
15,37,16920,6212,16920
16,45,24920,6212,24920
16,45,25920,6212,25920
17,47,26920,6212,26920
17,47,27920,6212,27920
17,47,28240,6212,28240
17,47,28240,6212,28240
17,47,28240,6212,28240
17,47,28240,6212,28240
18,55,36240,6212,36240
18,55,36710,6212,36710
19,56,36940,6212,36940
20,57,37400,6212,37400
21,59,38400,6212,38400
21,59,38990,6212,38990
21,59,39800,6212,39800
22,63,43800,6212,43800
23,64,44120,6212,44120
24,66,44770,6212,44770
24,66,45770,6212,45770
25,70,49770,6212,49770
26,72,50770,6212,50770
27,76,50770,6212,50770
27,76,51580,6212,51580
28,80,55580,6212,55580
29,82,56580,6212,56580
29,82,56580,6212,56580
29,82,57390,6212,57390
29,82,57710,6212,57710
30,84,58710,6212,58710
30,84,59710,6212,59710
31,85,60520,6212,60520
32,86,61520,6212,61520
33,88,62520,6212,62520
34,90,63520,6212,63520
34,90,64520,6212,64520
34,90,65520,6212,65520
35,92,66520,6212,66520
35,92,66520,6212,66520
35,92,67330,6212,67330
36,94,68330,6212,68330
36,94,69330,6212,69330
37,95,70140,6212,70140
38,97,71140,6212,71140
38,97,71140,6212,71140
38,97,72140,6212,72140
39,99,74140,6212,74140
40,100,75140,6212,75140
41,102,76140,6212,76140
42,110,84140,6212,84140
42,110,84950,6212,84950
43,112,85950,6212,85950
43,112,86600,6212,86600
44,114,87600,6212,87600
45,116,88600,6212,88600
46,118,89600,6212,89600
46,118,90600,6212,90600
47,120,91600,6212,91600
47,120,92250,6212,92250
48,121,92720,6212,92720
49,123,93370,6212,93370
49,123,94370,6212,94370
49,123,95370,6212,95370
49,123,96370,6212,96370
49,123,96370,6212,96370
49,123,96370,6212,96370
50,131,104370,6212,104370
51,133,105370,6212,105370
51,133,106370,6212,106370
52,134,107180,6212,107180
53,136,107650,6212,107650
54,138,108650,6212,108650
55,140,110650,6212,110650
55,140,111460,6212,111460
55,140,111460,6212,111460
55,140,111830,6212,111830
55,140,112300,6212,112300
55,140,112620,6212,112620
56,141,113430,6212,113430
56,141,113430,6212,113430
57,142,114240,6212,114240
58,144,115240,6212,115240
58,144,116050,6212,116050
59,145,117050,6212,117050
60,146,117640,6212,117640
61,150,121640,6212,121640
62,151,122230,6212,122230
63,155,126230,6212,126230
64,156,127230,6212,127230
65,158,128230,6212,128230
65,158,128230,6212,128230
65,158,128550,6212,128550
66,160,129550,6212,129550
66,160,130550,6212,130550
66,160,131360,6212,131360
67,162,132360,6212,132360
67,162,132680,6212,132680
67,162,133150,6212,133150
68,164,134150,6212,134150
69,166,135150,6212,135150
70,174,143150,6212,143150
70,174,143620,6212,143620
70,174,144620,6212,144620
71,176,145620,6212,145620
71,176,146620,6212,146620
72,177,147090,6212,147090
73,179,148090,6212,148090
73,179,149090,6212,149090
73,179,150090,6212,150090
74,183,154090,6212,154090
75,185,155090,6212,155090
75,185,156090,6212,156090
76,186,156900,6212,156900
77,187,157710,6212,157710
78,188,158520,6212,158520
78,188,158520,6212,158520
79,190,159520,6212,159520
80,198,167520,6212,167520
80,198,168520,6212,168520
81,200,169520,6212,169520
81,200,170520,6212,170520
82,202,171520,6212,171520
82,202,172330,6212,172330
83,204,173330,6212,173330
83,204,173800,6212,173800
83,204,174270,6212,174270
84,212,182270,6212,182270
85,214,183270,6212,183270
85,214,183920,6212,183920
86,216,184390,6212,184390
86,216,185200,6212,185200
87,218,186200,6212,186200
88,220,187200,6212,187200
88,220,188200,6212,188200
89,222,189200,6212,189200
89,222,190200,6212,190200
90,224,192200,6212,192200
91,226,193200,6212,193200
91,226,193750,6212,193750
91,226,193750,6212,193750
92,228,195750,6212,195750
92,228,196070,6212,196070
93,230,197070,6212,197070
93,230,198070,6212,198070
93,230,198070,6212,198070
94,232,199070,6212,199070
94,232,199540,6212,199540
94,232,200540,6212,200540
95,234,200860,6212,200860
95,234,200860,6212,200860
95,234,201860,6212,201860
96,236,202860,6212,202860
97,238,204860,6212,204860
97,238,204860,6212,204860
97,238,205510,6212,205510
97,238,205830,6212,205830
98,240,206300,6212,206300
98,240,206770,6212,206770
98,240,207770,6212,207770
99,242,208580,6212,208580
99,242,209580,6212,209580
99,242,209580,6212,209580
100,244,210580,6212,210580
100,244,210580,6212,210580
101,252,210580,6212,210580
101,252,211580,6212,211580
102,254,212390,6212,212390
102,254,213390,6212,213390
103,256,214390,6212,214390
104,258,215390,6212,215390
104,258,216390,6212,216390
104,258,217200,6212,217200
105,260,218010,6212,218010
105,260,218480,6212,218480
106,262,219480,6212,219480
106,262,219710,6212,219710
106,262,219710,6212,219710
106,262,220360,6212,220360
107,264,221360,6212,221360
107,264,221830,6212,221830
108,266,222640,6212,222640
108,266,223640,6212,223640
108,266,223960,6212,223960
108,266,223960,6212,223960
109,268,224960,6212,224960
109,268,225280,6212,225280
109,268,226090,6212,226090
109,268,226090,6212,226090
109,268,226090,6212,226090
110,270,227090,6212,227090
110,270,227090,6212,227090
111,278,235090,6212,235090
111,278,236090,6212,236090
112,280,237090,6212,237090
112,280,237740,6212,237740
113,282,238740,6212,238740
113,282,239210,6212,239210
113,282,239210,6212,239210
113,282,239680,6212,239680
114,284,240680,6212,240680
114,284,241150,6212,241150
115,286,242150,6212,242150
115,286,242150,6212,242150
115,286,243150,6212,243150
115,286,243470,6212,243470
116,288,244470,6212,244470
116,288,245060,6212,245060
117,290,245710,6212,245710
117,290,246710,6212,246710
118,292,247360,6212,247360
119,294,248360,6212,248360
119,294,249360,6212,249360
119,294,250170,6212,250170
120,296,251170,6212,251170
120,296,252170,6212,252170
121,300,256170,6212,256170
122,302,257170,6212,257170
122,302,258170,6212,258170
123,304,258820,6212,258820
123,304,259140,6212,259140
123,304,260140,6212,260140
124,306,260610,6212,260610
124,306,261610,6212,261610
125,308,262610,6212,262610
125,308,263080,6212,263080
126,312,267080,6212,267080
127,314,268080,6212,268080
127,314,268080,6212,268080
127,314,268540,6212,268540
127,314,268540,6212,268540
127,314,269540,6212,269540
127,314,269540,6212,269540
128,316,270540,6212,270540
128,316,271010,6212,271010
129,324,271010,6212,271010
129,324,271480,6212,271480
130,326,272480,6212,272480
130,326,272710,6212,272710
130,326,273180,6212,273180
130,326,273180,6212,273180
131,328,274180,6212,274180
131,328,274990,6212,274990
132,330,275990,6212,275990
132,330,275990,6212,275990
132,330,276310,6212,276310
132,330,277310,6212,277310
133,332,278310,6212,278310
133,332,279310,6212,279310
134,334,280310,6212,280310
134,334,281310,6212,281310
134,334,281770,6212,281770
135,336,282770,6212,282770
135,336,283770,6212,283770
136,338,284580,6212,284580
136,338,285390,6212,285390
137,340,287390,6212,287390
137,340,287620,6212,287620
138,342,288620,6212,288620
138,342,288620,6212,288620
138,342,288990,6212,288990
138,342,289990,6212,289990
139,344,290460,6212,290460
139,344,291460,6212,291460
140,346,292460,6212,292460
140,346,293460,6212,293460
141,348,294460,6212,294460
141,348,295270,6212,295270
142,350,296270,6212,296270
142,350,296270,6212,296270
142,350,296740,6212,296740
142,350,297550,6212,297550
142,350,297550,6212,297550
143,352,298360,6212,298360
143,352,298830,6212,298830
143,352,299060,6212,299060
144,354,300060,6212,300060
144,354,301060,6212,301060
145,356,301870,6212,301870
145,356,302680,6212,302680
145,356,302680,6212,302680
146,358,303680,6212,303680
146,358,304150,6212,304150
147,366,312150,6212,312150
148,368,312960,6212,312960
148,368,313430,6212,313430
148,368,313430,6212,313430
148,368,314430,6212,314430
149,370,315430,6212,315430
149,370,316430,6212,316430
150,372,316900,6212,316900
150,372,317900,6212,317900
150,372,317900,6212,317900
151,376,321900,6212,321900
152,378,322490,6212,322490
152,378,323490,6212,323490
152,378,323490,6212,323490
153,380,324490,6212,324490
153,380,325300,6212,325300
154,382,326300,6212,326300
154,382,327300,6212,327300
155,384,328110,6212,328110
155,384,329110,6212,329110
155,384,329270,6212,329270
156,386,330270,6212,330270
157,394,330270,6212,330270
157,394,331080,6212,331080
158,396,331630,6212,331630
158,396,332630,6212,332630
158,396,333090,6212,333090
159,398,334090,6212,334090
159,398,335090,6212,335090
160,400,336090,6212,336090
160,400,336090,6212,336090
161,402,337090,6212,337090
161,402,338090,6212,338090
161,402,338900,6212,338900
162,410,346900,6212,346900
163,412,347900,6212,347900
163,412,348900,6212,348900
163,412,349120,6212,349120
164,414,349930,6212,349930
164,414,349930,6212,349930
164,414,350930,6212,350930
165,416,351740,6212,351740
165,416,352550,6212,352550
166,418,353550,6212,353550
166,418,354550,6212,354550
167,420,355550,6212,355550
168,424,359550,6212,359550
168,424,360550,6212,360550
169,426,361010,6212,361010
170,434,369010,6212,369010
170,434,369820,6212,369820
171,436,370820,6212,370820
171,436,371820,6212,371820
171,436,372280,6212,372280
172,438,372750,6212,372750
172,438,372980,6212,372980
172,438,373980,6212,373980
173,440,374980,6212,374980
173,440,375980,6212,375980
173,440,375980,6212,375980
174,442,376980,6212,376980
174,442,377980,6212,377980
174,442,378450,6212,378450
174,442,378680,6212,378680
175,444,379150,6212,379150
176,446,379620,6212,379620
176,446,379620,6212,379620
176,446,380430,6212,380430
176,446,381240,6212,381240
176,446,381560,6212,381560
177,448,382560,6212,382560
177,448,383030,6212,383030
177,448,383400,6212,383400
177,448,383400,6212,383400
178,450,384400,6212,384400
178,450,385400,6212,385400
179,452,386210,6212,386210
179,452,386680,6212,386680
179,452,386680,6212,386680
180,454,388680,6212,388680
181,462,396680,6212,396680
182,464,397680,6212,397680
182,464,398490,6212,398490
182,464,398490,6212,398490
183,466,399490,6212,399490
183,466,400490,6212,400490
184,468,401490,6212,401490
185,470,402490,6212,402490
185,470,403490,6212,403490
186,472,404490,6212,404490
186,472,405490,6212,405490
187,474,406490,6212,406490
187,474,406490,6212,406490
187,474,407140,6212,407140
187,474,407510,6212,407510
187,474,408320,6212,408320
188,476,409320,6212,409320
188,476,410320,6212,410320
189,478,410790,6212,410790
190,482,414790,6212,414790
191,484,415790,6212,415790
191,484,416790,6212,416790
191,484,417110,6212,417110
191,484,417580,6212,417580
192,486,418390,6212,418390
193,488,420390,6212,420390
193,488,420390,6212,420390
193,488,421390,6212,421390
194,490,422390,6212,422390
195,494,426390,6212,426390
195,494,427390,6212,427390
196,496,428390,6212,428390
196,496,429390,6212,429390
197,498,429940,6212,429940
197,498,430410,6212,430410
198,500,431410,6212,431410
198,500,431880,6212,431880
198,500,432530,6212,432530
199,502,434530,6212,434530
200,504,435340,6212,435340
200,504,435810,6212,435810
200,504,436280,6212,436280
200,504,436280,6212,436280
201,506,437090,6212,437090
201,506,437680,6212,437680
202,508,438680,6212,438680
202,508,439150,6212,439150
203,510,439960,6212,439960
204,512,440960,6212,440960
205,514,442960,6212,442960
205,514,443430,6212,443430
205,514,444240,6212,444240
205,514,445240,6212,445240
206,516,445890,6212,445890
207,518,447890,6212,447890
207,518,448700,6212,448700
208,520,449700,6212,449700
208,520,450020,6212,450020
208,520,450490,6212,450490
209,522,451490,6212,451490
209,522,451490,6212,451490
209,522,451490,6212,451490
210,524,453490,6212,453490
211,532,461490,6212,461490
211,532,461490,6212,461490
211,532,462490,6212,462490
211,532,462960,6212,462960
212,534,463550,6212,463550
212,534,464200,6212,464200
