ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f495-policy_GpuPacking1000desharemd3326-de_share-gs_best-scmd_3326-bellman_ratio
915182.75,14.73,2.47,845739.2,13.62
915159.76,14.73,2.47,845612.04,13.61
914935.48,14.73,2.47,845390.81,13.61
914744.43,14.73,2.47,845215.92,13.61
914520.15,14.73,2.47,845029.52,13.61
914556.39,14.73,2.47,844766.69,13.61
914969.86,14.74,2.47,844739.94,13.61
914322.36,14.73,2.47,843988.27,13.6
914131.3,14.73,2.47,843813.39,13.6
914095.84,14.73,2.47,843792.49,13.6
913637.14,14.73,2.46,843229.63,13.59
913830.4,14.73,2.46,846815.62,13.65
913988.36,14.73,2.47,847617.29,13.66
913797.3,14.73,2.47,847439.7,13.66
913573.03,14.73,2.46,847251.84,13.66
913776.4,14.74,2.47,846957.91,13.66
913585.34,14.73,2.47,846705.99,13.66
913361.07,14.73,2.47,846596.62,13.66
913833.77,14.74,2.48,846519.7,13.66
913293.11,14.74,2.47,845926.7,13.65
913706.58,14.74,2.48,846079.22,13.65
913515.53,14.74,2.48,845819.55,13.65
913291.25,14.74,2.48,845717.93,13.65
913541.8,14.75,2.48,845704.39,13.65
912524.38,14.75,2.48,844892.99,13.66
912300.1,14.75,2.48,844986.52,13.66
912109.05,14.75,2.48,844811.63,13.66
911884.77,14.75,2.48,844625.23,13.66
911586.03,14.74,2.48,844331.62,13.65
913396.02,14.77,2.51,843017.27,13.63
913589.29,14.77,2.51,842696.32,13.63
919965.13,14.88,2.61,850053.35,13.75
918947.71,14.88,2.62,849241.94,13.75
918566.1,14.87,2.61,848860.65,13.75
918641.56,14.88,2.61,848831.94,13.75
918534.05,14.88,2.61,848620.28,13.74
918343.0,14.88,2.61,848445.39,13.74
917758.49,14.87,2.6,847860.88,13.73
917723.02,14.87,2.6,847839.98,13.74
916962.97,14.87,2.6,847005.35,13.73
916995.47,14.87,2.6,846933.68,13.73
917133.15,14.87,2.61,846827.98,13.73
916908.88,14.87,2.61,846895.99,13.73
916173.92,14.87,2.6,846248.0,13.73
916377.29,14.87,2.61,845943.16,13.73
919565.21,14.93,2.66,848450.63,13.77
919024.55,14.92,2.65,847868.54,13.76
918289.59,14.92,2.65,847220.54,13.76
918098.53,14.92,2.65,847035.85,13.76
921027.22,14.96,2.7,851354.61,13.83
920991.75,14.96,2.7,851343.51,13.83
920693.01,14.96,2.7,851049.91,13.83
920501.96,14.96,2.69,850790.24,13.83
920277.68,14.96,2.69,850688.62,13.83
919818.99,14.95,2.69,850125.76,13.82
919171.48,14.94,2.68,849499.74,13.81
919374.85,14.95,2.69,849205.82,13.81
919183.8,14.95,2.68,849018.43,13.81
918453.13,14.94,2.68,848235.43,13.8
918228.86,14.94,2.67,848057.36,13.8
918037.8,14.94,2.67,847872.67,13.8
918037.8,14.94,2.67,847872.67,13.8
918002.34,14.94,2.68,847861.58,13.8
917811.28,14.94,2.67,847686.69,13.8
917587.01,14.94,2.67,847500.29,13.8
917128.31,14.93,2.67,846937.43,13.79
916937.25,14.93,2.67,846677.76,13.79
916937.25,14.93,2.67,846677.76,13.79
916712.98,14.93,2.67,846576.14,13.79
916297.65,14.93,2.66,846214.85,13.79
915650.15,14.92,2.66,845463.18,13.78
915459.09,14.92,2.66,845288.29,13.78
914477.9,14.92,2.66,844549.0,13.78
914442.44,14.92,2.66,844528.11,13.78
914251.38,14.92,2.66,844272.76,13.78
914355.85,14.93,2.66,844490.42,13.79
914559.22,14.93,2.67,844185.59,13.78
914762.58,14.94,2.67,843891.66,13.78
914571.53,14.94,2.67,843716.77,13.78
914347.25,14.94,2.67,843530.37,13.78
914156.2,14.94,2.67,843355.48,13.78
914260.66,14.94,2.67,843492.69,13.78
914143.16,14.94,2.67,843271.02,13.78
914691.78,14.95,2.68,843264.5,13.78
913961.12,14.94,2.67,842492.41,13.77
913230.46,14.93,2.67,841709.41,13.76
912504.54,14.92,2.66,840989.01,13.75
912504.54,14.92,2.66,840989.01,13.75
912504.54,14.92,2.66,840989.01,13.75
911487.12,14.92,2.66,840177.6,13.76
911296.06,14.92,2.66,839913.77,13.75
911071.79,14.92,2.66,839812.15,13.75
910613.09,14.92,2.65,839249.29,13.75
911332.29,14.93,2.66,839460.16,13.75
911141.23,14.93,2.66,839275.47,13.75
910725.9,14.93,2.66,838914.18,13.75
910199.41,14.92,2.66,838346.38,13.74
910199.41,14.92,2.66,838346.38,13.74
910489.31,14.93,2.66,838694.08,13.75
910134.13,14.92,2.66,838309.16,13.74
909835.39,14.92,2.65,838015.55,13.74
909376.7,14.91,2.65,837452.69,13.73
909376.7,14.91,2.65,837452.69,13.73
908918.01,14.91,2.64,836889.84,13.72
909121.37,14.91,2.65,836595.91,13.72
908580.71,14.9,2.64,836002.91,13.71
907933.21,14.9,2.63,835251.25,13.7
907672.09,14.89,2.63,835018.16,13.7
906937.13,14.89,2.63,834370.16,13.7
906676.01,14.89,2.62,834004.87,13.7
905941.05,14.89,2.62,833356.88,13.69
905293.54,14.88,2.61,832605.21,13.68
905496.91,14.88,2.62,832311.29,13.68
905496.91,14.88,2.62,832311.29,13.68
905198.17,14.88,2.61,832017.68,13.68
905007.11,14.88,2.61,831842.79,13.68
904782.84,14.88,2.61,831656.39,13.68
904242.18,14.87,2.61,831063.39,13.67
904051.12,14.87,2.61,830888.5,13.67
903754.74,14.87,2.6,830585.58,13.66
903972.07,14.87,2.61,830775.78,13.67
904189.03,14.88,2.61,830443.1,13.66
903997.97,14.88,2.61,830187.76,13.66
902980.55,14.88,2.61,829376.35,13.67
902598.95,14.87,2.61,829059.75,13.66
902374.67,14.87,2.61,828953.81,13.66
902183.61,14.87,2.61,828778.92,13.66
901959.34,14.87,2.61,828592.51,13.66
901841.84,14.87,2.61,828370.85,13.66
901650.78,14.87,2.6,828195.96,13.66
901426.51,14.87,2.6,828009.56,13.66
900682.26,14.86,2.59,827265.31,13.65
899947.3,14.86,2.59,826617.31,13.65
899756.24,14.86,2.59,826357.64,13.64
899531.97,14.85,2.59,826256.02,13.64
899073.27,14.85,2.58,825818.81,13.64
898614.58,14.84,2.58,825255.95,13.63
898155.88,14.84,2.57,824693.1,13.62
898155.88,14.84,2.57,824693.1,13.62
897964.82,14.84,2.57,824518.21,13.62
896947.4,14.84,2.57,823706.8,13.63
896723.13,14.84,2.57,823520.4,13.63
896532.07,14.84,2.57,823264.5,13.62
896307.8,14.84,2.57,823159.11,13.63
896116.74,14.84,2.57,822899.44,13.62
896081.28,14.84,2.57,822983.62,13.63
895890.22,14.84,2.57,822798.93,13.63
896107.55,14.84,2.58,822998.93,13.63
895725.94,14.84,2.57,822682.33,13.63
894744.76,14.84,2.57,821943.04,13.63
894553.7,14.84,2.57,821801.82,13.63
894658.17,14.84,2.58,821867.56,13.63
894908.72,14.85,2.58,821854.03,13.63
894873.25,14.85,2.58,822017.88,13.64
894660.36,14.85,2.58,821332.19,13.63
895133.07,14.86,2.59,821255.27,13.63
894818.66,14.85,2.59,820864.03,13.63
894627.61,14.85,2.59,820604.37,13.62
894403.33,14.85,2.59,820502.74,13.63
893988.0,14.85,2.59,820141.45,13.62
894108.21,14.86,2.59,819690.54,13.62
893910.71,14.85,2.59,819514.53,13.62
893910.71,14.85,2.59,819535.04,13.62
893495.38,14.85,2.59,819173.75,13.62
893196.64,14.85,2.58,818917.94,13.61
893005.58,14.85,2.58,818658.27,13.61
892781.31,14.85,2.58,818556.65,13.61
892781.31,14.85,2.58,818536.13,13.61
892590.25,14.84,2.58,818351.44,13.61
892208.64,14.84,2.57,818084.31,13.61
