ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_nodes,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-used_gpu_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-total_gpus,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-arrived_gpu_milli
1,2,650,6212,650
2,3,1020,6212,1020
3,5,2020,6212,2020
4,7,3020,6212,3020
4,7,4020,6212,4020
5,11,4020,6212,4020
6,13,4020,6212,4020
7,14,5020,6212,5020
8,16,6020,6212,6020
8,16,6830,6212,6830
8,16,7640,6212,7640
8,16,7640,6212,7640
9,18,7640,6212,7640
10,20,8640,6212,8640
11,22,9640,6212,9640
12,24,10640,6212,10640
13,26,11640,6212,11640
14,27,12640,6212,12640
15,29,13640,6212,13640
15,29,14450,6212,14450
16,33,14450,6212,14450
17,35,15450,6212,15450
18,37,16450,6212,16450
19,39,16920,6212,16920
20,47,24920,6212,24920
20,47,25920,6212,25920
21,49,26920,6212,26920
22,51,27920,6212,27920
22,51,28240,6212,28240
22,51,28240,6212,28240
23,55,28240,6212,28240
24,57,28240,6212,28240
25,65,36240,6212,36240
26,66,36710,6212,36710
26,66,36940,6212,36940
26,66,37400,6212,37400
27,68,38400,6212,38400
27,68,38990,6212,38990
27,68,39800,6212,39800
28,72,43800,6212,43800
29,73,44120,6212,44120
30,75,44770,6212,44770
31,77,45770,6212,45770
32,81,49770,6212,49770
33,83,50770,6212,50770
33,83,50770,6212,50770
33,83,51580,6212,51580
34,87,55580,6212,55580
35,89,56580,6212,56580
35,89,56580,6212,56580
35,89,57390,6212,57390
35,89,57710,6212,57710
36,91,58710,6212,58710
37,93,59710,6212,59710
37,93,60520,6212,60520
37,93,61520,6212,61520
38,95,62520,6212,62520
39,97,63520,6212,63520
39,97,64520,6212,64520
40,99,65520,6212,65520
41,101,66520,6212,66520
41,101,66520,6212,66520
41,101,67330,6212,67330
42,103,68330,6212,68330
43,105,69330,6212,69330
43,105,70140,6212,70140
44,107,71140,6212,71140
44,107,71140,6212,71140
45,109,72140,6212,72140
46,113,74140,6212,74140
46,113,75140,6212,75140
