ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_f0e1-policy_BestFit1000desharemd7031-de_share-gs_best-scmd_7031-bellman_ratio
915626.9,14.74,2.48,846233.96,13.62
915603.91,14.74,2.48,846106.8,13.62
916076.62,14.75,2.49,846024.98,13.62
916279.99,14.76,2.49,845726.17,13.62
915549.33,14.75,2.48,844943.17,13.61
918737.25,14.8,2.53,847450.63,13.65
918737.25,14.8,2.53,847427.83,13.65
918089.74,14.79,2.53,846676.16,13.64
918293.11,14.8,2.53,846377.34,13.64
917752.45,14.79,2.53,845784.34,13.63
917216.53,14.78,2.52,845165.02,13.62
918801.2,14.81,2.54,846822.37,13.65
919904.11,14.83,2.56,847570.04,13.66
920107.47,14.83,2.57,847271.22,13.66
920310.84,14.84,2.57,846972.4,13.66
920514.21,14.84,2.58,846673.58,13.65
920731.17,14.85,2.58,846336.01,13.65
920083.66,14.84,2.58,845584.35,13.64
920556.37,14.85,2.59,845502.53,13.64
920015.71,14.84,2.58,844909.53,13.63
923203.63,14.9,2.63,847416.99,13.67
923012.57,14.9,2.63,847153.16,13.67
923202.0,14.9,2.64,846788.07,13.67
923921.2,14.91,2.65,846994.05,13.67
922703.08,14.91,2.65,845942.64,13.67
922478.81,14.91,2.65,845841.02,13.67
922682.17,14.92,2.65,845542.2,13.67
922885.54,14.92,2.66,845243.38,13.67
922834.88,14.92,2.66,845140.38,13.67
922834.88,14.92,2.66,845140.38,13.67
926022.8,14.98,2.71,847647.84,13.71
926022.8,14.98,2.71,847625.04,13.71
925005.38,14.98,2.71,846813.64,13.71
924887.88,14.98,2.71,846591.97,13.71
924913.63,14.98,2.71,846617.72,13.71
924736.9,14.98,2.71,846441.0,13.71
924940.27,14.98,2.72,846142.18,13.71
924355.76,14.97,2.71,845557.67,13.7
923815.1,14.97,2.7,844964.67,13.69
923055.05,14.96,2.7,844130.03,13.69
923087.55,14.97,2.7,844058.37,13.68
923636.17,14.98,2.71,844135.87,13.69
923853.13,14.98,2.72,843798.3,13.68
923093.08,14.98,2.72,842963.67,13.68
923296.45,14.99,2.72,842653.94,13.68
924881.12,15.01,2.75,844311.29,13.7
924340.46,15.0,2.74,843718.29,13.7
923605.5,15.0,2.74,843070.29,13.69
923808.86,15.01,2.74,842760.56,13.69
923808.86,15.01,2.74,842760.56,13.69
923268.2,15.0,2.74,842167.56,13.68
923217.54,15.0,2.74,842064.56,13.68
923434.5,15.01,2.74,841726.99,13.68
923637.87,15.01,2.75,841428.17,13.68
923083.61,15.01,2.74,840873.92,13.67
922352.95,15.0,2.73,840101.83,13.66
922556.32,15.0,2.74,839803.02,13.66
922759.69,15.01,2.74,839493.29,13.65
922029.03,15.0,2.73,838721.2,13.64
922232.39,15.0,2.74,838411.47,13.64
922435.76,15.01,2.75,838101.74,13.64
922435.76,15.01,2.75,838101.74,13.64
921881.51,15.0,2.74,837547.49,13.63
922084.88,15.01,2.74,837248.67,13.63
922288.25,15.01,2.75,836938.94,13.63
921747.59,15.01,2.74,836345.94,13.62
921964.54,15.01,2.75,836008.37,13.61
921964.54,15.01,2.75,836008.37,13.61
922167.91,15.02,2.75,835709.55,13.61
921917.97,15.02,2.76,834733.69,13.6
921187.31,15.01,2.75,833950.69,13.59
921355.83,15.02,2.75,834164.68,13.59
920374.65,15.02,2.75,833425.39,13.6
919833.99,15.01,2.75,832884.73,13.59
920306.69,15.02,2.76,832802.91,13.59
920855.32,15.03,2.77,832880.41,13.6
921058.68,15.04,2.77,832570.68,13.59
921262.05,15.04,2.78,832271.87,13.59
921465.42,15.05,2.79,831973.05,13.59
921654.85,15.06,2.79,831607.95,13.59
921858.22,15.06,2.8,831309.13,13.58
922406.84,15.07,2.81,831386.64,13.59
922289.34,15.07,2.81,831164.97,13.58
922837.96,15.08,2.82,831242.48,13.59
922107.3,15.07,2.81,830470.39,13.58
921376.64,15.06,2.8,829698.3,13.56
920645.98,15.05,2.79,828926.21,13.55
920645.98,15.05,2.79,828926.21,13.55
920645.98,15.05,2.79,828926.21,13.55
919628.56,15.06,2.79,828114.81,13.56
919817.99,15.06,2.8,827749.71,13.55
920034.94,15.07,2.8,827412.14,13.55
919494.28,15.06,2.8,826819.14,13.54
920213.48,15.07,2.81,827025.12,13.55
920416.85,15.08,2.82,826715.39,13.55
919889.55,15.08,2.81,825633.57,13.53
919348.89,15.07,2.81,825051.48,13.52
919348.89,15.07,2.81,825051.48,13.52
919248.23,15.07,2.8,824898.48,13.52
919130.72,15.07,2.8,824676.82,13.52
919066.47,15.07,2.8,824612.56,13.52
918525.81,15.06,2.8,824030.48,13.51
918525.81,15.06,2.8,824030.48,13.51
917985.15,15.05,2.79,823437.48,13.5
918188.52,15.06,2.8,823138.66,13.5
917647.86,15.05,2.79,822545.66,13.49
916931.13,15.04,2.78,821828.93,13.48
916596.88,15.04,2.78,821494.68,13.48
915861.92,15.04,2.77,820846.68,13.48
915541.26,15.03,2.77,820473.68,13.47
914806.3,15.03,2.77,819825.69,13.47
914089.57,15.02,2.76,819108.96,13.46
914292.94,15.03,2.76,818810.14,13.46
914292.94,15.03,2.76,818810.14,13.46
914242.28,15.03,2.76,818718.06,13.46
914445.65,15.03,2.77,818419.24,13.46
914576.78,15.04,2.77,818970.64,13.47
914036.11,15.03,2.77,818377.64,13.46
914239.48,15.04,2.77,818078.82,13.46
914188.82,15.04,2.77,817975.82,13.46
914908.02,15.05,2.79,818181.79,13.46
915124.97,15.06,2.79,817844.22,13.46
915256.1,15.06,2.8,818395.62,13.47
914238.68,15.06,2.8,817584.22,13.47
914957.87,15.08,2.81,817790.19,13.48
915161.24,15.08,2.82,817491.37,13.47
915364.61,15.09,2.82,817192.56,13.47
914717.11,15.08,2.82,816566.54,13.46
