ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_ratio,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-origin_q124,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_milli,ow_multigpu50-dr_0.0-tn_1.3-ts_42-if_1.0-ccmd_3ea7-policy_FGD1000desharemda78a-de_share-gs_FGDScore-scmd_a78a-bellman_ratio
915182.75,14.73,2.47,845739.2,13.62
915159.76,14.73,2.47,845612.04,13.61
914935.48,14.73,2.47,845390.81,13.61
914744.43,14.73,2.47,845215.92,13.61
914096.92,14.72,2.46,844464.25,13.6
914096.92,14.72,2.46,844379.48,13.6
914096.92,14.72,2.46,844542.06,13.6
913449.42,14.72,2.45,843790.39,13.59
913225.15,14.72,2.45,843526.19,13.59
912766.45,14.71,2.44,842963.33,13.58
912307.76,14.7,2.44,842400.47,13.58
912307.76,14.7,2.44,842289.24,13.58
912307.76,14.7,2.44,842289.24,13.58
912116.7,14.7,2.44,842140.81,13.58
911892.43,14.7,2.44,842039.18,13.58
911701.37,14.7,2.44,841861.59,13.58
911477.09,14.7,2.44,841673.73,13.57
910829.59,14.69,2.43,840922.06,13.56
910638.53,14.69,2.43,840662.39,13.56
910179.84,14.69,2.42,840099.54,13.56
910179.84,14.69,2.42,840099.54,13.56
909955.57,14.68,2.42,839997.91,13.56
909764.51,14.68,2.42,839738.25,13.55
909981.84,14.69,2.42,840077.91,13.56
908763.72,14.69,2.42,839026.51,13.56
908572.66,14.69,2.42,838771.16,13.56
908348.39,14.69,2.42,838665.22,13.56
908157.33,14.69,2.42,838490.33,13.56
907858.59,14.68,2.42,838196.72,13.55
907858.59,14.68,2.42,837847.06,13.55
907858.59,14.68,2.42,837847.06,13.55
907858.59,14.68,2.42,837847.06,13.55
906841.17,14.68,2.42,837035.66,13.55
906459.57,14.68,2.41,836654.36,13.55
906535.02,14.68,2.42,836779.22,13.55
906427.52,14.68,2.42,836567.56,13.55
906203.25,14.68,2.41,836381.16,13.55
905618.73,14.67,2.41,835796.64,13.54
905160.04,14.67,2.4,835233.79,13.53
904399.99,14.66,2.4,834399.15,13.53
904432.49,14.66,2.4,834327.49,13.53
904570.17,14.67,2.4,834221.79,13.53
904345.9,14.67,2.4,834289.8,13.53
903585.85,14.66,2.4,833455.17,13.53
903394.8,14.66,2.4,833270.48,13.52
903394.8,14.66,2.4,833270.48,13.52
902936.1,14.66,2.39,832707.62,13.52
902201.14,14.65,2.39,832059.62,13.52
901976.87,14.65,2.39,831883.02,13.51
901976.87,14.65,2.39,831883.02,13.51
901518.17,14.65,2.38,831320.17,13.51
901219.43,14.64,2.38,831026.56,13.5
901028.38,14.64,2.38,830766.89,13.5
900804.1,14.64,2.38,830665.27,13.5
900345.41,14.64,2.37,830102.41,13.49
899697.9,14.63,2.36,829350.75,13.48
899506.85,14.63,2.36,829175.86,13.48
899282.57,14.63,2.36,828989.45,13.48
898635.07,14.62,2.35,828363.44,13.47
898444.01,14.62,2.35,828176.04,13.47
898219.74,14.62,2.35,827997.98,13.47
898219.74,14.62,2.35,827997.98,13.47
897761.05,14.61,2.35,827435.13,13.47
897569.99,14.61,2.34,827260.24,13.47
897345.71,14.61,2.34,827073.83,13.46
896887.02,14.6,2.34,826510.98,13.46
896695.96,14.6,2.34,826251.31,13.45
896695.96,14.6,2.34,826251.31,13.45
896471.69,14.6,2.34,826149.68,13.46
896056.36,14.6,2.33,825788.39,13.45
895408.85,14.59,2.33,825036.73,13.44
895217.8,14.59,2.33,824861.84,13.44
894236.61,14.59,2.33,824122.55,13.45
893777.92,14.59,2.32,823685.34,13.44
893553.64,14.59,2.32,823498.94,13.44
893691.33,14.59,2.33,823393.24,13.44
893467.05,14.59,2.32,823461.39,13.45
893276.0,14.59,2.32,823286.5,13.44
893051.72,14.59,2.32,823100.1,13.44
892860.67,14.59,2.32,822840.43,13.44
892636.39,14.58,2.32,822738.8,13.44
892774.07,14.59,2.32,822633.11,13.44
892656.57,14.59,2.32,822411.44,13.44
892761.04,14.59,2.33,822821.38,13.45
892113.53,14.58,2.32,822069.72,13.44
891562.78,14.58,2.31,821295.63,13.43
890818.53,14.57,2.3,820551.38,13.42
890818.53,14.57,2.3,820551.38,13.42
890818.53,14.57,2.3,820551.38,13.42
889801.11,14.57,2.3,819739.97,13.42
889610.05,14.57,2.3,819476.14,13.42
889385.78,14.57,2.3,819374.52,13.42
889010.24,14.56,2.3,818725.67,13.41
889260.79,14.57,2.3,818712.13,13.41
889036.51,14.57,2.3,818740.98,13.41
888509.22,14.56,2.3,817664.05,13.4
887969.75,14.56,2.29,817174.56,13.4
887969.75,14.56,2.29,817174.56,13.4
887687.14,14.55,2.29,816954.43,13.39
887937.69,14.56,2.29,816940.9,13.39
887638.95,14.55,2.29,816647.16,13.39
887614.87,14.55,2.29,816141.24,13.38
887614.87,14.55,2.29,816141.24,13.38
887489.27,14.55,2.29,815939.69,13.38
887265.0,14.55,2.29,815968.53,13.38
887240.92,14.55,2.29,815462.61,13.38
886926.51,14.55,2.29,815080.41,13.37
886383.55,14.54,2.28,814509.54,13.36
885648.59,14.54,2.28,813861.54,13.36
885818.66,14.55,2.28,813137.69,13.35
885083.7,14.54,2.28,812489.69,13.35
884769.29,14.54,2.28,812527.0,13.35
884578.24,14.54,2.28,812352.12,13.35
884578.24,14.54,2.28,812352.12,13.35
884285.28,14.54,2.27,812051.73,13.35
884061.01,14.53,2.27,811865.33,13.35
883869.95,14.53,2.27,811609.98,13.35
883845.87,14.54,2.27,811104.06,13.34
883532.66,14.53,2.27,810723.06,13.34
883233.92,14.53,2.26,810367.84,13.33
882852.31,14.52,2.26,810051.24,13.33
882628.04,14.52,2.26,809945.29,13.33
882436.98,14.52,2.26,809689.94,13.32
881419.56,14.52,2.26,808878.54,13.33
881636.89,14.53,2.26,809213.89,13.33
881445.84,14.53,2.26,809039.0,13.33
881221.56,14.53,2.26,808852.59,13.33
881030.51,14.53,2.26,808594.05,13.33
880648.9,14.52,2.26,808212.76,13.33
880424.63,14.52,2.25,808110.01,13.33
880233.57,14.52,2.25,807925.32,13.33
880009.88,14.52,2.25,807275.18,13.32
879274.92,14.51,2.25,806627.18,13.32
879050.64,14.51,2.25,806450.58,13.31
878747.04,14.51,2.25,806023.8,13.31
878722.96,14.51,2.25,805517.88,13.3
878597.36,14.51,2.25,805316.33,13.3
878573.28,14.51,2.25,804810.4,13.3
878573.28,14.51,2.25,804810.4,13.3
878260.07,14.51,2.25,804429.4,13.29
877242.65,14.51,2.25,803618.0,13.3
877051.59,14.51,2.25,803358.33,13.29
876838.7,14.51,2.25,802590.32,13.28
876524.3,14.51,2.24,802281.41,13.28
876300.02,14.51,2.24,802179.78,13.28
876275.94,14.51,2.24,801673.86,13.27
875961.54,14.51,2.24,801287.59,13.27
876212.09,14.51,2.25,801274.05,13.27
875830.48,14.51,2.24,801034.02,13.27
874849.3,14.51,2.24,800644.39,13.28
874625.02,14.51,2.24,800596.67,13.28
874762.71,14.51,2.25,800490.97,13.28
874980.04,14.52,2.25,800860.68,13.29
874955.95,14.52,2.25,800354.76,13.28
874641.55,14.51,2.25,799968.48,13.28
874450.49,14.51,2.25,799708.82,13.27
874226.22,14.51,2.25,799607.19,13.27
874035.16,14.51,2.25,799347.52,13.27
873810.89,14.51,2.25,799245.9,13.27
873283.6,14.51,2.24,798168.97,13.26
873092.54,14.51,2.24,797910.43,13.26
873288.58,14.51,2.25,798227.41,13.26
873288.58,14.51,2.25,798227.41,13.26
872873.25,14.51,2.24,797866.12,13.26
872574.51,14.5,2.24,797615.81,13.26
872383.45,14.5,2.24,797356.14,13.26
872159.18,14.5,2.24,797254.51,13.26
872159.18,14.5,2.24,797254.51,13.26
871968.12,14.5,2.24,797069.82,13.26
871586.51,14.5,2.23,796826.74,13.25
